Date, Close/Last, Volume, Open, High, Low
03/30/2020, $44.51, 5166347, $44.97, $45.43, $43.46
03/27/2020, $44.48, 3651709, $42.45, $45.91, $42.4
03/26/2020, $44.01, 3358057, $41.07, $44.32, $40.49
03/25/2020, $40.89, 4929864, $40.69, $43.34, $39.57
03/24/2020, $40.78, 3875162, $38.52, $41.2, $38.27
03/23/2020, $36.86, 5522671, $37.27, $38.11, $34.75
03/20/2020, $37.82, 6740139, $39.14, $40.38, $37.51
03/19/2020, $39.14, 5351991, $38.18, $40.7, $36.23
03/18/2020, $38.26, 5646316, $40.66, $41.27, $36.64
03/17/2020, $43.08, 7256058, $41.22, $43.34, $40.2
03/16/2020, $40.28, 5742010, $40.8, $44.89, $39.5606
03/13/2020, $44.14, 7933105, $46.92, $47.16, $42.23
03/12/2020, $44.59, 7152746, $46.11, $51.08, $44.25
03/11/2020, $48.75, 5351182, $51.6, $51.65, $48.15
03/10/2020, $52.94, 5151438, $51.71, $52.995, $50.39
03/09/2020, $50.76, 4713570, $51.26, $52.51, $49.89
03/06/2020, $54.73, 5261095, $52.55, $55.04, $51.56
03/05/2020, $53.99, 3736901, $54.63, $55.16, $53.415
03/04/2020, $55.59, 2751387, $53.63, $55.61, $53.5
03/03/2020, $53.05, 5192505, $53.72, $55.27, $52.9
03/02/2020, $53.71, 4264151, $51.35, $53.76, $51.27
02/28/2020, $51.31, 6031778, $51.9, $52.15, $50.14
02/27/2020, $52.87, 5722950, $55.5, $55.6, $52.86
02/26/2020, $55.57, 3943141, $58.7, $59, $55.52
02/25/2020, $57.41, 3657816, $59.07, $59.15, $57.41
02/24/2020, $59.11, 3336176, $59.71, $60.16, $59.1
02/21/2020, $59.96, 4165309, $59, $60.14, $58.92
02/20/2020, $59.18, 3453517, $58.83, $59.29, $58.73
02/19/2020, $58.9, 2226570, $59, $59.05, $58.72
02/18/2020, $59.02, 3242540, $58.66, $59.16, $58.5
02/14/2020, $58.48, 2228977, $58.55, $58.68, $58.33
02/13/2020, $58.36, 2190249, $58.18, $58.565, $58.06
02/12/2020, $58.21, 1876783, $57.77, $58.49, $57.77
02/11/2020, $57.82, 2396208, $57.65, $58.25, $57.572
02/10/2020, $57.44, 2217288, $57.75, $58.11, $57.17
02/07/2020, $57.7, 2728279, $58.53, $58.61, $57.66
02/06/2020, $58.33, 2771426, $59.33, $59.6, $58.205
02/05/2020, $59.28, 2582746, $58.99, $59.83, $58.8
02/04/2020, $59.07, 1952807, $59.41, $59.64, $58.97
02/03/2020, $59.33, 1778217, $59.44, $59.7, $59.14
01/31/2020, $59.2, 3023095, $59.79, $59.99, $58.84
01/30/2020, $60, 3091939, $60.21, $60.4, $59.6
01/29/2020, $60.1, 1830089, $59.76, $60.2, $59.745
01/28/2020, $59.67, 3555309, $60.47, $60.57, $59.56
01/27/2020, $60.42, 2514586, $61.67, $61.86, $60.3
01/24/2020, $61.66, 2549524, $61.65, $62.13, $61.44
01/23/2020, $61.74, 3560581, $60.26, $61.78, $60.2
01/22/2020, $60.3, 4059039, $59.75, $60.625, $59.57
01/21/2020, $59.55, 2894632, $59.13, $59.62, $58.84
01/17/2020, $59.16, 2976831, $58.91, $59.18, $58.54
01/16/2020, $59.02, 2255302, $59.17, $59.28, $58.97
01/15/2020, $59.09, 1528605, $58.59, $59.2, $58.535
01/14/2020, $58.38, 2290450, $58.24, $58.41, $57.99
01/13/2020, $58.25, 1484865, $58.24, $58.44, $58.15
01/10/2020, $58.3, 1499385, $58.48, $58.85, $58.26
01/09/2020, $58.42, 2081320, $57.99, $58.45, $57.86
