Date, Close/Last, Volume, Open, High, Low
03/30/2020, $125.48, 6917153, $121.61, $125.84, $121.51
03/27/2020, $120.46, 9852459, $118.57, $124.65, $117.99
03/26/2020, $120.26, 10377950, $112.71, $121.8, $112.58
03/25/2020, $112.5, 9485483, $112.74, $116.36, $111.04
03/24/2020, $113.84, 11446960, $109.93, $114.43, $109.365
03/23/2020, $105.18, 13926830, $106, $112.87, $102.87
03/20/2020, $103.93, 13093150, $118.24, $118.45, $101.42
03/19/2020, $117.34, 9393486, $121.43, $122.09, $116.06
03/18/2020, $120.92, 15250770, $120.84, $127.72, $113.7701
03/17/2020, $127.72, 14242320, $116.7, $127.86, $116.39
03/16/2020, $113.09, 10733310, $114.69, $123.82, $112
03/13/2020, $127.45, 12007670, $120.68, $127.59, $115.07
03/12/2020, $115.34, 12808250, $122.1, $125, $113.59
03/11/2020, $129.75, 7468850, $130.58, $132.54, $127.63
03/10/2020, $134.14, 8258624, $132.05, $134.57, $126.86
03/09/2020, $130.16, 8716252, $130.18, $133.35, $128.18
03/06/2020, $137.26, 6755028, $131.56, $138.17, $131.4532
03/05/2020, $138.1, 6579119, $138.81, $141.42, $136.67
03/04/2020, $142.39, 7635948, $136.19, $142.71, $136.01
03/03/2020, $135.58, 8728649, $137.19, $139.67, $134.74
03/02/2020, $137.58, 8504547, $132, $137.77, $131.72
02/28/2020, $132.03, 14169960, $133.24, $133.75, $128.35
02/27/2020, $136.37, 8604968, $141.41, $143.14, $136.31
02/26/2020, $141.98, 6159441, $142.435, $143.75, $141.16
02/25/2020, $141.1, 7586027, $142.59, $144.38, $140.57
02/24/2020, $142.64, 5027743, $145.86, $147.15, $142.56
02/21/2020, $145.85, 4271865, $145.06, $145.92, $144.805
02/20/2020, $145.16, 2806193, $145.77, $145.8, $143.95
02/19/2020, $145.53, 2978831, $145.62, $146.48, $145.49
02/18/2020, $145.6, 4938697, $147.11, $147.2, $145.4
02/14/2020, $146.99, 3555977, $146.57, $147.15, $145.94
02/13/2020, $146.47, 5041366, $145.25, $147.13, $143.52
02/12/2020, $146.08, 4217415, $146.68, $146.74, $145.35
02/11/2020, $146.08, 3870894, $146.21, $146.36, $144.87
02/10/2020, $145.66, 3775732, $145.93, $146.42, $145.13
02/07/2020, $145.37, 3138839, $144.26, $145.72, $143.83
02/06/2020, $144.33, 3571487, $144.64, $145.2977, $144.0702
02/05/2020, $144.3, 3504869, $143.68, $144.59, $143.43
02/04/2020, $143.22, 3494609, $143.2, $144.06, $142.1
02/03/2020, $142.51, 3978171, $142.77, $143.075, $141.84
01/31/2020, $142.02, 4753380, $143.81, $144.65, $141.575
01/30/2020, $143.83, 4058489, $142.32, $143.96, $141.52
01/29/2020, $141.73, 3263305, $142, $142.45, $141.17
01/28/2020, $142.44, 2908401, $142.13, $142.92, $141.76
01/27/2020, $142.14, 3895268, $141.65, $143.36, $141.05
01/24/2020, $142.915, 2791516, $143.83, $144.15, $142.45
01/23/2020, $143.65, 3916109, $143.09, $143.85, $142.37
01/22/2020, $143.38, 5366139, $141.81, $143.57, $141.72
01/21/2020, $141.86, 4439998, $140.61, $142.12, $140.34
01/17/2020, $141.26, 6909002, $140.1, $141.32, $139.9
01/16/2020, $139.61, 4977937, $139.35, $140.16, $138.6
