Date, Close/Last, Volume, Open, High, Low
03/30/2020, $32.67, 28409430, $31.05, $32.845, $31.05
03/27/2020, $30.9, 36328620, $30.8, $31.74, $30.66
03/26/2020, $31.75, 41062990, $29.89, $31.99, $29.88
03/25/2020, $29.75, 42316200, $29.5, $30.72, $29
03/24/2020, $29.7, 42188610, $29.51, $30.05, $28.9
03/23/2020, $28.49, 50145210, $28.76, $29.58, $27.88
03/20/2020, $29.01, 49799760, $30.28, $30.67, $28.91
03/19/2020, $30.42, 56756050, $32.22, $32.25, $30.01
03/18/2020, $32.36, 41636580, $30.77, $32.61, $30.31
03/17/2020, $32.16, 51442680, $31.64, $32.65, $30.59
03/16/2020, $30.18, 48382420, $29.94, $32.285, $29.65
03/13/2020, $32.71, 57450720, $31.27, $32.88, $30.23
03/12/2020, $30.02, 59517500, $30.48, $32, $30
03/11/2020, $32.17, 62040670, $33.76, $33.88, $31.66
03/10/2020, $34.59, 38470900, $34.57, $34.66, $33.01
03/09/2020, $33.76, 40971380, $33.46, $34.69, $33.16
03/06/2020, $35.02, 38834140, $34.7, $35.17, $34.12
03/05/2020, $35.46, 33298160, $35.65, $36.18, $35.155
03/04/2020, $36.4, 36728840, $35.1, $36.46, $34.95
03/03/2020, $34.3, 43808820, $35.18, $35.78, $33.86
03/02/2020, $34.88, 39880880, $33.91, $34.95, $33.445
02/28/2020, $33.42, 62686930, $33.49, $33.94, $32.53
02/27/2020, $34.1, 52604250, $34.44, $35.71, $34.1
02/26/2020, $34.72, 45468730, $34.24, $35.21, $34.02
02/25/2020, $33.93, 39733260, $34.68, $34.74, $33.71
02/24/2020, $34.67, 36024000, $35.04, $35.395, $34.6
02/21/2020, $35.72, 30763980, $35.76, $35.82, $35.53
02/20/2020, $35.85, 40752450, $35.71, $36.06, $35.41
02/19/2020, $36.23, 16841540, $36.4, $36.5, $36.21
02/18/2020, $36.32, 17076730, $36.55, $36.67, $36.2676
02/14/2020, $36.51, 19930520, $36.97, $37.04, $36.42
02/13/2020, $36.93, 20967450, $37.58, $37.58, $36.885
02/12/2020, $37.74, 21768830, $38.09, $38.19, $37.72
02/11/2020, $38.09, 15206160, $37.89, $38.13, $37.755
02/10/2020, $37.81, 18973820, $38.21, $38.22, $37.72
02/07/2020, $38.05, 20781400, $38.36, $38.4, $37.93
02/06/2020, $38.26, 19969440, $38.44, $38.5, $38.03
02/05/2020, $38.17, 27935390, $37.85, $38.57, $37.82
02/04/2020, $37.69, 29554950, $38.08, $38.24, $37.63
02/03/2020, $37.51, 19806430, $37.46, $38.0351, $37.3
01/31/2020, $37.24, 32157500, $36.94, $37.45, $36.9
01/30/2020, $37.07, 30660870, $37.1, $37.17, $36.69
01/29/2020, $37.58, 32428430, $38.12, $38.38, $37.55
01/28/2020, $38.14, 66605680, $39.32, $39.49, $37.95
01/27/2020, $40.16, 30326360, $39.41, $40.43, $39.25
01/24/2020, $39.82, 32394390, $40.94, $40.97, $39.635
01/23/2020, $40.71, 25757790, $40.19, $40.83, $40.13
01/22/2020, $40.19, 17171030, $40.32, $40.41, $39.97
01/21/2020, $40.34, 21931430, $40.38, $40.66, $40.19
01/17/2020, $40.51, 21901270, $40.57, $40.805, $40.42
01/16/2020, $40.61, 15385560, $40.79, $40.795, $40.3236
01/15/2020, $40.67, 22700040, $40.19, $40.87, $40.17
01/14/2020, $40.07, 19848820, $39.43, $40.08, $39.3
01/13/2020, $39.41, 14603990, $39.62, $39.772, $39.21
