Date, Close/Last, Volume, Open, High, Low
03/30/2020, $115, 14571560, $113.9, $115.79, $110.2001
03/27/2020, $110.17, 16073060, $106.49, $114.29, $106.49
03/26/2020, $107.38, 15799420, $103.88, $108.31, $102.53
03/25/2020, $100.92, 13789140, $100.51, $104.7, $98.6
03/24/2020, $103.27, 14625480, $101.23, $104, $96.07
03/23/2020, $97.7, 17776750, $100.19, $103.75, $94.34
03/20/2020, $102.43, 19922940, $109.19, $109.7, $101.59
03/19/2020, $110.83, 16428080, $116.61, $118, $109.7901
03/18/2020, $117.45, 23139240, $113.02, $121.5, $112.09
03/17/2020, $118.24, 19451360, $111.45, $119.7, $110.7701
03/16/2020, $108.5, 17367430, $101.75, $115.95, $101
03/13/2020, $114.07, 17378700, $106.5, $114.63, $105.4123
03/12/2020, $101.84, 20988040, $103, $111.58, $101
03/11/2020, $111.59, 16460660, $117.6, $118.44, $110.68
03/10/2020, $120.55, 11419120, $118.96, $120.82, $114.44
03/09/2020, $116.06, 13116450, $115.27, $120.03, $115.12
03/06/2020, $121.66, 9817418, $118.03, $122.61, $117.55
03/05/2020, $121.63, 9363678, $121.3, $122.9, $120.28
03/04/2020, $124.5, 9459359, $119.88, $124.69, $119.6
03/03/2020, $118.17, 12510900, $119.73, $121.84, $117.135
03/02/2020, $119.56, 12399800, $113.19, $119.79, $112.55
02/28/2020, $113.23, 22788580, $109.46, $113.23, $106.67
02/27/2020, $113.5, 13298850, $119.12, $119.92, $113.43
02/26/2020, $120.16, 6894673, $121.42, $122.39, $119.85
02/25/2020, $121.43, 8903163, $123.02, $123.96, $120.88
02/24/2020, $123.3, 7534127, $125.26, $126.585, $123.14
02/21/2020, $126.7, 8724117, $126.13, $128.07, $125.98
02/20/2020, $126.58, 6094704, $125.47, $126.76, $125.13
02/19/2020, $125.44, 4734009, $124.85, $126.47, $124.65
02/18/2020, $124.87, 6768309, $125.83, $126.18, $124.83
02/14/2020, $126.14, 5889148, $125.29, $126.15, $124.79
02/13/2020, $124.96, 7159394, $123.73, $125.28, $123.52
02/12/2020, $123.45, 6031810, $123.68, $123.97, $122.85
02/11/2020, $124.16, 6105679, $126.27, $126.27, $124.03
02/10/2020, $126.17, 5216077, $126.46, $126.83, $125.76
02/07/2020, $126.08, 5915309, $127.19, $127.27, $126.05
02/06/2020, $127.14, 9102687, $126.9, $128.09, $126.6
02/05/2020, $126.81, 6125436, $125.91, $127.06, $125.4
02/04/2020, $125.66, 6512208, $125.71, $127.35, $125.36
02/03/2020, $125.11, 6052373, $124.66, $125.95, $124.49
01/31/2020, $124.62, 6612874, $125.99, $126.95, $124.46
01/30/2020, $125.95, 5894789, $124.79, $126.06, $124.42
