Date, Close/Last, Volume, Open, High, Low
04/13/2020, $77.1, 2625311, $80, $80, $76.87
04/09/2020, $80.39, 4811819, $78.91, $80.76, $78.12
04/08/2020, $77.81, 4076358, $76.1, $78.55, $74.64
04/07/2020, $75.6, 4580982, $77.88, $78.6, $75.41
04/06/2020, $75.99, 4435294, $77.75, $78.43, $74.08
04/03/2020, $75.94, 2745934, $76.23, $76.75, $74.922
04/02/2020, $76.56, 3836411, $71.87, $77.54, $71.74
04/01/2020, $72.36, 4397332, $71.36, $73.1, $70.725
03/31/2020, $73.84, 3865774, $75.39, $75.8, $73.36
03/30/2020, $76.18, 4367625, $74.17, $76.83, $73.12
03/27/2020, $73.54, 4481936, $72.77, $74.74, $71.6
03/26/2020, $75.82, 4861681, $70.86, $76.6, $70.11
03/25/2020, $69.95, 4536418, $68.99, $72.78, $68.11
03/24/2020, $69.04, 5913125, $70.17, $71.89, $67.12
03/23/2020, $66.55, 5880342, $67, $68.73, $62.18
03/20/2020, $68.28, 6943398, $67.2, $71.87, $65.19
03/19/2020, $67.04, 6030089, $71.35, $71.75, $66.22
03/18/2020, $72.15, 4979201, $73.28, $74.688, $68.795
03/17/2020, $77.29, 6868752, $75.11, $78.64, $72.925
03/16/2020, $73, 5809895, $67.52, $75.045, $66.59
03/13/2020, $78.07, 5919198, $73.43, $78.14, $71.01
03/12/2020, $69.62, 7255090, $69.77, $73.35, $68.13
03/11/2020, $75.11, 5388130, $75.54, $75.655, $73.24
03/10/2020, $77.96, 4653636, $77.26, $78, $74.6
03/09/2020, $75.29, 6472611, $75.42, $77.48, $73.4
03/06/2020, $80.52, 4836079, $77.93, $80.98, $77.62
03/05/2020, $80.54, 4157784, $78.78, $80.97, $78.52
03/04/2020, $81.05, 3717090, $78.03, $81.2, $77.8
03/03/2020, $77.24, 3930595, $78.69, $79.97, $76.21
03/02/2020, $78.88, 4671555, $73.6, $78.91, $73.59
02/28/2020, $73.16, 7029908, $74.88, $75.93, $71.65
02/27/2020, $76.28, 3188236, $79.14, $79.91, $76.23
02/26/2020, $79.65, 3293675, $80.41, $81.525, $79.46
02/25/2020, $80, 4476323, $80.93, $81.03, $79.58
02/24/2020, $80.97, 3660376, $80.15, $81.25, $79.71
02/21/2020, $81.46, 2730523, $80.62, $81.72, $80.26
02/20/2020, $80.84, 2835614, $80.72, $81.61, $80.52
02/19/2020, $81.42, 4417545, $81.73, $83.3, $80.99
02/18/2020, $83.4, 2719993, $83.78, $84.2, $83.009
02/14/2020, $83.77, 1709113, $83.86, $84.09, $83.33
02/13/2020, $83.86, 1689711, $83.2, $83.9477, $82.855
02/12/2020, $83.24, 2887747, $83.8, $83.83, $82.12
02/11/2020, $83.66, 2709365, $83.6, $84.06, $83.33
02/10/2020, $83.59, 1512479, $83.28, $83.75, $83.2
02/07/2020, $83.26, 2211883, $83, $83.66, $82.67
02/06/2020, $83.06, 2804962, $83.03, $83.765, $82.73
02/05/2020, $83, 2184470, $81.6, $83, $81.37
02/04/2020, $80.92, 2166868, $81.31, $81.63, $80.6
02/03/2020, $80.57, 2745540, $81.13, $82.07, $80.35
01/31/2020, $80.69, 6531323, $81.53, $82.29, $80.495
01/30/2020, $81.77, 4016651, $79.74, $81.87, $78.95
01/29/2020, $80.81, 5230497, $80.2, $81.24, $78.28
01/28/2020, $76.45, 4004074, $76.07, $76.73, $75.89
