Date, Close/Last, Volume, Open, High, Low
04/13/2020, $86.41, 4250457, $90.94, $91.7, $86.26
04/09/2020, $91.73, 8283861, $87.9, $92.54, $87.01
04/08/2020, $86.18, 5110443, $82.5, $86.79, $80.725
04/07/2020, $80.95, 5388720, $86.32, $86.455, $80.77
04/06/2020, $80.23, 5914533, $78.03, $80.94, $77.04
04/03/2020, $73.59, 3882626, $74.08, $75.26, $71.69
04/02/2020, $75.51, 5395963, $71.36, $76.3, $71.06
04/01/2020, $73.26, 7994083, $76.45, $76.48, $69
03/31/2020, $80.37, 11324350, $81.19, $82.37, $75.22
03/30/2020, $82.88, 6295938, $80.79, $83.74, $77.0601
03/27/2020, $79.17, 4490794, $74.64, $82, $74.24
03/26/2020, $77.69, 4966003, $72.39, $78.34, $71.36
03/25/2020, $72.19, 6918239, $68.78, $75.325, $68.23
03/24/2020, $70.55, 7893742, $66.24, $71.21, $66.24
03/23/2020, $63.37, 5631185, $63, $65.03, $59.82
03/20/2020, $62.82, 6826489, $64.89, $67.3963, $62.42
03/19/2020, $63.91, 5489836, $66.95, $67.95, $63.245
03/18/2020, $67.8, 7301989, $65.47, $70.47, $64.11
03/17/2020, $70.69, 7883780, $66.47, $73.04, $64.56
03/16/2020, $64.38, 6663763, $69.22, $72.72, $64.09
03/13/2020, $77.82, 6021855, $74.16, $78.36, $71.4
03/12/2020, $70.18, 7912661, $68.16, $73.39, $62.01
03/11/2020, $73.69, 7836728, $78.07, $78.275, $73.17
03/10/2020, $80.86, 6623406, $80.36, $81.02, $76.2
03/09/2020, $77.77, 7291614, $80.83, $80.83, $77.47
03/06/2020, $85.88, 5562074, $86.35, $86.4, $82.28
03/05/2020, $89.71, 3135206, $92.1, $92.86, $88.6
03/04/2020, $94.37, 4210329, $90.23, $94.47, $90.19
03/03/2020, $89.39, 5843603, $88.63, $91.59, $87.6834
03/02/2020, $88.27, 5715277, $84.7, $88.27, $83.5
02/28/2020, $84.28, 7287087, $84.42, $85.2, $80.94
02/27/2020, $86.71, 6227363, $90.6, $90.81, $86.67
02/26/2020, $91.26, 4662529, $92, $93.315, $90.98
02/25/2020, $91.7, 5306205, $96.24, $96.61, $91.62
02/24/2020, $95.98, 3688180, $97.79, $98.64, $95.82
