Date, Close/Last, Volume, Open, High, Low
03/30/2020, $72.55, 6361417, $70.32, $73, $70.02
03/27/2020, $69.15, 7972351, $68.79, $71.58, $67.39
03/26/2020, $71.16, 7831841, $66.13, $72.04, $65.9821
03/25/2020, $66.07, 9075334, $61.61, $68.58, $61.01
03/24/2020, $63.6, 9328695, $60.95, $66.11, $60.78
03/23/2020, $59.98, 14031210, $58.96, $60.58, $56.01
03/20/2020, $61.09, 12175020, $64.9, $65.26, $60.29
03/19/2020, $66.43, 9453624, $64.26, $67.22, $61.01
03/18/2020, $64.91, 14720480, $70.27, $73.48, $59.83
03/17/2020, $73.99, 11051450, $71.67, $75.13, $70.595
03/16/2020, $69.6, 10163450, $70.76, $74.66, $68.41
03/13/2020, $79.5, 11013490, $75.12, $79.79, $72.35
03/12/2020, $72.25, 11487160, $73.54, $76.83, $70.27
03/11/2020, $79.84, 7085011, $82.04, $82.7, $79.09
03/10/2020, $84.73, 7496110, $83.28, $84.97, $80.88
03/09/2020, $81.63, 10717910, $82.17, $84.82, $79.32
03/06/2020, $87.27, 6596919, $84.57, $87.56, $83.74
03/05/2020, $87.86, 6587516, $86.68, $89.18, $86.5
03/04/2020, $88.74, 5675281, $84.34, $88.78, $84.15
03/03/2020, $83.5, 6034743, $84.88, $86.9475, $82.65
03/02/2020, $84.97, 6916634, $81.61, $85.04, $80.81
02/28/2020, $81.87, 13656090, $81, $81.97, $77.73
02/27/2020, $83.07, 8930761, $84.86, $87.45, $83.07
02/26/2020, $86.25, 7929931, $85, $86.6189, $84.81
02/25/2020, $85, 6125471, $85.93, $87.15, $84.13
02/24/2020, $85.57, 6497447, $88.22, $88.55, $85.38
02/21/2020, $89.64, 6314321, $86.86, $89.7, $86.68
02/20/2020, $87.44, 3076396, $87.5, $87.77, $86.14
02/19/2020, $87.88, 4372095, $87.81, $87.97, $86.88
02/18/2020, $87.44, 3606157, $88.29, $88.39, $87.05
02/14/2020, $88.5, 3348554, $88.88, $89.23, $88.01
02/13/2020, $88.82, 4322761, $88.84, $89.725, $87.54
02/12/2020, $87.9, 4086085, $89, $89.3, $87.37
02/11/2020, $89.44, 4975128, $88.75, $90.17, $88.36
02/10/2020, $88.75, 6392718, $87.34, $88.77, $86.905
02/07/2020, $87.45, 4654604, $86.3, $87.74, $86.22
02/06/2020, $86.18, 7306215, $84.8, $88.8, $84.58
02/05/2020, $83.94, 4860796, $83.6, $84.78, $83.6
02/04/2020, $83.6, 4616202, $83.02, $84.11, $82.82
02/03/2020, $83, 3356491, $82.64, $84.19, $82.64
01/31/2020, $82.7, 4861574, $84.19, $84.2999, $82.27
01/30/2020, $84.33, 5625112, $83.21, $84.53, $82.53
01/29/2020, $83.96, 4418701, $84.87, $85.19, $83.94
01/28/2020, $84.68, 5263738, $84.55, $84.94, $84.07
01/27/2020, $84.71, 3795386, $85.45, $85.9032, $84.57
01/24/2020, $86.15, 3888703, $86.83, $87.325, $85.635
01/23/2020, $87.08, 4592411, $88.56, $88.82, $87.02
01/22/2020, $88.98, 4595687, $88.57, $89.13, $88.49
01/21/2020, $88.87, 6373494, $88.44, $88.99, $87.9
01/17/2020, $88.69, 5908432, $88.58, $88.88, $87.7398
01/16/2020, $88.56, 2602330, $88.62, $88.87, $88.19
01/15/2020, $88.32, 4155435, $87.31, $88.89, $87.3
