Date, Close/Last, Volume, Open, High, Low
04/13/2020, $100.96, 2802304, $105.14, $105.265, $100.42
04/09/2020, $105.42, 4331530, $101.57, $106.77, $101
04/08/2020, $99.5, 2900385, $95.87, $100.35, $94.62
04/07/2020, $94.92, 2962491, $101.35, $103.33, $94.43
04/06/2020, $95.31, 3169721, $90.17, $96.15, $89.56
04/03/2020, $85.19, 3118565, $89.39, $91.12, $84.02
04/02/2020, $90.73, 3063549, $87.33, $91.97, $85.86
04/01/2020, $87.35, 4024819, $90, $90.76, $86.52
03/31/2020, $95.72, 3563801, $98.73, $100.54, $94.24
03/30/2020, $100.97, 2707409, $99.27, $101.68, $97.82
03/27/2020, $100.13, 2535559, $97.48, $103.29, $96.98
03/26/2020, $102.92, 3736695, $92.58, $103.73, $92.05
03/25/2020, $92.05, 3793113, $91.52, $97.17, $86.9
03/24/2020, $90.18, 5137316, $86.55, $90.99, $84.66
03/23/2020, $80.64, 3848297, $86.35, $88.44, $79.41
03/20/2020, $89.49, 3939893, $94.08, $95.37, $86.6
03/19/2020, $92.42, 3370805, $85.43, $96.5, $84.57
03/18/2020, $87.53, 5107585, $88.78, $91.19, $81.03
03/17/2020, $96, 4487231, $91.3, $96.19, $87.5369
03/16/2020, $89.97, 5318354, $91.18, $103.29, $89.26
03/13/2020, $106.98, 6420111, $103.31, $107.18, $99.46
03/12/2020, $94.72, 5347720, $93.48, $104, $90.89
03/11/2020, $101.94, 5605566, $104.29, $106.08, $100.125
03/10/2020, $108.04, 4757122, $104.05, $108.98, $100.3001
03/09/2020, $98.75, 4702274, $102.6, $107.21, $97.5501
03/06/2020, $114.23, 3703980, $115.38, $118.49, $112.12
03/05/2020, $120.69, 3561536, $124.66, $124.81, $118.45
03/04/2020, $129.4, 2598630, $127.16, $129.61, $124.61
03/03/2020, $125.49, 3545500, $132, $133.64, $124.05
03/02/2020, $132.64, 2965206, $126.82, $132.76, $124.65
02/28/2020, $126.4, 4900446, $126.31, $127.95, $122.55
02/27/2020, $130.62, 3669168, $136.01, $136.81, $130.53
02/26/2020, $138.71, 2734837, $142.55, $143.084, $138.68
02/25/2020, $141.34, 2827986, $148.9, $149.34, $141.01
02/24/2020, $148.81, 2234698, $149.31, $150.22, $148.08
02/21/2020, $153.8, 1547548, $153.6, $154.07, $151.78
02/20/2020, $154.48, 1426397, $152.75, $154.94, $152.27
02/19/2020, $153.35, 1317613, $152.15, $153.9, $151.885
02/18/2020, $151.39, 2121901, $153.49, $154.13, $150
02/14/2020, $154.13, 1832369, $155.16, $155.44, $153.175
02/13/2020, $155.32, 1388011, $154.76, $155.55, $154.13
02/12/2020, $155.21, 956180, $156, $156.92, $154.84
02/11/2020, $154.79, 1224393, $154.34, $155.69, $154.19
02/10/2020, $153.86, 1206488, $152.49, $153.86, $152.31
02/07/2020, $153.35, 1547163, $151.82, $153.64, $151.38
02/06/2020, $152.85, 1484322, $154.82, $154.95, $152.68
02/05/2020, $153.79, 1451879, $152.52, $153.85, $152.3
02/04/2020, $150.66, 1502467, $151.95, $152.23, $150.43
02/03/2020, $149.54, 1969404, $150.04, $151.145, $149.26
01/31/2020, $148.55, 2808410, $149.27, $150.69, $148.24
01/30/2020, $150.96, 2277498, $147.13, $151.1, $147.13
01/29/2020, $148.59, 1091882, $149.91, $150.765, $148.33
01/28/2020, $149.69, 1636228, $149.32, $150.97, $148.88
01/27/2020, $148.53, 2343406, $147.94, $150, $147.3238
01/24/2020, $150.38, 3152878, $152.48, $152.48, $149.52
01/23/2020, $152.71, 2118177, $151.39, $153.25, $149.93
01/22/2020, $152.26, 2637334, $151.96, $153.02, $151.65
01/21/2020, $151.65, 2036594, $152.14, $153.33, $151.46
01/17/2020, $153.36, 2515591, $153.05, $154.05, $152.85
01/16/2020, $152.62, 3831616, $153.58, $153.7, $149.95
01/15/2020, $154.08, 4078473, $158.31, $158.31, $153.33
01/14/2020, $159.88, 3335543, $159.17, $160.95, $158.81
01/13/2020, $159.44, 2391330, $158.88, $159.54, $157.82
01/10/2020, $158.57, 2182480, $160.98, $160.98, $158.47
01/09/2020, $160.81, 1651980, $160.38, $161.25, $159.84
01/08/2020, $158.89, 1958425, $158, $159.905, $157.3
01/07/2020, $157.26, 1936596, $157.43, $158.4, $156.61
01/06/2020, $158.51, 1335484, $158.1, $158.6818, $157.45
01/03/2020, $158.83, 1374430, $158.41, $159.59, $157.4318
01/02/2020, $160.37, 1881277, $159.75, $160.37, $158.9
12/31/2019, $159.63, 1499788, $159.85, $160.37, $158.99
12/30/2019, $160.02, 1401139, $161.59, $161.79, $159.88
12/27/2019, $160.81, 1051812, $161.55, $161.72, $160.56
12/26/2019, $161.15, 798026, $160.48, $161.27, $160.285
12/24/2019, $160.42, 1230041, $159.84, $160.56, $159.58
12/23/2019, $159.53, 1253567, $160.08, $160.64, $158.92
12/20/2019, $159.82, 3340262, $161.2, $161.37, $159.37
12/19/2019, $159.53, 1577590, $160.27, $160.95, $158.72
12/18/2019, $160.05, 1621155, $160.81, $160.91, $159.38
12/17/2019, $160.36, 1527770, $158.97, $160.91, $158.48
12/16/2019, $159, 1644433, $160.3, $160.87, $158.89
12/13/2019, $158.64, 2472608, $158.16, $160.08, $157.39
12/12/2019, $159, 3113569, $155.66, $159.64, $155.12
12/11/2019, $155, 1795143, $155.83, $156.12, $154.9
