Date, Close/Last, Volume, Open, High, Low
03/30/2020, $85.92, 1579139, $85.85, $87.2, $83.67
03/27/2020, $85, 1669572, $86.19, $87.2824, $84.45
03/26/2020, $89.76, 1984081, $86.24, $90.39, $85
03/25/2020, $85.71, 3782669, $77.77, $89.58, $77.77
03/24/2020, $82.05, 2550549, $75.82, $82.24, $75.62
03/23/2020, $72.5, 3042962, $78.38, $80.63, $71.53
03/20/2020, $79.72, 4507291, $77.11, $80.46, $71.751
03/19/2020, $76.56, 2642139, $72.21, $78.825, $69.77
03/18/2020, $72.92, 3112007, $78.55, $80, $70.305
03/17/2020, $82.62, 3407374, $84.33, $84.33, $79.61
03/16/2020, $82.42, 2741905, $82.93, $88.555, $81.2001
03/13/2020, $94.19, 2716100, $94.31, $95.33, $90.11
03/12/2020, $89.9, 2981390, $87.51, $92.31, $86.44
03/11/2020, $96.97, 2183923, $99.18, $99.18, $95.22
03/10/2020, $101.98, 3491710, $100.27, $102, $97.53
03/09/2020, $97.41, 4053481, $95.79, $103.03, $95.47
03/06/2020, $101.45, 2480416, $99.66, $102.82, $99.57
03/05/2020, $102.65, 2865505, $105.22, $105.32, $101.026
03/04/2020, $107.96, 2941422, $105.88, $107.96, $104.95
03/03/2020, $104.39, 2642110, $105.07, $106.95, $102.75
03/02/2020, $105.31, 3748812, $104.92, $106.31, $104.07
02/28/2020, $104.45, 4461178, $100.58, $104.49, $100.23
02/27/2020, $103.59, 2287214, $107.62, $109.13, $103.56
02/26/2020, $109.09, 2066955, $110.49, $111.63, $108.98
02/25/2020, $109.63, 2506616, $115.69, $115.7377, $109.52
02/24/2020, $115.27, 1870466, $116.71, $117.06, $114.49
02/21/2020, $118.91, 1100772, $118.98, $119.29, $118.37
02/20/2020, $119.36, 1733604, $118.62, $119.83, $118.31
02/19/2020, $119.52, 1153731, $119.58, $120, $119.14
02/18/2020, $119.33, 1081244, $119.74, $120.44, $118.91
02/14/2020, $120.15, 1576909, $120.41, $120.944, $119.51
02/13/2020, $120.46, 1262977, $121.9, $121.9, $120.32
02/12/2020, $122.36, 897581, $122.65, $122.72, $121.505
02/11/2020, $121.95, 1437713, $121.46, $122.94, $121.2
02/10/2020, $120.89, 1944042, $122.05, $122.05, $120.3601
02/07/2020, $122.61, 1314830, $123.7, $123.86, $122.27
02/06/2020, $124.36, 1384112, $125.3, $125.44, $123.61
02/05/2020, $124.86, 2648295, $123.59, $125.1, $122.6
02/04/2020, $122.53, 2238609, $122.84, $123.98, $121.52
02/03/2020, $121.34, 2339785, $120.49, $122.05, $119.93
01/31/2020, $119.84, 2323128, $122.26, $122.655, $119.35
01/30/2020, $123.11, 1246250, $122.18, $123.25, $120.93
01/29/2020, $123.42, 1142600, $124.58, $125.03, $123.38
