Date, Close/Last, Volume, Open, High, Low
04/13/2020, $25.9, 3829564, $26.5, $26.6, $25.51
04/09/2020, $26.7, 7492257, $26.26, $27.76, $26.1
04/08/2020, $25.81, 6783938, $24.6, $26.04, $24.6
04/07/2020, $24.59, 8724056, $25.79, $26, $24.55
04/06/2020, $23.92, 6120983, $22.85, $24.13, $22.76
04/03/2020, $21.77, 7589480, $22.72, $22.98, $21.4
04/02/2020, $22.97, 6068194, $22.4, $23.55, $22.35
04/01/2020, $22.9, 6263202, $23.73, $23.94, $22.38
03/31/2020, $24.68, 5682875, $25.6, $25.84, $24.555
03/30/2020, $25.83, 6449883, $25.65, $25.96, $24.7725
03/27/2020, $25.42, 6977902, $23.83, $25.995, $23.8
03/26/2020, $24.67, 8471650, $22.66, $24.99, $22.35
03/25/2020, $22.23, 8497866, $21.3, $23.41, $21.2
03/24/2020, $21.24, 9848833, $19.74, $21.34, $19.4457
03/23/2020, $18.59, 12818560, $19.53, $19.9, $18.12
03/20/2020, $19.67, 15117740, $22.13, $22.98, $19.56
03/19/2020, $21.59, 7016657, $22.53, $22.98, $20.5464
03/18/2020, $22.81, 9380923, $24.06, $24.28, $21.12
03/17/2020, $25.55, 10047800, $24.25, $25.76, $23
03/16/2020, $23.66, 10176850, $25, $25.69, $23.47
03/13/2020, $27.42, 10610140, $27.8, $28.12, $25.18
03/12/2020, $26.63, 8893133, $27.64, $28.6, $26.3
03/11/2020, $29.25, 8795741, $29.57, $29.57, $28.8
03/10/2020, $29.83, 8955272, $29.7, $30.17, $28.51
03/09/2020, $29.11, 8590457, $29.7, $30.38, $28.62
03/06/2020, $31.51, 8122058, $30.83, $31.71, $30.41
03/05/2020, $31.68, 6269295, $31.95, $31.95, $31.28
03/04/2020, $32.18, 5742732, $31.34, $32.2, $31.3152
03/03/2020, $31.04, 8267218, $31.88, $32.59, $30.915
03/02/2020, $31.81, 9559335, $30.31, $31.83, $30.22
02/28/2020, $30.01, 21535670, $30.43, $30.76, $29.585
02/27/2020, $30.99, 10721460, $33.02, $33.15, $30.99
02/26/2020, $33.24, 7950930, $34.55, $34.59, $33.22
02/25/2020, $34.57, 4924348, $35.16, $35.27, $34.55
02/24/2020, $35.12, 5466833, $35.45, $35.61, $35.09
02/21/2020, $35.62, 4901091, $35.45, $35.845, $35.23
02/20/2020, $35.41, 4594709, $35.1, $35.49, $34.975
02/19/2020, $35.1, 4390665, $35.91, $35.91, $35.1
02/18/2020, $35.91, 7968931, $35.42, $35.91, $35.22
02/14/2020, $35.37, 8120964, $36.37, $36.41, $34.97
02/13/2020, $36.28, 3251415, $36.23, $36.42, $36.1049
02/12/2020, $36.28, 2643889, $36.17, $36.44, $36.12
02/11/2020, $36.17, 3845132, $36.23, $36.41, $36.09
02/10/2020, $36.12, 2824856, $36.08, $36.16, $35.9527
02/07/2020, $36.02, 3241262, $36.06, $36.17, $35.83
02/06/2020, $36.08, 2665636, $36.46, $36.6, $36.08
02/05/2020, $36.42, 3704585, $36.08, $36.475, $36.06
02/04/2020, $36.06, 3999298, $36.3, $36.62, $36.04
02/03/2020, $36.25, 5398174, $36.26, $36.41, $35.995
01/31/2020, $36.19, 6017946, $36.4, $36.55, $36.02
01/30/2020, $36.47, 5710511, $36.68, $36.71, $36.11
01/29/2020, $36.74, 3994133, $36.72, $36.83, $36.46
01/28/2020, $36.64, 4266296, $36.33, $36.8, $36.33
01/27/2020, $36.19, 4128141, $36.42, $36.6, $36.04
01/24/2020, $36.53, 3157189, $36.7, $36.82, $36.27
01/23/2020, $36.71, 4516629, $36.17, $36.77, $36.06
01/22/2020, $36.17, 3838357, $36.01, $36.215, $35.87
01/21/2020, $36.03, 6298563, $36.03, $36.08, $35.615
01/17/2020, $36.09, 3887193, $35.96, $36.1, $35.725
01/16/2020, $35.96, 4074446, $35.9, $36.04, $35.72
01/15/2020, $35.85, 4044764, $35.67, $36.01, $35.59
01/14/2020, $35.58, 3894768, $35.23, $35.59, $35.125
01/13/2020, $35.43, 3974544, $35.45, $35.69, $35.34
01/10/2020, $35.44, 3422494, $35.49, $35.85, $35.425
01/09/2020, $35.51, 3266935, $35.34, $35.61, $35.34
01/08/2020, $35.38, 5247149, $35.42, $35.6, $35.285
01/07/2020, $35.18, 4289322, $35.46, $35.54, $35.11
01/06/2020, $35.42, 6201967, $35.3, $35.54, $35.23
01/03/2020, $35.38, 4105082, $35.16, $35.4956, $35.11
01/02/2020, $35.42, 5976488, $36, $36.04, $35.24
12/31/2019, $35.88, 4720783, $35.74, $35.9, $35.63
12/30/2019, $35.67, 2308308, $35.52, $35.7, $35.43
12/27/2019, $35.52, 1820898, $35.5, $35.56, $35.38
12/26/2019, $35.53, 2907185, $35.56, $35.62, $35.28
12/24/2019, $35.62, 1137546, $35.71, $35.74, $35.445
12/23/2019, $35.66, 3747163, $35.91, $35.96, $35.42
12/20/2019, $35.83, 8753763, $35.89, $36.24, $35.69
12/19/2019, $35.72, 6115840, $35.88, $35.93, $35.34
12/18/2019, $35.97, 5894879, $36.01, $36.03, $35.66
12/17/2019, $35.97, 6270900, $35.99, $36.28, $35.838
12/16/2019, $36.25, 8429906, $35.64, $36.25, $35.5
12/13/2019, $35.64, 13346410, $34.9, $35.84, $34.75
12/12/2019, $33.6, 6170903, $33.69, $34.1, $33.41
12/11/2019, $33.76, 6615558, $33.9, $34.04, $33.65
12/10/2019, $33.8, 4720644, $33.71, $33.82, $33.58
12/09/2019, $33.71, 3360041, $34.07, $34.25, $33.68
12/06/2019, $34.37, 3408500, $34.28, $34.58, $34.25
12/05/2019, $34.32, 4462246, $34.55, $34.57, $34.2
12/04/2019, $34.56, 4548097, $34.05, $34.66, $34.05
12/03/2019, $34.19, 3700424, $34.18, $34.3, $34.03
12/02/2019, $34.19, 3809103, $34.05, $34.32, $33.98
11/29/2019, $34.03, 2739963, $34.3, $34.4, $34
11/27/2019, $34.3, 3337731, $34.1, $34.325, $33.95
11/26/2019, $34.1, 4554902, $33.9, $34.11, $33.8
11/25/2019, $33.86, 4922688, $33.81, $34.1, $33.79
11/22/2019, $33.82, 2500911, $33.79, $33.84, $33.55
11/21/2019, $33.67, 3395684, $33.77, $33.81, $33.48
11/20/2019, $33.78, 3554105, $33.6, $33.855, $33.5
11/19/2019, $33.57, 5148079, $33.69, $33.71, $33.42
11/18/2019, $33.65, 6882366, $33.85, $34.15, $33.56
11/15/2019, $33.91, 5102864, $33.7, $33.91, $33.61
11/14/2019, $33.62, 3897591, $33.84, $33.96, $33.59
11/13/2019, $33.81, 4275232, $33.77, $33.87, $33.59
11/12/2019, $33.73, 3765420, $33.63, $33.78, $33.52
11/11/2019, $33.63, 4862471, $33.75, $33.79, $33.46
11/08/2019, $33.72, 7032557, $33.2, $33.73, $33.085
