Date, Close/Last, Volume, Open, High, Low
03/30/2020, $53.75, 3226989, $52.15, $54.12, $51.035
03/27/2020, $53.04, 4724639, $51.57, $55.345, $50.7762
03/26/2020, $54.65, 5747916, $52.47, $57.78, $52.36
03/25/2020, $51.61, 5927509, $50.5, $56.41, $47.25
03/24/2020, $47.47, 4764071, $42.87, $47.98, $42.17
03/23/2020, $39.22, 6673425, $41.01, $42, $38.62
03/20/2020, $42.26, 6519191, $45.22, $46.31, $42.01
03/19/2020, $44.37, 5083796, $44.77, $47.89, $43.01
03/18/2020, $46.18, 7466490, $42.57, $47.9, $41.94
03/17/2020, $46.77, 8187837, $44.56, $46.97, $40
03/16/2020, $43.35, 6806986, $44, $48.07, $43.17
03/13/2020, $52.92, 8143862, $51.81, $52.99, $46.64
03/12/2020, $46.31, 7775761, $52.82, $53.05, $46.3
03/11/2020, $57.97, 5757006, $60.05, $60.61, $57.2
03/10/2020, $62.87, 7946344, $62.07, $63.22, $59.39
03/09/2020, $58.24, 7662053, $63.75, $65.83, $57.375
03/06/2020, $69.81, 5168639, $68.47, $71.79, $67.95
03/05/2020, $72.26, 3709377, $74.06, $74.18, $71.27
03/04/2020, $77.17, 3976065, $76.44, $77.21, $73.71
03/03/2020, $75.06, 3844487, $79.47, $80.13, $74.38
03/02/2020, $79.56, 5089139, $76.02, $79.73, $75.29
02/28/2020, $75.45, 5093043, $74.89, $75.9431, $73.19
02/27/2020, $77.52, 3928182, $79.31, $80.67, $77.26
02/26/2020, $81.92, 3067878, $84.77, $85.08, $81.84
02/25/2020, $84.06, 2961217, $88.22, $88.22, $83.483
02/24/2020, $87.83, 3387223, $89.11, $89.56, $87.05
02/21/2020, $92.6, 2103102, $92.93, $93.33, $91.43
02/20/2020, $93.78, 1422240, $93.04, $94.5, $92.98
02/19/2020, $93.1, 1421919, $93.5, $93.65, $93.07
02/18/2020, $93.18, 1442573, $93.87, $94.74, $92.47
02/14/2020, $94.48, 1195688, $94.59, $94.935, $93.89
02/13/2020, $95.57, 1449618, $95.52, $95.91, $95.02
02/12/2020, $95.95, 1535764, $96.6, $97.2425, $95.93
02/11/2020, $95.87, 1490552, $95.35, $96.83, $94.98
02/10/2020, $94.89, 1178735, $94.38, $94.92, $93.98
02/07/2020, $94.67, 1510300, $94.71, $95.35, $94.2331
02/06/2020, $95.33, 1762505, $96.58, $96.62, $95.32
02/05/2020, $95.64, 3808567, $95.33, $96.92, $94.53
