Date, Close/Last, Volume, Open, High, Low
04/13/2020, $61.56, 3438279, $63.1, $63.8, $60.98
04/09/2020, $61.52, 5316775, $67.11, $67.44, $59.4
04/08/2020, $63.7, 3754830, $59.62, $64.2, $59.39
04/07/2020, $58.63, 5281147, $60.17, $61.56, $58.01
04/06/2020, $57.42, 5347793, $54.09, $57.93, $53.435
04/03/2020, $51.62, 3587494, $53, $53.35, $50.34
04/02/2020, $51.72, 5169006, $51.5, $56.1, $50.06
04/01/2020, $49.51, 4143185, $51.47, $51.85, $49.04
03/31/2020, $53.65, 4743844, $55.71, $56.5, $52.05
03/30/2020, $54.16, 5207896, $50.67, $54.93, $48.69
03/27/2020, $52.32, 4191468, $52.08, $54.34, $50.05
03/26/2020, $54.39, 6014909, $51.4, $56.74, $51.06
03/25/2020, $50.5, 6516942, $46.19, $52.9, $43.66
03/24/2020, $45.58, 5476034, $45.75, $46.3181, $42.4
03/23/2020, $42.09, 6075837, $47.69, $48, $41.41
03/20/2020, $48.35, 7605062, $47.19, $50.96, $45.3571
03/19/2020, $45.68, 4936139, $43.25, $46.64, $41.81
03/18/2020, $42.97, 6970763, $44.84, $46.93, $40.04
03/17/2020, $46.67, 6274518, $49.08, $50.725, $45.96
03/16/2020, $48.27, 7192788, $46.77, $57.59, $45.32
03/13/2020, $54.36, 6997585, $50.71, $54.405, $46.65
03/12/2020, $46.4, 11492100, $51.02, $51.21, $44.81
03/11/2020, $55.15, 8448739, $61.04, $61.665, $54.12
03/10/2020, $63.36, 7035372, $65.95, $66.8695, $60.29
03/09/2020, $62.09, 7993839, $62.65, $69.1, $60.2
03/06/2020, $69.3, 6374474, $70, $71.16, $68.02
03/05/2020, $71.98, 5724919, $72.15, $73.82, $71.525
03/04/2020, $74.63, 4201827, $74.02, $74.77, $72.42
03/03/2020, $72.86, 5710315, $75.46, $77.58, $72.1
03/02/2020, $75.11, 5279387, $75.27, $75.4485, $72.22
02/28/2020, $74.86, 7138472, $71.7, $75.37, $71.39
02/27/2020, $74.26, 6900538, $78.7, $78.74, $74.24
02/26/2020, $80.33, 4159813, $83.1, $83.74, $80.28
02/25/2020, $82.81, 4212064, $86.83, $87.3, $82.27
02/24/2020, $86.56, 3732757, $86.62, $87.88, $85.93
02/21/2020, $89.25, 2406868, $89.52, $90.16, $88.685
02/20/2020, $90.19, 2905910, $88.51, $90.29, $88.41
02/19/2020, $88.36, 2441873, $88.5, $88.73, $86.72
02/18/2020, $88, 4543080, $88.71, $89.1, $87.07
02/14/2020, $89.47, 2254908, $89.52, $90.23, $88.61
02/13/2020, $90.34, 2727711, $91, $91.465, $90.17
02/12/2020, $91.14, 2361351, $91.59, $92.3, $90.45
02/11/2020, $90.27, 2682937, $90.94, $90.9796, $89.55
02/10/2020, $90.26, 2171395, $89.86, $91.04, $89.62
02/07/2020, $90.33, 2481483, $89.97, $90.49, $89.26
02/06/2020, $90.22, 2606346, $92.99, $93.07, $90.05
02/05/2020, $92.64, 3100723, $90.37, $93.29, $90.3123
02/04/2020, $88.72, 3427940, $90.57, $90.86, $88.28
02/03/2020, $88.97, 4307459, $91.29, $91.38, $88.44
01/31/2020, $91.37, 6451028, $94.9, $94.93, $90.21
01/30/2020, $96.41, 2610444, $95.23, $96.55, $94.5
01/29/2020, $95.8, 2395608, $97.18, $98.91, $95.5509
01/28/2020, $96.69, 2926859, $97.45, $97.9, $96.61
01/27/2020, $96.92, 2472985, $98.27, $98.35, $96.615
01/24/2020, $100.32, 2120500, $101.9, $101.99, $99.37
01/23/2020, $102.08, 3520509, $101.49, $102.13, $100
01/22/2020, $101.86, 2505423, $102.8, $102.99, $101.565
01/21/2020, $102.34, 2102017, $102.5, $102.99, $101.91
01/17/2020, $103.31, 2781995, $103.79, $103.95, $102.52
01/16/2020, $103.79, 2568201, $105.56, $105.67, $103.65
01/15/2020, $104.89, 2386282, $105.57, $105.71, $104.12
01/14/2020, $106.38, 2753817, $105.27, $106.66, $104.988
01/13/2020, $105.3, 2243088, $104.92, $106.02, $104.54
01/10/2020, $104.87, 1910747, $105.64, $106.75, $104.81
01/09/2020, $105.62, 3127698, $103.38, $105.67, $102.22
01/08/2020, $104.1, 3452638, $108.32, $108.44, $103.81
01/07/2020, $108.14, 2690090, $107.13, $108.22, $106.74
01/06/2020, $107.81, 3917122, $108.24, $108.44, $107.21
01/03/2020, $108.49, 2237135, $111.25, $112.42, $108.19
01/02/2020, $112.2, 1469773, $112.08, $113.18, $111.38
12/31/2019, $111.41, 1695942, $110.22, $111.41, $110.04
12/30/2019, $110.37, 1712035, $110.5, $111.25, $110.13
12/27/2019, $110.6, 1427480, $112.41, $112.41, $110.53
12/26/2019, $112.06, 1147896, $112.57, $113.2, $111.85
12/24/2019, $113.2, 1190781, $112.65, $113.24, $112.59
12/23/2019, $112.67, 1937506, $113.4, $113.67, $112.21
12/20/2019, $113.35, 4666850, $113.79, $114.15, $112.85
12/19/2019, $112.81, 1924496, $113.41, $113.62, $112.49
12/18/2019, $113.04, 3074781, $113.29, $113.935, $112.59
12/17/2019, $113.03, 2671965, $114.16, $114.95, $112.71
12/16/2019, $114.14, 2097715, $113.14, $114.63, $112.79
12/13/2019, $112.99, 1621930, $113.88, $114.66, $112.695
12/12/2019, $113.73, 1619110, $112.13, $113.97, $111.92
12/11/2019, $112.21, 1652617, $111.94, $112.65, $111.48
12/10/2019, $111.93, 2215780, $112.3, $112.57, $111.69
12/09/2019, $111.96, 1660473, $113.2, $113.28, $111.85
12/06/2019, $113.56, 2142636, $113.06, $114.3204, $112.95
12/05/2019, $112.54, 1688644, $112.78, $113.21, $112.17
12/04/2019, $112.57, 2128875, $113.54, $114, $112.43
12/03/2019, $112.75, 4624610, $113.68, $113.68, $112.42
12/02/2019, $114.33, 2418315, $114.87, $116.06, $114.06
11/29/2019, $114.72, 1105696, $114.42, $115.14, $114.17
11/27/2019, $114.69, 2290451, $114.93, $115.32, $114.04
11/26/2019, $114.33, 4118139, $115.53, $115.76, $114.05
11/25/2019, $115.42, 2758857, $117, $117, $115.17
11/22/2019, $116.63, 2261036, $118.88, $118.92, $116.2
11/21/2019, $118.37, 2401328, $116.36, $118.68, $115.9
11/20/2019, $116.06, 4337044, $117.27, $117.27, $114.44
11/19/2019, $117.42, 2781514, $117.86, $118.96, $117.03
11/18/2019, $118.65, 1365005, $118.15, $118.67, $117.53
11/15/2019, $118.36, 1636697, $119.21, $119.21, $117.82
11/14/2019, $119.44, 1507850, $118.65, $119.58, $118.38
11/13/2019, $118.43, 1555439, $117.35, $118.92, $117.12
11/12/2019, $118.1, 2178390, $118.86, $119.57, $117.56
11/11/2019, $118.41, 1634279, $118.65, $119.82, $118.35
11/08/2019, $119.7, 1577558, $118.89, $119.92, $118.1
11/07/2019, $119.57, 2386393, $119.15, $119.79, $118.395
11/06/2019, $118.42, 2130305, $119.18, $119.39, $117.76
11/05/2019, $118.92, 2268947, $119, $119.89, $117.84
11/04/2019, $118.54, 2031562, $119.47, $119.555, $117.61
11/01/2019, $118.4, 2248758, $117.63, $118.59, $117.4
10/31/2019, $116.82, 3940607, $116.65, $117.24, $114.9
10/30/2019, $116.45, 2286659, $119.22, $119.22, $116.16
10/29/2019, $118.96, 3838397, $116.49, $119.78, $116.35
10/28/2019, $117.25, 4706822, $115, $118.9249, $115
10/25/2019, $114.42, 6245871, $112.23, $117, $111.9
10/24/2019, $110.63, 3478032, $109.51, $110.97, $109.18
10/23/2019, $109, 2342765, $108.77, $109.2, $108.33
10/22/2019, $108.77, 1583112, $108.69, $109.83, $108.0673
10/21/2019, $108.2, 1669346, $108, $108.57, $107.57
10/18/2019, $107.2, 3015994, $107, $107.98, $106.7124
10/17/2019, $107.21, 1768646, $107, $107.26, $106.39
10/16/2019, $106.26, 1869186, $106.79, $107.77, $105.94
10/15/2019, $107.3, 1634310, $106.5, $108.12, $106.16
10/14/2019, $106.65, 1430466, $106, $107.19, $105.78
10/11/2019, $106.53, 2396358, $107, $108.2, $106.42
10/10/2019, $106.6, 3788992, $103.62, $106.71, $103.45
10/09/2019, $102.71, 1837299, $101.96, $103.57, $101.76
10/08/2019, $100.82, 2057961, $100.88, $101.55, $100.39
10/07/2019, $101.36, 2476961, $101.26, $102.245, $100.73
10/04/2019, $100.86, 2097649, $99.27, $100.98, $99.21
10/03/2019, $98.87, 2071307, $97.76, $98.89, $96.95
10/02/2019, $98.24, 2281153, $100.4, $100.46, $97.2
10/01/2019, $101.03, 1898518, $103.16, $103.51, $100.83
09/30/2019, $102.4, 1806025, $103.4, $103.95, $102.34
09/27/2019, $103.66, 2297000, $104.81, $105.48, $102.98
09/26/2019, $104.56, 1768405, $104.63, $105.045, $103.11
09/25/2019, $105.06, 3350078, $103.39, $105.52, $102.9
09/24/2019, $103.62, 2611169, $104.2, $104.39, $102.33
09/23/2019, $104.26, 2470693, $103.01, $104.8215, $103.01
09/20/2019, $103.27, 9414955, $103.42, $104.04, $102.87
09/19/2019, $103.08, 1340630, $103.47, $103.99, $102.59
09/18/2019, $102.99, 1819116, $101.65, $103.15, $101.15
09/17/2019, $102.2, 2498681, $103.73, $103.93, $101.96
09/16/2019, $104.03, 4654402, $102.11, $105, $102.02
09/13/2019, $102.77, 1688406, $102.93, $103.43, $102.085
09/12/2019, $102.19, 1868513, $101.44, $102.605, $100.7
09/11/2019, $102.47, 1924459, $103.29, $104.2186, $102.1
09/10/2019, $102.96, 2367199, $102.42, $103.91, $102.25
09/09/2019, $102.17, 2396158, $101.55, $102.74, $101.01
09/06/2019, $100.91, 2117513, $100.13, $101.38, $99.42
09/05/2019, $99.8, 2668725, $100.6, $101.5, $99.75
09/04/2019, $99.69, 1664622, $100.34, $100.61, $99.11
09/03/2019, $99.47, 2140081, $97.28, $99.61, $97.03
08/30/2019, $98.63, 1932545, $98.67, $99.75, $98.13
08/29/2019, $98.12, 2372544, $97.11, $98.46, $97.04
08/28/2019, $96.17, 2318121, $94.54, $96.86, $94.54
08/27/2019, $94.52, 2585973, $96.98, $97.49, $94.35
08/26/2019, $96.31, 1568102, $96.03, $96.4, $95.1
08/23/2019, $95.18, 3305150, $97.48, $98.87, $94.73
08/22/2019, $98.46, 1946057, $99.25, $99.93, $98.21
08/21/2019, $99.3, 1988298, $99.61, $100, $98.28
08/20/2019, $98.68, 1904478, $98.8, $99.69, $98.06
08/19/2019, $98.76, 2747905, $99.29, $99.72, $98.1
08/16/2019, $98.83, 2118447, $98.04, $99.1, $97.67
08/15/2019, $97.47, 2089861, $97.92, $98.45, $96.38
08/14/2019, $97.53, 2529810, $97.61, $98.7, $97.13
08/13/2019, $99.74, 2286185, $97.92, $101.15, $97.1
08/12/2019, $98.31, 2069671, $100.07, $100.14, $97.81
08/09/2019, $100.44, 2005576, $100.53, $100.96, $99.56
08/08/2019, $100.71, 2311903, $98.31, $100.74, $97.88
08/07/2019, $97.33, 2349829, $95.63, $97.725, $95.06
08/06/2019, $97.41, 2164451, $96.56, $97.54, $96.04
08/05/2019, $95.64, 3034848, $97.9, $98.345, $94.99
08/02/2019, $99.52, 2075611, $101.76, $101.9, $99.43
08/01/2019, $101.99, 2153198, $101.95, $103.6, $101.41
07/31/2019, $102.56, 2415888, $103.63, $104.46, $101.48
07/30/2019, $103.61, 1465867, $102.36, $103.65, $101.59
07/29/2019, $102.81, 2275185, $101.91, $103.22, $101.33
07/26/2019, $102.32, 2267327, $102.35, $102.64, $100.47
07/25/2019, $101.57, 3649042, $102.71, $102.84, $99.98
07/24/2019, $102.42, 2924353, $102.04, $102.82, $101.36
07/23/2019, $102.32, 1873750, $103, $103.255, $101.98
07/22/2019, $102.55, 1967810, $102.61, $103.15, $101.53
07/19/2019, $101.96, 3972941, $102.33, $102.87, $101.8
07/18/2019, $101.92, 2467999, $100.2, $101.93, $99.83
07/17/2019, $100.79, 2254372, $101.39, $102.04, $100.28
07/16/2019, $101.38, 2625551, $101, $101.77, $99.81
07/15/2019, $101.01, 3089539, $100.35, $101.15, $99.39
07/12/2019, $100.33, 1842401, $99.25, $100.645, $99.25
07/11/2019, $99.59, 2446840, $98.66, $99.65, $97.96
07/10/2019, $98.11, 1954622, $98.22, $98.96, $97.51
07/09/2019, $97.72, 2369966, $96.99, $98.34, $96.59
07/08/2019, $96.96, 3044531, $96.55, $98.5425, $96.55
07/05/2019, $96.8, 1955952, $96.68, $97.35, $95.68
07/03/2019, $97.02, 2035536, $96, $97.04, $95.86
