Date, Close/Last, Volume, Open, High, Low
04/13/2020, $517.02, 790101, $512.01, $519, $504.1227
04/09/2020, $512.96, 1011986, $510.1, $515.64, $500.87
04/08/2020, $512.33, 1167271, $502.21, $514.11, $488
04/07/2020, $501.51, 1047080, $502.81, $509.74, $492.01
04/06/2020, $504.27, 1285651, $503.38, $511.01, $488.89
04/03/2020, $493.32, 1169683, $495.56, $503.2623, $485.0435
04/02/2020, $498.75, 1059163, $494.29, $501, $483.11
04/01/2020, $496.65, 1679993, $484.14, $499.99, $476.4506
03/31/2020, $488.29, 1954085, $474, $495.48, $463.8
03/30/2020, $473, 1337347, $463.09, $476.1, $461
03/27/2020, $449.52, 1109194, $446.03, $465.79, $445.1519
03/26/2020, $452.3, 1688049, $426.51, $452.7, $424.02
03/25/2020, $429.78, 1288343, $443.04, $458.83, $427.08
03/24/2020, $449.53, 1616093, $468.22, $471.99, $424.01
03/23/2020, $455.63, 1829262, $449.84, $477, $433.2757
03/20/2020, $438.45, 2027041, $493.01, $499.5, $435.01
03/19/2020, $489.83, 2358199, $483.93, $518, $469.4515
03/18/2020, $485, 2529521, $495.78, $499, $455.56
03/17/2020, $491.69, 3856464, $494, $512.98, $473
03/16/2020, $440.83, 1926718, $452.51, $484.58, $433.82
03/13/2020, $465.55, 1380711, $445.01, $466.04, $418.01
03/12/2020, $431.89, 1627798, $444.36, $451.96, $426.1
03/11/2020, $464.7, 1352568, $479.11, $485.98, $459.61
03/10/2020, $475.02, 1390907, $488.45, $488.71, $460.8
03/09/2020, $474.44, 1344276, $466.94, $486.69, $466.15
03/06/2020, $494.43, 1130699, $477.29, $496.985, $477
03/05/2020, $488.17, 1270269, $480.94, $500, $480
03/04/2020, $493.48, 1960660, $467.96, $494.56, $467.1303
03/03/2020, $461.55, 1210673, $454.72, $467.69, $448.1097
03/02/2020, $464.75, 1713239, $445, $465.51, $445
02/28/2020, $444.57, 1594849, $422.37, $445.05, $418.22
02/27/2020, $431.61, 2093493, $468.56, $470, $430.7
02/26/2020, $457.92, 2299782, $444.02, $461.34, $442.44
02/25/2020, $442.35, 3568750, $437.25, $457.6, $437
02/24/2020, $425.38, 2960115, $395.54, $426.36, $386.835
02/21/2020, $403.15, 655395, $396.07, $404.535, $392.86
02/20/2020, $399.14, 660803, $399.9, $401.085, $393.76
02/19/2020, $400.81, 563952, $397.86, $402.2079, $395.31
02/18/2020, $397.65, 512256, $396.82, $402, $395.007
02/14/2020, $399.55, 536829, $399.1, $402.09, $393.3913
02/13/2020, $398.81, 656872, $406.44, $408, $398.1
02/12/2020, $406.3, 1076284, $398.13, $407.045, $397.64
02/11/2020, $396.75, 992994, $390.21, $398, $387.98
02/10/2020, $386.21, 939576, $378.16, $389.84, $377.44
02/07/2020, $381.87, 1172474, $391.07, $391.3725, $378.51
02/06/2020, $389.85, 1605532, $385.53, $394.68, $375.03
02/05/2020, $372.16, 1404393, $364.84, $376.68, $363
02/04/2020, $356, 957126, $347.9, $359.49, $347.62
02/03/2020, $341.12, 930355, $339.69, $347, $339.39
01/31/2020, $337.94, 988753, $333.17, $338.98, $328.125
01/30/2020, $336.18, 664052, $335.68, $337.5656, $331.5679
01/29/2020, $339.25, 558654, $346.25, $347.9711, $338.9
01/28/2020, $344.08, 729470, $341.6, $345.77, $337.3
01/27/2020, $339.42, 774968, $341.2, $343.32, $336.17
01/24/2020, $345.28, 1103242, $359.91, $359.91, $343.09
01/23/2020, $356.6, 737640, $359.42, $360.45, $354.21
01/22/2020, $359.14, 1320346, $365.72, $367.135, $356.46
01/21/2020, $363.71, 1488554, $385.9, $386.31, $363.68
01/17/2020, $385.94, 862758, $386.1, $386.6, $382.53
01/16/2020, $385.57, 620517, $393.17, $394, $381.82
01/15/2020, $390.75, 680730, $387.42, $396.47, $387.42
01/14/2020, $387.62, 638947, $378.3, $388.415, $375.57
01/13/2020, $378.93, 637186, $380.01, $380.34, $375.13
01/10/2020, $381.41, 568119, $384.62, $386.1, $380
01/09/2020, $383.47, 587505, $383.63, $386.535, $381.37
01/08/2020, $382.42, 743094, $373.18, $384.85, $370.71
01/07/2020, $373.13, 737298, $371.56, $373.83, $368.02
