Date, Close/Last, Volume, Open, High, Low
04/13/2020, $157.19, 471010, $158.31, $159, $154.14
04/09/2020, $159.82, 936638, $150.49, $160.62, $149.7
04/08/2020, $155.16, 691606, $155.01, $156.32, $149.6
04/07/2020, $153.68, 1044610, $159.28, $159.83, $152.41
04/06/2020, $158.3, 822189, $157.99, $159.29, $155.59
04/03/2020, $152.97, 1262855, $148, $155, $147.0001
04/02/2020, $150.13, 955014, $140.49, $150.63, $140.285
04/01/2020, $142.29, 973988, $140.73, $145.38, $138.16
03/31/2020, $147.29, 1282759, $153.6, $155.39, $145.63
03/30/2020, $154.21, 1034990, $143.28, $156.225, $143
03/27/2020, $141.95, 885673, $139.25, $145.9877, $136
03/26/2020, $146.52, 1023363, $135.54, $146.77, $135.03
03/25/2020, $135.71, 877966, $134.33, $140.52, $132.52
03/24/2020, $135.06, 1398293, $127.46, $135.85, $124.58
03/23/2020, $121.36, 1427882, $113, $126.03, $108.85
03/20/2020, $114.34, 1948364, $134.49, $135.38, $113.43
03/19/2020, $136.1, 1567572, $144.04, $148.99, $134.805
03/18/2020, $151.75, 1806584, $146.76, $158.81, $146.23
03/17/2020, $161.43, 1944260, $140.3, $162.3, $135.59
03/16/2020, $137.93, 1183666, $137.49, $146.212, $134.1
03/13/2020, $149.73, 1231037, $145, $149.79, $136.24
03/12/2020, $136.12, 1269512, $143.77, $147.63, $135.91
03/11/2020, $153.61, 786387, $157.53, $159.09, $150.5
03/10/2020, $161.71, 1186055, $158.18, $161.94, $152.89
03/09/2020, $154.5, 732101, $156.5, $158, $151.61
03/06/2020, $166.08, 937333, $166.99, $168.0099, $161.43
03/05/2020, $170.75, 975542, $172.16, $172.8675, $168.16
03/04/2020, $174.82, 1098348, $168.3, $175.26, $167.52
03/03/2020, $165.24, 918938, $168.68, $171.91, $162.6391
03/02/2020, $168.75, 1258805, $160.5, $168.91, $160.05
02/28/2020, $158.96, 1247915, $158.85, $160.15, $153.03
02/27/2020, $162.72, 632628, $164.03, $168.05, $162.66
02/26/2020, $165.92, 479571, $165.96, $169.72, $165.55
02/25/2020, $165.81, 434870, $170.25, $170.9, $164.79
02/24/2020, $169.83, 436933, $169.92, $171.45, $168.26
02/21/2020, $173.88, 448201, $175.37, $175.7, $173.54
02/20/2020, $176, 290663, $176.4, $176.53, $172.51
02/19/2020, $176.62, 378027, $175.53, $177.99, $175.02
02/18/2020, $174.8, 637472, $176.14, $176.86, $174.18
02/14/2020, $176.6, 318328, $175.05, $176.7, $173.95
02/13/2020, $174.88, 497807, $172.59, $175.16, $172.28
02/12/2020, $172.76, 555072, $173.51, $174.73, $172.4683
02/11/2020, $174.35, 356720, $174.18, $174.9, $173.04
02/10/2020, $173.19, 487530, $171.07, $173.29, $170.815
02/07/2020, $171.46, 465079, $170.25, $171.64, $168.76
02/06/2020, $170.51, 379360, $168.18, $170.57, $167.13
02/05/2020, $167.74, 556010, $168.31, $169.05, $166.96
02/04/2020, $166.85, 708701, $165.44, $167.65, $164.92
02/03/2020, $163.14, 734959, $159.46, $163.99, $159.23
01/31/2020, $158.97, 1157520, $164.38, $166.03, $158.16
01/30/2020, $165.44, 619459, $164.31, $165.52, $162.99
01/29/2020, $165.84, 571640, $164.14, $167.05, $164.11
01/28/2020, $163.3, 533577, $161.24, $164.42, $161.24
01/27/2020, $160.62, 444043, $160, $161.8, $159.57
01/24/2020, $162.39, 549480, $161.53, $163.0994, $160.81
01/23/2020, $161.39, 531873, $163.56, $164.13, $160.89
01/22/2020, $164.38, 386256, $162.9, $165, $161.84
01/21/2020, $161.94, 506493, $160.39, $162.31, $160.01
01/17/2020, $160.57, 475831, $160.98, $161.98, $160.24
01/16/2020, $160.73, 725298, $159.52, $160.75, $158.2
01/15/2020, $158.72, 408888, $158.43, $159.73, $157.9
01/14/2020, $158.32, 312111, $157.48, $158.42, $156.95
01/13/2020, $158.27, 383627, $157.4, $158.58, $156.445
01/10/2020, $156.89, 392924, $158, $158.46, $155.87
01/09/2020, $157.58, 444666, $157.08, $158.43, $156.57
01/08/2020, $156.27, 474772, $155.73, $157.5, $154.18
01/07/2020, $155.15, 352234, $155.01, $156.09, $154.7315
01/06/2020, $156.03, 449287, $154.96, $156.12, $153.85
01/03/2020, $155.29, 417165, $154.09, $155.94, $153.12
01/02/2020, $156.11, 400443, $155.4, $156.17, $154.04
12/31/2019, $154.97, 503144, $154.22, $155.16, $153.57
12/30/2019, $154.59, 288008, $156.21, $156.69, $154.16
12/27/2019, $156.2, 308946, $156.23, $156.38, $155.085
12/26/2019, $155.79, 253554, $156.66, $156.66, $155.0704
12/24/2019, $156.7, 120887, $155.66, $156.93, $154.9
12/23/2019, $155.69, 409085, $155.53, $156.42, $155
12/20/2019, $155.93, 1102226, $157.36, $157.86, $155.56
12/19/2019, $156.04, 466611, $156.65, $156.67, $155.14
12/18/2019, $156.02, 766215, $156.66, $157.25, $155.07
12/17/2019, $156.48, 512497, $156.48, $156.74, $154.52
12/16/2019, $156, 1021664, $154.71, $156.2, $154.26
12/13/2019, $153.63, 584311, $151.43, $153.96, $151.31
12/12/2019, $152.25, 453605, $150.8, $152.53, $150.37
12/11/2019, $150.48, 416777, $149.11, $150.55, $148.615
12/10/2019, $148.98, 321631, $149.63, $149.92, $148.56
12/09/2019, $149.32, 394522, $150.84, $151.34, $149.04
12/06/2019, $150.59, 314058, $151.46, $151.6, $150.48
12/05/2019, $150.18, 516724, $150.29, $150.57, $149.39
12/04/2019, $150.15, 511846, $149.46, $150.56, $148.85
12/03/2019, $149.47, 633006, $147.39, $150, $147.17
12/02/2019, $149.01, 351544, $149.89, $149.94, $147.73
11/29/2019, $149.6, 255668, $150.6, $151.3, $148.84
11/27/2019, $150.83, 420064, $149.95, $151.14, $149.15
11/26/2019, $149.58, 1261587, $147.43, $149.76, $146.68
11/25/2019, $146.31, 398186, $145.08, $146.94, $145.01
11/22/2019, $145.25, 588435, $146.63, $146.63, $144.56
11/21/2019, $146.34, 697382, $148.98, $148.98, $145.75
11/20/2019, $149.64, 459842, $148.64, $151.46, $148.13
11/19/2019, $149.39, 401955, $148.58, $149.94, $148
11/18/2019, $147.78, 451805, $146.7, $148.49, $146.575
11/15/2019, $147.1, 549386, $145.6, $147.38, $145.6
11/14/2019, $145.42, 314205, $145.46, $146.01, $145
11/13/2019, $145.28, 342738, $143.82, $145.565, $143.37
11/12/2019, $144.15, 325334, $143.6, $145.75, $143.36
11/11/2019, $143.88, 237366, $143.6, $145.14, $143.0676
11/08/2019, $143.85, 382440, $141.81, $144.7, $141.81
11/07/2019, $142.18, 738623, $143.78, $143.97, $141.38
