Date, Close/Last, Volume, Open, High, Low
04/13/2020, $314.72, 357483, $313.3, $316.61, $308.01
04/09/2020, $315.45, 605598, $319.35, $327.59, $314.29
04/08/2020, $318.08, 482591, $311.75, $320.76, $306.91
04/07/2020, $308.11, 663292, $323.01, $327.15, $307.03
04/06/2020, $312.62, 660286, $312.78, $317.27, $303.29
04/03/2020, $299.68, 458762, $304.74, $308, $293.025
04/02/2020, $305.07, 479101, $290.42, $305.07, $290.42
04/01/2020, $293.66, 556072, $298.16, $302.8, $290
03/31/2020, $311.81, 704450, $314, $317.88, $308.77
03/30/2020, $317.46, 741429, $308.14, $319.68, $305.3
03/27/2020, $305.79, 1191949, $291.98, $313.19, $289.59
03/26/2020, $306.32, 820149, $293.79, $306.32, $288.03
03/25/2020, $285.18, 1003471, $283.61, $296.8999, $271.52
03/24/2020, $282.88, 1256989, $263.01, $287.0951, $263.01
03/23/2020, $254.3, 979368, $280.31, $281.775, $245.86
03/20/2020, $283.15, 934777, $304.01, $304.11, $280.83
03/19/2020, $300.01, 645610, $284.39, $309.44, $276.65
03/18/2020, $287.27, 683088, $289.19, $299.05, $265.938
03/17/2020, $309.39, 776879, $288.18, $311.84, $288.18
03/16/2020, $283.26, 868191, $240, $303.96, $240
03/13/2020, $313.52, 756396, $307.79, $313.52, $292.01
03/12/2020, $290.94, 973842, $300.05, $310.5351, $290.48
03/11/2020, $323.09, 774444, $331.54, $333.44, $319.38
03/10/2020, $341.55, 1103456, $324.78, $341.97, $323.95
03/09/2020, $315.32, 1142362, $327.32, $329.68, $300.01
03/06/2020, $350.33, 670659, $342.47, $352.22, $341
03/05/2020, $351.54, 554292, $359.59, $365.27, $349.96
03/04/2020, $366.96, 552538, $359.08, $367.4, $354
03/03/2020, $352.55, 631327, $361.26, $371.1, $348.7
03/02/2020, $361.02, 781462, $354.09, $361.66, $346.965
02/28/2020, $351.7, 1086520, $346.55, $354.06, $341.13
02/27/2020, $355, 786500, $358.65, $365.79, $354.49
02/26/2020, $365, 528070, $368.58, $374.67, $363.84
02/25/2020, $365.91, 478713, $375.79, $375.79, $363.92
02/24/2020, $375.02, 468852, $378.67, $382.52, $373.31
02/21/2020, $387.25, 955356, $382.65, $390.093, $381.76
02/20/2020, $384.01, 432218, $387.18, $390.88, $383.74
02/19/2020, $387.97, 297662, $390.24, $394.39, $387.87
02/18/2020, $389.33, 319480, $390.82, $392.215, $388.51
02/14/2020, $392.73, 279232, $388.21, $392.77, $388.21
02/13/2020, $388.39, 270439, $389.13, $391.56, $386.28
02/12/2020, $391.06, 301673, $389.71, $392.16, $385.49
02/11/2020, $389.77, 310438, $394.27, $395, $389.62
02/10/2020, $391.78, 373381, $384, $391.78, $383.75
02/07/2020, $385.44, 303195, $385.37, $388.255, $383.54
02/06/2020, $385.04, 311528, $386.77, $387.39, $384.45
02/05/2020, $385.75, 470584, $390.78, $390.84, $384.46
02/04/2020, $386.19, 420389, $385.54, $389.72, $384.39
02/03/2020, $379.71, 460888, $384.66, $386.329, $378.41
01/31/2020, $381.66, 630594, $386.6, $388.15, $379.675
