Date, Close/Last, Volume, Open, High, Low
03/30/2020, $84.87, 3237503, $82.59, $85.5, $80.58
03/27/2020, $82.55, 3493106, $81.78, $85.78, $80
03/26/2020, $85.6, 5436631, $82.34, $86.83, $81.31
03/25/2020, $81.29, 5655682, $73.95, $84.856, $72.795
03/24/2020, $71.58, 8351476, $67.82, $71.8, $66.07
03/23/2020, $62.92, 5970214, $62.69, $66.43, $60.5
03/20/2020, $63.9, 10008900, $65.43, $70, $63.85
03/19/2020, $65, 7958815, $59.46, $69.33, $57.665
03/18/2020, $59.97, 8149994, $65.3, $65.95, $56.3
03/17/2020, $69.56, 7862775, $74.43, $74.67, $67.69
03/16/2020, $73.93, 4883698, $84.34, $84.34, $73.19
03/13/2020, $92.83, 4298352, $95.63, $97.13, $87.48
03/12/2020, $91.35, 5273933, $92.67, $96.46, $91.03
03/11/2020, $98.56, 3731523, $99.42, $100.97, $97.825
03/10/2020, $101.85, 3921190, $97.16, $101.92, $95.78
03/09/2020, $94.81, 4067486, $96.99, $97.82, $94.41
03/06/2020, $102.51, 3940181, $97.59, $103.42, $97.34
03/05/2020, $101.69, 3136919, $106.34, $107.16, $100.7
03/04/2020, $109.56, 4938746, $109.38, $110.5, $105.81
03/03/2020, $109.22, 3487332, $111, $114.314, $107.59
03/02/2020, $111.98, 3138075, $109.22, $112, $105.95
02/28/2020, $108.78, 4151995, $108.62, $110.6533, $106.76
02/27/2020, $111.94, 2738935, $117.8, $119.02, $111.85
02/26/2020, $119.2, 2432274, $118.4, $121.41, $117.96
02/25/2020, $116.75, 2295761, $121.99, $122.21, $116.56
02/24/2020, $121.62, 1816419, $122, $123.18, $121.05
02/21/2020, $123.24, 1316430, $123.26, $123.87, $122.12
02/20/2020, $123.81, 1065417, $122.84, $124.16, $121.94
02/19/2020, $122.94, 1061151, $122.96, $123.63, $122.565
02/18/2020, $122.49, 1497159, $121.58, $123.0082, $121.02
02/14/2020, $121.78, 1307722, $120.91, $121.97, $120.68
02/13/2020, $120.6, 1290253, $119.76, $120.75, $119.48
02/12/2020, $120.06, 1388782, $120.48, $120.6, $119.67
02/11/2020, $119.7, 1260875, $119.04, $119.93, $118.67
02/10/2020, $118.26, 1373643, $116.89, $118.4, $116.71
02/07/2020, $117.43, 1059037, $118.02, $118.03, $116.535
02/06/2020, $118.19, 1266983, $119.34, $119.65, $118.14
02/05/2020, $118.74, 1715669, $117.07, $119.08, $117.07
02/04/2020, $116.35, 1510178, $115.78, $116.8, $115.25
02/03/2020, $113.83, 1662683, $112.56, $114.72, $112.54
01/31/2020, $112.19, 5115003, $113.84, $114.04, $111.48
01/30/2020, $114.18, 1627082, $113.48, $114.66, $113.06
01/29/2020, $114.27, 1365941, $114.73, $115.42, $113.96
01/28/2020, $114.48, 1558417, $115.11, $115.47, $114.36
01/27/2020, $114.85, 2678141, $114.07, $115.5, $113.5
01/24/2020, $115.76, 1548109, $118.02, $118.4, $115.27
01/23/2020, $118.21, 1989100, $117.34, $118.62, $116.04
01/22/2020, $117.41, 1770607, $118.13, $118.5, $117.4
01/21/2020, $117.8, 1853268, $117.25, $118.22, $117.17
01/17/2020, $117.68, 2094840, $118.21, $118.72, $117.45
01/16/2020, $118.05, 1853653, $118.39, $118.92, $117.45
01/15/2020, $117.77, 1409128, $118.51, $119.37, $117.45
01/14/2020, $118.96, 1828055, $120.04, $120.13, $118.81
01/13/2020, $119.97, 1392134, $120.68, $120.78, $119.239
01/10/2020, $120.72, 1271757, $122.1, $122.375, $120.5
01/09/2020, $122.13, 2185800, $120.67, $122.62, $119.54
01/08/2020, $119.15, 1565172, $119.11, $120.09, $118.95
01/07/2020, $118.8, 1962432, $117.01, $118.88, $116.54
01/06/2020, $117.43, 1573578, $116.25, $117.48, $115.6407
01/03/2020, $116.86, 1486507, $115.43, $117, $115.2
01/02/2020, $116.83, 1722533, $116.48, $116.84, $115.47
12/31/2019, $116.42, 1576068, $116.59, $117.04, $115.65
12/30/2019, $116.5, 1415423, $114.67, $117.01, $114.16
12/27/2019, $114.96, 895613, $116.1, $116.1, $114.53
12/26/2019, $115.31, 1032987, $115.05, $115.6, $114.27
12/24/2019, $115.12, 535707, $114.55, $115.4, $114.275
12/23/2019, $114.2, 1470753, $115.36, $115.53, $114.1
12/20/2019, $115.23, 3701798, $116.13, $116.13, $114.515
12/19/2019, $115.16, 1427893, $113.74, $115.2, $113.74
12/18/2019, $113.49, 1863830, $113.81, $114.15, $112.58
12/17/2019, $113.81, 1746014, $114.71, $114.71, $113.5
12/16/2019, $114.39, 1937501, $116.03, $116.53, $114.18
12/13/2019, $115.49, 1319210, $116.3, $116.39, $115.24
12/12/2019, $116.45, 2041831, $114.88, $116.79, $114.57
12/11/2019, $114.85, 1403582, $115.3, $115.3, $114.13
12/10/2019, $114.95, 1264294, $114.98, $115.37, $114.2
12/09/2019, $115.06, 1955421, $113.76, $115.38, $113.69
12/06/2019, $113.91, 1243518, $114.84, $115.135, $113.7
12/05/2019, $113.49, 1359281, $114.24, $114.3, $113.2089
12/04/2019, $114.15, 1964624, $114.52, $115.1131, $113.59
12/03/2019, $114.27, 1907782, $115.01, $115.85, $113.58
12/02/2019, $116, 2535229, $116.65, $117.58, $115.89
11/29/2019, $116.15, 1411533, $116.58, $117.24, $116.05
11/27/2019, $116.33, 1589988, $116.12, $116.49, $115.2
11/26/2019, $115.33, 5066586, $113.38, $116.03, $112.99
11/25/2019, $113.33, 2210059, $112.03, $113.99, $111.55
11/22/2019, $111.52, 3955545, $113.08, $113.89, $108.41
11/21/2019, $111.79, 2495621, $111.17, $111.85, $110.6
11/20/2019, $110.44, 2269722, $112.4, $112.9082, $109.985
11/19/2019, $112.42, 1993510, $112.72, $113.96, $111.815
11/18/2019, $112.19, 1801107, $112.94, $113.34, $111.835
11/15/2019, $113.365, 1151812, $113.66, $113.6735, $112.24
11/14/2019, $112.84, 1291427, $111.76, $113, $111
11/13/2019, $111.39, 1718706, $111.01, $111.94, $109.33
11/12/2019, $110.97, 1327068, $112.15, $112.41, $110.84
