Date, Close/Last, Volume, Open, High, Low
04/13/2020, $78.89, 931729, $81.5, $81.82, $77.68
04/09/2020, $81.82, 1667859, $78.92, $82.92, $78.92
04/08/2020, $78.24, 1294767, $75.73, $78.58, $74.82
04/07/2020, $74.96, 2041234, $76.53, $77.425, $74.77
04/06/2020, $74.11, 2269505, $74.98, $75.5, $73.745
04/03/2020, $72.53, 2923918, $74.1, $75.39, $71.7
04/02/2020, $75.23, 1691104, $71.86, $75.66, $71.8
04/01/2020, $72.71, 1627301, $72.87, $72.92, $71.32
03/31/2020, $75.06, 2442902, $75.35, $76.13, $74.2143
03/30/2020, $76.65, 1776377, $77.16, $78.12, $75.1
03/27/2020, $75.6, 1612740, $74.83, $78.87, $73.93
03/26/2020, $77.4, 1959542, $72.46, $77.965, $72
03/25/2020, $71.74, 2745392, $71, $73.22, $68.13
03/24/2020, $71.49, 2055180, $68.75, $72.29, $68.43
03/23/2020, $66.26, 2274355, $70.69, $71.86, $65.37
03/20/2020, $71.54, 2674195, $73.64, $74.5, $70.5151
03/19/2020, $74, 2460558, $75.3, $75.37, $71.91
03/18/2020, $75.89, 1888766, $78.4, $79.98, $73.81
03/17/2020, $81.64, 2568942, $77.63, $82.3, $76.7
03/16/2020, $76.12, 2481894, $76.5, $80.89, $75.68
03/13/2020, $84.98, 2672452, $82.86, $84.99, $78.8
03/12/2020, $79.59, 2767651, $84.99, $86.449, $79.58
03/11/2020, $91.28, 1971541, $91.85, $92.86, $89.93
03/10/2020, $93.34, 1925912, $93.81, $94.105, $90
03/09/2020, $92.04, 1966380, $91.47, $94.84, $90
03/06/2020, $95.52, 1577739, $92.9, $95.87, $92
03/05/2020, $94.92, 1681777, $94.9, $96.4, $94.07
03/04/2020, $96.56, 1543078, $93.63, $96.62, $93.52
03/03/2020, $91.31, 2056102, $94.06, $95.69, $90.795
03/02/2020, $94.08, 1857393, $90.9, $94.29, $90.39
02/28/2020, $90.26, 3320406, $90.05, $90.65, $86.96
02/27/2020, $91.34, 1922558, $96.16, $97.24, $91.33
02/26/2020, $96.9, 1490637, $97.35, $98.33, $96.84
02/25/2020, $97.05, 1384282, $99.09, $99.82, $96.935
02/24/2020, $98.93, 1288526, $98.49, $99.49, $98.09
02/21/2020, $99.43, 1226516, $99.11, $99.71, $98.82
02/20/2020, $99.12, 1171913, $99.55, $99.9, $98.47
02/19/2020, $100.04, 704799, $100.49, $100.91, $99.95
02/18/2020, $100.27, 1133022, $100.46, $100.46, $99.81
02/14/2020, $100.43, 1450893, $99.19, $100.66, $99.061
02/13/2020, $99.01, 1080663, $98.24, $99.35, $98.16
02/12/2020, $98.47, 1101529, $97.73, $98.805, $97.31
02/11/2020, $98.05, 956602, $98.09, $98.44, $97.84
02/10/2020, $97.83, 1248577, $97.14, $98.04, $97.01
02/07/2020, $97.14, 1100309, $96.93, $97.54, $96.57
