Date, Close/Last, Volume, Open, High, Low
03/30/2020, $141.21, 3766313, $140.02, $142.5366, $133.43
03/27/2020, $142.02, 3552975, $146.9, $149.75, $140.27
03/26/2020, $155.2, 3667054, $150.16, $157.97, $146.42
03/25/2020, $144.78, 5191752, $135.99, $152.99, $131.1001
03/24/2020, $133.57, 3597685, $124.5, $134.92, $123.035
03/23/2020, $115.54, 6284108, $120.35, $121.99, $110.332
03/20/2020, $124.14, 5141394, $124.16, $135.76, $120.5
03/19/2020, $121.34, 4839368, $111.65, $123.22, $103.05
03/18/2020, $112.61, 10717510, $119.8, $121.8, $103
03/17/2020, $128.95, 6540495, $131.37, $133, $115.98
03/16/2020, $129.58, 5099701, $131.33, $137.53, $129.51
03/13/2020, $149.85, 4592450, $153.3, $156, $140.21
03/12/2020, $144.11, 7874483, $135.39, $161.89, $135
03/11/2020, $156.75, 4256171, $167.72, $170.23, $152.53
03/10/2020, $173.22, 3604212, $173.43, $176.73, $165.21
03/09/2020, $168.33, 3239254, $170.74, $177.625, $167.28
03/06/2020, $183.16, 3930193, $179.04, $184.59, $175.99
03/05/2020, $184.52, 3496444, $195.94, $196.7366, $183.21
03/04/2020, $201.34, 3014532, $195.67, $203.08, $192.53
03/03/2020, $191.93, 4829014, $193.38, $199.97, $189.8117
03/02/2020, $192.46, 3744103, $189.41, $193.71, $184
02/28/2020, $188.56, 5070992, $185.66, $194.38, $182.44
02/27/2020, $193.26, 3977945, $197.4, $200.81, $189.06
02/26/2020, $200.3, 2736113, $204.26, $210.51, $200.2
02/25/2020, $203.41, 3567046, $217.45, $217.69, $201.18
02/24/2020, $216.05, 1965190, $215.97, $218.48, $214.0335
02/21/2020, $222.18, 1640564, $219.32, $222.28, $218.81
02/20/2020, $220.44, 1982424, $222.48, $222.74, $218.24
02/19/2020, $222.47, 1701663, $224.44, $224.73, $221.87
02/18/2020, $224, 2038406, $226.07, $226.38, $223.25
02/14/2020, $227.18, 1343982, $226.64, $227.64, $225.28
02/13/2020, $226.76, 2504504, $228.9, $230.18, $226.76
02/12/2020, $229.76, 2392736, $229.31, $230.2, $227.01
02/11/2020, $229.31, 1992072, $231.3, $232.49, $228.5
02/10/2020, $230.57, 1713544, $230.11, $230.95, $227.02
02/07/2020, $230.61, 2770527, $227.86, $231.81, $227.64
02/06/2020, $228.53, 2187612, $227.1, $231.71, $227.01
02/05/2020, $226.64, 1670406, $226.05, $226.99, $224.76
02/04/2020, $224.21, 1713170, $221.08, $224.71, $221.03
02/03/2020, $218.87, 2027931, $220.8, $222.59, $217.9
01/31/2020, $220.94, 2317236, $225.27, $225.7, $218.6
01/30/2020, $226.1, 2997777, $225, $228.59, $222.428
01/29/2020, $227.32, 1479228, $228.71, $229.3197, $224.25
01/28/2020, $227.62, 2330874, $228.27, $229, $223.1
01/27/2020, $228.46, 1829699, $227.5, $230, $226.79
01/24/2020, $231.24, 2673374, $230.79, $232.38, $229.28
01/23/2020, $230.23, 2505046, $229.32, $231.36, $228.325
01/22/2020, $229.41, 2204606, $228.98, $231.86, $228.23
01/21/2020, $228.99, 2478574, $230.77, $232.41, $226.32
01/17/2020, $231.34, 1877660, $232.47, $233.48, $231.21
01/16/2020, $232.31, 1235261, $230.18, $232.42, $229.97
01/15/2020, $229.41, 1340980, $228, $229.93, $227.01
01/14/2020, $227.4, 1171926, $226.48, $227.88, $226.12
01/13/2020, $227.15, 1391438, $227.06, $228, $226.12
01/10/2020, $226.48, 1477857, $228.22, $229.79, $226.28
01/09/2020, $228.65, 1040183, $227, $228.78, $227
01/08/2020, $227.4, 1900076, $227.95, $228.69, $226.12
01/07/2020, $226.54, 1395944, $226.25, $227.8, $223.79
01/06/2020, $227.53, 2080833, $232, $232.47, $225.35
01/03/2020, $227.81, 2151705, $226.9, $230, $225.17
01/02/2020, $224.48, 1090701, $220.14, $224.51, $219.75
12/31/2019, $219.74, 824452, $220.55, $221.2, $218.9239
12/30/2019, $220.19, 680582, $221, $221.89, $219.93
12/27/2019, $220.96, 660898, $221.28, $222.06, $220.54
12/26/2019, $221.02, 926729, $219.47, $221.11, $219.38
12/24/2019, $219.35, 336404, $220.53, $220.66, $219.26
12/23/2019, $219.87, 1475303, $217.45, $221.26, $217.01
12/20/2019, $217.4, 2162346, $217.05, $217.78, $215.55
12/19/2019, $216.11, 1374838, $214.66, $216.37, $213.765
12/18/2019, $214.16, 2590111, $216.9, $218.56, $213.51
12/17/2019, $217.79, 1132273, $218.74, $219.65, $216.23
12/16/2019, $219.29, 942402, $218.6, $219.4386, $217.545
12/13/2019, $217.4, 936942, $217.59, $219.66, $216.55
12/12/2019, $218.19, 944076, $218.03, $218.89, $217.15
12/11/2019, $217.82, 763960, $216.42, $218.9472, $216.42
12/10/2019, $216.53, 927157, $216.59, $217.99, $216.35
12/09/2019, $216.53, 1084309, $216.48, $217.82, $216.34
12/06/2019, $217.21, 1023242, $216.98, $218.47, $216.15
12/05/2019, $214.89, 1246439, $215.85, $217.45, $214.54
