Date, Close/Last, Volume, Open, High, Low
04/13/2020, $289, 601748, $302.88, $304.05, $284.93
04/09/2020, $305.81, 1386227, $304.9, $314.84, $297.77
04/08/2020, $302.06, 864090, $279.07, $303.73, $277.52
04/07/2020, $276.66, 734128, $289.5, $290, $276.49
04/06/2020, $277.46, 1380493, $272.88, $279.32, $268.44
04/03/2020, $264.8, 668638, $272.91, $276.235, $260.39
04/02/2020, $274.94, 1091704, $259.55, $278.64, $256.365
04/01/2020, $260.47, 834481, $258.3, $268, $252.16
03/31/2020, $269.97, 1856039, $273.79, $274.285, $262.44
03/30/2020, $278.66, 824737, $269.42, $280.4, $260.12
03/27/2020, $261.38, 849703, $251.25, $270.04, $251.25
03/26/2020, $264.49, 1038350, $245.13, $267.27, $243.37
03/25/2020, $243.14, 1178941, $237.99, $251.22, $237.99
03/24/2020, $242.24, 1703096, $221.93, $244.87, $220.54
03/23/2020, $215.46, 1736207, $231.51, $231.51, $205.2
03/20/2020, $229.33, 1384292, $247.22, $249.24, $228.13
03/19/2020, $245.14, 1396196, $261.9, $261.9, $232.7
03/18/2020, $260.25, 1528872, $268.54, $279.86, $254.41
03/17/2020, $274.46, 1576711, $264.63, $280.74, $254.9
03/16/2020, $256.71, 1664855, $259.56, $276.45, $246.58
03/13/2020, $281.89, 1530122, $276.37, $282.695, $265.75
03/12/2020, $263.96, 1721545, $257.15, $282.05, $245.53
03/11/2020, $274.7, 1096002, $272.91, $280.325, $271.21
03/10/2020, $281.89, 1176866, $270.29, $282.74, $265.31
03/09/2020, $264.71, 1079080, $270.44, $276.05, $264.09
03/06/2020, $285.57, 1049590, $292.64, $295.78, $276.79
03/05/2020, $300.32, 1020683, $297.49, $303.69, $295.88
03/04/2020, $303.24, 1180758, $288.62, $304.61, $287.5
03/03/2020, $286.66, 1193961, $285, $295.4, $281.94
03/02/2020, $285.05, 1231499, $266.95, $285.2, $265.95
02/28/2020, $265.09, 1942492, $267.05, $268.44, $257.22
02/27/2020, $271.89, 1324870, $283, $288.395, $270.58
02/26/2020, $288.28, 844443, $292.51, $293.28, $285.22
02/25/2020, $291.09, 881646, $295.88, $302.39, $287.49
02/24/2020, $295.51, 825379, $295.8, $299.04, $294.29
02/21/2020, $295.65, 1696023, $292.43, $309.85, $287.38
02/20/2020, $292.13, 606259, $289.59, $292.39, $286.02
02/19/2020, $289.85, 576318, $293.93, $293.93, $289.33
02/18/2020, $291.72, 581227, $294.61, $294.735, $289.82
02/14/2020, $294.61, 425178, $290.57, $294.77, $289.54
02/13/2020, $289.78, 611786, $292.8, $292.92, $288.63
02/12/2020, $292.81, 1099041, $284.07, $293.19, $281.18
02/11/2020, $284, 1776883, $272.15, $287.47, $271.99
02/10/2020, $264.74, 717853, $259.13, $265.26, $258.33
02/07/2020, $258.82, 363761, $256.7, $259.39, $255.84
02/06/2020, $256.5, 508570, $254.73, $258.07, $253.75
02/05/2020, $254.57, 357757, $254.7, $254.7, $251.41
02/04/2020, $254.17, 411727, $250.23, $254.44, $249.66
02/03/2020, $249.58, 518456, $250.91, $254.14, $248.73
01/31/2020, $249.56, 537791, $251.78, $254.65, $249.295
01/30/2020, $253.74, 557067, $247.81, $254, $247.11
01/29/2020, $249.34, 449290, $251.76, $251.88, $247.495
01/28/2020, $251.75, 574119, $253.49, $253.49, $251.08
01/27/2020, $252.74, 482339, $251.72, $253.555, $250.02
01/24/2020, $253.15, 316625, $255.01, $255.78, $252.7
01/23/2020, $255.01, 387300, $251.88, $255.34, $251.28
01/22/2020, $252.61, 586035, $255.94, $256.47, $251.44
01/21/2020, $254.44, 650228, $251.33, $254.82, $250.865
01/17/2020, $252.04, 533226, $250.7, $254.7627, $250.01
01/16/2020, $250.73, 698038, $249.42, $250.9, $247.1301
01/15/2020, $249.5, 352219, $249.03, $251.29, $248.63
01/14/2020, $248.66, 526254, $249.32, $250.39, $246.46
01/13/2020, $250.05, 668952, $246.36, $250.27, $246.36
01/10/2020, $244.83, 387018, $242.12, $245.463, $240.82
01/09/2020, $241.2, 358882, $240.94, $242.68, $240.1
01/08/2020, $240.03, 547809, $237.82, $241.06, $237.46
01/07/2020, $237.45, 539345, $241.08, $241.5, $235.5
01/06/2020, $241.25, 810687, $241.03, $242, $238
01/03/2020, $241.03, 787411, $237.71, $241.8, $237.71
01/02/2020, $238.87, 555842, $241.15, $242.27, $237.18
12/31/2019, $240.99, 786953, $239.03, $242.81, $238.13
12/30/2019, $238.49, 805259, $240.86, $241.28, $238.165
12/27/2019, $241.41, 312699, $241.39, $241.85, $239.9
12/26/2019, $241.26, 257311, $240.22, $242.2, $239.37
12/24/2019, $240.15, 202969, $240.85, $241.1036, $238.9
12/23/2019, $240.61, 377811, $241.4, $243.16, $240.19
12/20/2019, $241.22, 1201989, $242.04, $243.95, $237.39
12/19/2019, $238.15, 882090, $233.62, $240.21, $233.57
12/18/2019, $233.895, 1750625, $227.53, $235.7899, $227.53
12/17/2019, $227.6, 1537420, $234.56, $236.325, $227.4
