Date, Close/Last, Volume, Open, High, Low
04/13/2020, $34.77, 11531430, $36.4, $36.62, $34.49
04/09/2020, $36.54, 12362300, $37.21, $37.945, $36.11
04/08/2020, $36.49, 8104672, $35.45, $36.76, $34.63
04/07/2020, $34.94, 13087380, $37.8, $37.8, $34.73
04/06/2020, $36.08, 11659230, $35.36, $36.42, $34.51
04/03/2020, $33.6, 9127880, $34.08, $34.97, $33.01
04/02/2020, $34.39, 15329500, $32.42, $34.57, $32.32
04/01/2020, $32.96, 11700180, $31.83, $33.55, $31.59
03/31/2020, $33.62, 10708600, $33.89, $34.81, $33
03/30/2020, $34.33, 10078780, $33.19, $34.57, $32.69
03/27/2020, $33.61, 12461710, $32.56, $34.87, $32.13
03/26/2020, $34.16, 16976560, $34.17, $36.3, $32.97
03/25/2020, $34.17, 22746220, $31.12, $36.87, $30.44
03/24/2020, $30.72, 17925240, $30.26, $31.53, $29.24
03/23/2020, $28.5, 20572950, $30.82, $30.82, $28.01
03/20/2020, $30.75, 15922780, $32.5, $32.9365, $30.03
03/19/2020, $31.82, 18311150, $31.45, $32.95, $30.03
03/18/2020, $32.42, 24241590, $31.09, $34.08, $30.36
03/17/2020, $33.68, 21796200, $31.39, $33.73, $28.92
03/16/2020, $30.56, 23373910, $28.59, $32.66, $28
03/13/2020, $33.87, 26153230, $30.38, $33.9, $30.04
03/12/2020, $28.43, 32521620, $29.96, $30.31, $28.11
03/11/2020, $32.43, 27993360, $31.9, $33.89, $31.25
03/10/2020, $32.94, 20293220, $31.88, $32.94, $30
03/09/2020, $30.27, 24766540, $30.86, $31.87, $30.185
03/06/2020, $34.13, 29385710, $33.05, $35.06, $32.64
03/05/2020, $34.8, 28000670, $35.9, $35.9, $34.45
03/04/2020, $37.16, 26339290, $38.45, $38.54, $36.74
03/03/2020, $38.3, 28382020, $41.62, $41.95, $37.95
03/02/2020, $41.98, 21834200, $40.9, $42.05, $39.57
02/28/2020, $40.75, 27463020, $40.25, $41.62, $39.505
02/27/2020, $41.91, 28185270, $40.18, $43, $40.09
02/26/2020, $41.42, 15389560, $42.01, $42.4, $41.22
02/25/2020, $41.6, 16466080, $43.99, $44.01, $41.38
02/24/2020, $43.8, 13407720, $44.48, $44.56, $43.48
02/21/2020, $46.19, 13502090, $48.09, $48.43, $45.93
02/20/2020, $48.58, 16198810, $47.34, $49.55, $47.3
02/19/2020, $47.44, 6377492, $46.99, $47.845, $46.83
02/18/2020, $46.73, 8165698, $47.03, $47.31, $46.2
02/14/2020, $47.23, 7106677, $47.12, $47.315, $46.68
02/13/2020, $47.29, 5873145, $47.39, $47.6, $47.15
02/12/2020, $47.79, 5136382, $48.1, $48.345, $47.59
02/11/2020, $47.67, 7082588, $47.03, $47.97, $46.86
02/10/2020, $46.77, 6061959, $46.89, $47.1995, $46.49
02/07/2020, $47.31, 5680196, $47.1, $47.585, $46.92
02/06/2020, $47.83, 8767561, $48.64, $48.78, $47.32
02/05/2020, $48.29, 9583003, $47.84, $48.35, $47.49
02/04/2020, $47.08, 10595050, $46.66, $47.98, $46.5
02/03/2020, $45.68, 10490510, $45.86, $46.91, $45.58
01/31/2020, $45.55, 12297380, $46.63, $46.83, $45.47
01/30/2020, $47.19, 11536590, $45.4, $47.33, $45.39
01/29/2020, $45.95, 5918724, $46.58, $46.715, $45.89
01/28/2020, $46.3, 7282864, $46.14, $46.585, $45.81
01/27/2020, $45.76, 9537889, $46, $46.36, $45.59
01/24/2020, $47.15, 11268070, $48.39, $48.52, $47
01/23/2020, $48.42, 8126208, $48.4, $48.66, $47.955
01/22/2020, $48.93, 6699817, $48.15, $49.03, $47.86
01/21/2020, $48.45, 8850267, $48.04, $48.88, $47.82
01/17/2020, $48.34, 10257160, $49.1, $49.26, $48.15
01/16/2020, $49, 13752570, $46.99, $49.07, $46.98
01/15/2020, $47.12, 7654921, $47.31, $47.65, $46.93
01/14/2020, $47.71, 8874757, $48.07, $48.12, $47.54
01/13/2020, $48.02, 8905976, $48.17, $48.25, $47.775
01/10/2020, $47.8, 7452948, $48.13, $48.16, $47.62
01/09/2020, $48.11, 9749820, $48.5, $48.54, $47.89
01/08/2020, $47.91, 10887010, $47.47, $48, $47.385
01/07/2020, $47.62, 9988785, $47.34, $48.01, $47.3
01/06/2020, $47.34, 6804294, $46.65, $47.39, $46.59
01/03/2020, $47.01, 6698924, $47.44, $47.6, $46.9
01/02/2020, $48.23, 5645779, $47.76, $48.38, $47.55
12/31/2019, $47.56, 8841377, $47.83, $47.94, $47.385
12/30/2019, $47.82, 5121412, $48.5, $48.63, $47.74
12/27/2019, $48.34, 3733589, $48.55, $48.7, $48.265
12/26/2019, $48.57, 3408607, $48.76, $48.92, $48.51
12/24/2019, $48.71, 1819045, $48.81, $48.81, $48.34
12/23/2019, $48.71, 6931795, $48.43, $48.85, $48.03
12/20/2019, $48.12, 15327320, $48.29, $48.4, $47.9
12/19/2019, $48.2, 9618182, $48.66, $48.875, $47.96
12/18/2019, $48.66, 19822150, $49.65, $49.65, $48.55
12/17/2019, $49.49, 9239399, $49.56, $49.705, $49.44
12/16/2019, $49.72, 11036810, $50.5, $50.52, $49.68
12/13/2019, $49.95, 15217080, $51.15, $51.36, $49.81
12/12/2019, $51.07, 16916750, $49.84, $51.645, $49.66
12/11/2019, $49.6, 11033590, $48.93, $49.61, $48.91
12/10/2019, $49.19, 8317851, $48.81, $49.24, $48.67
12/09/2019, $48.95, 7183684, $48.9, $49.05, $48.63
12/06/2019, $48.95, 14627080, $49.57, $49.97, $48.92
12/05/2019, $48.74, 9766940, $49.27, $49.3, $48.5
12/04/2019, $49.03, 6799030, $48.64, $49.39, $48.64
12/03/2019, $48.66, 11198500, $49.02, $49.1, $48.32
12/02/2019, $49.57, 11377640, $49.96, $50.33, $49.57
11/29/2019, $49.5, 4867683, $49.55, $50.02, $49.34
11/27/2019, $49.84, 11815030, $49.59, $50.05, $49.19
11/26/2019, $49.24, 23072490, $49.22, $49.79, $48.66
11/25/2019, $49.31, 37442480, $47.7, $49.49, $47.39
11/22/2019, $48.2, 16855460, $47.68, $48.595, $47.41
11/21/2019, $48.03, 42834380, $50.02, $50.97, $47.5
11/20/2019, $44.75, 6188318, $44.07, $44.81, $43.63
11/19/2019, $44.4, 6093546, $44.43, $44.775, $44.21
11/18/2019, $44.18, 6983082, $44.27, $44.35, $43.555
11/15/2019, $44.35, 7064370, $43.78, $44.44, $43.63
11/14/2019, $43.38, 5357988, $42.7, $43.41, $42.44
11/13/2019, $42.81, 4581474, $43.01, $43.01, $42.405
11/12/2019, $43.48, 3887109, $43.34, $43.9, $43.12
11/11/2019, $43.23, 3455156, $43.11, $43.54, $43.06
11/08/2019, $43.54, 4274177, $43.47, $43.7759, $43.34
11/07/2019, $43.5, 5835032, $43.53, $43.85, $43.29
11/06/2019, $43.08, 4888356, $43.28, $43.56, $42.97
11/05/2019, $43.42, 8986192, $43.25, $43.695, $42.67
11/04/2019, $43.22, 8446466, $42.26, $43.315, $42.1
11/01/2019, $41.78, 6580669, $41.21, $42.02, $41.19
10/31/2019, $40.71, 7119772, $41.05, $41.3, $40.01
10/30/2019, $41.3, 5284737, $40.75, $41.66, $40.45
10/29/2019, $40.96, 5708320, $41.18, $41.595, $40.865
10/28/2019, $41.48, 5534541, $41.18, $41.77, $41.05
10/25/2019, $40.98, 3928346, $40.75, $41.26, $40.61
10/24/2019, $40.99, 6364753, $41.42, $41.48, $40.58
10/23/2019, $41.37, 6002279, $40.77, $41.535, $40.65
10/22/2019, $40.92, 7267852, $40.89, $41.435, $40.635
10/21/2019, $40.9, 7694384, $40.53, $41.01, $40.23
10/18/2019, $39.94, 7582813, $39.43, $40.05, $39.43
10/17/2019, $39.45, 7087623, $39.56, $39.725, $39.2
10/16/2019, $39.02, 13131330, $38.68, $39.57, $38.67
10/15/2019, $39.74, 12858470, $38.97, $40.23, $38.27
10/14/2019, $37.72, 9574076, $37.03, $37.83, $37.03
10/11/2019, $37.28, 11354440, $36.99, $37.71, $36.82
10/10/2019, $36.14, 13075050, $36.2, $36.58, $35.99
10/09/2019, $35.67, 14299730, $35.59, $36.0599, $35.49
10/08/2019, $35.23, 13205960, $35, $35.415, $34.58
10/07/2019, $35.45, 10404790, $35.87, $36.145, $35.44
10/04/2019, $35.67, 14484510, $35.1, $35.79, $35.077
10/03/2019, $35.1, 24606500, $36.14, $36.43, $34.92
10/02/2019, $36.51, 20983510, $37.21, $37.36, $36.41
10/01/2019, $37.76, 35786400, $39.8, $39.876, $36.92
09/30/2019, $41.83, 4983902, $41.74, $41.93, $41.3
09/27/2019, $41.41, 6272323, $41.28, $41.61, $41.15
09/26/2019, $40.89, 8441250, $41.69, $41.8, $40.64
09/25/2019, $41.8, 7366008, $41.82, $42.34, $41.68
09/24/2019, $41.79, 5742297, $42.78, $42.95, $41.57
09/23/2019, $42.58, 4496132, $42.25, $42.815, $41.94
09/20/2019, $42.78, 11012580, $42.99, $43.4, $42.75
09/19/2019, $42.92, 5303889, $43.14, $43.33, $42.74
09/18/2019, $43.23, 6670484, $42.67, $43.36, $42.23
09/17/2019, $43.11, 6254017, $43.13, $43.2208, $42.645
09/16/2019, $43.6, 6585000, $43.08, $43.74, $42.99
09/13/2019, $43.62, 6777611, $43.6, $44, $43.49
09/12/2019, $43.07, 8829392, $42.16, $43.16, $41.68
09/11/2019, $42.76, 6799691, $42, $42.78, $41.51
09/10/2019, $41.95, 8701733, $41.37, $41.95, $41.265
09/09/2019, $41.1, 7962576, $40.28, $41.32, $40.28
09/06/2019, $39.9, 7047941, $39.59, $40.1, $39.44
09/05/2019, $39.62, 9395037, $39.49, $40.37, $39.32
09/04/2019, $38.67, 6904044, $38.53, $38.73, $38.33
09/03/2019, $37.96, 7749754, $38.01, $38.11, $37.3
08/30/2019, $38.27, 6896913, $38.18, $38.42, $37.91
08/29/2019, $37.76, 7658240, $37.09, $37.95, $37.06
08/28/2019, $36.73, 10094380, $35.87, $36.815, $35.85
08/27/2019, $36.12, 9081812, $36.84, $37.095, $36.11
08/26/2019, $36.67, 5920464, $37, $37.15, $36.52
08/23/2019, $36.58, 8736678, $37.55, $38.03, $36.35
08/22/2019, $37.87, 6901632, $37.99, $38.16, $37.615
08/21/2019, $37.61, 4950378, $37.87, $37.9, $37.35
08/20/2019, $37.32, 6790544, $37.4, $37.59, $37.01
08/19/2019, $37.7, 5361664, $37.85, $38.09, $37.46
08/16/2019, $37.14, 6311761, $36.85, $37.53, $36.78
08/15/2019, $36.56, 7587123, $36.85, $37.04, $36.105
08/14/2019, $36.59, 13862220, $36.52, $37.13, $36.085
08/13/2019, $37.68, 11458290, $36.33, $38.02, $36.2819
08/12/2019, $36.41, 8733229, $36.35, $36.53, $36.01
08/09/2019, $36.87, 13647580, $37.19, $37.34, $36.49
08/08/2019, $37.45, 14452080, $37.69, $37.8, $37.16
08/07/2019, $37.58, 21892110, $38.38, $38.43, $37.1
08/06/2019, $39.41, 9929988, $39.36, $39.57, $38.73
08/05/2019, $38.84, 13878260, $39.82, $39.9, $38.45
08/02/2019, $40.75, 8811908, $41.32, $41.55, $40.33
08/01/2019, $41.29, 21228900, $42.93, $43.015, $41.12
07/31/2019, $43.22, 9018404, $43.17, $43.49, $42.795
07/30/2019, $43.02, 6223447, $43.31, $43.3909, $42.8
07/29/2019, $43.71, 7837476, $43.9, $44.09, $43.51
07/26/2019, $44.05, 12260580, $44.08, $44.24, $43.71
07/25/2019, $44.07, 8571957, $44.45, $44.55, $43.755
07/24/2019, $44.28, 11347340, $43.49, $44.28, $43.46
07/23/2019, $43.53, 10276960, $43.26, $43.75, $43.22
07/22/2019, $43.16, 8774205, $42.76, $43.45, $42.56
07/19/2019, $42.72, 12138910, $41.75, $43.04, $41.63
