Date, Close/Last, Volume, Open, High, Low
03/30/2020, $481.83, 753156, $471.65, $486.48, $462.89
03/27/2020, $459.66, 663526, $451, $471.49, $450
03/26/2020, $466.14, 854479, $465.03, $473.265, $454
03/25/2020, $451.66, 922279, $452.27, $474.83, $447.25
03/24/2020, $454.02, 1245095, $418.56, $460.41, $416.45
03/23/2020, $396.7, 958983, $410.82, $422.81, $390.77
03/20/2020, $412.7, 1262835, $453.22, $457.03, $405.98
03/19/2020, $445.12, 1027275, $398.84, $448.96, $388.1
03/18/2020, $402.86, 1712666, $388.79, $410.19, $325.43
03/17/2020, $420.38, 1981154, $415.1, $434.19, $377.6972
03/16/2020, $406.07, 1578876, $449, $450.66, $405.44
03/13/2020, $499.33, 1424611, $502.57, $505.46, $462.87
03/12/2020, $482.64, 1089707, $486.67, $509.355, $471.01
03/11/2020, $520.14, 1042550, $533, $534.65, $507.55
03/10/2020, $546.02, 943140, $542.27, $546.46, $515.42
03/09/2020, $527.16, 1161497, $501.35, $538.335, $500.5
03/06/2020, $541, 657318, $542.76, $544.52, $529.49
03/05/2020, $554.91, 591870, $561.04, $566.04, $549.26
03/04/2020, $574.78, 736650, $553.27, $574.86, $545.3
03/03/2020, $540.58, 737567, $540.52, $552.41, $530.61
03/02/2020, $538.32, 840329, $522.02, $538.32, $513.02
02/28/2020, $516.75, 1359815, $508.15, $516.75, $497.67
02/27/2020, $525.36, 781692, $542.36, $548.345, $524.9
02/26/2020, $550.61, 724120, $555.16, $565.125, $548.85
02/25/2020, $550.96, 843490, $569.79, $570.8, $550.25
02/24/2020, $567.1, 565830, $561.36, $571.97, $557.01
02/21/2020, $573.34, 383160, $580.31, $583.19, $572.39
02/20/2020, $584.08, 340577, $585.77, $591.28, $580
02/19/2020, $589.05, 492992, $585, $592.39, $584.94
02/18/2020, $581.78, 413129, $583.12, $583.88, $576.2
02/14/2020, $585.45, 305432, $580.37, $585.45, $579.1685
02/13/2020, $579.76, 279455, $577.23, $582.57, $576.1
02/12/2020, $580.14, 369780, $577.15, $581.985, $575.648
02/11/2020, $577.04, 407948, $573.25, $581.15, $572.67
02/10/2020, $572.28, 506192, $571.11, $574.76, $568.86
02/07/2020, $572.55, 568166, $581.32, $581.32, $571.63
02/06/2020, $581.9, 661751, $584.06, $585.58, $579.3
02/05/2020, $582.44, 813288, $586.96, $587.48, $570.93
02/04/2020, $586.97, 640815, $578.84, $589.99, $576.4
02/03/2020, $574.91, 839331, $559.32, $578.08, $557.86
01/31/2020, $556.99, 901194, $560.37, $564, $551.2
01/30/2020, $568.9, 1074259, $562.4, $570.77, $555.5
01/29/2020, $590.26, 635629, $593, $598, $590.26
01/28/2020, $591.05, 396519, $584.5, $592.96, $584.5
01/27/2020, $584.27, 411115, $587.89, $589.95, $582.55
01/24/2020, $594.84, 466835, $599, $599.95, $591.935
01/23/2020, $596.54, 432378, $594.16, $596.63, $589.4521
01/22/2020, $592.93, 364610, $596.08, $596.605, $590.89
01/21/2020, $593.06, 532013, $594.45, $598.245, $590.35
01/17/2020, $594.47, 714452, $586.34, $595.07, $583.83
01/16/2020, $584.98, 498306, $589.82, $589.82, $581.79
01/15/2020, $584.56, 486827, $576.13, $587.795, $573.96
01/14/2020, $574.47, 603387, $574.74, $578.97, $572.56
01/13/2020, $574.86, 435450, $567.47, $575.25, $566.33
01/10/2020, $567.09, 333958, $567.85, $571.19, $566.26
01/09/2020, $565.63, 748399, $571.61, $573.14, $562.755
01/08/2020, $569.28, 628828, $562.04, $570.33, $561
01/07/2020, $560.36, 601379, $565.7, $566.14, $559.3949
01/06/2020, $563.41, 642196, $562.23, $565.7161, $560.92
01/03/2020, $564.45, 545247, $565.34, $571.53, $564.29
01/02/2020, $571.85, 602289, $585.05, $585.12, $568.74
12/31/2019, $583.54, 289070, $578.1, $583.825, $576.84
12/30/2019, $578.74, 231980, $578.25, $580.81, $577.18
12/27/2019, $581.69, 175077, $583.73, $585.06, $580.88
12/26/2019, $581.6, 151068, $582.02, $582.18, $577.2565
12/24/2019, $581.14, 98118, $580.37, $583.95, $579.21
12/23/2019, $583.26, 232385, $581.91, $584.19, $579.46
12/20/2019, $580.98, 741518, $581.27, $582.6099, $576.15
12/19/2019, $577.85, 380350, $573.97, $579.67, $571.7
12/18/2019, $572.61, 334713, $579.73, $579.73, $570.24
12/17/2019, $578.14, 378653, $580.12, $580.662, $576.2
12/16/2019, $579.51, 452768, $574.29, $580.89, $571.26
12/13/2019, $572.23, 404513, $575, $579.2, $572
12/12/2019, $576.81, 434759, $575.25, $580.53, $574.93
12/11/2019, $575.49, 271283, $573.55, $575.71, $570.17
12/10/2019, $570.85, 414757, $574.68, $575.7516, $570.36
12/09/2019, $576.57, 258985, $577.85, $579.2363, $574.42
12/06/2019, $578.54, 333568, $577.92, $580.71, $573.26
12/05/2019, $572.5, 397428, $574.42, $575.59, $567.555
12/04/2019, $571.31, 426630, $579.32, $583, $570.79
12/03/2019, $577.91, 462882, $571.72, $578.33, $570
12/02/2019, $574.83, 333870, $580.57, $580.57, $573
11/29/2019, $583.13, 236541, $584.41, $586.56, $580.79
11/27/2019, $584.86, 306005, $585.29, $586.99, $582.225
11/26/2019, $587.18, 720618, $581.09, $587.42, $579.36
11/25/2019, $580.01, 426964, $577.74, $582.2, $576.3328
11/22/2019, $574.83, 662144, $569.91, $576, $568.24
11/21/2019, $568.56, 722223, $573.01, $576.64, $566.62
11/20/2019, $576.02, 627400, $584.19, $584.19, $572.63
11/19/2019, $584.2, 688034, $587.81, $588.64, $583.17
11/18/2019, $586.08, 484342, $581.01, $591.7, $580.54
11/15/2019, $592.77, 377266, $595, $597, $591.09
11/14/2019, $593.45, 285869, $587, $595, $585.66
11/13/2019, $589.74, 387947, $586.66, $593.09, $585
11/12/2019, $587.24, 450871, $579.48, $589.3, $578.85
11/11/2019, $579.41, 325422, $578.45, $583, $577.675
11/08/2019, $581.35, 376513, $571.38, $581.46, $570.4531
11/07/2019, $569.46, 598000, $578.17, $578.18, $567.065
11/06/2019, $575.24, 522470, $565.29, $575.81, $564.58
11/05/2019, $564.91, 830233, $568.51, $573.99, $558.75
11/04/2019, $571, 610370, $584.28, $584.53, $570.875
11/01/2019, $579.64, 511112, $575.86, $580.41, $573.01
10/31/2019, $572.32, 790293, $587.5, $589, $571.58
10/30/2019, $586.23, 536818, $582.35, $587.14, $577.78
10/29/2019, $581.61, 615078, $575.35, $583.31, $575.35
10/28/2019, $578.24, 528837, $575.03, $581.22, $575.03
10/25/2019, $574.93, 432872, $575.75, $580, $573.1
10/24/2019, $574.05, 483744, $566.85, $575, $566.255
10/23/2019, $563.87, 613522, $570, $570, $558.38
10/22/2019, $566.89, 1108353, $557.5, $578.36, $546.17
10/21/2019, $550.41, 822015, $561.55, $562.76, $549.43
10/18/2019, $560.86, 454210, $557.71, $562.1475, $557.01
10/17/2019, $560.54, 415293, $564.19, $567, $559.12
10/16/2019, $564.24, 403756, $558.22, $565.15, $555.93
10/15/2019, $558.89, 424749, $555.96, $559.56, $552.69
10/14/2019, $550.35, 292963, $551.15, $555.91, $549.19
10/11/2019, $550.01, 721198, $563.4, $564.44, $548.79
10/10/2019, $558.7, 447683, $556.37, $558.85, $552.62
10/09/2019, $555.66, 404873, $545, $557.08, $545
10/08/2019, $545.94, 395125, $545.33, $551, $541.62
10/07/2019, $549.28, 306919, $547.62, $553.48, $546.84
10/04/2019, $548.84, 359518, $545.76, $552.43, $545.76
10/03/2019, $543.19, 359414, $541.02, $545.09, $536.87
10/02/2019, $541.01, 543313, $543.56, $545.45, $534.81
10/01/2019, $544.86, 486402, $551.1, $553.11, $543.49
09/30/2019, $549.87, 360879, $545.92, $550.52, $545.53
09/27/2019, $544.28, 359884, $551.66, $551.66, $541.86
09/26/2019, $548.35, 283143, $545.25, $550.54, $541.315
09/25/2019, $544.54, 471661, $545.96, $546.51, $538.27
09/24/2019, $542.5, 544861, $547.32, $552.095, $538.92
09/23/2019, $541.65, 497654, $548.1, $550.65, $541.15
09/20/2019, $550.54, 810783, $552.17, $554.08, $545.46
09/19/2019, $549.78, 526904, $540.14, $550.73, $537.52
09/18/2019, $542.84, 324623, $539.11, $543.98, $534.81
09/17/2019, $537.52, 347019, $528.83, $539, $527.69
09/16/2019, $527.49, 419281, $536.01, $536.01, $527.37
09/13/2019, $541.52, 396536, $536.07, $543.445, $535.97
09/12/2019, $538.95, 626232, $533.41, $548.98, $530.91
09/11/2019, $527.4, 513506, $521.02, $530.65, $519.505
09/10/2019, $521.73, 482356, $518.85, $522.52, $513.89
09/09/2019, $523.03, 460808, $534.15, $534.425, $519.96
09/06/2019, $534.74, 327976, $538.92, $539, $534.12
09/05/2019, $534.52, 432096, $539.64, $539.64, $531.465
09/04/2019, $534.67, 355226, $532.4, $535.31, $529.88
09/03/2019, $527.18, 311110, $525.52, $528.67, $519.98
08/30/2019, $526.75, 424688, $527.89, $529.81, $524.17
08/29/2019, $524.68, 415350, $528.24, $529.83, $522.955
08/28/2019, $522.69, 299849, $512.44, $522.86, $512.37
08/27/2019, $515.39, 326909, $517.77, $519.99, $512.505
08/26/2019, $513.46, 348984, $516.41, $517.7425, $509.32
08/23/2019, $512.6, 612975, $522.32, $523.07, $510.25
08/22/2019, $523.5, 416006, $531.36, $531.65, $522.61
08/21/2019, $527.66, 489016, $529.24, $534.11, $524.755
08/20/2019, $524, 403090, $525.43, $526.08, $519.49
08/19/2019, $528.44, 482310, $531.26, $536.7398, $525.74
08/16/2019, $530.09, 602203, $524.9, $532.02, $522.5
08/15/2019, $520.2, 430507, $519.87, $521.62, $515.15
08/14/2019, $515.26, 516256, $517.04, $524.35, $515.075
08/13/2019, $525.85, 525945, $515.44, $527, $514.77
08/12/2019, $515.73, 323148, $518.12, $522.52, $514.31
08/09/2019, $519.76, 330682, $520.59, $524, $515.46
08/08/2019, $523.31, 533281, $516.6, $523.45, $516.46
08/07/2019, $512.99, 744805, $494.84, $514.7062, $491.845
08/06/2019, $498.87, 568214, $498.67, $501.77, $492.94
08/05/2019, $495.36, 510856, $502.23, $506.14, $493.52
08/02/2019, $510.47, 420383, $509.32, $513.62, $505.67
08/01/2019, $512.95, 538530, $514.57, $523.26, $511.125
07/31/2019, $513.04, 636607, $513.05, $519.745, $507.51
07/30/2019, $515.02, 572972, $506.08, $516.43, $504.3401
07/29/2019, $510.14, 648882, $510.11, $512.3, $506.17
07/26/2019, $512.3, 592899, $509.62, $513.33, $504.7
07/25/2019, $509.3, 889794, $500.59, $510.53, $499.17
07/24/2019, $501.13, 914370, $495, $501.44, $488.605
07/23/2019, $490.23, 2113098, $469, $492.26, $466.02
07/22/2019, $454.59, 534413, $457.21, $461.685, $453.78
07/19/2019, $456.6, 488171, $458.63, $461.07, $455.49
07/18/2019, $457.69, 581046, $455.73, $459.77, $447.63
07/17/2019, $456.85, 578466, $467, $467.815, $456.61
07/16/2019, $467.54, 502628, $474, $474.14, $466.93
07/15/2019, $473.87, 333643, $470.3, $473.99, $468.82
07/12/2019, $469.73, 424263, $466.5, $471, $466.2163
07/11/2019, $465.2, 410696, $457.83, $465.3, $457.04
07/10/2019, $457.54, 495255, $465.7, $467.15, $455.04
07/09/2019, $462.14, 284214, $461.99, $463.25, $458.87
07/08/2019, $462.79, 315554, $465.16, $467.01, $462.11
07/05/2019, $466.14, 227745, $465.82, $467.34, $460.42
07/03/2019, $470.16, 214080, $465.95, $470.27, $463.56
07/02/2019, $463.39, 333993, $461.67, $465.08, $460
07/01/2019, $461.3, 420644, $461.52, $463.66, $457.56
06/28/2019, $458.29, 549080, $455.02, $458.29, $452.44
06/27/2019, $454.75, 374009, $456.05, $457.9, $450.99
06/26/2019, $454.27, 437410, $461.56, $462.92, $454.2
