Date, Close/Last, Volume, Open, High, Low
03/30/2020, $13.28, 25981530, $13.35, $13.69, $12.95
03/27/2020, $13.76, 21794540, $14.54, $14.7, $13.74
03/26/2020, $15.52, 22183990, $14.51, $15.643, $14.375
03/25/2020, $14.6, 24201160, $14.99, $15.87, $13.58
03/24/2020, $14.65, 25812590, $13.54, $14.93, $13.5
03/23/2020, $12.83, 24393480, $14.17, $14.43, $12.6
03/20/2020, $14.28, 32875150, $14.3, $14.58, $13.1
03/19/2020, $13.87, 25449330, $12.17, $14.2801, $11.87
03/18/2020, $12.05, 28198190, $13, $13.72, $11.89
03/17/2020, $14, 25536510, $14.54, $14.56, $13.11
03/16/2020, $14.41, 24971140, $14.02, $16.04, $13.26
03/13/2020, $16.16, 29182070, $15.72, $16.17, $14.32
03/12/2020, $14.42, 47922920, $15.62, $16.69, $14.41
03/11/2020, $17.38, 33296710, $17.32, $18.14, $17.05
03/10/2020, $18.19, 40379870, $19.14, $19.23, $17.13
03/09/2020, $17.31, 86147960, $17.9, $17.9, $12.91
03/06/2020, $23.85, 23793240, $24.88, $25.16, $23.52
03/05/2020, $25.83, 15754600, $26.13, $26.25, $25.235
03/04/2020, $27.08, 16155940, $27.21, $27.38, $26.26
03/03/2020, $26.81, 22020360, $27.62, $27.91, $26.265
03/02/2020, $27.79, 23253050, $27.65, $27.79, $26.17
02/28/2020, $27.09, 26832540, $25.81, $27.16, $25.45
02/27/2020, $26.84, 23765670, $27.53, $28.2799, $26.815
02/26/2020, $28.38, 19249380, $29.59, $29.7432, $28.38
02/25/2020, $29.34, 18709680, $30.99, $31.05, $29.22
02/24/2020, $30.93, 16714870, $31.89, $31.99, $30.81
02/21/2020, $33.39, 7246643, $33.47, $33.55, $32.87
02/20/2020, $33.83, 7836039, $34.49, $34.7073, $33.78
02/19/2020, $34.29, 6592276, $33.88, $34.34, $33.64
02/18/2020, $33.65, 11798230, $33.9, $33.991, $32.88
02/14/2020, $34.42, 7904645, $34.81, $34.87, $34.135
02/13/2020, $34.67, 11718030, $34.84, $35.02, $33.97
02/12/2020, $35.05, 9094918, $35.22, $35.375, $34.44
02/11/2020, $34.29, 8825551, $34.15, $34.35, $33.87
02/10/2020, $34.35, 7197775, $34.12, $34.37, $33.8129
02/07/2020, $34.42, 8582101, $34, $34.7638, $33.88
02/06/2020, $34.51, 7980295, $35.22, $35.22, $34.42
02/05/2020, $35.07, 11399930, $34.77, $35.66, $34.73
02/04/2020, $34.07, 12373580, $34.23, $34.73, $33.95
02/03/2020, $33.46, 9205559, $33.44, $33.7, $33.19
01/31/2020, $33.51, 16888210, $33.49, $33.86, $33.1827
01/30/2020, $34.04, 10489580, $33.14, $34.08, $33
01/29/2020, $33.73, 9011227, $34.3, $34.63, $33.72
01/28/2020, $33.96, 10938230, $34.22, $34.23, $33.49
01/27/2020, $33.96, 17360610, $34.55, $34.735, $33.87
01/24/2020, $35.77, 10408610, $36.22, $36.22, $35.35
01/23/2020, $36.43, 11843980, $36.07, $36.53, $35.57
01/22/2020, $36.68, 12796780, $36.8, $36.82, $36.23
01/21/2020, $36.95, 16710200, $37.63, $37.73, $36.89
01/17/2020, $38.37, 17644560, $39.01, $39.97, $38.18
01/16/2020, $38.78, 11771130, $38.57, $38.93, $38.355
01/15/2020, $38.33, 13737830, $39.2, $39.36, $38.14
01/14/2020, $39.53, 13961460, $38.98, $39.53, $38.39
01/13/2020, $39.23, 11668010, $39.83, $39.84, $38.97
01/10/2020, $39.83, 8089935, $39.73, $40.09, $39.5106
01/09/2020, $39.86, 12186070, $39.52, $40.09, $38.725
01/08/2020, $39.41, 11328090, $40.28, $40.44, $39.31
01/07/2020, $40.61, 10990850, $40.53, $40.61, $39.73
01/06/2020, $40.82, 15539990, $40.61, $41.075, $40.19
01/03/2020, $40.56, 9755952, $41, $41.14, $40
01/02/2020, $40.17, 8694538, $40.52, $40.72, $40.075
12/31/2019, $40.2, 10649720, $40.01, $40.22, $39.53
12/30/2019, $40.4, 8159958, $40.01, $40.75, $40
12/27/2019, $40, 6769230, $40.13, $40.38, $39.83
12/26/2019, $40.07, 7629938, $40.86, $40.88, $39.93
12/24/2019, $40.65, 3860440, $40.74, $40.93, $40.35
12/23/2019, $40.79, 9912383, $39.44, $40.89, $39.43
12/20/2019, $39.43, 13466200, $39.93, $39.97, $39.18
12/19/2019, $39.61, 7048630, $39.59, $39.8301, $39.48
12/18/2019, $39.62, 9204390, $39.2, $40, $38.97
12/17/2019, $39.46, 9658909, $39.5, $39.92, $39.3
12/16/2019, $39.4, 12149330, $39.11, $39.84, $39.11
12/13/2019, $39, 11981180, $39.35, $39.51, $38.55
12/12/2019, $39.07, 13615820, $38.42, $39.64, $38.33
12/11/2019, $38.4, 15744020, $37.5, $38.5, $37.48
12/10/2019, $37.34, 9497163, $37.23, $37.48, $36.71
12/09/2019, $37.16, 8769283, $36.54, $37.46, $36.54
12/06/2019, $36.89, 8525715, $36.06, $37.03, $36.01
12/05/2019, $35.85, 6837140, $36.4, $36.47, $35.56
12/04/2019, $36.19, 9780295, $35.48, $36.3625, $35.28
12/03/2019, $34.99, 10628390, $35.16, $35.39, $34.52
