Date, Close/Last, Volume, Open, High, Low
03/30/2020, $129.31, 1502096, $125.7, $130.46, $124.425
03/27/2020, $124.38, 1300897, $123.93, $128.35, $120.17
03/26/2020, $127.97, 1373511, $122.24, $128.34, $121.56
03/25/2020, $121.32, 1528164, $119.99, $125.63, $117.9092
03/24/2020, $120.63, 1709625, $114.28, $121.47, $114.01
03/23/2020, $108.48, 1508889, $110.35, $112.48, $104.9
03/20/2020, $110, 1825482, $116.6, $119.56, $109.21
03/19/2020, $114.96, 1424832, $113.85, $117.295, $108.79
03/18/2020, $114.23, 1858077, $112.89, $115.68, $108.52
03/17/2020, $119.62, 1780393, $115.02, $120.65, $111.1
03/16/2020, $112.75, 2003305, $112.59, $125.38, $109.13
03/13/2020, $129.88, 2032229, $124.91, $129.97, $116.465
03/12/2020, $119.15, 2429200, $123.12, $129.04, $119.06
03/11/2020, $131.74, 2063148, $131.55, $135.33, $128.82
03/10/2020, $135.19, 1614383, $131.39, $135.29, $128.07
03/09/2020, $127.7, 1870788, $128.11, $132.67, $126
03/06/2020, $137.72, 1491329, $136.88, $139.76, $133.71
03/05/2020, $142.64, 1486626, $142.91, $145.32, $141.31
03/04/2020, $146.82, 1529156, $142.58, $146.96, $141.62
03/03/2020, $140.12, 2075055, $141.22, $144.33, $138.19
03/02/2020, $141.63, 1692741, $137.96, $141.73, $135.41
02/28/2020, $137.93, 3132575, $131.51, $138.07, $131.51
02/27/2020, $136.83, 1840915, $139.84, $141.765, $136.12
02/26/2020, $142.04, 2041163, $142.96, $145.83, $141.1
02/25/2020, $142.16, 2163125, $147.35, $148.03, $141.56
02/24/2020, $145.94, 2503576, $144.97, $146.93, $141.3
02/21/2020, $149.33, 2777362, $153.52, $154.24, $148.16
02/20/2020, $155.08, 4667237, $159.06, $160.5, $151.05
02/19/2020, $164.99, 1760881, $165.24, $166.87, $164.52
02/18/2020, $162.92, 911429, $164.01, $164.49, $162.38
02/14/2020, $163.35, 784916, $162.01, $164.1, $162.01
02/13/2020, $161.37, 788823, $158.78, $161.93, $158.2758
02/12/2020, $159.52, 682849, $158.2, $160.02, $156.95
02/11/2020, $158.22, 837300, $157.88, $159.53, $157.15
02/10/2020, $156.92, 676522, $153.64, $157.11, $153.56
02/07/2020, $154.28, 588997, $154.5, $155.18, $153.345
02/06/2020, $154.77, 507905, $154.8, $156.13, $154.2
02/05/2020, $154.21, 982933, $157.44, $158, $153.57
02/04/2020, $155.81, 1160602, $152.58, $155.92, $152.02
02/03/2020, $150.26, 969287, $148.77, $150.85, $148.5
01/31/2020, $147.51, 984598, $150.22, $150.5, $147.14
01/30/2020, $150.82, 1337710, $149.66, $150.87, $148.64
01/29/2020, $150.44, 765258, $153, $153.37, $150.34
01/28/2020, $152.05, 829857, $151.67, $152.71, $150.855
01/27/2020, $150.38, 886809, $150.74, $151.45, $149.27
01/24/2020, $154.05, 826678, $156.29, $156.97, $153.3
01/23/2020, $154.96, 856839, $153, $155.359, $152.11
01/22/2020, $153.41, 648883, $154.16, $155.7, $153.31
01/21/2020, $153.58, 1015752, $151.1, $154.07, $151
01/17/2020, $151.86, 1431800, $150.31, $151.99, $149.1138
01/16/2020, $149.69, 819316, $148.49, $149.75, $148.23
01/15/2020, $147.91, 842366, $148.78, $150.03, $147.46
01/14/2020, $148.19, 802308, $149.59, $149.59, $147.26
01/13/2020, $149.93, 717051, $148.96, $150.43, $148.65
01/10/2020, $148.46, 739555, $149.77, $150.53, $147.22
01/09/2020, $148.67, 1211799, $147.04, $149.3, $146.52
01/08/2020, $145.86, 1241771, $143.2, $146.6, $142.5627
