Date, Close/Last, Volume, Open, High, Low
04/13/2020, $57.72, 4771812, $60, $60.23, $57.16
04/09/2020, $60.33, 7530945, $58.91, $61.86, $58.81
04/08/2020, $58.18, 5636153, $55.28, $58.62, $54.8
04/07/2020, $55.12, 6086049, $57.36, $57.5, $54.88
04/06/2020, $55.4, 6795841, $52.53, $56.2, $52.23
04/03/2020, $50.27, 6180478, $51.59, $52.82, $49.94
04/02/2020, $52.4, 5471118, $49.41, $52.85, $49.31
04/01/2020, $50.14, 6933156, $51.9, $52.43, $49.26
03/31/2020, $54.14, 9808419, $57, $57.29, $53.59
03/30/2020, $57.99, 7222648, $56.72, $58.37, $56.26
03/27/2020, $56.01, 10065110, $53.22, $58.26, $53
03/26/2020, $55.14, 8650472, $50, $55.8, $49.902
03/25/2020, $50.14, 8206540, $48.91, $52, $47.22
03/24/2020, $49.04, 8055163, $45.57, $49.39, $44.71
03/23/2020, $43.23, 10345980, $45.68, $45.84, $41.96
03/20/2020, $46.36, 11839180, $51.01, $51.22, $46.15
03/19/2020, $50.9, 6855363, $55.92, $56.02, $50.51
03/18/2020, $55.92, 8141908, $53.01, $56.15, $50.54
03/17/2020, $56.56, 10298360, $49.01, $56.58, $48.933
03/16/2020, $47.62, 10451500, $48.92, $52.63, $47.33
03/13/2020, $53.97, 9862382, $55.12, $55.19, $51
03/12/2020, $52.19, 10790440, $53.82, $56.68, $50.03
03/11/2020, $58.18, 7726640, $60.44, $60.74, $57.09
03/10/2020, $62.02, 10316630, $63.09, $63.38, $58.97
03/09/2020, $62.16, 8520034, $62.86, $65.11, $61.7
03/06/2020, $66.87, 9790809, $65.51, $67.155, $63.5
03/05/2020, $67.57, 7867244, $67, $68.56, $66.31
03/04/2020, $67.8, 6517378, $64.64, $67.84, $64.63
03/03/2020, $63.9, 9656733, $64.73, $66, $63.61
03/02/2020, $63.93, 7744633, $60.66, $64.15, $60.27
02/28/2020, $60.36, 15575380, $61.7, $61.86, $59.07
02/27/2020, $62.88, 8529125, $65.78, $66.28, $62.87
02/26/2020, $66.19, 5026437, $66.78, $67.5477, $66.15
02/25/2020, $66.86, 5246595, $67.9, $68.13, $66.59
02/24/2020, $67.8, 5644286, $68.74, $69.47, $67.7
02/21/2020, $68.99, 5386374, $69.63, $70.3714, $68.96
02/20/2020, $69.81, 5046866, $67.55, $69.92, $67.53
02/19/2020, $68.61, 4894346, $69.38, $69.43, $68.6
02/18/2020, $69.4, 5167521, $69.17, $69.55, $69.15
02/14/2020, $69.02, 5032133, $69.12, $69.23, $68.76
02/13/2020, $69.54, 4513560, $68.6, $69.67, $68.54
02/12/2020, $68.62, 3545001, $68.34, $68.9, $68.17
02/11/2020, $68.59, 3341918, $68.57, $68.78, $68.27
02/10/2020, $68.44, 3659805, $68.54, $68.6, $68.0899
02/07/2020, $68.38, 3732436, $69.03, $69.14, $68.31
02/06/2020, $68.84, 5625664, $68.75, $69.43, $68.56
02/05/2020, $69.03, 6441968, $69.4, $69.55, $68.6
02/04/2020, $69.54, 5504430, $70.45, $70.7601, $69.41
02/03/2020, $70.7, 3144607, $70.67, $70.775, $70.19
01/31/2020, $70.4, 5468989, $70.86, $71.1, $70.11
01/30/2020, $70.85, 3755428, $70.06, $70.9, $69.73
01/29/2020, $70.1, 3252148, $70.05, $70.33, $69.65
01/28/2020, $70.05, 4714571, $69.75, $70.4423, $69.515
01/27/2020, $69.74, 4412299, $69.41, $70.07, $69.34
01/24/2020, $69.44, 5049065, $69, $69.52, $68.86
01/23/2020, $68.96, 3481587, $67.97, $68.99, $67.9
01/22/2020, $68.3, 3369810, $68.25, $68.58, $68.13
01/21/2020, $68.12, 4546617, $67.34, $68.295, $67.26
01/17/2020, $67.26, 6072694, $66.34, $67.335, $66.22
01/16/2020, $66.15, 3146095, $65.69, $66.185, $65.61
01/15/2020, $65.58, 3772436, $65, $65.7, $64.93
01/14/2020, $64.92, 5153316, $64.55, $64.92, $64.41
01/13/2020, $64.54, 5262286, $63.75, $64.815, $63.71
01/10/2020, $63.66, 4427851, $63.42, $63.8064, $63.3091
01/09/2020, $63.26, 3114698, $62.7, $63.275, $62.55
01/08/2020, $62.6, 3413575, $62.7, $62.84, $62.38
01/07/2020, $62.62, 3199086, $62.56, $62.73, $62.24
01/06/2020, $62.81, 3507936, $62.56, $63, $62.505
01/03/2020, $62.56, 3531817, $62.53, $62.905, $62.425
01/02/2020, $62.62, 4344982, $63.65, $63.67, $62.42
12/31/2019, $63.7, 3767483, $63.31, $63.72, $63.18
12/30/2019, $63.34, 2772727, $63.24, $63.41, $62.93
12/27/2019, $63.46, 2431952, $63.05, $63.48, $62.99
12/26/2019, $63.17, 2360990, $63.09, $63.24, $62.9
12/24/2019, $63.13, 1962502, $63.27, $63.285, $62.96
12/23/2019, $63.26, 3678510, $63.76, $63.95, $63.14
12/20/2019, $63.86, 11392440, $63.75, $64.15, $63.32
12/19/2019, $63.07, 8192105, $63.59, $63.63, $62.39
12/18/2019, $63.63, 6382808, $63.57, $63.87, $63.18
12/17/2019, $63.7, 10598950, $62.4, $64.255, $62.33
12/16/2019, $62.27, 7575041, $60.99, $62.32, $60.98
12/13/2019, $60.76, 5158565, $60.65, $61.175, $60.44
12/12/2019, $60.71, 6447100, $60.5, $61.05, $60.27
12/11/2019, $60.69, 5796504, $60.65, $61, $60.34
12/10/2019, $60.33, 7917539, $61.44, $61.44, $60.09
12/09/2019, $61.44, 4418623, $62.14, $62.27, $61.315
12/06/2019, $62.14, 3520832, $62.72, $62.84, $62.095
