Date, Close/Last, Volume, Open, High, Low
03/30/2020, $56.27, 4848877, $57.57, $58, $54.8137
03/27/2020, $58.17, 4837796, $60.42, $60.46, $55.7
03/26/2020, $62.1, 8733597, $62.69, $65.49, $58.4
03/25/2020, $62.34, 8662163, $55.72, $69.54, $54.73
03/24/2020, $54.73, 7401777, $54.45, $57.18, $52.5601
03/23/2020, $50.16, 10695030, $48.5, $52.12, $46.05
03/20/2020, $48.14, 9258399, $58.97, $63.41, $46.16
03/19/2020, $55.74, 10392160, $46.31, $59.5, $45.5
03/18/2020, $44.92, 12166940, $54.5, $55.54, $43.52
03/17/2020, $58.86, 10561640, $66.55, $67.47, $53.96
03/16/2020, $65.79, 5743632, $78.88, $78.89, $65.32
03/13/2020, $89.77, 7038747, $88.85, $91.27, $81.6
03/12/2020, $83.49, 7611274, $92.52, $95.74, $82.76
03/11/2020, $101.5, 5926562, $108.68, $109.55, $100
03/10/2020, $111.44, 6010189, $107, $112.49, $102.78
03/09/2020, $103.04, 6489414, $112.5, $112.53, $103.0001
03/06/2020, $119.06, 3613082, $116.96, $119.69, $115.05
03/05/2020, $119.9, 3553646, $121.4, $121.43, $117.6
03/04/2020, $123.49, 3673550, $123.32, $124.44, $120.09
03/03/2020, $122.47, 4913137, $127.08, $130.3, $121.14
03/02/2020, $127.22, 3437933, $123.45, $127.33, $120.35
02/28/2020, $123.08, 5790396, $123.82, $125.89, $119.91
02/27/2020, $125.8, 3834703, $130.04, $132.54, $125.02
02/26/2020, $132.23, 2228362, $136.34, $137.37, $132.2
02/25/2020, $135.28, 4040708, $140.78, $141.04, $134.81
02/24/2020, $140.78, 3097420, $140.39, $141.05, $139.37
02/21/2020, $142.25, 3180155, $139.85, $142.77, $139.85
02/20/2020, $140.53, 2202290, $137.02, $140.54, $136.65
02/19/2020, $137.01, 2267773, $138.87, $138.87, $135.4201
02/18/2020, $139.17, 1594349, $138.96, $139.58, $137.85
02/14/2020, $138.92, 1501071, $138.86, $139.2706, $137.87
02/13/2020, $138.66, 2557096, $136.93, $140.04, $136.51
02/12/2020, $139.17, 4957391, $141.99, $142.48, $137.98
02/11/2020, $142.08, 3060379, $143.5, $144.3, $139.87
02/10/2020, $143.06, 2893640, $142.11, $143.1, $139.83
02/07/2020, $141.02, 1983625, $140.32, $141.04, $139.29
02/06/2020, $140.86, 2151276, $141.78, $142.64, $140.02
02/05/2020, $140.47, 2811988, $137.27, $140.63, $137.25
02/04/2020, $137.29, 5061182, $131.58, $139.24, $130.01
02/03/2020, $132.8, 2812879, $133.38, $135.8, $132.53
01/31/2020, $133.15, 2920301, $136, $136.22, $132.8601
01/30/2020, $136.45, 2639777, $139.03, $139.94, $136.1
01/29/2020, $140.03, 1667544, $140.28, $141.37, $139.81
01/28/2020, $139.99, 1422355, $141.83, $142.37, $139.95
01/27/2020, $141.63, 2061666, $143.75, $143.91, $141.63
01/24/2020, $144.82, 1893343, $147.21, $147.8, $144.64
01/23/2020, $147.25, 1561308, $145.9, $147.31, $144.42
01/22/2020, $146.01, 1582572, $149.3, $149.65, $145.94
01/21/2020, $149.11, 1628799, $147.73, $149.89, $147.43
01/17/2020, $147.77, 1437017, $148.65, $149.4899, $147.6
01/16/2020, $148.54, 1103946, $147.35, $149.05, $147.03
01/15/2020, $147.1, 1357010, $147.05, $147.75, $146.19
01/14/2020, $147.13, 1584823, $145.51, $147.24, $145.15
01/13/2020, $145.29, 2061346, $144.57, $146.65, $144.2
01/10/2020, $144.79, 1912849, $144.25, $144.95, $143.66
01/09/2020, $144.23, 2236656, $144.86, $145.065, $143.36
01/08/2020, $145.4, 1397595, $144.91, $146.055, $144.03
01/07/2020, $144.45, 1622745, $144.64, $145.49, $143.51
01/06/2020, $146.11, 1026851, $145.09, $146.873, $144.49
01/03/2020, $145.35, 1308231, $144.29, $145.98, $144
01/02/2020, $145.09, 1849421, $149.41, $149.76, $144.85
12/31/2019, $148.96, 1474056, $147.31, $148.97, $147.01
12/30/2019, $147.59, 1070812, $147.6, $148.805, $146.9
12/27/2019, $147.59, 1087162, $147.03, $147.98, $146.8226
12/26/2019, $146.62, 1043709, $146.02, $147.31, $145.985
12/24/2019, $145.77, 518579, $145.19, $146.22, $144.79
12/23/2019, $144.97, 1429620, $145.62, $146.25, $144.3
12/20/2019, $145.49, 2836466, $146.27, $146.88, $144.63
12/19/2019, $145.35, 1788081, $144.22, $145.44, $143.75
12/18/2019, $144.35, 2007695, $143.75, $145.5, $143.75
12/17/2019, $144.66, 2263695, $146.01, $146.01, $143.9501
12/16/2019, $145.58, 2422278, $145.06, $145.61, $142.9
12/13/2019, $144.35, 2403653, $145.07, $146.165, $143.29
12/12/2019, $144.01, 3093060, $145.58, $146.69, $142.4
12/11/2019, $145.4, 3609265, $146.63, $147.44, $144.76
12/10/2019, $149.04, 1896006, $149.9, $150.06, $147.97
12/09/2019, $149.79, 1075903, $148.48, $150.12, $147.62
12/06/2019, $148.24, 1078438, $148.02, $149.78, $148
12/05/2019, $148.5, 1379290, $149.09, $149.51, $147.39
12/04/2019, $149.14, 1712823, $147.14, $149.94, $146.96
12/03/2019, $148.12, 1730068, $148.47, $149.095, $146.0701
12/02/2019, $148.86, 1820819, $151.37, $151.49, $147.87
11/29/2019, $151.21, 789542, $150.81, $151.59, $150.0621
11/27/2019, $151.22, 1088671, $150.74, $151.34, $149.5
11/26/2019, $150.74, 2012398, $149.75, $151.03, $148.58
11/25/2019, $149.24, 1513113, $147.87, $149.83, $147.13
11/22/2019, $147.7, 1224752, $147.08, $148.21, $144.52
11/21/2019, $146.51, 1506764, $148.1, $148.31, $146.23
11/20/2019, $148.23, 1801670, $150.32, $150.69, $145.87
11/19/2019, $150.84, 1124432, $153.49, $153.49, $150.38
11/18/2019, $153.71, 981195, $154.13, $154.45, $153.13
11/15/2019, $154, 1034122, $153.89, $154.75, $153.02
11/14/2019, $153.57, 1120697, $152.01, $154.385, $151.97
