Date, Close/Last, Volume, Open, High, Low
03/30/2020, $246.99, 2529539, $241.41, $248.63, $239.01
03/27/2020, $239.75, 2924894, $239.08, $246.53, $236.77
03/26/2020, $244.95, 2884408, $231.53, $246.55, $230.41
03/25/2020, $227.19, 2045268, $220.13, $234.7, $217.333
03/24/2020, $218.66, 2755784, $202.78, $219.4, $199.9
03/23/2020, $192.05, 2605201, $202.83, $212.03, $191.32
03/20/2020, $208.79, 3558629, $211.01, $215, $205.11
03/19/2020, $207.78, 3203523, $192.79, $211.92, $186.74
03/18/2020, $193.08, 4235652, $212.9, $218.52, $186.055
03/17/2020, $227.66, 3205266, $228.62, $231.285, $220.15
03/16/2020, $222.16, 3119429, $222.61, $232.32, $209.69
03/13/2020, $248.1, 3394465, $237.73, $249.92, $225.68
03/12/2020, $221.46, 4659918, $224.23, $231.3899, $213.67
03/11/2020, $240.36, 3395473, $250.91, $254.77, $237.23
03/10/2020, $259.17, 3059284, $252.51, $259.43, $245.6763
03/09/2020, $242.51, 3947456, $249.84, $258.78, $241.947
03/06/2020, $271.06, 2513676, $268.89, $272.31, $264
03/05/2020, $278.42, 1824765, $289.3, $289.48, $274.96
03/04/2020, $296.06, 1468325, $285.03, $296.24, $281.93
03/03/2020, $280.14, 2691843, $289.83, $297.64, $277.66
03/02/2020, $289.31, 3140765, $271.05, $291.27, $269.22
02/28/2020, $265.91, 2901471, $260.22, $265.92, $257
02/27/2020, $267.15, 2298287, $276.85, $277.38, $267.15
02/26/2020, $282.77, 1460483, $283.72, $289.34, $281.35
02/25/2020, $282.63, 1439359, $291.25, $292.82, $280.95
02/24/2020, $290.9, 2006010, $284.81, $292.73, $283.32
02/21/2020, $293.25, 2066660, $301.42, $301.88, $291.655
02/20/2020, $303.41, 1898476, $310.09, $310.365, $300.52
02/19/2020, $311.16, 1341095, $308.14, $312.94, $307.18
02/18/2020, $306.74, 1047031, $306.93, $308.93, $304.28
02/14/2020, $307.65, 979283, $301.73, $307.7, $300.55
02/13/2020, $301.35, 1107731, $301.92, $303.82, $297.6
02/12/2020, $303.83, 1288038, $295.35, $304.14, $294.68
02/11/2020, $294.12, 1397488, $297.18, $298.08, $292.5767
02/10/2020, $296.56, 1088974, $294.43, $296.79, $293.7448
02/07/2020, $295.48, 1401623, $297.11, $297.62, $294.74
02/06/2020, $295.52, 1975094, $296.98, $298.89, $292.27
02/05/2020, $294.77, 1324179, $299.57, $300.355, $291.66
02/04/2020, $297.92, 1308004, $298.97, $300.889, $297.81
02/03/2020, $295.67, 1002254, $294.65, $297.37, $294.28
01/31/2020, $293.73, 1209723, $298.51, $299.89, $292.67
01/30/2020, $299.86, 913883, $296.64, $300.1, $295.29
01/29/2020, $297.31, 760113, $298.92, $300.715, $297.01
01/28/2020, $297.28, 882437, $294.09, $298.43, $293.4
01/27/2020, $293.13, 919424, $291, $293.93, $290.01
01/24/2020, $294.83, 835826, $298.67, $299.14, $293.32
01/23/2020, $297.19, 813355, $294.39, $297.94, $294.39
01/22/2020, $297.42, 956340, $298.9, $299.59, $296.88
01/21/2020, $296.2, 1423494, $294.76, $297.59, $294.01
01/17/2020, $296.79, 2246627, $299.42, $299.44, $295.41
01/16/2020, $298.19, 789475, $296.19, $298.2, $294.02
01/15/2020, $294.38, 1066246, $290, $296.15, $290
01/14/2020, $290.17, 1249145, $293.85, $294.26, $289.9
01/13/2020, $294.24, 961736, $288.76, $294.26, $288.44
01/10/2020, $288.94, 834499, $290.64, $290.91, $288.09
01/09/2020, $289.58, 1316140, $285.68, $290.9, $285.68
01/08/2020, $285.01, 1004476, $281.93, $286.81, $281.125
01/07/2020, $280.98, 1253709, $283.12, $286.69, $280.97
01/06/2020, $279.04, 875497, $275.6, $279.07, $274.77
01/03/2020, $276.91, 576754, $274.55, $278.2, $274.03
01/02/2020, $277.84, 1092326, $274.57, $277.9, $273.72
12/31/2019, $273.05, 638939, $271.51, $273.3, $270.85
12/30/2019, $271.94, 539003, $274.38, $274.74, $271.01
12/27/2019, $274.29, 688782, $274.44, $274.86, $272.39
12/26/2019, $273.56, 450279, $273.33, $274.33, $272.43
12/24/2019, $272.5, 363043, $271.84, $273.05, $271.05
12/23/2019, $271.37, 1054441, $272.92, $273.435, $270.9
12/20/2019, $271.66, 1695071, $272.5, $273.91, $270.5
12/19/2019, $272.48, 1570452, $268.96, $272.52, $268.78
12/18/2019, $269.45, 1603950, $272.34, $272.5675, $268.9
12/17/2019, $271.56, 1667538, $274.03, $274.03, $271.56
12/16/2019, $272.61, 1173113, $273.32, $273.975, $271.25
12/13/2019, $271.2, 1468719, $269.08, $271.48, $268.19
12/12/2019, $270.29, 1779499, $272.09, $272.575, $270.2
12/11/2019, $272.15, 1267006, $272.75, $273.7, $271.215
12/10/2019, $271.66, 971211, $271.96, $273.535, $270.805
12/09/2019, $272.06, 1097547, $275.19, $275.19, $271.92
12/06/2019, $274.38, 1585735, $273.62, $275.75, $272.01
12/05/2019, $271.54, 1523524, $269.56, $272.14, $268.74
12/04/2019, $268.46, 1012958, $263.69, $268.98, $263.35
12/03/2019, $264, 1337749, $260.05, $264.03, $259.45
12/02/2019, $262.19, 1967590, $265.21, $266.65, $261.36
11/29/2019, $264.65, 1037691, $264.41, $267.095, $264.085
11/27/2019, $265.5, 1231626, $266.91, $267.87, $262.54
11/26/2019, $266.9, 2976122, $266.53, $267.33, $265.06
11/25/2019, $265.85, 1251307, $264.77, $267.79, $264.75
11/22/2019, $265.21, 932315, $268.85, $269.24, $263.9
11/21/2019, $264.39, 1031602, $268.2, $269.95, $263.84
11/20/2019, $268.1, 1180939, $267.7, $272.65, $266.69
11/19/2019, $267.87, 1238896, $265.57, $270.45, $265.5226
11/18/2019, $264.08, 851492, $263.2, $265.34, $262.11
11/15/2019, $262.89, 856303, $261.6, $262.97, $259.83
11/14/2019, $260, 465881, $258.23, $260.19, $257.23
11/13/2019, $258.62, 648263, $255.07, $259.67, $254.57
11/12/2019, $255.13, 620883, $255.72, $257.126, $254.415
11/11/2019, $255.07, 499266, $253.66, $257.08, $252.37
11/08/2019, $255.3, 646755, $255, $256.5, $253.3225
11/07/2019, $255.59, 1142172, $254.85, $256.12, $252.215
11/06/2019, $253.39, 1308878, $251.09, $254.15, $250.43
11/05/2019, $251.19, 988638, $255.96, $256.575, $249.08
11/04/2019, $256.34, 1126028, $260.23, $260.55, $255.33
11/01/2019, $258.8, 1088996, $260.01, $261.38, $257.87
10/31/2019, $257.99, 1220750, $254.56, $259.18, $254.56
10/30/2019, $254.65, 1147425, $256.31, $257.29, $251
10/29/2019, $256.22, 1351895, $254.6, $258.2491, $252.1
10/28/2019, $248.59, 1288464, $249.67, $250.24, $246.9
10/25/2019, $249.27, 801803, $247.95, $250.06, $247.785
10/24/2019, $248.4, 1108410, $245.58, $250.14, $244.017
10/23/2019, $243.91, 1472576, $245.64, $246.87, $241.35
10/22/2019, $246.18, 993076, $251.31, $253.27, $245.96
10/21/2019, $251.42, 880638, $252.07, $252.07, $249.25
10/18/2019, $250.48, 1137321, $251.91, $253.04, $249.08
10/17/2019, $253, 1082561, $253.12, $254.15, $252.36
10/16/2019, $252.3, 728623, $252.9, $252.9, $248.38
10/15/2019, $253.45, 894556, $253.75, $256.1, $252.515
10/14/2019, $251.37, 661937, $252.4, $253.78, $251.12
10/11/2019, $252.99, 1307200, $255.06, $256.03, $252.65
10/10/2019, $250.97, 1169391, $247.89, $252.08, $247.77
10/09/2019, $248.79, 1266095, $245.13, $249.55, $244
10/08/2019, $241.85, 1045569, $243.59, $245.3309, $239.64
10/07/2019, $245.58, 1110316, $243.4, $247.265, $243.4
10/04/2019, $244.44, 1244529, $240.61, $245.18, $240.58
10/03/2019, $239.62, 1313120, $236.44, $239.71, $233.485
10/02/2019, $236.44, 1325445, $241.19, $241.9, $235.75
10/01/2019, $242.85, 2485091, $244.7, $245.025, $242.055
09/30/2019, $244.98, 2719036, $246.43, $249.27, $244.28
09/27/2019, $246.35, 2088547, $257.34, $258.46, $243.04
