Date, Close/Last, Volume, Open, High, Low
04/13/2020, $126.98, 1908891, $129.77, $130.54, $125.13
04/09/2020, $130.53, 2161587, $122.98, $133.1425, $122.0898
04/08/2020, $122.05, 1748592, $117.65, $123.03, $116.09
04/07/2020, $116.67, 1968072, $117.66, $121.22, $115.77
04/06/2020, $114.04, 2025913, $108.95, $116.1, $108.44
04/03/2020, $104.28, 1642240, $104.65, $107.3, $103.3
04/02/2020, $106.26, 1618104, $102.18, $107.64, $101.18
04/01/2020, $103.71, 1810122, $108.35, $109.47, $101.665
03/31/2020, $112.99, 3502848, $118.35, $119.4162, $112.14
03/30/2020, $119.99, 2348416, $122.63, $124.44, $118.25
03/27/2020, $121.13, 1585880, $118.95, $125.29, $116.01
03/26/2020, $123.6, 2016986, $111.35, $125.28, $110.03
03/25/2020, $114.02, 3365544, $104.16, $119.62, $101.13
03/24/2020, $104.03, 2826690, $96.67, $105.65, $95.37
03/23/2020, $93.42, 3145438, $100.31, $100.31, $88
03/20/2020, $99.64, 5236612, $99.15, $105.84, $97.32
03/19/2020, $100, 2471378, $101.46, $101.56, $96.44
03/18/2020, $102.4, 3882874, $92.99, $102.95, $89.16
03/17/2020, $98.38, 5059134, $89.29, $100.55, $88.295
03/16/2020, $88.62, 3728853, $98, $101.82, $88.127
03/13/2020, $106.92, 3748220, $109.78, $109.98, $98.16
03/12/2020, $104.27, 3994865, $116.42, $116.42, $103.845
03/11/2020, $122.95, 3825087, $127.27, $127.79, $117.74
03/10/2020, $130.6, 4230161, $129.86, $134.02, $122.18
03/09/2020, $127.76, 3550675, $134.1, $136.14, $125.11
03/06/2020, $141.87, 2474701, $138.11, $142.65, $136.72
03/05/2020, $141.76, 3109451, $144.92, $145.4, $140.79
03/04/2020, $147.84, 1564737, $142.7, $148, $142.52
03/03/2020, $141.02, 2534134, $142.65, $146.272, $139.94
03/02/2020, $142.23, 3323619, $140.46, $143.7, $139.17
02/28/2020, $139.78, 4207933, $138.1, $140.84, $134.645
02/27/2020, $141.42, 3214035, $147.56, $150.67, $141.38
02/26/2020, $146.87, 2132303, $149.95, $150.935, $146.46
02/25/2020, $149.57, 1744921, $154.49, $154.77, $149.09
02/24/2020, $154.16, 2065888, $157.84, $158.23, $154.12
02/21/2020, $158.43, 1285783, $159.57, $160.59, $158.24
02/20/2020, $159.89, 1182209, $159.33, $160.27, $158.84
02/19/2020, $159.73, 789959, $160.65, $161.28, $159.65
02/18/2020, $160.89, 1158485, $161.5, $161.76, $160.46
02/14/2020, $160.96, 774379, $159.62, $160.96, $159.62
02/13/2020, $159, 1261066, $158.79, $159.79, $157.77
02/12/2020, $158.89, 825912, $157.91, $159.3, $157.57
02/11/2020, $158.56, 677853, $158.53, $159.58, $158.12
02/10/2020, $157.98, 885054, $158.69, $159.25, $157.6
02/07/2020, $158.59, 1250708, $160.66, $161.08, $158.36
02/06/2020, $160.5, 1344149, $159.34, $161.24, $158.63
02/05/2020, $159.05, 976849, $158.94, $160.315, $158.53
02/04/2020, $158.97, 1422049, $160.68, $161.66, $158.78
02/03/2020, $161.06, 958508, $161.29, $161.87, $160.55
01/31/2020, $160.64, 1917380, $160.55, $161.195, $159.57
01/30/2020, $161.13, 929140, $158.77, $161.38, $158.37
01/29/2020, $158.68, 962081, $159.47, $159.81, $158.2
01/28/2020, $159.82, 1000651, $158.95, $159.95, $158.55
01/27/2020, $158.54, 949134, $159.15, $160.2, $157.86
01/24/2020, $159.76, 981134, $159.79, $160.51, $159.01
01/23/2020, $160.06, 1533500, $157.45, $160.18, $157.06
01/22/2020, $157.55, 899731, $158.18, $158.81, $157.08
01/21/2020, $157.96, 1508091, $157.02, $158.12, $156.42
01/17/2020, $157.2, 1445712, $155.48, $157.3, $155.14
01/16/2020, $155.18, 1427995, $154.52, $155.98, $154.28
01/15/2020, $154.14, 1030333, $151.78, $154.47, $151.78
01/14/2020, $151.22, 1341376, $151.25, $151.93, $150.39
01/13/2020, $151.17, 968277, $149.8, $151.8, $149.75
01/10/2020, $149.76, 1144150, $149.25, $150.3, $149.13
01/09/2020, $148.82, 1119418, $149.76, $150.215, $148.55
01/08/2020, $149.9, 1254970, $149.33, $150.48, $149.01
01/07/2020, $148.88, 1211222, $148.35, $149.32, $147.61
01/06/2020, $149, 1108157, $147.74, $149.14, $147.74
01/03/2020, $147.76, 1264854, $148.79, $149.43, $147.67
01/02/2020, $149.12, 1262113, $151.33, $151.49, $148.48
12/31/2019, $151.48, 1003038, $151.17, $151.83, $150.78
12/30/2019, $151.05, 1092320, $150.85, $151.14, $150.15
12/27/2019, $150.87, 731983, $150.73, $151.055, $150.22
12/26/2019, $151.62, 798058, $151.53, $151.74, $150.99
12/24/2019, $150.65, 542376, $150.57, $151.06, $150.065
12/23/2019, $150.56, 1482193, $151.98, $151.98, $150.21
12/20/2019, $151.38, 4603200, $154.26, $154.47, $151.25
12/19/2019, $152.03, 1389969, $151.56, $152.26, $151.12
12/18/2019, $151.64, 1705255, $150.15, $151.84, $149.44
12/17/2019, $150.12, 1253695, $150.75, $151.67, $149.84
12/16/2019, $150.64, 1708134, $149.05, $150.79, $148.71
12/13/2019, $148.78, 1609132, $146.57, $149.07, $146.38
12/12/2019, $146.89, 2647426, $148.53, $148.89, $146.5
12/11/2019, $148.77, 1687607, $147.18, $148.8, $147.08
12/10/2019, $147.48, 2070235, $146.19, $147.92, $145.905
12/09/2019, $145.83, 1913696, $145.93, $146.325, $145.19
12/06/2019, $145.84, 1876054, $147.25, $147.795, $145.79
12/05/2019, $147.39, 837307, $147.29, $147.53, $146.72
12/04/2019, $147.58, 1422765, $147.11, $147.77, $146.59
12/03/2019, $147.92, 906028, $146.8, $147.94, $146.49
12/02/2019, $146.41, 1045195, $146.37, $147.01, $144.67
11/29/2019, $147.27, 484250, $147.82, $148.33, $146.93
11/27/2019, $147.56, 813036, $147.05, $147.68, $146.57
11/26/2019, $146.89, 2278455, $147.18, $147.53, $146.18
11/25/2019, $146.37, 971163, $146.7, $147.78, $146.12
11/22/2019, $146.6, 939619, $146.82, $147.51, $146.05
11/21/2019, $146.8, 912895, $147.72, $148.02, $146.37
11/20/2019, $147.86, 823295, $147.33, $148.4, $146.28
11/19/2019, $147.21, 1637958, $147.47, $148.17, $146.49
11/18/2019, $147.63, 1813040, $146.63, $148.66, $145.935
11/15/2019, $146.13, 1310415, $145.31, $146.28, $144.5665
11/14/2019, $145.47, 1556474, $147.21, $147.68, $144.96
11/13/2019, $146.85, 1270210, $145.19, $147.24, $144.6999
11/12/2019, $144.93, 2539793, $142.71, $145.12, $142.61
11/11/2019, $142.33, 848681, $142.21, $142.48, $141.42
11/08/2019, $142.12, 885436, $141.68, $142.86, $141.505
11/07/2019, $142.11, 1441923, $142.68, $142.86, $141.08
11/06/2019, $143.22, 1452017, $143.35, $144, $142.26
11/05/2019, $143.35, 2124422, $145.2, $145.29, $142.98
11/04/2019, $145.84, 1638007, $147.3, $147.3, $144.92
11/01/2019, $147.29, 2903686, $146.02, $148.47, $145.215
10/31/2019, $144.51, 2868191, $142.06, $144.57, $141.54
10/30/2019, $141.56, 2869730, $141.25, $142, $140.34
10/29/2019, $141.2, 3099440, $141.2, $141.58, $140.806
10/28/2019, $141.17, 3873069, $142.9, $143.21, $140.91
10/25/2019, $143.97, 3195735, $148.51, $148.51, $143.42
10/24/2019, $148.06, 1773841, $147.91, $148.9, $147.44
10/23/2019, $148, 986735, $147.25, $148, $146.46
10/22/2019, $146.88, 946412, $146.68, $147.68, $146.58
10/21/2019, $146.48, 1011232, $146.18, $146.57, $145.25
10/18/2019, $146.23, 2000707, $144.99, $146.93, $144.625
10/17/2019, $144.96, 958372, $144.85, $145.46, $144.5326
10/16/2019, $144.85, 1271967, $144.86, $145.04, $143.54
10/15/2019, $145, 1066366, $145.57, $145.83, $144.3
10/14/2019, $145.43, 970660, $146.04, $146.92, $144.79
10/11/2019, $145.49, 925041, $146.23, $146.504, $145.29
10/10/2019, $146.41, 1035382, $146.4, $147.058, $145.42
10/09/2019, $146.64, 801155, $146.22, $147.42, $145.965
10/08/2019, $145.91, 1270380, $146.28, $146.82, $144.5
10/07/2019, $146.43, 1025890, $146.93, $147.065, $146
10/04/2019, $147.23, 1014952, $145.86, $147.38, $145.27
10/03/2019, $145.66, 2256768, $144.02, $145.73, $143.55
10/02/2019, $143.73, 1673355, $145.4, $146.08, $143.32
10/01/2019, $146.08, 1356875, $147.43, $148.04, $146.08
09/30/2019, $147.61, 2515986, $145.41, $148.14, $144.48
09/27/2019, $144.48, 1780113, $145.07, $145.07, $143.45
09/26/2019, $144.73, 1733961, $144.47, $145.08, $143.5
09/25/2019, $144.01, 954379, $144.1, $144.21, $142.66
09/24/2019, $144.24, 1186464, $142.78, $144.58, $141.87
09/23/2019, $141.87, 1342673, $141.92, $142.63, $141.72
09/20/2019, $142.22, 2358884, $141.25, $142.79, $140.755
09/19/2019, $140.81, 1629429, $139.98, $140.89, $139.03
09/18/2019, $140.2, 3106656, $143.73, $143.9, $140.02
09/17/2019, $143.04, 1426962, $142.08, $143.895, $141.64
09/16/2019, $141.75, 1497395, $142.02, $142.07, $140.92
09/13/2019, $141.7, 1161615, $143.02, $144.23, $141.54
09/12/2019, $143.66, 1427535, $144.07, $144.26, $142.76
09/11/2019, $143.26, 1323137, $141.54, $143.94, $140.82
09/10/2019, $141.77, 1253265, $140.97, $141.99, $140.155
09/09/2019, $141.01, 1168405, $141.58, $141.65, $140.78
09/06/2019, $142, 924057, $142.4, $142.96, $141.55
09/05/2019, $141.83, 1233978, $142.94, $143.68, $141.16
09/04/2019, $144, 830438, $144.07, $144.93, $143.18
09/03/2019, $143.5, 1150297, $141.43, $143.58, $141.27
08/30/2019, $141.63, 1047538, $142.91, $142.91, $141.32
08/29/2019, $142.24, 1444299, $142.33, $142.66, $141.64
08/28/2019, $142, 1253500, $141.57, $142.15, $141.01
08/27/2019, $141.43, 1633399, $142.5, $142.86, $141.03
08/26/2019, $141.79, 1282666, $139.07, $141.92, $138.99
08/23/2019, $139.01, 898520, $140.42, $141.12, $138.17
08/22/2019, $140.13, 896059, $140.9, $141, $139.165
08/21/2019, $140.83, 983314, $139.67, $140.85, $139.61
08/20/2019, $139.66, 1435427, $139.78, $140.02, $138.75
08/19/2019, $139.64, 1561313, $138.59, $140.1, $138.02
08/16/2019, $138.88, 2597800, $138.59, $139.656, $137.85
08/15/2019, $138.54, 1563220, $136.88, $139.05, $136.59
08/14/2019, $136.75, 1294995, $137.72, $139.25, $136.71
08/13/2019, $137.35, 1267089, $133.9, $138.37, $133.9
08/12/2019, $137.14, 2062516, $137.69, $138.34, $136.07
08/09/2019, $137.68, 1120126, $136.99, $138.34, $135.78
08/08/2019, $136.71, 1307195, $135.16, $137.18, $134.465
08/07/2019, $135.16, 1312792, $134.26, $135.46, $132.62
08/06/2019, $133.93, 2197180, $132.02, $134.8, $131.47
08/05/2019, $132.12, 2292205, $136.02, $136.13, $131.32
08/02/2019, $135.68, 1372628, $135.12, $137.3, $135.12
08/01/2019, $135.68, 2520124, $134.435, $136.47, $134.32
07/31/2019, $135.43, 2686787, $136.65, $137.245, $134.56
07/30/2019, $136.47, 2394058, $139.22, $139.85, $135.75
07/29/2019, $139.5, 1473738, $140.26, $140.3959, $139
07/26/2019, $140.26, 746443, $140.73, $141.19, $139.93
07/25/2019, $140.46, 820387, $139.62, $140.72, $139.34
07/24/2019, $139.76, 866319, $139.36, $139.82, $138.09
07/23/2019, $138.95, 1156319, $140.13, $140.75, $138.9
07/22/2019, $140.57, 1839191, $140.6, $141.16, $139.64
07/19/2019, $140.05, 1373341, $140.88, $141.16, $139.67
07/18/2019, $141.17, 1275073, $139.81, $141.29, $139.36
