Date, Close/Last, Volume, Open, High, Low
04/13/2020, $157.63, 1783572, $165.88, $166.795, $157.31
04/09/2020, $166.24, 2346742, $162.64, $167.75, $161.11
04/08/2020, $157.77, 3432894, $150.01, $163.8, $149.01
04/07/2020, $149.59, 2491760, $156.49, $162.99, $149.53
04/06/2020, $142.26, 2402066, $138.05, $143.81, $137.01
04/03/2020, $132.17, 3291127, $135.01, $135.01, $125.605
04/02/2020, $131.22, 5828599, $127, $132.93, $117.72
04/01/2020, $136.88, 1643240, $138.58, $142.66, $135.52
03/31/2020, $143.36, 1792327, $144.6, $149.48, $142
03/30/2020, $146.44, 1793577, $144.2, $147.89, $140
03/27/2020, $144.88, 3154134, $135, $148.8, $135
03/26/2020, $140.69, 2699961, $128.39, $142.51, $127.802
03/25/2020, $126.61, 3302679, $124.75, $133.725, $123.725
03/24/2020, $123.82, 3815089, $111.14, $125, $107.69
03/23/2020, $105.64, 5876264, $117.25, $119.7, $104.28
03/20/2020, $119.7, 3165905, $126.6, $129.98, $116.39
03/19/2020, $123.06, 2497358, $120, $125.525, $114.67
03/18/2020, $121.25, 3366857, $116.43, $124.31, $107.16
03/17/2020, $124.45, 3369649, $125.58, $127.11, $110.04
03/16/2020, $124.75, 3623540, $118.23, $127.4, $107
03/13/2020, $132.98, 3842465, $141.24, $143.2376, $122.37
03/12/2020, $131.43, 3220877, $144.1, $144.7, $129.85
03/11/2020, $155.07, 1913865, $161.16, $162.81, $153.855
03/10/2020, $165.32, 2004217, $168.41, $169.92, $160.51
03/09/2020, $164.24, 1775356, $168, $172.09, $161.46
03/06/2020, $179.07, 1667461, $176.69, $181.31, $175.25
03/05/2020, $182.77, 1602017, $181.69, $186.19, $179.45
03/04/2020, $185.96, 1444846, $179.47, $186.8, $178
03/03/2020, $177.59, 1956885, $178.28, $183.45, $174.92
03/02/2020, $177.22, 2010424, $173.25, $177.22, $169.27
02/28/2020, $172.38, 3371225, $170.27, $172.39, $163.53
02/27/2020, $175.66, 2282582, $188.09, $188.41, $175.55
02/26/2020, $190.97, 1125411, $196.44, $197.66, $190.78
02/25/2020, $195.29, 1369600, $202, $202.425, $193.6951
02/24/2020, $201.54, 1146001, $202.4, $204.35, $200.385
02/21/2020, $207.4, 798918, $207.9, $208.24, $205.97
02/20/2020, $208.34, 821689, $206.64, $208.55, $205.24
02/19/2020, $206.64, 805752, $204.21, $207.5, $203.9818
02/18/2020, $203.82, 903674, $203.14, $205.32, $200.72
