Date, Close/Last, Volume, Open, High, Low
03/30/2020, $162.96, 2325887, $161.23, $163.53, $154.43
03/27/2020, $159.22, 3398869, $156.2, $164.12, $153.69
03/26/2020, $163.33, 3278260, $155.13, $165.8799, $153.05
03/25/2020, $153.05, 3657449, $145.75, $158.22, $141.59
03/24/2020, $143.44, 3529504, $136, $144.7, $131.66
03/23/2020, $126.5, 5261797, $136.17, $136.6, $124.54
03/20/2020, $139.38, 5221953, $153.26, $156.88, $139.08
03/19/2020, $149.5, 3485697, $136.76, $153.4, $131.01
03/18/2020, $139, 5096416, $133.28, $139.25, $126.05
03/17/2020, $140.16, 3902432, $146.71, $146.8321, $137
03/16/2020, $143.83, 5757696, $147.87, $150.82, $138.235
03/13/2020, $164.3, 4716858, $165, $165.95, $152
03/12/2020, $154.25, 4075105, $166, $170.5499, $153.92
03/11/2020, $175.62, 2881054, $178.72, $179.22, $171.81
03/10/2020, $183.56, 2987247, $179.73, $183.79, $173.33
03/09/2020, $172.63, 3096097, $175.32, $177.8399, $171.33
03/06/2020, $185.88, 2798717, $185.65, $187.6952, $183.98
03/05/2020, $189.6, 2797850, $197.19, $197.19, $185.88
03/04/2020, $198.4, 2532720, $194.58, $198.5, $189.97
03/03/2020, $188.83, 3061078, $198.7, $201.505, $185.66
03/02/2020, $197.22, 2504091, $192.44, $197.25, $190.57
02/28/2020, $190.59, 3098110, $188.14, $191.9609, $185.03
02/27/2020, $194.85, 2091094, $198.42, $202.16, $194.85
02/26/2020, $201.66, 1993554, $207.55, $210.985, $201.6
02/25/2020, $206.31, 1995300, $215.56, $216.27, $205.25
02/24/2020, $215.55, 1616998, $219.1, $219.9, $214.23
02/21/2020, $224.3, 1732955, $223.38, $224.49, $222.28
02/20/2020, $224.47, 1006299, $225.1, $225.95, $222.2764
02/19/2020, $225.1, 1243707, $222.57, $226.3, $222.05
02/18/2020, $221.93, 1533332, $221, $221.95, $218.78
02/14/2020, $221.54, 1447432, $217.79, $221.62, $216.52
