Date, Close/Last, Volume, Open, High, Low
04/13/2020, $47.05, 3125875, $49.65, $49.81, $45.47
04/09/2020, $49.59, 6393245, $49.04, $52.68, $48.77
04/08/2020, $47.25, 5878435, $47.28, $50, $46.45
04/07/2020, $46.07, 6634883, $48.64, $49.62, $45.75
04/06/2020, $45.01, 6654878, $42.05, $45.54, $41.53
04/03/2020, $39.5, 6871602, $40.6, $41, $37.2
04/02/2020, $41.29, 4878223, $40.99, $43.475, $40.41
04/01/2020, $41.87, 7411564, $41.98, $42.7, $39.01
03/31/2020, $45.63, 5557039, $46.05, $48.18, $45.55
03/30/2020, $46.35, 7373500, $49.56, $49.99, $45.45
03/27/2020, $50.45, 9237817, $50.03, $53.12, $48.88
03/26/2020, $53.48, 10604060, $47.21, $54.03, $47
03/25/2020, $45.65, 10269100, $39.54, $47.02, $39.43
03/24/2020, $38.98, 10948110, $39.3, $43, $37.88
03/23/2020, $36.27, 11719190, $34.58, $36.94, $32.37
03/20/2020, $35.33, 13695340, $41.69, $45.68, $35.2
03/19/2020, $37.11, 11766450, $31.05, $40.48, $28.7601
03/18/2020, $31.24, 26221600, $33.62, $33.62, $26
03/17/2020, $35.06, 17467730, $38.02, $38.38, $32.04
03/16/2020, $37.75, 10264160, $40.72, $42.4011, $37.5
03/13/2020, $47.07, 15153520, $48.6, $49.42, $43.26
03/12/2020, $43.51, 9736201, $49.92, $51.55, $43.49
03/11/2020, $55.15, 7360158, $60.97, $61.69, $54.43
03/10/2020, $62.42, 4385831, $62.71, $62.86, $59.5613
03/09/2020, $61.25, 4898633, $62.5, $63.78, $60.25
03/06/2020, $66.95, 3331262, $66.02, $67.3, $65.13
03/05/2020, $67.65, 3987232, $69.19, $69.935, $66.96
03/04/2020, $70.65, 3063897, $69.17, $70.67, $67.78
03/03/2020, $68.5, 4131938, $69.38, $73.26, $67.47
03/02/2020, $69.68, 5054981, $67.11, $69.885, $67.02
02/28/2020, $66.65, 5832031, $67.97, $68.26, $65.52
02/27/2020, $69.68, 4305055, $72.25, $72.435, $69.66
02/26/2020, $72.87, 3585108, $74.32, $74.65, $72.6902
02/25/2020, $74.05, 3031230, $75.65, $76.22, $73.91
02/24/2020, $75.54, 1951334, $76.63, $76.8, $75.4
02/21/2020, $77.04, 1883494, $76.7, $77.31, $76.45
02/20/2020, $76.71, 1398370, $76.28, $77.04, $76
02/19/2020, $76.2, 1553074, $76.81, $77.18, $76.01
02/18/2020, $76.83, 3264590, $78.06, $78.49, $76.64
02/14/2020, $78.21, 1613643, $78.23, $78.48, $77.95
02/13/2020, $77.94, 2382647, $77.63, $78.63, $77.6
02/12/2020, $77.46, 2503763, $76.26, $77.625, $76.2
02/11/2020, $76.27, 2287411, $76.7, $76.86, $75.78
02/10/2020, $76.96, 2539112, $77.33, $77.75, $76.58
02/07/2020, $77.36, 2902956, $76.94, $77.36, $76.565
02/06/2020, $76.62, 2867242, $75.92, $76.75, $75.7
02/05/2020, $75.7, 3465870, $75.09, $75.88, $74.39
02/04/2020, $75.06, 5782112, $76.16, $76.16, $74.56
02/03/2020, $76.68, 5033669, $81.21, $81.21, $76.21
01/31/2020, $82.14, 2786197, $82.65, $83.25, $81.8954
01/30/2020, $82.84, 2050976, $81.69, $82.9, $81.44
01/29/2020, $81.89, 1377886, $82.84, $82.96, $81.85
01/28/2020, $82.67, 1557778, $82.39, $82.77, $82.2
01/27/2020, $82.34, 1547013, $82.15, $82.57, $81.66
01/24/2020, $82.63, 1902265, $83.66, $83.84, $82.24
01/23/2020, $83.59, 1863137, $82.86, $83.8, $82.7454
01/22/2020, $83.14, 2410594, $83.62, $84.12, $83.08
01/21/2020, $83.23, 2821362, $82.54, $83.47, $82.5
01/17/2020, $82.82, 4796891, $83.15, $83.88, $82.51
01/16/2020, $82.66, 2588501, $83.28, $83.45, $82.52
01/15/2020, $82.65, 2806774, $82.86, $83.36, $82.25
01/14/2020, $82.4, 2797708, $83.04, $83.41, $82.19
01/13/2020, $83.72, 3467527, $84.9, $85.0181, $83.28
01/10/2020, $84.92, 1593639, $84.74, $85.09, $84.71
01/09/2020, $84.63, 1914825, $84.74, $85.13, $84.44
01/08/2020, $84.53, 2945869, $83.89, $84.96, $83.615
01/07/2020, $83.56, 1701730, $84.24, $84.35, $83.4
01/06/2020, $84.24, 1916810, $84.15, $84.25, $83.5
01/03/2020, $84.35, 1759888, $84.2, $84.7234, $83.93
01/02/2020, $84.66, 2040586, $85.06, $85.13, $83.98
12/31/2019, $85.54, 1530571, $85.59, $85.79, $84.8468
12/30/2019, $85.8, 979866, $85.62, $85.98, $85.36
12/27/2019, $85.74, 1192237, $85.89, $85.9437, $85.545
12/26/2019, $85.54, 1045435, $85.39, $85.6547, $85.23
12/24/2019, $85.38, 424892, $85.25, $85.52, $84.97
12/23/2019, $85.3, 1460568, $85.52, $85.65, $85.16
12/20/2019, $85.44, 3299062, $84.98, $85.46, $84.49
12/19/2019, $84.49, 2031375, $84.07, $84.64, $83.71
12/18/2019, $84.07, 3406904, $84.35, $84.66, $83.94
12/17/2019, $84.14, 2221376, $84.31, $84.57, $84.1
12/16/2019, $84.23, 1429681, $83.81, $84.31, $83.38
12/13/2019, $83.54, 1808864, $82.83, $83.6, $82.66
12/12/2019, $83.27, 1543797, $83.3, $83.77, $82.89
12/11/2019, $82.88, 1574439, $82.48, $82.91, $82.13
12/10/2019, $82.53, 1852377, $83.13, $83.38, $82.5
12/09/2019, $83.13, 1499899, $82.57, $83.2299, $82.48
12/06/2019, $82.77, 1656795, $83.38, $83.43, $82.65
12/05/2019, $82.97, 2577607, $82.08, $82.99, $81.89
12/04/2019, $81.99, 2266102, $81.11, $82, $80.7413
12/03/2019, $81.3, 2816844, $80.46, $81.34, $80.24
12/02/2019, $80.82, 1807493, $80.49, $80.84, $79.86
11/29/2019, $80.55, 825201, $81.15, $81.46, $80.47
11/27/2019, $81.06, 1239739, $80.7, $81.22, $80.55
11/26/2019, $80.65, 2716480, $80.12, $80.7, $79.75
11/25/2019, $79.82, 2170173, $78.73, $79.94, $78.65
11/22/2019, $79.06, 1152332, $79.31, $79.375, $78.63
11/21/2019, $79.22, 2451063, $79.45, $79.81, $79
11/20/2019, $79.82, 2126509, $80.27, $80.62, $79.528
11/19/2019, $80.29, 2684669, $81, $81.4111, $80.19
11/18/2019, $80.7, 3514298, $80.12, $81.04, $79.64
11/15/2019, $81.61, 3907144, $81.85, $81.9, $81.14
11/14/2019, $81.5, 1868304, $81.48, $81.7, $80.92
11/13/2019, $81.22, 1906409, $80.13, $81.31, $80.13
11/12/2019, $80.3, 1314767, $80.41, $80.6, $79.77
11/11/2019, $80.15, 1436807, $80.25, $80.56, $79.835
11/08/2019, $80.4, 1753041, $80.8, $80.91, $80.135
11/07/2019, $80.9, 1820987, $80.89, $81.3, $80.69
11/06/2019, $81.06, 2130699, $79.65, $81.22, $79.65
11/05/2019, $80.08, 2766125, $80.84, $81.24, $79.88
11/04/2019, $80.81, 3423320, $80.86, $81.28, $78.47
11/01/2019, $81.28, 3590560, $80, $81.6, $79.94
10/31/2019, $79.87, 3394126, $79.69, $79.9, $79.23
10/30/2019, $79.65, 1351594, $79.24, $79.67, $78.91
10/29/2019, $79.11, 2023486, $78.8, $79.37, $78.385
10/28/2019, $78.86, 1666271, $79.19, $79.47, $78.6
10/25/2019, $79.17, 1675717, $79.15, $79.61, $79.03
10/24/2019, $78.95, 2895984, $78.84, $79.135, $78.34
10/23/2019, $78.84, 1529078, $79.15, $79.56, $78.73
10/22/2019, $79, 1645442, $79.6, $79.7, $78.93
10/21/2019, $79.46, 1426140, $79.14, $79.61, $78.96
10/18/2019, $79.14, 1495057, $79.19, $79.6, $78.98
10/17/2019, $79.21, 1919385, $79.04, $79.43, $78.81
10/16/2019, $78.91, 3410744, $78.95, $79.54, $78.75
10/15/2019, $79.08, 1722215, $79.5, $79.5, $78.8207
10/14/2019, $78.99, 3740747, $79.08, $79.33, $78.74
10/11/2019, $78.87, 3028747, $78.48, $79.35, $78.36
10/10/2019, $78.23, 1508887, $77.97, $78.73, $77.78
10/09/2019, $78.15, 2289834, $77.88, $78.65, $77.86
10/08/2019, $77.57, 4012433, $78.04, $78.3461, $77.48
10/07/2019, $78.22, 1889760, $77.85, $78.43, $77.44
10/04/2019, $78.15, 3947927, $78.01, $78.31, $77.53
10/03/2019, $77.95, 2953949, $77.98, $78.53, $77.35
10/02/2019, $78.63, 2036596, $79.32, $79.32, $78.33
10/01/2019, $79.36, 1803091, $79.56, $79.74, $78.8
09/30/2019, $79.4, 1855689, $79.07, $79.525, $78.78
