Date, Close/Last, Volume, Open, High, Low
03/30/2020, $63.72, 1610404, $62.64, $64.14, $61.84
03/27/2020, $62.78, 2018745, $65.23, $66.33, $62.28
03/26/2020, $68.2, 2705332, $63.64, $68.45, $63.0301
03/25/2020, $63.49, 2708847, $60.74, $67.39, $60.2
03/24/2020, $60.56, 3292975, $57.6, $60.96, $57.02
03/23/2020, $54.67, 3602041, $53.93, $56.35, $53.31
03/20/2020, $55.56, 4068013, $55.81, $56.87, $52.31
03/19/2020, $54.6, 4333677, $52.62, $56.36, $48.62
03/18/2020, $53.08, 5309770, $58.29, $61.3, $49.97
03/17/2020, $63.06, 6008975, $62.28, $65.91, $54.74
03/16/2020, $60.94, 5085687, $56.17, $66.59, $56.13
03/13/2020, $70.21, 4747759, $71.22, $72.65, $65.47
03/12/2020, $67.6, 3878419, $67.69, $74.93, $65.1
03/11/2020, $72.99, 2831437, $76.12, $76.4, $72.06
03/10/2020, $78.7, 2747662, $76.78, $79.01, $75.09
03/09/2020, $74.14, 3217534, $72.88, $75.7, $72.01
03/06/2020, $78.69, 2955755, $77.65, $79.86, $77.23
03/05/2020, $81.37, 2027377, $82.94, $83.4, $81
03/04/2020, $85.8, 1645549, $84.09, $85.825, $83.01
03/03/2020, $83, 2237705, $85.14, $86.481, $82.3
03/02/2020, $85.35, 2015248, $83.62, $85.36, $81.55
02/28/2020, $82.87, 3458347, $80.43, $83.08, $78.83
02/27/2020, $83.19, 2269574, $84.19, $86.26, $83.115
02/26/2020, $86.16, 2286447, $86.94, $88.73, $86.15
02/25/2020, $86.35, 2510828, $89, $89.02, $86.02
02/24/2020, $88.09, 1914574, $88.91, $89.18, $87.27
02/21/2020, $91.73, 1363002, $92.04, $92.63, $90.9
02/20/2020, $92.92, 987804, $92.35, $93.56, $92.05
02/19/2020, $93.38, 1147005, $92.47, $93.745, $92.09
02/18/2020, $91.98, 1651350, $92.74, $92.87, $91.42
02/14/2020, $93.3, 1433930, $94.56, $94.9, $92.75
02/13/2020, $94.54, 1609996, $94.47, $94.99, $93.77
02/12/2020, $94.92, 1971630, $94.39, $94.97, $93.6871
02/11/2020, $93.45, 1530388, $93.73, $95.11, $93.42
02/10/2020, $93.18, 1226891, $92.66, $93.37, $91.96
02/07/2020, $93.22, 1583646, $93.91, $93.91, $92.48
02/06/2020, $94.63, 1505608, $97.09, $97.48, $94.55
02/05/2020, $96.96, 2134507, $96.04, $97.02, $95.62
02/04/2020, $95.33, 2109915, $95.71, $96.5995, $94.58
02/03/2020, $94, 2355583, $92.89, $94.21, $92.6
01/31/2020, $92.18, 1949384, $95.3, $95.66, $91.82
01/30/2020, $95.82, 2750921, $97.17, $97.47, $93.89
01/29/2020, $98.07, 2735771, $99.29, $100.9, $97.86
01/28/2020, $98.1, 2131134, $97.54, $98.24, $96.65
01/27/2020, $96.84, 2012022, $96.65, $97.565, $96.33
01/24/2020, $98.4, 1794792, $101, $101, $98.15
01/23/2020, $100.37, 1728021, $98.31, $100.42, $97.78
01/22/2020, $98.95, 1464414, $99.83, $100.26, $98.95
01/21/2020, $99.5, 2619998, $100.58, $100.68, $99.34
01/17/2020, $100.18, 1709720, $99.58, $100.25, $99.34
01/16/2020, $99.5, 1395761, $99.4, $99.52, $98.63
01/15/2020, $98.84, 1275373, $99.68, $99.91, $98.61
01/14/2020, $100.32, 2502590, $98.8, $100.78, $98.56
01/13/2020, $97.92, 1225371, $98.21, $98.21, $97.25
01/10/2020, $98.07, 1528650, $97.92, $98.23, $97.69
01/09/2020, $97.77, 1253950, $98.1, $98.31, $97.27
01/08/2020, $97.67, 2000979, $96.96, $98.16, $96.86
01/07/2020, $96.67, 2103847, $94.38, $96.84, $93.88
01/06/2020, $94.71, 1150129, $94.8, $95.27, $94.44
01/03/2020, $95.37, 1439794, $94.96, $95.57, $94.55
01/02/2020, $96.51, 1866482, $96.85, $97.09, $95.74
12/31/2019, $95.84, 1599256, $95.31, $95.88, $95.08
12/30/2019, $95.58, 1006548, $95.7, $95.7705, $94.95
12/27/2019, $95.51, 643822, $95.89, $95.97, $95.285
12/26/2019, $95.31, 970830, $95.5, $95.5, $94.75
12/24/2019, $95.2, 338592, $95.14, $95.25, $94.74
12/23/2019, $95.08, 964647, $96.11, $96.12, $95.06
12/20/2019, $95.92, 2548883, $95.7, $96.03, $95.36
12/19/2019, $95.41, 1107161, $95.17, $95.52, $94.92
12/18/2019, $95.51, 1685615, $96.01, $96.01, $94.58
12/17/2019, $95.45, 1189527, $95.66, $95.96, $95.27
12/16/2019, $95.21, 1036400, $94.48, $96.1, $94.48
12/13/2019, $94, 1172316, $94.98, $95.83, $93.9
12/12/2019, $94.45, 1448033, $92.96, $94.73, $92.82
12/11/2019, $93.15, 963209, $92.05, $93.24, $91.79
12/10/2019, $91.53, 1210393, $91.73, $92.26, $91.34
12/09/2019, $91.56, 2226163, $92, $92.07, $91.105
12/06/2019, $92.15, 1216524, $92.01, $92.98, $92.01
12/05/2019, $91.15, 1616357, $90.83, $91.31, $90.01
12/04/2019, $90.5, 1039492, $90.58, $91.79, $90.45
12/03/2019, $89.59, 1370377, $89.84, $89.88, $89.04
12/02/2019, $90.96, 1442323, $92.65, $92.835, $90.85
11/29/2019, $92.71, 575338, $93.35, $93.4, $92.55
11/27/2019, $93.41, 1131011, $93.46, $93.88, $92.7
11/26/2019, $93.3, 2026110, $93.4, $93.49, $92.56
11/25/2019, $93.13, 1438522, $91.14, $93.2, $90.6778
11/22/2019, $90.59, 817090, $91.6, $91.85, $90.51
11/21/2019, $90.85, 1176541, $91.37, $91.47, $90.54
11/20/2019, $91.83, 972119, $92.47, $92.71, $91.35
11/19/2019, $92.6, 1342864, $92.92, $92.92, $91.7824
11/18/2019, $92.45, 1813096, $93.03, $93.04, $91.57
11/15/2019, $93.1, 1278313, $93.69, $93.69, $92.93
11/14/2019, $92.9, 693263, $93.47, $93.83, $92.87
11/13/2019, $93.64, 1322648, $93, $93.78, $92.4
11/12/2019, $93.18, 1112252, $93.98, $94.13, $92.85
11/11/2019, $93.63, 592358, $93.28, $94.03, $93.24
11/08/2019, $93.9, 901271, $93.61, $94.01, $93.3473
11/07/2019, $94.01, 1305290, $94.89, $94.89, $93.91
11/06/2019, $93.94, 1493409, $94.77, $94.77, $93.12
11/05/2019, $94.56, 1194018, $94.63, $94.99, $94.24
11/04/2019, $94.45, 2042056, $92.6, $94.7, $92
11/01/2019, $91.52, 1624463, $90.34, $91.55, $89.86
10/31/2019, $89.5, 2527937, $89.91, $90.15, $88.38
10/30/2019, $90.15, 2818461, $91, $93.58, $87.93
10/29/2019, $94.43, 1583856, $94.45, $95.46, $94.2636
10/28/2019, $94.56, 2050490, $94.51, $95.17, $94.3
10/25/2019, $94.1, 1678947, $94, $94.45, $93.61
10/24/2019, $93.88, 1162045, $94.49, $94.53, $93.65
10/23/2019, $93.54, 1023169, $93.51, $93.97, $93.12
10/22/2019, $93.92, 830801, $93.62, $94.78, $93.08
10/21/2019, $93.77, 652851, $93.7, $94.14, $93.48
10/18/2019, $92.81, 929992, $92.61, $93.21, $92.37
10/17/2019, $93, 1182959, $93, $93.25, $92.23
10/16/2019, $92.64, 1266950, $91.74, $93.22, $91.74
10/15/2019, $92.02, 959049, $90.42, $92.08, $90.2
10/14/2019, $90.42, 632449, $89.76, $90.49, $89.65
10/11/2019, $90.15, 1040959, $89.43, $91.235, $89.17
10/10/2019, $88.07, 1030992, $87.21, $89.09, $87.07
10/09/2019, $87.12, 2054501, $85.02, $87.46, $85.02
10/08/2019, $85.53, 1911665, $87.71, $87.83, $85.47
10/07/2019, $88.5, 1620987, $89.65, $90.17, $88.39
10/04/2019, $89.89, 1074655, $89.66, $89.93, $89.23
10/03/2019, $89.36, 1187621, $89.05, $89.6, $88.01
10/02/2019, $89.01, 1469849, $90.97, $91.255, $88.35
10/01/2019, $91.53, 1172565, $93.92, $94.28, $91.5
09/30/2019, $93.18, 1158567, $93.35, $93.81, $92.95
09/27/2019, $92.71, 640002, $93.81, $93.98, $92.47
09/26/2019, $93.09, 1265467, $92.54, $93.36, $92.19
09/25/2019, $92.66, 1497655, $91.59, $92.84, $91.135
09/24/2019, $91.38, 2373795, $92.18, $92.18, $91.02
09/23/2019, $91.57, 1668874, $91.16, $92.13, $91.155
09/20/2019, $93.18, 1409365, $94.93, $94.97, $93.17
09/19/2019, $94.38, 937395, $94.84, $95.66, $94.37
09/18/2019, $94.73, 1201615, $94.62, $95.28, $94.02
09/17/2019, $94.55, 2599567, $94.62, $94.7, $93.51
09/16/2019, $95.1, 1148507, $96.16, $96.16, $95.03
09/13/2019, $96.69, 1036561, $97, $97.49, $96.64
09/12/2019, $97, 1154665, $96.58, $97.74, $96.25
09/11/2019, $95.99, 1747526, $95.5, $96, $94.81
09/10/2019, $95.76, 776416, $94.87, $95.76, $94.27
09/09/2019, $95.09, 748208, $94.99, $95.16, $94.3
09/06/2019, $94.85, 816526, $94.74, $95.1, $94.02
09/05/2019, $94.51, 1273391, $92.11, $94.93, $91.94
09/04/2019, $90.94, 1662879, $89.78, $91.15, $89.78
09/03/2019, $89.05, 1708198, $90.24, $90.38, $88.02
08/30/2019, $91.22, 2363282, $92.42, $92.6404, $91.14
08/29/2019, $91.83, 1670426, $90.56, $92.39, $90.28
08/28/2019, $89.18, 1355794, $89.1, $89.79, $88.61
08/27/2019, $89.66, 1150890, $89.6, $89.78, $89.06
08/26/2019, $88.95, 1558511, $90, $90.32, $88.08
08/23/2019, $89.29, 2050442, $89.73, $90.92, $88.7
08/22/2019, $90.73, 897239, $90.92, $91.37, $90.475
08/21/2019, $90.85, 699303, $91.25, $91.28, $90.13
08/20/2019, $90.1, 1101215, $90.9, $90.9, $89.93
08/19/2019, $90.91, 930736, $91, $91.63, $90.8501
08/16/2019, $89.99, 973682, $88.08, $90.07, $87.63
08/15/2019, $87.29, 1329307, $87.92, $88.04, $86.55
08/14/2019, $87.99, 1915280, $88.6, $88.885, $87.61
08/13/2019, $89.78, 848053, $88.15, $90.74, $87.62
08/12/2019, $88.17, 1185757, $89.26, $89.325, $87.88
08/09/2019, $89.77, 1014250, $90, $90.44, $89.21
08/08/2019, $90.22, 1313975, $89.46, $90.42, $88.93
08/07/2019, $88.89, 1160178, $87.33, $89.01, $87.15
08/06/2019, $88.61, 1679654, $88.48, $89.24, $87.76
08/05/2019, $87.68, 2766814, $88.9, $89.26, $87.12
08/02/2019, $90.31, 1873796, $90.5, $90.945, $89.42
08/01/2019, $90.98, 2113858, $92.12, $93.57, $90.65
07/31/2019, $92.4, 2202929, $93.53, $93.53, $91.14
07/30/2019, $93.35, 2570446, $93.17, $94.27, $92.94
07/29/2019, $94.01, 2119029, $93.4, $94.47, $93.11
07/26/2019, $93.65, 2193629, $91.95, $93.81, $91.82
07/25/2019, $91.95, 2258245, $90.35, $91.96, $89.56
07/24/2019, $91.38, 2347900, $89.4, $92.65, $89.12
07/23/2019, $91.2, 1562670, $89.96, $91.25, $89.5
07/22/2019, $89.47, 1170284, $89.24, $89.99, $89.24
07/19/2019, $88.71, 1131927, $89.21, $89.83, $88.33
07/18/2019, $88.75, 1793983, $88.25, $88.845, $87.05
07/17/2019, $88.22, 2764251, $90, $90, $88.09
07/16/2019, $90.05, 1865256, $92.17, $92.17, $90.04
07/15/2019, $93.52, 1012373, $94.39, $94.67, $93.47
07/12/2019, $94.44, 1619910, $93.3, $94.58, $92.785
07/11/2019, $92.69, 1516588, $94.16, $94.16, $92.48
07/10/2019, $93.75, 736317, $94.23, $94.94, $93.65
07/09/2019, $93.99, 1320972, $93.77, $94.15, $93.56
07/08/2019, $94.2, 1184411, $94.64, $94.9, $93.59
07/05/2019, $95.39, 962745, $95.22, $95.39, $94.32
07/03/2019, $95.84, 682631, $96, $96.07, $95.23
07/02/2019, $96.09, 1007663, $97.4, $97.4, $95.87
07/01/2019, $97.35, 1116641, $97, $97.99, $96.775
06/28/2019, $95.78, 1196040, $95.74, $95.99, $95.4065
06/27/2019, $95.16, 1195436, $95.44, $95.91, $94.9
06/26/2019, $95.16, 943774, $94.92, $95.96, $94.82
06/25/2019, $94.41, 1100298, $94.84, $95.26, $94.24
06/24/2019, $95, 863025, $95.2, $95.84, $94.9
06/21/2019, $95.19, 1641756, $95.78, $96, $94.98
