Date, Close/Last, Volume, Open, High, Low
03/30/2020, $32.56, 7813051, $33.16, $33.53, $31.6751
03/27/2020, $33.27, 8639477, $32.49, $34.76, $32.26
03/26/2020, $34.28, 10238450, $30.83, $34.67, $30.54
03/25/2020, $30.67, 13398770, $30.04, $32, $28.85
03/24/2020, $30.12, 10396830, $26.93, $30.39, $26.23
03/23/2020, $25.69, 12832480, $28, $29.13, $25.51
03/20/2020, $30.04, 15605700, $30.31, $30.69, $28
03/19/2020, $29.97, 10763120, $27.61, $32, $26.5201
03/18/2020, $28.32, 11291560, $27.23, $29.47, $26.04
03/17/2020, $29.27, 14132560, $28.28, $29.74, $25.94
03/16/2020, $27.37, 12016840, $28.47, $30.32, $24.01
03/13/2020, $33.83, 12391380, $32.78, $34.14, $30.64
03/12/2020, $30.22, 12378590, $30.32, $33.16, $28.94
03/11/2020, $33.66, 11488070, $35.08, $35.49, $33.305
03/10/2020, $36.34, 14818150, $36.23, $36.87, $33.93
03/09/2020, $34.51, 15081820, $36.46, $37.95, $33.89
03/06/2020, $40.67, 13966400, $41.49, $42.49, $39.55
03/05/2020, $43.61, 12104130, $45.42, $45.51, $43.02
03/04/2020, $47.38, 9533194, $47.24, $47.6, $45.86
03/03/2020, $46.89, 10348510, $48.39, $49.4, $46.44
03/02/2020, $48.81, 8156663, $48.1, $48.82, $45.61
02/28/2020, $46.14, 10747240, $46.05, $46.91, $44.92
02/27/2020, $47.55, 7471655, $49.79, $50.23, $47.54
02/26/2020, $50.7, 6856782, $51.71, $52.21, $50.65
02/25/2020, $51.31, 7233299, $53.75, $53.78, $51.15
02/24/2020, $53.77, 7350918, $53.65, $54.34, $53.27
02/21/2020, $54.85, 5640328, $54.83, $55.1, $54.24
02/20/2020, $55.31, 5185592, $54.39, $55.44, $54.23
02/19/2020, $54.61, 3414644, $54.26, $54.65, $54.05
02/18/2020, $54.01, 4265811, $54.63, $54.8, $53.54
02/14/2020, $54.94, 4074171, $54.8, $54.97, $54.39
02/13/2020, $54.82, 4162662, $53.96, $54.91, $53.79
02/12/2020, $54.44, 4264505, $55.19, $55.47, $54.21
02/11/2020, $54.81, 3769260, $54.37, $55.115, $54.37
02/10/2020, $54.33, 2885002, $53.84, $54.42, $53.835
02/07/2020, $54.27, 4123181, $53.67, $54.4, $53.33
02/06/2020, $54.18, 4377001, $54.65, $54.88, $53.8
02/05/2020, $54.43, 4895969, $53.82, $54.68, $53.78
02/04/2020, $53.16, 4517119, $53.4, $53.91, $53.09
02/03/2020, $52.5, 5448581, $51.98, $52.935, $51.97
01/31/2020, $51.57, 7724865, $51.86, $51.88, $51.2358
01/30/2020, $52.13, 13251610, $52.85, $53.1, $49.37
01/29/2020, $53.86, 5487490, $55.09, $55.25, $53.645
01/28/2020, $54.96, 4390287, $55.01, $55.39, $54.74
01/27/2020, $54.68, 5952307, $54.52, $54.97, $54.34
01/24/2020, $55.48, 5520177, $56.3, $56.35, $55.015
01/23/2020, $56.36, 4256439, $55.99, $56.39, $55.235
01/22/2020, $56.34, 3952782, $56.5, $56.5, $56.125
01/21/2020, $56.28, 6698609, $56.05, $56.53, $55.84
01/17/2020, $56.29, 5789279, $56.3, $56.38, $55.85
01/16/2020, $55.86, 4493814, $55.19, $55.87, $55.19
01/15/2020, $55.13, 5899943, $55.91, $56.12, $54.9
01/14/2020, $56.36, 5214113, $56.18, $56.485, $55.91
01/13/2020, $56.22, 6121867, $55.8, $56.23, $55.6875
01/10/2020, $55.96, 5032565, $56.38, $56.5, $55.73
01/09/2020, $56.18, 5700635, $55.91, $56.22, $55.71
01/08/2020, $55.61, 6232660, $55.42, $55.82, $55.31
01/07/2020, $55.49, 5272865, $55.67, $55.67, $55.085
01/06/2020, $55.73, 9678754, $55.49, $55.8, $55.15
01/03/2020, $56.2, 4434306, $56.15, $56.2954, $55.66
01/02/2020, $56.67, 5154451, $56.41, $56.68, $55.88
12/31/2019, $56.32, 4090806, $56.44, $56.585, $56.07
12/30/2019, $56.42, 3547406, $56.7, $56.84, $56.32
12/27/2019, $56.48, 3232850, $56.77, $56.81, $56.34
12/26/2019, $56.72, 2833558, $56.28, $56.74, $56.19
12/24/2019, $56.16, 1785054, $56.3, $56.35, $56.04
12/23/2019, $56.2, 4842619, $56.56, $56.575, $56.1
12/20/2019, $56.3, 11611300, $54.29, $56.6, $54.29
12/19/2019, $56.14, 6140168, $56.38, $56.52, $55.85
12/18/2019, $56.32, 10230010, $56.8, $56.92, $56.24
12/17/2019, $56.67, 6770544, $56.28, $56.77, $56.03
12/16/2019, $56.22, 9003022, $56.53, $56.75, $56.11
12/13/2019, $56.02, 7674364, $56.11, $56.66, $55.64
12/12/2019, $56.08, 8978026, $53.97, $56.19, $53.84
12/11/2019, $53.68, 7421517, $55.12, $55.26, $53.67
12/10/2019, $55.12, 7020624, $54.38, $55.26, $54.27
12/09/2019, $54.72, 8382003, $54.96, $54.96, $54.26
12/06/2019, $54.24, 25954270, $54.13, $54.68, $54.02
12/05/2019, $53.49, 6088520, $53.5, $53.585, $53.04
12/04/2019, $53.31, 5437363, $53.25, $53.51, $53.07
12/03/2019, $53.21, 4541849, $53.7, $53.7, $52.77
12/02/2019, $54.41, 3293946, $54.99, $55.06, $54.32
11/29/2019, $54.72, 1567080, $54.89, $55.08, $54.64
11/27/2019, $54.92, 2400003, $54.68, $54.98, $54.5514
11/26/2019, $54.43, 3752557, $55.08, $55.09, $54.155
11/25/2019, $55.2, 3860080, $54.83, $55.26, $54.7041
11/22/2019, $54.67, 2208764, $54.31, $55, $54.18
11/21/2019, $54.18, 3551697, $54.67, $54.71, $53.92
11/20/2019, $54.41, 4566679, $54.4, $54.64, $53.96
11/19/2019, $54.69, 5822634, $55.15, $55.2, $54.5
11/18/2019, $55.01, 3980014, $54.46, $55.05, $54.46
11/15/2019, $54.61, 5438350, $54.9, $54.95, $54.41
11/14/2019, $54.6, 4156993, $54.18, $54.68, $54
11/13/2019, $54.37, 5195510, $53.93, $54.64, $53.5834
11/12/2019, $54.44, 4327970, $54.15, $54.535, $54.04
11/11/2019, $54.29, 3845358, $54.44, $54.64, $54.13
11/08/2019, $54.94, 4185342, $54.61, $55.02, $54.32
11/07/2019, $54.73, 5108617, $55.1, $55.53, $54.58
11/06/2019, $55.25, 5577321, $55.18, $55.36, $54.79
11/05/2019, $55.36, 5884665, $54.87, $55.66, $54.83
11/04/2019, $54.61, 5017276, $54.44, $54.82, $54.38
11/01/2019, $54.1, 3487313, $53.61, $54.12, $53.4
10/31/2019, $53.05, 4361123, $53.29, $53.68, $52.48
10/30/2019, $53.68, 4063426, $54.09, $54.1, $53.54
10/29/2019, $54.24, 5472150, $53.79, $54.41, $53.7
10/28/2019, $54, 3999660, $53.88, $54.2, $53.705
10/25/2019, $53.58, 2189329, $52.98, $53.81, $52.98
10/24/2019, $53.05, 2304872, $53.62, $53.64, $52.79
10/23/2019, $53.49, 2543533, $53.35, $53.61, $53.17
10/22/2019, $53.47, 4450237, $53.59, $53.9673, $53.02
10/21/2019, $53.45, 4411958, $53.16, $53.49, $52.96
10/18/2019, $52.67, 5074405, $52.42, $53.02, $52.34
10/17/2019, $52.44, 8105653, $52.98, $52.99, $51.4
10/16/2019, $52.99, 5019828, $52.9, $53.29, $52.68
10/15/2019, $52.74, 6307784, $52.16, $52.96, $51.96
10/14/2019, $51.98, 3017824, $51.73, $52.16, $51.62
10/11/2019, $52, 5192890, $52.2, $52.55, $51.91
10/10/2019, $51.33, 7765681, $51.17, $51.73, $51.01
10/09/2019, $50.99, 4608620, $51.4, $51.47, $50.78
10/08/2019, $50.98, 4702377, $51.26, $51.43, $50.76
10/07/2019, $51.6, 3655004, $51.5, $52.14, $51.32
10/04/2019, $51.66, 4468222, $50.89, $51.68, $50.71
10/03/2019, $50.81, 5318903, $50.86, $51.1, $50.02
10/02/2019, $51.07, 5652538, $51.96, $51.96, $50.86
10/01/2019, $52.34, 8007626, $53.64, $53.9, $52.26
09/30/2019, $53.37, 6653235, $53.77, $53.82, $53.24
09/27/2019, $53.46, 5031940, $53.47, $53.85, $53.14
09/26/2019, $52.92, 3998735, $52.67, $53.11, $52.51
09/25/2019, $52.85, 3779258, $52.16, $52.96, $52.16
09/24/2019, $52.04, 3659412, $52.58, $52.63, $51.61
09/23/2019, $52.57, 3782020, $52, $52.7, $51.89
09/20/2019, $52.42, 6291680, $53.02, $53.195, $52.32
09/19/2019, $52.79, 3190220, $53.03, $53.13, $52.71
