Date, Close/Last, Volume, Open, High, Low
04/13/2020, $47.85, 10381420, $48.61, $48.77, $47.265
04/09/2020, $48.81, 11109850, $50.08, $51.24, $48.37
04/08/2020, $49.11, 9146330, $47.34, $50.05, $47.04
04/07/2020, $46.68, 14115990, $49.65, $50.43, $46.21
04/06/2020, $46.11, 12722060, $43.02, $46.85, $42.53
04/03/2020, $40.96, 12141240, $43.25, $43.34, $40.72
04/02/2020, $43.79, 9665248, $44.49, $45.54, $41.92
04/01/2020, $44.62, 8810194, $44.28, $46.65, $43.93
03/31/2020, $47.81, 18381130, $47.3, $48.69, $46.46
03/30/2020, $47.55, 12442800, $47.17, $48.18, $45.4
03/27/2020, $46.8, 12743190, $46.16, $48.28, $44.62
03/26/2020, $47.96, 17080420, $44.62, $48.7615, $44.22
03/25/2020, $44.08, 14332170, $42.41, $47.02, $42.25
03/24/2020, $41.04, 14467630, $39.45, $41.75, $38.86
03/23/2020, $36.76, 21304040, $35.9, $37.24, $32.72
03/20/2020, $37.37, 13402010, $42.73, $42.75, $37
03/19/2020, $41.65, 22567070, $40.44, $43, $34.36
03/18/2020, $40.85, 18300950, $39.27, $41.05, $36.96
03/17/2020, $42.51, 18604450, $41.64, $43.705, $39
03/16/2020, $41.05, 13684060, $45.92, $45.93, $40.81
03/13/2020, $51.57, 11254540, $51.88, $52.13, $47.6
03/12/2020, $49.36, 13572810, $51.95, $52.12, $48
03/11/2020, $55.61, 12107700, $56.73, $57.35, $55.3
03/10/2020, $57.97, 12575880, $58.56, $59.13, $55.68
03/09/2020, $57.2, 11188700, $55.34, $57.7239, $54.8
03/06/2020, $58.56, 10401530, $57.26, $59.26, $57.02
03/05/2020, $59.57, 9162348, $60.5, $61.54, $59.19
03/04/2020, $62.27, 6853630, $61.09, $62.44, $60.14
03/03/2020, $60.61, 10093110, $62.19, $63.59, $59.79
03/02/2020, $62.19, 10155070, $60.22, $62.32, $59.37
02/28/2020, $59.8, 12936430, $58.84, $60.72, $58.14
02/27/2020, $60.12, 12640130, $61.76, $63.7, $60.06
02/26/2020, $63.99, 14678180, $64.12, $64.95, $63.22
02/25/2020, $59.72, 8317616, $61.97, $62.12, $59.62
02/24/2020, $61.75, 5638519, $61.68, $62.23, $61.285
02/21/2020, $63.31, 4681781, $63.52, $63.92, $63.05
02/20/2020, $63.87, 3015244, $64, $64.3, $63.16
02/19/2020, $63.81, 3384465, $63.58, $63.92, $63.39
02/18/2020, $63.46, 3498251, $63.36, $63.86, $63.05
02/14/2020, $63.38, 5472301, $63.63, $63.89, $63.145
02/13/2020, $63.36, 5195428, $63.05, $63.505, $62.8
02/12/2020, $63.29, 4304711, $62.79, $63.37, $62.39
02/11/2020, $62.46, 4490222, $62.26, $62.555, $61.84
02/10/2020, $61.65, 3449894, $61.45, $61.87, $61.19
02/07/2020, $61.38, 3727244, $61.6, $61.85, $61.14
02/06/2020, $61.82, 4588879, $62.47, $62.5, $61.81
