Date, Close/Last, Volume, Open, High, Low
04/13/2020, $86.17, 3955715, $84.59, $87.28, $84.47
04/09/2020, $85.9, 5770997, $86.88, $87.75, $84.93
04/08/2020, $86.85, 3831664, $86.6, $87.64, $86
04/07/2020, $86.51, 4410304, $87.66, $87.91, $85.17
04/06/2020, $86.09, 5256296, $84.49, $86.49, $82.99
04/03/2020, $81.98, 8378527, $84.56, $84.99, $81.0406
04/02/2020, $84.41, 22956100, $85.05, $88.52, $84.02
04/01/2020, $85.13, 11018840, $82.99, $86.71, $82.7
03/31/2020, $83.9, 6920878, $83.04, $84.75, $81.98
03/30/2020, $83.12, 5625305, $82.29, $83.86, $81.24
03/27/2020, $81.72, 4191644, $82.54, $83.9, $81.02
03/26/2020, $84.63, 4821709, $80, $84.99, $79.73
03/25/2020, $79.17, 6252712, $77.77, $85.4699, $77.75
03/24/2020, $78.65, 5929407, $78.5, $79.71, $75.83
03/23/2020, $75.7, 8328765, $74.98, $76.66, $70.83
03/20/2020, $74.55, 6836633, $80, $82, $73.16
03/19/2020, $79.45, 8906187, $74.77, $81.99, $73.61
03/18/2020, $74.32, 11114240, $74.6, $76.1, $63.5
03/17/2020, $78.35, 7609134, $77.6, $80.4, $75.45
03/16/2020, $76.53, 6787698, $78.34, $80.55, $74.84
03/13/2020, $85.39, 7401738, $80.15, $85.52, $76.61
03/12/2020, $76.76, 9075251, $82.02, $85, $76.41
03/11/2020, $86.45, 8845839, $82.86, $87.83, $82.845
03/10/2020, $84.98, 6713620, $81.98, $85.01, $80.205
03/09/2020, $79.75, 7946627, $83.27, $84.89, $79.58
03/06/2020, $87.86, 5978567, $86.1, $88.275, $85.42
03/05/2020, $89.86, 4941725, $91.61, $93.16, $89.19
03/04/2020, $93.81, 5222194, $90.43, $93.96, $90.25
03/03/2020, $89.37, 5701992, $92.63, $93.92, $88.77
03/02/2020, $93.29, 5160552, $90.28, $93.36, $88.98
02/28/2020, $90.16, 6958107, $89.44, $90.5, $87.48
02/27/2020, $91.24, 5856384, $92.83, $93.32, $91.16
02/26/2020, $93.65, 4372041, $94.68, $95.66, $93.44
02/25/2020, $94.58, 5117464, $96.56, $97, $94.45
02/24/2020, $96.37, 4700926, $96.125, $97.31, $95.88
02/21/2020, $98.57, 12101180, $98.97, $99.49, $96.62
02/20/2020, $99.5, 6350432, $100.1, $100.42, $98.23
02/19/2020, $100.49, 6091697, $101.16, $101.35, $99.64
02/18/2020, $99.88, 7461956, $96.85, $100.02, $96.28
02/14/2020, $96.48, 3045879, $95.26, $96.615, $95.02
02/13/2020, $95.14, 5490741, $95.12, $96.15, $94.7971
02/12/2020, $95.67, 8915458, $94, $96.27, $93.9201
02/11/2020, $94.49, 25874360, $93.7, $95.23, $92.66
02/10/2020, $84.53, 3423072, $85.41, $85.65, $84.38
02/07/2020, $85.44, 6740568, $83.37, $85.79, $82.26
02/06/2020, $82.77, 2976217, $82.13, $83.08, $82
02/05/2020, $81.79, 2758812, $81.96, $82.71, $81.745
02/04/2020, $81.51, 4597761, $80.15, $81.89, $79.23
02/03/2020, $79.46, 2879773, $80.36, $80.76, $79.33
01/31/2020, $79.19, 2863980, $80.59, $80.7917, $79.16
01/30/2020, $80.94, 2352747, $79.59, $81.05, $79.58
01/29/2020, $80.26, 2603586, $81.87, $81.89, $80.09
01/28/2020, $81.66, 2395016, $81.08, $82.3, $80.93
01/27/2020, $80.72, 1934692, $80.89, $81.55, $80.38
01/24/2020, $81.58, 1596701, $82.29, $82.59, $81.33
01/23/2020, $82.18, 1754888, $82.3, $82.37, $81.95
01/22/2020, $82.48, 1672464, $82.14, $83.03, $82.07
01/21/2020, $82.03, 3612004, $81.99, $82.95, $81.8
01/17/2020, $82.15, 3559646, $81.95, $82.24, $81.57
01/16/2020, $81.44, 3109596, $80.27, $81.515, $80.27
01/15/2020, $80.27, 1612285, $79.86, $80.48, $79.62
01/14/2020, $79.8, 2050056, $79.17, $79.95, $78.86
01/13/2020, $79.4, 2283371, $79.17, $79.56, $78.89
01/10/2020, $79, 2227075, $80.21, $80.21, $78.845
01/09/2020, $79.81, 2982013, $79.77, $80.33, $79.4
01/08/2020, $79.42, 3037645, $79.22, $79.79, $78.08
01/07/2020, $78.92, 3263113, $78.57, $79.51, $78.15
01/06/2020, $78.62, 2678038, $78.13, $78.85, $77.97
01/03/2020, $78.17, 1832053, $78.06, $78.43, $77.47
01/02/2020, $78.59, 3392698, $78.88, $78.89, $77.93
12/31/2019, $78.42, 1714915, $77.94, $78.44, $77.78
12/30/2019, $78.08, 2342019, $77.47, $78.1, $77.18
12/27/2019, $77.24, 1310043, $77.32, $77.5, $77.01
12/26/2019, $77.4, 1240867, $77.46, $77.54, $77.305
12/24/2019, $77.32, 470066, $77.05, $77.41, $76.92
12/23/2019, $76.96, 1709398, $77.47, $77.56, $76.92
12/20/2019, $77.4, 5944315, $77.93, $77.93, $77.02
12/19/2019, $77.22, 3092924, $76.04, $77.55, $76
12/18/2019, $76.31, 4348337, $75.62, $76.42, $75.46
12/17/2019, $75.49, 3603766, $75.45, $75.7, $75.02
12/16/2019, $75.47, 3488056, $75.53, $75.85, $75.23
12/13/2019, $75.47, 2725523, $74.97, $75.54, $74.65
12/12/2019, $74.89, 2846145, $75.23, $75.25, $74.46
12/11/2019, $74.62, 3374814, $75.08, $75.41, $74.31
12/10/2019, $75.02, 3080649, $75.79, $75.905, $74.93
12/09/2019, $75.87, 4384253, $77.7, $77.9, $75.3
12/06/2019, $77.74, 2900347, $77.54, $78, $76.63
12/05/2019, $76.94, 2820518, $78.07, $78.2, $76.895
12/04/2019, $78.34, 1905504, $78.05, $78.53, $77.44
12/03/2019, $78.01, 2081102, $77.45, $78.06, $76.81
12/02/2019, $77.64, 2899552, $78.58, $78.84, $76.86
11/29/2019, $78.55, 872904, $78.88, $79.28, $78.5
11/27/2019, $78.98, 2081544, $78.47, $79.3, $78.47
11/26/2019, $78.45, 2882130, $78, $78.695, $77.59
11/25/2019, $78, 2984840, $78.74, $78.87, $77.59
11/22/2019, $78.59, 2910753, $77.95, $78.78, $77.79
11/21/2019, $77.7, 1704091, $77.84, $77.94, $77.36
11/20/2019, $77.64, 2796916, $76.85, $77.675, $76.72
11/19/2019, $77.16, 2362695, $78.2, $78.3, $76.915
11/18/2019, $78.19, 4236248, $76.87, $78.45, $76.33
11/15/2019, $78.07, 3949219, $77.56, $79.5, $77.33
11/14/2019, $76.84, 2897991, $77.38, $77.82, $76.49
11/13/2019, $77.97, 2726815, $77.63, $78.07, $76.8
11/12/2019, $77.43, 4345988, $79.62, $79.645, $77.2
11/11/2019, $79.62, 6391790, $80.59, $81.14, $77.55
11/08/2019, $80.94, 1617667, $81.8, $81.84, $80.83
11/07/2019, $81.86, 2680955, $82.4, $83.03, $81.565
11/06/2019, $81.86, 2707596, $81.6, $81.945, $81.29
11/05/2019, $81.47, 1738429, $81.06, $81.85, $80.85
11/04/2019, $80.92, 3091189, $82.7, $82.805, $80.45
11/01/2019, $82.47, 2608498, $83.09, $83.19, $82
10/31/2019, $82.66, 2683280, $83.35, $83.5, $81.78
10/30/2019, $83.27, 4158288, $81.57, $83.85, $81.54
10/29/2019, $81.77, 4215586, $81.24, $82.37, $79.72
10/28/2019, $82.39, 3076797, $82.01, $83.12, $81.76
10/25/2019, $81.62, 2014354, $81.68, $82.18, $81.51
10/24/2019, $81.48, 1891081, $81.25, $81.63, $81.0202
10/23/2019, $81.36, 1309199, $81.44, $81.75, $81.0702
10/22/2019, $81.67, 2249787, $82.53, $82.57, $81.65
10/21/2019, $82.09, 2923137, $81.77, $82.53, $81.71
10/18/2019, $81.6, 3212054, $81.14, $82.33, $80.78
10/17/2019, $81.05, 3913720, $80.45, $81.18, $79.17
10/16/2019, $80.01, 2262682, $79.74, $80.18, $79.6
10/15/2019, $79.74, 1875098, $78.95, $79.94, $78.8
10/14/2019, $78.63, 2000225, $79.53, $79.53, $78.57
10/11/2019, $79.53, 2074210, $78.66, $80.03, $78.55
10/10/2019, $78.3, 2414385, $77.72, $78.485, $77.03
10/09/2019, $77.79, 1983991, $78.11, $78.28, $77.31
10/08/2019, $77.615, 2346697, $77.78, $78.14, $77.36
10/07/2019, $78.48, 1951020, $77.63, $78.68, $77.63
10/04/2019, $77.99, 1843469, $76.96, $78.07, $76.96
10/03/2019, $77.025, 2375028, $76.6, $77.41, $76.02
10/02/2019, $76.41, 3284504, $77.6, $77.97, $75.82
10/01/2019, $78.2, 2820113, $78.88, $79.37, $78
09/30/2019, $78.77, 2327960, $77.87, $79.09, $77.62
09/27/2019, $77.56, 3407714, $79.06, $79.15, $76.765
09/26/2019, $79, 1929562, $79.97, $80.01, $78.96
09/25/2019, $79.81, 1970987, $79.53, $80.03, $78.86
09/24/2019, $79.36, 3691961, $80.49, $80.4904, $79.03
09/23/2019, $79.96, 2445807, $80.02, $80.78, $79.81
09/20/2019, $80.59, 7207982, $80.56, $80.85, $79.08
09/19/2019, $81, 2851295, $80.72, $81.15, $80.54
09/18/2019, $80.12, 2218639, $80.21, $80.547, $79.58
