Date, Close/Last, Volume, Open, High, Low
03/30/2020, $98.83, 1966356, $97.84, $100.33, $95.72
03/27/2020, $98.43, 1625885, $99.22, $101.89, $95.66
03/26/2020, $101.34, 2229902, $94.72, $102.03, $93.01
03/25/2020, $92.99, 4559541, $90.58, $95.67, $88.84
03/24/2020, $89.5, 3037211, $90.15, $93.03, $87.49
03/23/2020, $85.42, 3411652, $89.975, $90.545, $82.51
03/20/2020, $90.34, 3946689, $102.4, $102.4, $90
03/19/2020, $102.61, 3098148, $107.12, $109.16, $100.615
03/18/2020, $108.41, 3937207, $101.55, $109.535, $98.61
03/17/2020, $108.11, 3420632, $99.3, $108.96, $97.1
03/16/2020, $97.55, 3687442, $91.84, $108.55, $88.3
03/13/2020, $107.33, 3063404, $97.35, $107.36, $95.01
03/12/2020, $91.73, 3494035, $97.08, $100.81, $91.68
03/11/2020, $105.52, 2359215, $109.08, $110.15, $103.97
03/10/2020, $112.79, 2795268, $108.13, $113.73, $106.2
03/09/2020, $103.64, 3009096, $106.15, $110.81, $103.5025
03/06/2020, $116.75, 2228735, $116.78, $118.37, $113.89
03/05/2020, $122.01, 2083924, $125.04, $125.23, $119.9595
03/04/2020, $128.76, 2005894, $125.36, $128.94, $124.035
03/03/2020, $123.49, 2985902, $124.44, $126.59, $121.1
03/02/2020, $125.48, 2737047, $119.11, $125.67, $117.76
02/28/2020, $118.01, 3329692, $115.93, $118.11, $113.69
02/27/2020, $119.84, 2036102, $123.86, $125.3, $119.76
02/26/2020, $126.61, 1697208, $127.2, $129.35, $126.58
02/25/2020, $126.54, 1865959, $132.74, $133.2, $125.98
02/24/2020, $131.75, 1288842, $132.36, $133.23, $130.91
02/21/2020, $136.27, 1059010, $137.64, $137.64, $134.84
02/20/2020, $137.74, 1105068, $138.91, $139.35, $136.83
02/19/2020, $139.06, 866752, $138.33, $139.36, $137.5
02/18/2020, $137.78, 870701, $137.4, $138.195, $136.635
02/14/2020, $137.39, 713895, $136.46, $137.485, $136.11
02/13/2020, $136.42, 1258225, $138.01, $138.01, $136.13
02/12/2020, $138.48, 940296, $138.87, $139.5, $137.12
02/11/2020, $138.61, 751251, $139.05, $139.815, $138.26
02/10/2020, $138.48, 783067, $138, $138.796, $137.41
02/07/2020, $138.24, 729016, $137.29, $138.57, $136.77
02/06/2020, $137.77, 1058006, $138.2, $139.47, $136.945
02/05/2020, $137.94, 1172592, $138.98, $138.99, $135.69
02/04/2020, $136.81, 1122490, $136.5, $137.9, $135.7
02/03/2020, $134.52, 1477809, $134.28, $136, $133.15
01/31/2020, $133.53, 1954830, $136.25, $136.34, $133.09
01/30/2020, $136.57, 1521112, $132.4, $136.65, $132.28
01/29/2020, $136.12, 1782911, $134.15, $137.485, $132.5
01/28/2020, $131.3, 1336044, $130.09, $131.94, $129.07
01/27/2020, $128.54, 1197425, $130.02, $130.6978, $127.43
01/24/2020, $131.18, 1019888, $133.96, $134.555, $130.37
01/23/2020, $133.21, 1108414, $131.44, $133.25, $130.64
01/22/2020, $132.57, 1178132, $132.91, $133.545, $132.24
01/21/2020, $132.3, 1491683, $131.74, $132.9223, $131.6
01/17/2020, $132.26, 1418615, $132.49, $132.755, $131.59
01/16/2020, $132.02, 921932, $131.02, $132.04, $130.74
01/15/2020, $130.15, 663060, $129.72, $130.715, $129.01
01/14/2020, $129.73, 980790, $131.04, $131.25, $129.42
01/13/2020, $131.03, 1733221, $127.97, $131.07, $127.82
01/10/2020, $127.46, 955014, $128.43, $128.87, $127.13
01/09/2020, $128.28, 903172, $127.69, $128.48, $126.83
01/08/2020, $127.22, 751109, $126.5, $128, $126.25
01/07/2020, $126.02, 826735, $125.42, $126.67, $125.245
01/06/2020, $125.52, 771309, $124.16, $125.57, $123.28
01/03/2020, $124.75, 958779, $123.9, $125.54, $123.105
01/02/2020, $125.16, 1315972, $122.35, $125.17, $122.25
12/31/2019, $121.84, 896312, $121.45, $122.1699, $120.93
12/30/2019, $121.81, 614105, $123.32, $123.32, $121.45
12/27/2019, $122.82, 511084, $123, $123.24, $122.55
12/26/2019, $122.87, 310633, $122.95, $122.95, $122.09
12/24/2019, $122.2, 318852, $121.99, $122.43, $121.19
12/23/2019, $121.62, 675482, $123.18, $123.18, $121.5
12/20/2019, $122.54, 2137077, $123.86, $123.86, $121.85
12/19/2019, $122.52, 852447, $122.1, $122.7, $121.93
12/18/2019, $122.4, 1015111, $123.2, $123.62, $121.91
12/17/2019, $123.02, 913029, $123.31, $123.71, $122.74
12/16/2019, $123.24, 806610, $124.25, $124.7, $123.12
12/13/2019, $123.22, 751207, $124.09, $124.61, $122.7
12/12/2019, $125.35, 1031308, $123.68, $126.16, $123.04
12/11/2019, $123.61, 835651, $122.73, $123.75, $122.34
12/10/2019, $122.35, 1413857, $124, $124, $122.21
12/09/2019, $124.5, 955288, $123.54, $124.98, $123.25
12/06/2019, $123.9, 776260, $124.59, $124.6, $123.795
12/05/2019, $123, 563296, $122.44, $123.11, $121.98
12/04/2019, $121.72, 532564, $121.37, $122.3747, $120.89
12/03/2019, $120.79, 761819, $120.42, $120.88, $118.94
12/02/2019, $122.26, 934149, $123.69, $123.91, $122.17
11/29/2019, $123.56, 322733, $123.51, $124, $123.16
11/27/2019, $123.71, 755683, $123.03, $123.955, $122.55
11/26/2019, $122.83, 1177451, $122.4, $122.88, $121.55
11/25/2019, $122.58, 522227, $121.63, $122.62, $121.09
11/22/2019, $121.02, 540663, $121.01, $121.15, $120.09
11/21/2019, $120.03, 603091, $120.83, $121.135, $118.79
11/20/2019, $120.93, 601205, $121.28, $121.6, $119.81
11/19/2019, $121.97, 696984, $121.86, $122.59, $121.16
11/18/2019, $121.36, 642333, $121, $121.51, $120.3601
11/15/2019, $121.46, 619288, $121.7, $122.13, $121.04
11/14/2019, $120.91, 602987, $120.61, $121.27, $119.855
11/13/2019, $120.59, 581984, $120.39, $120.65, $119.27
11/12/2019, $121.23, 820544, $120.53, $121.86, $119.88
11/11/2019, $120.42, 576179, $119.04, $120.44, $118.51
