Date, Close/Last, Volume, Open, High, Low
04/13/2020, $106.42, 1241486, $109.61, $109.8805, $105.83
04/09/2020, $109.74, 1693452, $106.34, $111.7, $105.75
04/08/2020, $104.94, 1482100, $101.6, $105.48, $100.12
04/07/2020, $100.78, 1944046, $102.47, $104.2, $100.67
04/06/2020, $98.98, 3042612, $98, $99.49, $96.775
04/03/2020, $93.89, 1784184, $96.09, $97.32, $92.94
04/02/2020, $97.19, 1852315, $94.55, $98.93, $93.9
04/01/2020, $95.2, 3182576, $94.76, $98.07, $94.4
03/31/2020, $99.35, 2920054, $100.74, $101.7162, $99.01
03/30/2020, $102.59, 2733706, $99.85, $102.99, $96.2
03/27/2020, $99.95, 3085644, $94.87, $103.01, $94.81
03/26/2020, $98.67, 4636033, $93.09, $98.93, $90.1
03/25/2020, $92.18, 4151417, $93.37, $94.96, $87.66
03/24/2020, $93.74, 4293373, $91.32, $94.36, $86.76
03/23/2020, $88.36, 4915727, $87.6, $92.5, $87.11
03/20/2020, $89.51, 5949454, $86.15, $94.18, $84.96
03/19/2020, $86.07, 3177452, $81.16, $86.449, $77.52
03/18/2020, $81.69, 3939101, $90.25, $93.5, $76.99
03/17/2020, $96.41, 5424945, $87.11, $96.7, $80.4
03/16/2020, $85.1, 4731785, $97.85, $98.48, $84.86
03/13/2020, $107.45, 3602262, $107.51, $107.55, $99.19
03/12/2020, $102.18, 3485618, $105.61, $110.66, $101.22
03/11/2020, $112.6, 3032447, $115.69, $116.37, $111.19
03/10/2020, $119.57, 2615412, $118.58, $119.78, $113.8
03/09/2020, $116.2, 3658669, $116.12, $118.48, $113.3
03/06/2020, $124.84, 2550365, $124.21, $125.79, $122.455
03/05/2020, $128.02, 2445506, $127.65, $129.33, $126.81
03/04/2020, $131.53, 2423134, $126.26, $131.55, $125.32
03/03/2020, $125.31, 2694474, $127.58, $128.6, $124.37
03/02/2020, $127.68, 3349915, $119.81, $127.69, $119.33
02/28/2020, $119.81, 3755977, $121.72, $122.74, $117.38
02/27/2020, $124.08, 2689759, $127.35, $129.06, $124.04
02/26/2020, $128.56, 1715781, $131.28, $132.16, $128.56
02/25/2020, $130.79, 1949024, $134.11, $134.2, $130.73
02/24/2020, $134.12, 1828726, $133.52, $135.55, $133.32
02/21/2020, $135.16, 1469657, $134.26, $135.33, $133.24
02/20/2020, $133.98, 1629059, $133.98, $134.45, $132.6
02/19/2020, $134.51, 1272176, $136, $136.17, $134.185
02/18/2020, $135.88, 1206097, $137.48, $137.69, $135.76
02/14/2020, $137.76, 981555, $136.62, $138.155, $136.23
02/13/2020, $136.88, 927166, $135.91, $137.16, $135.23
02/12/2020, $135.71, 824780, $137.57, $137.69, $135.69
02/11/2020, $137.38, 1041982, $136.34, $137.51, $135.65
02/10/2020, $136.22, 807695, $136.01, $136.27, $135.14
