Date, Close/Last, Volume, Open, High, Low
04/13/2020, $89.81, 1051888, $90.68, $91.38, $87.8151
04/09/2020, $91.6, 1281645, $89.7, $94.31, $89.23
04/08/2020, $87.87, 1740925, $87.95, $89.24, $86.54
04/07/2020, $88.17, 1527126, $90.1, $92.55, $87.65
04/06/2020, $87.04, 2026939, $84, $88.13, $83.1086
04/03/2020, $80.03, 1654521, $81.66, $84.13, $78.57
04/02/2020, $82.86, 1404130, $80.67, $83.24, $80.26
04/01/2020, $80.89, 1901109, $78.42, $81.87, $77
03/31/2020, $82.59, 2048141, $82.85, $84.3, $80.565
03/30/2020, $84.3, 1714506, $81.68, $85.62, $81.33
03/27/2020, $82.67, 1610216, $84.4, $85, $80.5
03/26/2020, $86.88, 2377441, $84.54, $92.4225, $84.215
03/25/2020, $85.12, 2103121, $76.86, $87.27, $76.2261
03/24/2020, $76.81, 2254022, $74.87, $78.99, $73.4
03/23/2020, $71.26, 2112198, $73.85, $75.44, $70
03/20/2020, $75.68, 2670582, $82.11, $84.11, $73.415
03/19/2020, $81.73, 2217543, $81.06, $85.61, $77.75
03/18/2020, $83.01, 3013921, $88.86, $90.16, $70.33
03/17/2020, $93.21, 3582856, $92.8, $94.31, $88.27
03/16/2020, $92.19, 2747460, $90.19, $103.02, $90.19
03/13/2020, $103.44, 2770444, $100.43, $104.65, $96.37
03/12/2020, $96.33, 3908515, $100.04, $102.99, $92.01
03/11/2020, $107, 3001248, $104.32, $109.21, $103.24
03/10/2020, $107.07, 2582178, $107.25, $108.41, $100.42
03/09/2020, $105.28, 3377554, $107.57, $107.64, $103.4
03/06/2020, $112.53, 3251243, $110.48, $113.5, $107.28
03/05/2020, $112.43, 3181443, $114.2, $115.97, $111.52
03/04/2020, $117.82, 3380353, $108.96, $118.1, $108.13
03/03/2020, $106.06, 4094322, $101.09, $109.53, $100.315
03/02/2020, $100.55, 1855496, $100.6, $104.92, $98.42
02/28/2020, $100.6, 3113264, $99.9373, $102.3385, $97.6614
02/27/2020, $103.3052, 2811322, $106.525, $107.8659, $103.0635
02/26/2020, $108.1777, 1943037, $108.3804, $109.3705, $106.9616
02/25/2020, $107.593, 1918974, $111.226, $111.5066, $107.1331
02/24/2020, $110.766, 2114797, $110.5165, $111.6704, $109.4641
02/21/2020, $113.5414, 1528217, $113.1516, $114.2197, $112.793
02/20/2020, $113.8299, 1907314, $113.1906, $114.4847, $112.6059
02/19/2020, $113.6895, 2471760, $113.2062, $114.0014, $112.6838
02/18/2020, $113.0191, 1178429, $113.6506, $113.9936, $112.1693
02/14/2020, $114.2508, 940257, $113.7441, $114.2898, $113.097
02/13/2020, $113.5258, 1322913, $112.9333, $113.9468, $112.6293
02/12/2020, $113.5024, 1859629, $113.0035, $113.8766, $112.7618
02/11/2020, $112.5435, 1372802, $112.2862, $112.8632, $111.6158
02/10/2020, $112.3486, 2106575, $110.0956, $112.5669, $109.7058
02/07/2020, $110.5555, 1783687, $110.6335, $111.8964, $109.963
02/06/2020, $111.0233, 1367192, $110.5711, $111.2494, $109.7915
02/05/2020, $110.5165, 1640781, $109.0275, $110.8323, $108.5519
02/04/2020, $107.9984, 2086708, $106.9694, $108.6728, $106.8134
02/03/2020, $106.1742, 1943549, $104.2641, $106.4236, $104.1862
01/31/2020, $103.8665, 2216221, $104.6773, $105.3556, $103.2974
01/30/2020, $105.3556, 2487037, $104.116, $105.4725, $103.0012
01/29/2020, $104.6929, 3118409, $100.0933, $105.1763, $100.0933
01/28/2020, $101.9565, 2116437, $100.9664, $102.7673, $100.0153
01/27/2020, $100.5922, 1575592, $100.5064, $101.5121, $99.8828
01/24/2020, $101.8162, 1872567, $103.1883, $103.1883, $101.1379
01/23/2020, $103.1337, 1604496, $102.128, $103.1571, $101.7226
01/22/2020, $102.627, 768525, $103.7574, $103.8665, $102.627
01/21/2020, $103.1805, 1306262, $103.7652, $104.194, $102.892
01/17/2020, $104.4045, 1373379, $103.8977, $104.6539, $103.812
01/16/2020, $103.6015, 970597, $102.9076, $103.6638, $102.6114
01/15/2020, $102.3697, 925602, $101.8162, $102.4243, $101.5355
01/14/2020, $102.0345, 1213766, $102.5022, $102.6659, $101.6603
01/13/2020, $102.4009, 1004567, $102.2683, $102.8063, $102.0812
01/10/2020, $102.2683, 1485525, $102.1514, $103.2974, $101.976
01/09/2020, $101.7538, 1270653, $102.3619, $102.7829, $101.5511
01/08/2020, $102.3151, 1011112, $102.6581, $103.1727, $102.1982
01/07/2020, $102.4788, 1374106, $102.3541, $103.1649, $102.206
01/06/2020, $102.8998, 1371278, $103.2273, $103.5157, $102.0345
