Date, Close/Last, Volume, Open, High, Low
03/30/2020, $102.02, 6950754, $100.4, $103.44, $100.3
03/27/2020, $100.5, 7579184, $104, $105, $100.07
03/26/2020, $107.76, 10443000, $99.4, $108.84, $99.01
03/25/2020, $99.16, 11862060, $104.33, $105.83, $98.51
03/24/2020, $105.36, 9385741, $102.145, $105.68, $99.46
03/23/2020, $98.44, 9680823, $97.35, $101.96, $94.92
03/20/2020, $97.6, 10253310, $104.5, $105.5, $97.1
03/19/2020, $101.57, 9298541, $99.39, $105, $97.12
03/18/2020, $100, 16413940, $100.05, $105.82, $94.15
03/17/2020, $106.15, 16243500, $96.03, $107.64, $95.11
03/16/2020, $93.5, 12389360, $95.88, $104.5, $93.09
03/13/2020, $106.04, 16040240, $103.31, $107.47, $98.46
03/12/2020, $97.53, 15158500, $99.42, $104.73, $96.55
03/11/2020, $106.5, 9636948, $109.54, $111.44, $105.79
03/10/2020, $112.12, 9206433, $108.83, $112.14, $104.745
03/09/2020, $105.04, 8454636, $105.11, $110.08, $104.4201
03/06/2020, $113.16, 6386222, $111.09, $113.8732, $110.14
03/05/2020, $114.72, 6162250, $115.17, $117.21, $113.71
03/04/2020, $119.05, 5556691, $115.77, $119.09, $114.34
03/03/2020, $113.81, 9217500, $118.38, $120.12, $112.21
03/02/2020, $118.97, 7207458, $115.16, $119.07, $113.32
02/28/2020, $114.14, 11432760, $109.45, $116.12, $108.61
02/27/2020, $113.13, 8687345, $116.35, $118.49, $113.07
02/26/2020, $118.79, 5778181, $119.29, $120.64, $117.63
02/25/2020, $118.38, 6347264, $122.9, $123.03, $118.015
02/24/2020, $121.44, 7483779, $124.01, $125.26, $121.25
02/21/2020, $128.52, 4121290, $130.76, $130.83, $127.96
02/20/2020, $131.47, 2487936, $132.61, $133.26, $130.34
02/19/2020, $133.13, 3931602, $132.9, $134.3, $132.21
02/18/2020, $131.24, 3094593, $131.1, $131.78, $130.59
02/14/2020, $132.21, 2605266, $133.48, $133.62, $131.2713
02/13/2020, $132.81, 4268722, $131.88, $133.39, $131.1644
02/12/2020, $132.42, 2839108, $131.65, $132.94, $131.64
02/11/2020, $130.7, 2986832, $130.47, $131.98, $130.13
02/10/2020, $129.65, 2882681, $127.55, $129.7, $127.3
02/07/2020, $128.7, 4331746, $131.25, $131.25, $128.51
02/06/2020, $132.52, 3686554, $133, $133, $131.48
02/05/2020, $132.44, 7281760, $128.66, $132.9054, $128.66
02/04/2020, $126.47, 4434701, $126, $127.32, $125.36
02/03/2020, $123.4, 5396697, $121.06, $123.675, $121.06
01/31/2020, $120.65, 5782520, $123.36, $123.64, $119.9599
01/30/2020, $124.42, 5521312, $123.22, $124.665, $122.22
01/29/2020, $125.49, 4537551, $127.55, $128.51, $125.44
01/28/2020, $128.04, 4397463, $127.15, $128.31, $126.76
01/27/2020, $126.31, 5891326, $128.65, $129.25, $126.24
01/24/2020, $130.52, 5606800, $134.8, $135.44, $129.75
01/23/2020, $134.25, 8598678, $131.42, $134.41, $129.65
01/22/2020, $133.34, 8899712, $132.02, $135.7, $131.82
01/21/2020, $130.86, 8631707, $131.09, $132.19, $130.58
01/17/2020, $131.7, 5487095, $130.76, $132.04, $130.4397
01/16/2020, $130.16, 5475961, $130, $130.23, $129.355
01/15/2020, $129.17, 3392366, $130.43, $130.43, $128.86
01/14/2020, $130.67, 4632403, $129.95, $131.86, $129.83
01/13/2020, $129.95, 4313199, $130.57, $130.74, $129.77
01/10/2020, $130, 3234039, $131.81, $131.81, $129.82
01/09/2020, $131.33, 3528081, $130.7, $131.74, $130.24
01/08/2020, $129.76, 3546870, $129.34, $130.57, $129.06
01/07/2020, $129.41, 7186129, $129.15, $130.9, $128.42
01/06/2020, $126.96, 4345537, $127.06, $127.33, $125.9
01/03/2020, $127.85, 4057223, $127.46, $129.25, $127.23
01/02/2020, $129.57, 4307006, $129.13, $129.61, $127.77
12/31/2019, $128.29, 2813548, $127.25, $128.39, $127.06
12/30/2019, $127.66, 2283729, $128.2, $128.47, $127.04
12/27/2019, $128.57, 1800663, $128.86, $128.92, $128.09
12/26/2019, $128.48, 2339864, $128.71, $128.75, $128.05
12/24/2019, $128.53, 1403410, $128.73, $128.85, $127.885
12/23/2019, $128.55, 3095031, $129, $129.17, $128.16
12/20/2019, $128.95, 9321399, $127.25, $129.04, $125.85
12/19/2019, $126.4, 4256468, $126.34, $126.48, $125.0007
12/18/2019, $126.35, 5776324, $127.39, $127.39, $126
12/17/2019, $127.09, 4354331, $127.84, $128, $125.97
12/16/2019, $127.07, 4973083, $127.58, $128.67, $127.07
12/13/2019, $126.64, 3451955, $125.96, $127.47, $125.39
12/12/2019, $126.07, 5412936, $123.8, $126.98, $123.03
12/11/2019, $123.72, 2959929, $121.28, $123.84, $121.2
12/10/2019, $121.37, 4043388, $122.19, $122.99, $121.1715
12/09/2019, $122, 2892813, $122.26, $122.49, $121.87
12/06/2019, $122.37, 3816004, $121.95, $122.7, $121.875
12/05/2019, $120.74, 3260373, $120.57, $120.81, $119.77
12/04/2019, $120.28, 4537688, $119.98, $121.47, $119.41
12/03/2019, $117.75, 6060975, $117.15, $117.97, $116.06
12/02/2019, $118.79, 4733651, $120.12, $120.19, $117.91
11/29/2019, $120.21, 3498895, $121.15, $121.64, $119.99
11/27/2019, $121.73, 4878164, $119.91, $121.81, $119.5
11/26/2019, $119.13, 7099760, $119.04, $119.495, $117.89
11/25/2019, $119.01, 3726369, $117.79, $119.47, $117.71
11/22/2019, $117.01, 3008883, $116.73, $117.5285, $116.55
11/21/2019, $116.1, 5447650, $116.2, $116.35, $114.59
11/20/2019, $116.23, 4369014, $117.25, $117.7, $115.49
11/19/2019, $117.84, 3860785, $118.48, $118.48, $116.98
11/18/2019, $117.89, 5337778, $117.92, $118.29, $117.17
11/15/2019, $118, 4496831, $118.57, $118.76, $117.56
11/14/2019, $117.57, 4568722, $118.19, $118.356, $116.78
11/13/2019, $118.42, 4953304, $118.06, $118.96, $117.61
11/12/2019, $119.02, 4761093, $118.18, $119.9099, $118.18
11/11/2019, $118.075, 5165647, $119.07, $119.7, $117.97
11/08/2019, $120.11, 3804876, $119.7, $120.14, $118.8172
11/07/2019, $119.92, 4271380, $120.94, $121.86, $119.08
11/06/2019, $120.36, 3904664, $119.67, $120.55, $118.86
11/05/2019, $119.86, 3994507, $121.1, $121.73, $119.66
