Date, Close/Last, Volume, Open, High, Low
04/13/2020, $263.51, 2965303, $262.06, $264.96, $258.18
04/09/2020, $264.13, 4925544, $265, $270.4, $261.6
04/08/2020, $267.83, 6390216, $247.69, $269.16, $246.26
04/07/2020, $248.04, 4984097, $259.81, $266.71, $246.54
04/06/2020, $248.34, 6365865, $240, $249.29, $235.12
04/03/2020, $229.49, 4650291, $238.32, $239.337, $227.27
04/02/2020, $240.44, 4636962, $235.3, $242, $226.03
04/01/2020, $237.32, 4548766, $238.69, $246.605, $235.44
03/31/2020, $249.38, 5455654, $243.48, $254.5297, $243
03/30/2020, $251.28, 5328965, $242.64, $254.09, $242.64
03/27/2020, $242.45, 4879622, $242.94, $251.6, $238.24
03/26/2020, $255.39, 7518081, $234.03, $257.96, $232.3
03/25/2020, $234.49, 10013990, $219.09, $247.51, $216
03/24/2020, $219.8, 8894374, $202.14, $220.27, $199
03/23/2020, $194.86, 10654480, $202.04, $205.75, $187.72
03/20/2020, $206.59, 9364072, $223.18, $232.64, $203.46
03/19/2020, $219.8, 8065170, $216.98, $226.12, $208.9425
03/18/2020, $217.06, 12917490, $225.75, $231.45, $200.19
03/17/2020, $244.22, 9642169, $230.82, $248.76, $228.2901
03/16/2020, $225.04, 10303460, $243.92, $245.68, $223.95
03/13/2020, $272.04, 9308415, $260.99, $273.22, $242.27
03/12/2020, $250.41, 10496630, $260, $272.23, $250
03/11/2020, $277.78, 7747394, $274.76, $285.24, $273.26
03/10/2020, $280, 7366040, $279.72, $283.9, $272.5
03/09/2020, $273.44, 8070720, $264.465, $281.44, $259.24
03/06/2020, $283.87, 5361864, $275.42, $284.97, $271.9
03/05/2020, $282.96, 5908381, $281.6, $289.42, $279.94
03/04/2020, $289.42, 14532980, $290, $295.84, $282.21
03/03/2020, $261.4, 9188087, $275.35, $280.3536, $259.23
03/02/2020, $273.11, 8866267, $257.34, $273.24, $250.32
02/28/2020, $254.96, 9963972, $246.2, $257.1, $245.3
02/27/2020, $253.92, 7604285, $258.42, $262.1542, $252.07
02/26/2020, $263, 6807579, $264.72, $269.83, $258.7102
02/25/2020, $263.39, 8171242, $280.15, $281.98, $262.01
02/24/2020, $277.79, 8790596, $286.89, $288.99, $277.64
02/21/2020, $301.43, 2990311, $300.47, $302.51, $298.61
02/20/2020, $302.13, 2885466, $303.2, $304.16, $297.89
02/19/2020, $305.31, 3021266, $303.37, $306.715, $302.7256
02/18/2020, $302.14, 3242145, $299.67, $303.35, $299
02/14/2020, $298.78, 2485610, $302.21, $303.97, $297.3066
02/13/2020, $302.2, 3565494, $300.14, $305.9, $300.14
02/12/2020, $303.48, 6702084, $295, $305, $294.01
02/11/2020, $290.79, 2992180, $286.85, $291.57, $285.9
02/10/2020, $287.03, 3147356, $286.23, $289.29, $285.45
02/07/2020, $289.22, 3426082, $292.87, $293.39, $288.91
02/06/2020, $292.46, 3044084, $297, $297.27, $290
02/05/2020, $295.73, 5760999, $285.6, $297, $285.44
02/04/2020, $280.84, 4290256, $277.28, $283.5, $276.88
02/03/2020, $274.02, 5646967, $275.13, $276.85, $270.82
01/31/2020, $272.45, 5532985, $278.17, $278.78, $271.18
01/30/2020, $280.98, 4211762, $281.84, $281.84, $275.92
01/29/2020, $282.9, 3963946, $284, $286.19, $280.891
01/28/2020, $285.87, 4341182, $283.91, $288.37, $283.3
01/27/2020, $284.09, 4399767, $288, $288.08, $280.07
01/24/2020, $292.81, 3678518, $298.34, $299.93, $291.56
01/23/2020, $299.46, 3169618, $300.01, $300.58, $296.65
01/22/2020, $300.59, 3117568, $301.99, $302.13, $297.3501
01/21/2020, $300.53, 4963132, $296.89, $302.54, $296.01
01/17/2020, $298.47, 4632160, $300.01, $300.7, $295.88
01/16/2020, $300.74, 3710344, $298, $300.99, $295.93
01/15/2020, $296.41, 6081615, $289.02, $299.64, $289
01/14/2020, $288.24, 6067709, $285.6, $288.24, $284.25
01/13/2020, $285.85, 6996743, $294.37, $294.45, $285.015
01/10/2020, $295.13, 2477989, $296.07, $296.07, $292.21
