Date, Close/Last, Volume, Open, High, Low
03/30/2020, $140.2, 3309377, $137.54, $143.305, $136.32
03/27/2020, $139.05, 4962381, $135.62, $143.62, $134.1601
03/26/2020, $142.49, 6068684, $137.03, $143.39, $134.0173
03/25/2020, $132.91, 6923235, $127.38, $141.09, $127
03/24/2020, $128.87, 7018899, $121.36, $130.11, $118.8
03/23/2020, $114.04, 6011310, $110.39, $119.34, $109.61
03/20/2020, $117.84, 6668101, $124.1, $125.75, $113.46
03/19/2020, $121.65, 8514581, $114.28, $123.6795, $111.6832
03/18/2020, $115.08, 10869970, $120.77, $123.31, $105.08
03/17/2020, $128.63, 8021968, $127.33, $132.71, $120.38
03/16/2020, $125.1, 7102692, $128.05, $135.87, $122.3
03/13/2020, $143.85, 7886441, $139.55, $143.85, $134.81
03/12/2020, $132.05, 8805172, $130.15, $142.18, $125
03/11/2020, $141.56, 7075371, $142.02, $143.43, $138.91
03/10/2020, $146.82, 8090470, $141.83, $147, $139.17
03/09/2020, $135.84, 9400158, $145.2, $145.58, $133.18
03/06/2020, $156.09, 4643341, $149.52, $156.93, $148.88
03/05/2020, $154.96, 4901928, $157.64, $159.7994, $153.72
03/04/2020, $162.17, 4415117, $159.85, $162.98, $158.22
03/03/2020, $157.34, 5654000, $160.7, $167.62, $156.35
03/02/2020, $160.34, 7065014, $160.59, $161.97, $155.325
02/28/2020, $159.81, 7060262, $155.01, $159.98, $152.79
02/27/2020, $159.62, 7914686, $160.46, $165.14, $156.32
02/26/2020, $165.75, 4921386, $169.63, $172.815, $165.54
02/25/2020, $170.89, 7631678, $177.45, $178.12, $170.01
02/24/2020, $176.8, 6785258, $176.19, $177.805, $174.4
02/21/2020, $181.72, 2890700, $182.12, $182.825, $180.78
02/20/2020, $183.4, 2190872, $183.33, $184.52, $181.66
02/19/2020, $183.5, 2807221, $182.98, $185.5, $182.68
02/18/2020, $182.1, 3164393, $183.46, $184.4941, $181.66
02/14/2020, $184, 2134822, $184.56, $185.5299, $182.6522
02/13/2020, $184.64, 1861505, $183.96, $185.55, $183.31
02/12/2020, $184.86, 2612632, $184.82, $185.96, $183.685
02/11/2020, $183.3, 1521667, $185.67, $185.68, $183.1
02/10/2020, $184.67, 1782836, $181.99, $184.82, $181.58
02/07/2020, $183.83, 2221484, $184.76, $185.65, $183.23
02/06/2020, $186.11, 2932442, $186.81, $187.665, $184.8401
02/05/2020, $185.09, 2133502, $185.85, $185.85, $184.37
02/04/2020, $183.24, 1858155, $182.7, $185.02, $182.7
02/03/2020, $180.29, 2493200, $180.87, $182.05, $179.4
01/31/2020, $179.42, 3653671, $181.69, $182.47, $178.5
01/30/2020, $183.07, 2994370, $179.67, $183.5, $179.01
01/29/2020, $181.78, 2270818, $181.6, $184.27, $180.44
01/28/2020, $179.64, 3264475, $180.27, $181.68, $179.45
01/27/2020, $178.47, 4184125, $182.03, $183.96, $178.3
01/24/2020, $185.68, 2733964, $186.14, $188.96, $184.53
01/23/2020, $187.19, 4950550, $183.5, $187.68, $180.93
01/22/2020, $180.93, 2993865, $183.27, $183.408, $180.44
01/21/2020, $182.46, 3441029, $184.16, $184.53, $181.12
01/17/2020, $185.32, 4008603, $183.68, $185.65, $183
01/16/2020, $183.9, 3227407, $181.56, $184.17, $180.91
01/15/2020, $180.8, 3450735, $181.63, $182.42, $180.63
01/14/2020, $180.8, 2806034, $180.5, $182.73, $180.15
01/13/2020, $179.9, 2035298, $177.99, $179.99, $177.64
01/10/2020, $177.94, 2944343, $179.1, $179.93, $177.82
01/09/2020, $179.1, 3311081, $180.51, $180.83, $178.57
01/08/2020, $180.02, 2817514, $177.89, $181.05, $177.48
01/07/2020, $178.07, 4100252, $179.23, $179.58, $177.61
01/06/2020, $179.43, 3142472, $179.7, $180.08, $177.935
01/03/2020, $180.98, 2344175, $179.54, $181.19, $178.29
01/02/2020, $182.27, 2320912, $180.95, $182.38, $179.97
12/31/2019, $180.79, 1588754, $179.96, $181.26, $179.54
12/30/2019, $180.15, 1493040, $181.15, $181.38, $179.6
12/27/2019, $181.41, 1363023, $181, $181.59, $180.66
12/26/2019, $180.81, 1171702, $180.36, $180.92, $179.5
12/24/2019, $179.89, 666016, $179.76, $180.475, $179.358
12/23/2019, $179.42, 1888071, $180.4, $180.68, $179
12/20/2019, $180.4, 6140374, $178.81, $180.56, $176.72
12/19/2019, $177.47, 2479216, $177.85, $179.2025, $177.03
12/18/2019, $178.22, 3786044, $177.75, $179.3, $176.54
12/17/2019, $177.39, 3516788, $179.74, $180.6568, $177.07
12/16/2019, $180.09, 3625750, $178.29, $180.84, $178.02
12/13/2019, $177.03, 2842405, $175.83, $177.53, $174.16
12/12/2019, $175.22, 3378740, $174.09, $176.32, $173.17
12/11/2019, $174.45, 2015840, $172.78, $174.68, $172.01
12/10/2019, $171.85, 1811612, $170.83, $172.5, $170.13
12/09/2019, $171.36, 2087118, $171.29, $172.58, $170.52
12/06/2019, $172, 2123929, $172.31, $174.125, $171.785
12/05/2019, $170.49, 2647600, $171.61, $171.89, $169.36
12/04/2019, $171.46, 3623012, $169.17, $172.89, $168.95
12/03/2019, $168, 4273096, $170.9, $171.07, $167.15
12/02/2019, $173, 2099671, $175.86, $176.57, $172.79
11/29/2019, $175.99, 975642, $176.55, $176.99, $175.44
11/27/2019, $177.19, 2114135, $177.48, $177.8, $175.93
11/26/2019, $178.09, 2947850, $179.26, $179.95, $178.06
11/25/2019, $179.9, 2655969, $176.18, $179.99, $175.67
11/22/2019, $175.94, 1934984, $174.68, $175.99, $173.8
11/21/2019, $174.17, 1704353, $173.84, $174.83, $172.3
11/20/2019, $174.09, 2915101, $176.66, $177.705, $173.78
11/19/2019, $177.17, 3593968, $176.07, $177.29, $175.435
11/18/2019, $176.25, 2930130, $175.82, $176.47, $174.5714
11/15/2019, $176.27, 2160266, $175.18, $177.1, $174.77
11/14/2019, $174.77, 2151997, $175.54, $176.2, $174.09
11/13/2019, $175.54, 2281782, $174.31, $176.4, $173.66
11/12/2019, $175.47, 1775461, $176.39, $176.83, $174.91
