Date, Close/Last, Volume, Open, High, Low
04/13/2020, $98.42, 3355104, $98.58, $100.25, $98.19
04/09/2020, $98.69, 5588675, $98.58, $100.03, $96.12
04/08/2020, $98.79, 6628400, $97, $99.5, $93.76
04/07/2020, $92.91, 5113935, $96.25, $97.45, $92.69
04/06/2020, $95.68, 5642748, $93.21, $96.48, $92.42
04/03/2020, $90, 4471903, $92.17, $93.4, $88.82
04/02/2020, $93.04, 4039893, $89.76, $93.56, $88.35
04/01/2020, $90.39, 5762759, $90.91, $92.88, $89.08
03/31/2020, $93.42, 5396135, $96.91, $97.31, $93.16
03/30/2020, $97.84, 3994224, $98.13, $98.81, $95.91
03/27/2020, $97.52, 4671051, $95.6, $99.55, $95
03/26/2020, $99.78, 6374335, $94.5, $100.03, $93.53
03/25/2020, $94.5, 5682206, $95.63, $97.79, $91.05
03/24/2020, $95.26, 6067105, $93.93, $96.69, $92.16
03/23/2020, $91.9, 7117792, $94.18, $96.13, $90.25
03/20/2020, $93.46, 7355325, $96.15, $97.73, $90.91
03/19/2020, $96.25, 7690326, $98.67, $103.8, $95.46
03/18/2020, $99.26, 11152110, $91, $101.85, $90.3115
03/17/2020, $96.79, 10476120, $89.05, $97.21, $87.79
03/16/2020, $87.06, 9006342, $85.86, $94.21, $85.5
03/13/2020, $94.23, 10918890, $91, $94.6, $87.51
03/12/2020, $86.17, 9412805, $82.22, $92.44, $82
03/11/2020, $87.99, 5558986, $89.82, $91.17, $87.31
03/10/2020, $92.82, 8914206, $90.48, $92.95, $87.19
03/09/2020, $87.18, 8648254, $88.44, $92, $87.1
03/06/2020, $94, 5598425, $90.27, $94.48, $90.14
03/05/2020, $92.99, 5277204, $92.78, $94.25, $91.94
03/04/2020, $95.82, 6644750, $92.29, $95.88, $91.43
03/03/2020, $91.3, 9263420, $94.86, $96, $90.571
03/02/2020, $92.75, 8738757, $92.05, $93.135, $89.41
02/28/2020, $90.49, 11517380, $88.63, $91.35, $87.67
02/27/2020, $90.24, 9143756, $91.51, $93.142, $89.89
02/26/2020, $93.73, 7413350, $95.08, $95.39, $93.18
02/25/2020, $93.9, 7609140, $99.07, $99.22, $93.22
02/24/2020, $98.49, 7300597, $99.76, $100.14, $97.62
02/21/2020, $102.94, 6036966, $105.62, $105.73, $102.75
02/20/2020, $106.48, 3171286, $106.48, $107.606, $105.95
02/19/2020, $106.76, 2663498, $106.98, $106.98, $105.95
02/18/2020, $106.42, 3373257, $105.95, $106.92, $105.7
02/14/2020, $105.95, 2694596, $104.99, $106.19, $104.675
02/13/2020, $105.24, 2768258, $104.99, $106.13, $104.37
02/12/2020, $105.54, 2493334, $105.77, $106.77, $105.49
02/11/2020, $104.87, 2806283, $103.42, $105.45, $103.22
02/10/2020, $103.07, 4669449, $103.4, $103.75, $101.63
02/07/2020, $103.12, 5754415, $106.05, $106.37, $103
02/06/2020, $106.51, 3861834, $106.6, $107.79, $105.5
02/05/2020, $106.04, 4439895, $104.63, $106.59, $104.34
02/04/2020, $103.38, 4858732, $103.34, $103.8597, $102.62
02/03/2020, $102.03, 5627414, $104.16, $104.48, $101.66
01/31/2020, $103.52, 7234280, $107.84, $107.9, $103.09
01/30/2020, $108, 9473040, $112.26, $113.07, $107.34
01/29/2020, $115.76, 2846008, $115.76, $116.99, $115.33
01/28/2020, $115.37, 2039557, $115.45, $116.3554, $114.44
01/27/2020, $114.92, 2904122, $114.95, $115.45, $113.35
01/24/2020, $116.66, 2015558, $117.04, $117.11, $115.9258
01/23/2020, $116.93, 2493730, $117.03, $117.12, $115.55
01/22/2020, $117.26, 2425268, $117.79, $119.24, $117.23
01/21/2020, $117.39, 2960666, $118.21, $118.54, $116.75
01/17/2020, $118.6, 3403414, $118.74, $119.24, $118.17
01/16/2020, $118.61, 2426958, $118.51, $119.11, $118.1
01/15/2020, $117.93, 3168371, $117.51, $118.7, $117.27
01/14/2020, $117.27, 2598804, $116.75, $118.18, $116.69
01/13/2020, $116.75, 1826285, $116.12, $117.22, $115.9
01/10/2020, $115.87, 2545165, $117.07, $117.07, $115.6
01/09/2020, $116.93, 2151511, $117.03, $117.83, $116.38
01/08/2020, $116.66, 2015982, $115.38, $117.56, $115.32
01/07/2020, $116, 1978789, $115.86, $116.44, $115.07
01/06/2020, $116.2, 3383123, $115.45, $116.23, $114.37
01/03/2020, $116.72, 2477904, $114.97, $116.86, $114.84
01/02/2020, $116.79, 4112522, $117.68, $117.9664, $115.23
12/31/2019, $117.06, 2877107, $116.04, $117.09, $115.5707
12/30/2019, $116.44, 2430918, $119.22, $119.22, $116.25
12/27/2019, $118.94, 1419599, $119.45, $119.49, $118.57
12/26/2019, $119.04, 1274586, $119.09, $119.23, $118.6
12/24/2019, $118.33, 872025, $117.43, $118.36, $117.34
12/23/2019, $118.94, 2048264, $118.23, $119.4195, $117.56
12/20/2019, $117.4, 6945432, $119.89, $119.89, $117.33
12/19/2019, $118.56, 3200950, $118.36, $119.56, $118.27
12/18/2019, $117.95, 4957697, $118.54, $118.75, $117.05
12/17/2019, $120.29, 2805532, $120.03, $121.32, $119.545
12/16/2019, $119.12, 2978264, $119.12, $119.93, $118.74
12/13/2019, $118.62, 2968129, $118.03, $119.63, $117.8
12/12/2019, $116.95, 4321845, $115.18, $117.55, $114.78
12/11/2019, $116.79, 3355670, $118.54, $118.54, $116.76
12/10/2019, $118.54, 2439059, $118.13, $119.37, $117.815
12/09/2019, $118.14, 1991507, $117, $118.355, $116.56
12/06/2019, $117.53, 2762734, $116, $117.85, $116
12/05/2019, $115.01, 4889444, $116.08, $116.4, $114.25
12/04/2019, $116.47, 2202228, $117.22, $118.23, $116.38
