Date, Close/Last, Volume, Open, High, Low
03/30/2020, $98.49, 7564441, $96.08, $99.745, $94.71
03/27/2020, $97.15, 10148800, $98, $101.73, $96.52
03/26/2020, $104.64, 14525570, $98, $104.99, $97
03/25/2020, $96.19, 12017720, $87.88, $100.175, $86.28
03/24/2020, $86.76, 12845230, $80.1, $87.45, $80.01
03/23/2020, $74.95, 12010440, $80.01, $80.09, $72.3
03/20/2020, $82.53, 14426380, $84.85, $88.84, $73.28
03/19/2020, $83.76, 15841180, $79.23, $85.5042, $72.18
03/18/2020, $79.4, 22839990, $85.84, $85.915, $69.02
03/17/2020, $92.84, 16061850, $91.06, $93.45, $82.81
03/16/2020, $90.93, 12325950, $95.36, $99.14, $90.58
03/13/2020, $105.4, 16771330, $109.05, $110.77, $98.55
03/12/2020, $102.5, 19285360, $94.12, $109.079, $92.8
03/11/2020, $107.51, 10288900, $115.82, $116.83, $106.78
03/10/2020, $119.37, 9297884, $119.77, $120.49, $113.5336
03/09/2020, $115.36, 8671059, $115.42, $119.06, $112.51
03/06/2020, $126.48, 8568099, $121.66, $127.13, $120
03/05/2020, $126.44, 8559814, $135.09, $135.49, $125.21
03/04/2020, $139.04, 5712729, $134.44, $139.84, $132.73
03/03/2020, $132.53, 9090062, $133.94, $138.185, $131.36
03/02/2020, $134.07, 9083612, $131.5, $134.13, $128.25
02/28/2020, $130.59, 12341390, $127.14, $131.02, $125.84
02/27/2020, $132.18, 10197630, $135.98, $137.46, $132.13
02/26/2020, $138.38, 8434849, $140.2, $143.175, $138.09
02/25/2020, $138.81, 7608429, $146.91, $147.52, $138.45
02/24/2020, $146.58, 6412955, $147.39, $148.165, $145.54
02/21/2020, $151.52, 4277576, $149.66, $151.61, $148.72
02/20/2020, $149.9, 3386687, $150.39, $150.74, $147.925
02/19/2020, $150.68, 3360630, $151.55, $151.97, $150.13
02/18/2020, $151.28, 2865474, $152.2, $152.24, $150.36
02/14/2020, $153.46, 3886469, $153.08, $154.0502, $152.57
02/13/2020, $153.06, 3411527, $154.03, $154.65, $152.92
02/12/2020, $155.18, 5769425, $155.15, $155.78, $153.56
02/11/2020, $155.25, 5398066, $158.22, $158.4354, $154.87
02/10/2020, $156.55, 4040221, $157.62, $157.98, $154.9663
02/07/2020, $156.83, 4962908, $156, $157.86, $155.61
02/06/2020, $156.2, 3783323, $156.37, $156.74, $155.18
02/05/2020, $155.63, 3604587, $154.7, $155.63, $153.4
02/04/2020, $153, 3833110, $151.45, $153.33, $151.405
02/03/2020, $149.95, 4688593, $151.06, $152.31, $149.79
01/31/2020, $150.2, 4609937, $153.2, $153.58, $149.62
01/30/2020, $154, 4379357, $151.44, $154.21, $151.44
01/29/2020, $152.82, 3826213, $153.92, $153.95, $151.47
01/28/2020, $152.86, 5716566, $150.53, $154.41, $148.05
01/27/2020, $151.03, 4335735, $150.99, $151.96, $150.01
01/24/2020, $153.19, 3699957, $153.4, $154.42, $152.3859
01/23/2020, $153.8, 4008365, $153.61, $154.24, $152.59
01/22/2020, $153.79, 3490792, $154.38, $155.06, $153.33
01/21/2020, $154.47, 4907346, $153.86, $155.51, $152.78
01/17/2020, $154.4, 4635282, $154.31, $155.53, $153.68
01/16/2020, $153.55, 3569075, $152.61, $154.02, $152.61
01/15/2020, $151.96, 3107038, $151.64, $153.07, $151.15
01/14/2020, $151.54, 3138876, $151.37, $152.41, $151.12
01/13/2020, $152.05, 3090018, $152.02, $152.4999, $151.43
01/10/2020, $151.86, 2898249, $154.01, $154.01, $151.43
01/09/2020, $153.65, 2940638, $153.8, $154.19, $153.12
01/08/2020, $153.42, 2374149, $153.12, $154.55, $152.7328
01/07/2020, $153.19, 2741149, $151.9, $153.63, $151.9
01/06/2020, $153.68, 2605163, $153.45, $153.84, $152.5
01/03/2020, $153.35, 3127673, $150.93, $154.65, $150.51
01/02/2020, $153.14, 2801472, $149.74, $153.22, $149.74
12/31/2019, $149.76, 2030875, $149.79, $150.21, $149.1
12/30/2019, $149.88, 1683294, $150.44, $150.8, $149.58
12/27/2019, $150.28, 1842706, $151, $151.07, $150.05
12/26/2019, $150.71, 1404252, $149.95, $150.76, $149.75
12/24/2019, $149.57, 1004890, $150.07, $150.32, $149.44
12/23/2019, $149.82, 2745246, $149.96, $150.5511, $149.56
12/20/2019, $149.49, 4564320, $150.9, $150.9, $149.1998
12/19/2019, $148.71, 2992634, $148.31, $149.16, $147.2
12/18/2019, $147.71, 3799223, $148.1, $148.61, $147.19
12/17/2019, $148.62, 3624416, $149.2, $149.38, $147.95
12/16/2019, $149.46, 3249080, $149.73, $150.67, $149.11
12/13/2019, $149.07, 2368120, $148.27, $150.15, $148.27
12/12/2019, $149.41, 2723377, $147.9, $149.64, $147.18
12/11/2019, $147.27, 2267919, $146.58, $147.37, $145.99
12/10/2019, $145.37, 2673228, $145.77, $146, $145.35
12/09/2019, $146.22, 1598566, $146.9, $147.35, $146.145
12/06/2019, $146.99, 2607874, $147.14, $147.39, $146.21
12/05/2019, $145.26, 2341629, $145.49, $145.57, $144.41
12/04/2019, $144.52, 3039131, $144.94, $145.87, $144.3
12/03/2019, $143.73, 3872753, $143.93, $144.2, $142.78
12/02/2019, $144.99, 3855054, $148.39, $148.6114, $144.88
11/29/2019, $148.34, 991512, $148.53, $148.606, $147.5
11/27/2019, $148.82, 1512412, $148.38, $149.05, $147.6884
11/26/2019, $148.12, 3601420, $147.7, $148.62, $147.4
11/25/2019, $147.52, 2403074, $148.56, $148.74, $147.2
11/22/2019, $147.7, 2381050, $148.25, $148.53, $147.18
11/21/2019, $147.3, 2348099, $146.64, $147.95, $146.3
11/20/2019, $146.65, 2645950, $148.01, $148.58, $146.09
11/19/2019, $148.37, 2830591, $149.62, $149.65, $148.35
11/18/2019, $149.11, 1855838, $149.11, $149.276, $148.44
11/15/2019, $149.36, 1989150, $148.28, $149.81, $148.25
