Date, Close/Last, Volume, Open, High, Low
04/13/2020, $168.99, 14043740, $172.26, $172.32, $166.15
04/09/2020, $173.69, 12231770, $176.27, $177.19, $172.85
04/08/2020, $174.94, 11146510, $171.01, $176, $167.9303
04/07/2020, $168.59, 15379000, $177.76, $178.7996, $168.1
04/06/2020, $169.44, 16479120, $160.02, $170.73, $158.25
04/03/2020, $151.85, 11994680, $155.56, $157.72, $150.6
04/02/2020, $157.39, 14051130, $152.53, $158.35, $151.29
04/01/2020, $153.11, 12595200, $156.32, $158.07, $151.4162
03/31/2020, $161.12, 20613130, $166.43, $168.19, $160.54
03/30/2020, $165.57, 15714500, $161.04, $165.87, $160.69
03/27/2020, $161.56, 14950750, $161.08, $167.1, $158.15
03/26/2020, $168.88, 17068960, $162.08, $169.53, $161.79
03/25/2020, $161.78, 20619630, $159.32, $168.18, $153.58
03/24/2020, $154.53, 24488280, $144.84, $155.25, $143.58
03/23/2020, $135.74, 30344070, $141.33, $143.35, $133.93
03/20/2020, $146.83, 18692080, $154.82, $158.26, $145.67
03/19/2020, $152.25, 19362800, $146.92, $157.25, $141.47
03/18/2020, $148.48, 22787470, $148.46, $150.68, $139.8
03/17/2020, $157.89, 22298000, $155.75, $163.7, $149.25
03/16/2020, $152.01, 23692020, $151.14, $165.31, $147.98
03/13/2020, $175.83, 19948860, $168.72, $176.32, $162.21
03/12/2020, $160.08, 27467750, $158.5, $172, $156.99
03/11/2020, $172.95, 14611850, $177.65, $178.73, $170.2
03/10/2020, $182.6, 16119420, $179.47, $182.61, $171.8815
03/09/2020, $171.13, 20486360, $171.21, $179.57, $168.31
03/06/2020, $184.36, 15183150, $183.54, $185.99, $179.98
03/05/2020, $186.96, 10106880, $191.24, $191.92, $185.64
03/04/2020, $194.29, 10789150, $190.36, $194.49, $186.17
03/03/2020, $185.73, 15226400, $193.2, $194.04, $184.5
03/02/2020, $192.33, 17434490, $186.32, $192.44, $183.1
02/28/2020, $181.76, 22674740, $173.79, $182.33, $172.9835
02/27/2020, $180.01, 17536600, $182.12, $186.34, $180
02/26/2020, $187.21, 14218220, $190, $193.5126, $187.03
02/25/2020, $188.4, 18538950, $198.79, $199.89, $187.72
02/24/2020, $198.79, 13316770, $197.89, $203.77, $194.01
02/21/2020, $208.81, 9233229, $209.9, $210.22, $207.42
02/20/2020, $211.45, 8531862, $212.13, $213.69, $208.28
02/19/2020, $213.31, 5927543, $212.52, $214.17, $211.715
02/18/2020, $211.2, 7652915, $210, $211.5, $209.36
02/14/2020, $210.29, 6548804, $208.29, $210.775, $208.01
02/13/2020, $207.4, 9495314, $206.62, $208.4673, $206.05
02/12/2020, $207.44, 7355774, $205, $208.1481, $205
02/11/2020, $203.94, 10231890, $207.5, $207.67, $203.64
02/10/2020, $205.99, 6239519, $201.97, $206.13, $201.86
02/07/2020, $202.74, 5691149, $201.98, $203.83, $201.09
02/06/2020, $203.04, 7001184, $203.05, $204.63, $202.475
02/05/2020, $202.81, 8672418, $205.5, $205.6, $199.95
02/04/2020, $203.56, 10205900, $203.5, $204.92, $202.2272
02/03/2020, $200.81, 10887870, $199.94, $202.26, $199.85
01/31/2020, $198.97, 16699570, $201.49, $203.98, $198.26
01/30/2020, $208.21, 8571872, $204, $208.5, $203.32
01/29/2020, $204.86, 7051852, $204.3, $205.92, $202.5128
01/28/2020, $202.85, 7215696, $202.39, $203.84, $201.78
01/27/2020, $201.69, 7198865, $200, $203.33, $199.1
01/24/2020, $205, 7812898, $207.42, $207.99, $204.21
01/23/2020, $206.52, 8520798, $207.9, $208.4, $205.3
01/22/2020, $207.9, 8065003, $207.51, $210.13, $207.29
01/21/2020, $207.29, 14861650, $204.13, $208.39, $203.8
01/17/2020, $204.7, 12518920, $201.76, $204.75, $199.98
01/16/2020, $200.95, 9983741, $201, $201.5, $199.78
01/15/2020, $199.8, 10831060, $197, $200.15, $196.32
01/14/2020, $196.05, 6239663, $196.74, $196.95, $195.14
01/13/2020, $195.33, 11292360, $194.44, $195.6, $194.28
01/10/2020, $193.77, 6587582, $193.5, $194.57, $193.11
01/09/2020, $193.25, 6749144, $193, $193.9215, $192.52
01/08/2020, $191.92, 5713315, $189.49, $192.5, $188.8
01/07/2020, $188.69, 4414489, $189.59, $190.1, $188.6
01/06/2020, $189.19, 10110570, $188, $189.21, $187.163
01/03/2020, $189.6, 4900888, $188.41, $190.96, $187.92
01/02/2020, $191.12, 8734203, $189, $191.14, $188.72
12/31/2019, $187.9, 5273036, $187.06, $188, $186.54
12/30/2019, $187.83, 4833587, $189.31, $189.4799, $187.12
12/27/2019, $189.39, 5448825, $189.74, $189.8862, $188.471
12/26/2019, $189.16, 5237302, $187.89, $189.18, $187.7
12/24/2019, $187.57, 2420922, $187.1, $188.02, $186.91
12/23/2019, $187.08, 5832058, $188.15, $188.41, $187
12/20/2019, $188, 11259670, $187.6, $188.17, $186.3
12/19/2019, $186.54, 5854574, $184.5, $186.58, $184.5
12/18/2019, $184.9, 8969077, $185.52, $186.44, $184.9
12/17/2019, $185.52, 10209380, $186.5, $186.78, $184.1
12/16/2019, $186.24, 8250829, $186.33, $186.82, $185.768
12/13/2019, $185.14, 8558821, $182.5, $185.52, $182.04
12/12/2019, $182.64, 11194990, $181.66, $183.33, $180.83
12/11/2019, $182.01, 7140159, $183.07, $183.08, $181.19
12/10/2019, $182.26, 8626036, $182.55, $183.15, $181.9
12/09/2019, $182.92, 10263510, $181.9, $183.26, $181.3
12/06/2019, $182.17, 14527690, $182.74, $183.28, $181.34
12/05/2019, $181.89, 4639619, $181.25, $182.03, $180.07
12/04/2019, $180.6, 10652340, $182.66, $182.8, $180.47
12/03/2019, $181.9, 4565433, $179.9, $182.14, $179.66
12/02/2019, $181.79, 6890539, $184.24, $184.37, $179.87
11/29/2019, $184.51, 3139087, $183.93, $184.85, $183.36
11/27/2019, $184.37, 11453290, $183, $184.54, $182.257
11/26/2019, $182.55, 7080264, $181.46, $182.92, $181.21
11/25/2019, $180.97, 5458117, $180.4, $181.35, $180.11
11/22/2019, $179.47, 6865618, $180.13, $180.47, $178.35
11/21/2019, $179.89, 5112247, $181.17, $181.81, $179.315
11/20/2019, $181.66, 6040751, $182.31, $183.22, $180.35
11/19/2019, $182.77, 8551440, $180.39, $182.98, $180.2023
11/18/2019, $179.66, 7175036, $179.57, $180.3232, $178.98
11/15/2019, $179.77, 7809545, $180.03, $180.68, $179.08
11/14/2019, $179.75, 9812608, $179, $179.77, $178.06
11/13/2019, $179.41, 6159587, $179.4, $180.88, $177.9
11/12/2019, $179.74, 6119315, $179.94, $181.0599, $178.88
11/11/2019, $179.54, 3617682, $178.5, $180.36, $178.2
11/08/2019, $178.97, 3894840, $178.38, $179.45, $177.8
11/07/2019, $178.43, 7227171, $177.35, $180.65, $176.85
11/06/2019, $176.77, 6992475, $176.37, $178.19, $176.14
11/05/2019, $176.37, 7447455, $179.07, $179.56, $175.18
11/04/2019, $178.95, 7154752, $182.08, $182.4, $178.81
11/01/2019, $180.93, 7000179, $180.13, $181.32, $179.56
10/31/2019, $178.86, 6830810, $179.25, $179.7, $178.01
10/30/2019, $179.25, 5374780, $177.79, $179.42, $176.39
10/29/2019, $177.63, 7572843, $179.8, $180, $177.37
10/28/2019, $179.84, 10086500, $178.93, $180.18, $178.35
10/25/2019, $177.85, 10130120, $174.93, $179.15, $173.5
10/24/2019, $176.16, 8126875, $173.42, $176.87, $173.4
10/23/2019, $171.32, 7165408, $170.99, $172.17, $170.18
10/22/2019, $170.86, 10184700, $177, $177.79, $170.78
10/21/2019, $176.43, 4927422, $176, $176.73, $174.61
10/18/2019, $175.71, 6312056, $177.9, $178.2, $174.55
10/17/2019, $177.94, 4910081, $178.89, $179.19, $177.5
10/16/2019, $177.87, 6521596, $177.92, $178.26, $176.27
10/15/2019, $178.75, 4445673, $178.13, $179.43, $177.55
10/14/2019, $177.36, 7263803, $177.38, $178.4136, $177.11
10/11/2019, $177.06, 8950605, $176.87, $179.2, $176.85
10/10/2019, $174.88, 4850389, $173.89, $175.9022, $173.59
10/09/2019, $174.88, 6343617, $174.11, $175.99, $173.6365
10/08/2019, $172.42, 5496853, $173.57, $174.6402, $171.88
