Date, Close/Last, Volume, Open, High, Low
03/30/2020, $59.75, 2829696, $57.83, $60.41, $57.05
03/27/2020, $57.79, 2568796, $57.87, $59.45, $57.02
03/26/2020, $61.93, 3228464, $58.09, $62.44, $57.64
03/25/2020, $58.05, 3708995, $53.16, $60.39, $52.02
03/24/2020, $52.43, 3026476, $48.96, $52.97, $48.18
03/23/2020, $45.99, 4546858, $50.67, $51.94, $45.07
03/20/2020, $52.78, 4461931, $57.56, $58.1791, $51.59
03/19/2020, $57.08, 5305618, $54.79, $58.54, $53.05
03/18/2020, $57.3, 4013901, $55.72, $57.57, $52.25
03/17/2020, $60.68, 4618119, $56.59, $62.7, $54.4502
03/16/2020, $55.72, 4363191, $53.77, $58.08, $51.2501
03/13/2020, $59.54, 3136297, $58.1, $59.63, $54.9459
03/12/2020, $55.35, 4128774, $59, $60.02, $53.19
03/11/2020, $62.72, 4547909, $63.26, $64.68, $62.18
03/10/2020, $65.16, 3563171, $64.52, $65.23, $60.87
03/09/2020, $62.39, 3356698, $65.09, $65.45, $62.015
03/06/2020, $70.13, 3432951, $69.47, $71.675, $68.68
03/05/2020, $71.57, 3251137, $73.065, $73.065, $70.54
03/04/2020, $74.31, 3392461, $72.36, $74.4, $70.79
03/03/2020, $71.51, 5683174, $74.87, $76.14, $70.7991
03/02/2020, $74.65, 5197152, $72.5, $74.76, $70.76
02/28/2020, $72, 7248432, $71.09, $73.11, $70
02/27/2020, $73.2, 4158331, $74.91, $76.75, $73.2
02/26/2020, $76.39, 3554475, $77.6, $78.83, $76.37
02/25/2020, $77.24, 3876243, $82.18, $82.31, $77.04
02/24/2020, $81.83, 2964737, $80.75, $82.595, $80.6
02/21/2020, $83.72, 2529482, $83.51, $84.105, $82.87
02/20/2020, $83.99, 2701331, $83.45, $84.1, $82.595
02/19/2020, $83.4, 2323391, $82.98, $83.76, $82.67
02/18/2020, $82.67, 3911588, $83.3, $83.77, $82.48
02/14/2020, $83.66, 1812174, $84.28, $84.4, $83.1
02/13/2020, $84.05, 1672857, $83.53, $84.26, $83.16
02/12/2020, $83.93, 2233109, $83.58, $84.36, $83.24
02/11/2020, $82.96, 2011606, $83, $83.55, $82.7
02/10/2020, $83.33, 2011371, $82.83, $83.61, $82.63
02/07/2020, $82.96, 1954652, $83.35, $84.1, $82.87
02/06/2020, $84.08, 2328388, $84.94, $85.325, $84.01
02/05/2020, $84.6, 2324180, $84.37, $85.12, $83.83
02/04/2020, $83.95, 3143778, $84.11, $84.925, $83.86
02/03/2020, $82.91, 3163472, $83.3, $84.55, $82.86
01/31/2020, $82.97, 3498524, $84.13, $84.24, $82.85
01/30/2020, $84.56, 4023872, $83.96, $84.61, $83.26
01/29/2020, $84.06, 4053987, $83.91, $84.4, $83.66
01/28/2020, $83.63, 4187366, $82.97, $83.79, $82.29
01/27/2020, $82.51, 4136929, $82.79, $83.82, $82.24
01/24/2020, $84.53, 4766474, $85.76, $86.13, $84.075
01/23/2020, $85.41, 9031809, $87.8, $88.75, $84.88
01/22/2020, $94.57, 2245671, $94.61, $95.15, $94.26
01/21/2020, $94.63, 2660956, $94.07, $94.98, $93.84
01/17/2020, $94.27, 4608146, $94.65, $94.77, $93.45
01/16/2020, $95.13, 3285533, $96.4, $96.63, $95
01/15/2020, $95.71, 1491107, $96.44, $96.89, $95.265
01/14/2020, $96.53, 1704065, $96, $97.32, $95.75
01/13/2020, $95.93, 1992631, $95.32, $96.22, $95.195
01/10/2020, $95.06, 2499767, $96.18, $96.42, $94.91
01/09/2020, $95.78, 2581988, $97.14, $97.34, $95.48
01/08/2020, $97.04, 2980007, $98, $98.18, $96.81
01/07/2020, $98.72, 1784744, $99.17, $99.97, $98.56
01/06/2020, $99.21, 1967649, $99, $99.43, $98.6
01/03/2020, $99.6, 1966241, $98.9, $99.935, $98.76
01/02/2020, $100.23, 2414982, $99.67, $100.25, $99.48
12/31/2019, $99.66, 1694095, $99.36, $99.77, $99.125
12/30/2019, $99.56, 1694636, $99.86, $100.23, $99.32
12/27/2019, $99.96, 1308556, $100, $100.19, $99.6417
12/26/2019, $99.4, 1179608, $98.9, $99.42, $98.8
12/24/2019, $98.9, 678923, $98.55, $99.14, $98.35
12/23/2019, $98.35, 1831644, $97.55, $98.4426, $97.23
12/20/2019, $97.24, 4825288, $97.83, $98.04, $96.77
12/19/2019, $96.9, 2029409, $96.5, $96.97, $96.2
12/18/2019, $96.5, 2170617, $95.22, $96.52, $95.13
12/17/2019, $95.02, 2213051, $94.22, $95.2, $93.85
12/16/2019, $94.04, 1891835, $93.73, $94.51, $93.08
12/13/2019, $93.15, 1758052, $92.94, $93.4, $91.93
12/12/2019, $93.36, 2468375, $91.94, $93.585, $91.59
12/11/2019, $91.66, 2933478, $91.3, $92, $90.64
12/10/2019, $90.27, 1956948, $90.17, $91.38, $90.17
12/09/2019, $90.85, 1607542, $89.84, $90.98, $89.57
12/06/2019, $90.42, 1603619, $89.8, $90.7941, $89.68
12/05/2019, $89.19, 1080040, $88.6, $89.34, $88.27
12/04/2019, $88.04, 1309634, $86.37, $88.315, $86.3
12/03/2019, $85.99, 2016414, $87.07, $87.07, $85.49
12/02/2019, $87.99, 1663883, $88.84, $88.84, $87.29
11/29/2019, $88.54, 706561, $88.9, $89.28, $88.165
11/27/2019, $89.05, 1516934, $88, $89.18, $87.99
11/26/2019, $87.65, 3464485, $86.28, $87.86, $85.73
11/25/2019, $86.55, 2026549, $87.33, $87.34, $86.09
11/22/2019, $86.51, 1390684, $85.29, $86.625, $84.84
11/21/2019, $84.8, 1479615, $85.59, $85.93, $84.78
11/20/2019, $85.5, 1253467, $86.57, $86.57, $85.25
11/19/2019, $86.33, 2003503, $86.96, $87.25, $85.61
11/18/2019, $87.24, 2417450, $86.65, $87.58, $86.54
11/15/2019, $86.88, 1557587, $86.39, $87.0074, $85.77
11/14/2019, $85.84, 1696499, $85.62, $86.7121, $85.42
11/13/2019, $85.76, 2108232, $84.79, $86.02, $83.91
11/12/2019, $84.72, 2414463, $86.4, $86.76, $84.56
11/11/2019, $86.4, 1726324, $86.32, $86.87, $86.12
11/08/2019, $87.07, 1682001, $86.19, $87.09, $86.15
11/07/2019, $86.41, 2335594, $86.89, $88.33, $86.26
11/06/2019, $86.11, 2360280, $86.34, $86.565, $85.32
11/05/2019, $86.2, 3066704, $84.84, $86.39, $84.6
11/04/2019, $84.8, 2982705, $83.56, $84.99, $83.33
11/01/2019, $82.89, 2147363, $83.11, $83.67, $82.65
