Date, Close/Last, Volume, Open, High, Low
03/30/2020, $47.19, 7691896, $42.79, $47.48, $41
03/27/2020, $45.04, 8028656, $42.71, $47.47, $42.02
03/26/2020, $45.6, 10057090, $40.94, $47.14, $40.143
03/25/2020, $39.63, 8933276, $36.48, $42.49, $33.85
03/24/2020, $34.65, 9068445, $35.88, $37.3099, $33.51
03/23/2020, $32.62, 6535261, $37.31, $37.78, $32.46
03/20/2020, $38.66, 9225334, $38.49, $41.178, $36.42
03/19/2020, $37.41, 8775973, $34.79, $37.47, $31.89
03/18/2020, $35.02, 8900226, $36.41, $37.35, $31
03/17/2020, $39.02, 8839456, $42.11, $43.2099, $38
03/16/2020, $41.63, 8241788, $43.01, $47.99, $41.19
03/13/2020, $49.9, 9700629, $48.1, $49.99, $41.745
03/12/2020, $43.96, 14645700, $50.07, $50.675, $42.6901
03/11/2020, $54.42, 9186682, $58.68, $59.74, $53.53
03/10/2020, $60.45, 10516170, $60.73, $63.85, $57.03
03/09/2020, $58.4, 12531120, $58.4, $67.7, $57.36
03/06/2020, $63.09, 9569551, $59.56, $63.67, $58.22
03/05/2020, $61.7, 5918881, $62.1, $63.79, $60.75
03/04/2020, $64.15, 6485046, $65.93, $65.93, $63.03
03/03/2020, $64.44, 5587919, $68.43, $69.05, $63.63
03/02/2020, $67.87, 6526342, $66.97, $68.06, $63.85
02/28/2020, $66.25, 7421941, $63.53, $66.27, $62.41
02/27/2020, $66.19, 7682400, $69.37, $69.81, $65.76
02/26/2020, $71.72, 4702297, $74.89, $75.4947, $71.6
02/25/2020, $74.44, 4057470, $78.42, $78.6192, $73.99
02/24/2020, $78.1, 3868672, $80.04, $80.1, $77.7
02/21/2020, $82.9, 2085002, $83.3, $83.51, $81.94
02/20/2020, $84.17, 2015775, $83.26, $84.77, $83.01
02/19/2020, $83.23, 1831540, $82.76, $83.34, $81.34
02/18/2020, $82.52, 1856734, $82.37, $83.35, $82.1
02/14/2020, $82.64, 2990406, $84.2, $84.21, $81.86
02/13/2020, $83.7, 4507592, $84.87, $85.05, $83.62
02/12/2020, $85.04, 2543828, $85.66, $86.79, $84.385
02/11/2020, $84.24, 1886503, $84.13, $84.37, $83.43
02/10/2020, $84.37, 2603021, $83.4, $84.43, $83.06
02/07/2020, $84.04, 2333499, $82.74, $84.71, $82.23
02/06/2020, $83.27, 2615075, $84.04, $84.67, $82.81
02/05/2020, $83.78, 3247994, $82.59, $84.31, $81.77
02/04/2020, $81.24, 4504401, $81.71, $83.5, $81
02/03/2020, $80.25, 5190700, $84.3, $84.48, $79.74
01/31/2020, $84.31, 6537156, $87.56, $88.4, $83.3206
01/30/2020, $88.19, 4281405, $85.94, $88.45, $85.05
01/29/2020, $86.46, 3478350, $86.93, $88.44, $86.33
01/28/2020, $85.95, 2424065, $85.62, $86.9, $84.889
01/27/2020, $85.05, 3369666, $86.82, $86.87, $84.77
01/24/2020, $89.26, 2580291, $89.12, $90.07, $88.23
01/23/2020, $89.51, 2952270, $89.19, $89.75, $86.95
01/22/2020, $89.62, 2129544, $90.64, $90.9, $89.56
01/21/2020, $90.25, 3221549, $90.54, $90.94, $89.12
01/17/2020, $91.22, 2891815, $91.94, $92.09, $90.91
01/16/2020, $91.98, 2829510, $93.07, $93.2, $91.43
01/15/2020, $92.26, 4001916, $94.57, $94.85, $91.66
01/14/2020, $95.4, 3272144, $96.03, $96.15, $94.81
01/13/2020, $96.25, 2703236, $97.05, $98.03, $95.81
01/10/2020, $96.89, 3551757, $95.53, $97.48, $95.39
01/09/2020, $95.18, 3033336, $93.7, $95.27, $92.93
01/08/2020, $93.09, 4101757, $92.52, $93.53, $91.99
01/07/2020, $92.73, 3800671, $91.06, $92.76, $90.31
01/06/2020, $91.53, 3393193, $91.11, $91.99, $90.52
01/03/2020, $91.52, 5058032, $94.35, $94.6482, $90.85
01/02/2020, $95.13, 2087204, $94.63, $95.24, $94.256
12/31/2019, $93.65, 1581958, $92.95, $93.7976, $92.74
12/30/2019, $92.88, 2186825, $93.01, $93.84, $92.74
12/27/2019, $93.2, 1752420, $94.78, $94.85, $93.12
12/26/2019, $94.42, 1206012, $95.24, $95.38, $94.18
12/24/2019, $95.1, 559799, $95.16, $95.66, $94.69
12/23/2019, $95.24, 1910321, $95.3, $95.45, $94.5
12/20/2019, $95.27, 4801636, $95.24, $95.99, $94.38
12/19/2019, $94.59, 2921344, $94.89, $95.39, $94.21
12/18/2019, $94.51, 4334260, $95.5, $95.65, $93.97
12/17/2019, $95.68, 2972917, $96.17, $97.21, $95.3
12/16/2019, $95.14, 3878278, $94.48, $96.18, $93.7
12/13/2019, $93.81, 2456386, $94.59, $95.81, $93.24
12/12/2019, $94.53, 2495467, $93.16, $94.77, $92.92
12/11/2019, $92.89, 3049725, $94.83, $94.99, $92.31
12/10/2019, $94.57, 2858390, $92.71, $94.64, $92.33
12/09/2019, $92.52, 3322646, $93.35, $93.62, $92.27
12/06/2019, $93.61, 3825143, $93.93, $94.94, $93.39
12/05/2019, $92.99, 3136070, $93.16, $93.48, $91.94
12/04/2019, $93.21, 3897957, $94.95, $94.95, $92.93
12/03/2019, $93.89, 3370699, $94.84, $94.895, $93.75
12/02/2019, $95.6, 3172888, $95.84, $97.08, $95.515
11/29/2019, $95.49, 1716781, $96.84, $96.94, $95.38
11/27/2019, $97.1, 3016679, $97.59, $98, $96.68
11/26/2019, $97.44, 4971221, $97.95, $98.415, $97.085
11/25/2019, $97.35, 3027924, $97.78, $98.17, $96.96
11/22/2019, $97.51, 2878014, $99.05, $99.72, $97.35
11/21/2019, $98.41, 3127709, $97.57, $98.85, $97.2666
11/20/2019, $97.19, 4590088, $97.67, $97.7, $94.77
