Date, Close/Last, Volume, Open, High, Low
04/13/2020, $144.16, 704637, $146.15, $148, $142.46
04/09/2020, $148.26, 1076765, $149.64, $152.64, $147.23
04/08/2020, $148.7, 883772, $147.84, $150.9, $147.17
04/07/2020, $147.17, 967182, $151.51, $152.89, $146.57
04/06/2020, $147.74, 1243959, $146.2, $148.81, $144.88
04/03/2020, $141.65, 815669, $141.68, $143.2928, $138.17
04/02/2020, $142.99, 1044393, $137.03, $144.33, $134.45
04/01/2020, $140.78, 1343565, $134.22, $142.49, $133.5
03/31/2020, $139.38, 1422243, $144.92, $146.54, $138.43
03/30/2020, $146.87, 793886, $138.81, $147.93, $138.1
03/27/2020, $137.77, 1234326, $139.1, $143.47, $136.98
03/26/2020, $142.1, 1248250, $135.54, $143.48, $135.54
03/25/2020, $134.3, 1663048, $134.61, $138.9, $128
03/24/2020, $137.28, 1300573, $126.86, $138.06, $125.37
03/23/2020, $121.18, 1398756, $125.73, $125.76, $116.6101
03/20/2020, $124.25, 1509208, $137.4, $137.6, $123.54
03/19/2020, $136.48, 1124590, $135.3, $144.98, $131.79
03/18/2020, $135.11, 1720790, $133, $137.42, $123.95
03/17/2020, $144.71, 1620781, $131.95, $148.61, $130.8433
03/16/2020, $130.06, 1402694, $132.54, $142.45, $128.71
03/13/2020, $145.61, 1761722, $145.29, $147.99, $133.605
03/12/2020, $139.49, 1788434, $142.25, $149.06, $132
03/11/2020, $151.68, 1407542, $152.17, $155.18, $148.57
03/10/2020, $156.74, 1486774, $151.07, $156.76, $147.07
03/09/2020, $147.92, 2051246, $150.63, $156.66, $145.15
03/06/2020, $163.37, 1214531, $159.17, $164.46, $157.89
03/05/2020, $164.97, 1063269, $163.88, $166.7, $162.95
03/04/2020, $169.18, 987758, $162.22, $169.86, $161.31
03/03/2020, $160.4, 1232037, $163.29, $166.42, $159.5
03/02/2020, $163.13, 1516281, $154.92, $163.28, $154.35
02/28/2020, $155.11, 2169907, $152.47, $155.46, $148.71
02/27/2020, $155.79, 1053547, $161.97, $162.91, $155.79
02/26/2020, $163.53, 903261, $164.29, $165.955, $162.61
02/25/2020, $162.82, 983734, $168.09, $168.92, $162.54
02/24/2020, $167.58, 1097048, $166.26, $169.15, $165.59
02/21/2020, $168.69, 911989, $168.69, $170.16, $167.51
02/20/2020, $169.39, 761265, $168.87, $170.2, $167.08
02/19/2020, $169.74, 1196596, $165.48, $170.74, $163
02/18/2020, $171.56, 1120541, $170.8, $171.73, $169.875
02/14/2020, $171.38, 533623, $170.42, $171.675, $170.42
02/13/2020, $170.67, 513741, $169.05, $171.58, $169.05
02/12/2020, $169.28, 515823, $167.92, $169.52, $167.45
02/11/2020, $167.89, 539534, $170.17, $170.66, $167.57
02/10/2020, $169.94, 479125, $168.79, $170.12, $168.18
02/07/2020, $169.12, 476330, $168.81, $169.485, $167.824
02/06/2020, $168.95, 446746, $169.55, $169.88, $168.28
02/05/2020, $168.56, 1132404, $169.5, $169.9, $167.58
02/04/2020, $168.13, 931762, $166.8, $168.71, $166.38
02/03/2020, $165.22, 649631, $163.03, $166.0086, $163.03
01/31/2020, $162.47, 621007, $164.42, $164.74, $162
01/30/2020, $164.71, 476032, $163.25, $164.81, $162.98
01/29/2020, $164.18, 529280, $165, $165.37, $163.93
01/28/2020, $164.81, 759085, $164.15, $165.5, $163.875
01/27/2020, $163.95, 640181, $163.31, $164.91, $161.8212
01/24/2020, $165.3, 485966, $165.4, $165.95, $164.1309
01/23/2020, $165.1, 708099, $163.13, $165.29, $162.175
01/22/2020, $163.59, 790723, $162.43, $164.05, $162.43
01/21/2020, $161.3, 648427, $159.66, $162.235, $159.265
01/17/2020, $160.55, 549314, $160.86, $161.59, $160.07
01/16/2020, $160.56, 627987, $159.3, $160.89, $158.97
01/15/2020, $158.65, 824132, $157.34, $159.14, $157.205
01/14/2020, $156.88, 617583, $157.65, $157.93, $156.54
01/13/2020, $158.02, 549466, $157.34, $158.14, $156.88
01/10/2020, $157.32, 844687, $157.11, $157.815, $156.39
01/09/2020, $157.14, 758837, $156.67, $157.96, $156.65
01/08/2020, $155.64, 773114, $154.48, $156.23, $153.96
01/07/2020, $154.22, 1514953, $153.24, $154.93, $153.08
01/06/2020, $152.94, 656387, $151.84, $153.03, $150.69
01/03/2020, $152.59, 876863, $150, $152.73, $150
01/02/2020, $151.12, 845129, $149.28, $151.13, $148.9
12/31/2019, $149.34, 548957, $147.87, $149.48, $147.55
12/30/2019, $147.55, 590410, $148.48, $148.49, $146.44
12/27/2019, $148.58, 686717, $148.91, $149.25, $148.04
12/26/2019, $148.83, 303552, $149.34, $149.34, $148.3
12/24/2019, $149.17, 159459, $149.59, $150.48, $148.77
12/23/2019, $149.55, 555425, $149.71, $149.82, $148.905
12/20/2019, $149.68, 1790987, $150.05, $150.05, $148.16
12/19/2019, $148.19, 776638, $148.52, $149.025, $148.05
12/18/2019, $148.84, 1008740, $151.17, $151.49, $148.43
12/17/2019, $150.81, 998400, $150.46, $151.1599, $149.545
12/16/2019, $149.69, 1406410, $149.78, $150.11, $148.935
12/13/2019, $149.19, 684890, $147.08, $149.56, $146.507
12/12/2019, $147.41, 652125, $146.56, $147.7, $146.33
12/11/2019, $146.81, 477565, $147.19, $147.71, $146.31
12/10/2019, $147.28, 635075, $148.19, $148.475, $147.03
12/09/2019, $147.47, 819792, $147.08, $148.3, $146.55
12/06/2019, $146.82, 572976, $146.54, $147.31, $145.99
12/05/2019, $146.02, 599079, $145.34, $146.56, $145.34
12/04/2019, $145.41, 705127, $145.48, $146.64, $144.95
12/03/2019, $144.97, 737268, $145.28, $146.18, $144.19
12/02/2019, $146.11, 880039, $147.56, $148.22, $146.03
11/29/2019, $147.48, 480807, $148.4, $148.97, $147.18
11/27/2019, $148.51, 555139, $147.98, $148.58, $147.51
11/26/2019, $147.78, 1365157, $145.58, $147.79, $145
11/25/2019, $145.41, 807942, $146.08, $147.07, $145.27
11/22/2019, $145.98, 1338217, $145.16, $146.25, $144.27
11/21/2019, $144.45, 1502329, $144.72, $145.51, $143.46
11/20/2019, $144.34, 1276751, $143.44, $144.81, $142.79
11/19/2019, $143.98, 1047421, $142.78, $144.43, $142.22
11/18/2019, $142.1, 1124041, $141.54, $142.99, $141
11/15/2019, $141.18, 1077770, $141.82, $141.82, $140.44
11/14/2019, $141.03, 825093, $139.6, $141.27, $138.97
11/13/2019, $139.78, 935219, $138.09, $140.23, $137.88
11/12/2019, $138.085, 1049790, $137.38, $138.99, $137.28
11/11/2019, $137.38, 934783, $135.71, $137.41, $135.4
11/08/2019, $136.75, 1178534, $139.07, $140.35, $136.39
11/07/2019, $139.8, 1066080, $140.66, $141.56, $139.24
11/06/2019, $140.78, 1042537, $139.31, $141.1, $139.14
11/05/2019, $138.78, 1276019, $140.27, $140.89, $137.63
11/04/2019, $140.3, 1030762, $145.5, $145.5, $140.01
11/01/2019, $145.36, 1004218, $144.79, $146.2409, $144.79
10/31/2019, $144.7, 1033315, $147.36, $148.5, $144.32
10/30/2019, $147.92, 1365458, $146.17, $148.68, $145.005
10/29/2019, $150.12, 2020668, $147.77, $151.32, $147.77
10/28/2019, $148.55, 742576, $148.94, $149.7, $148.45
10/25/2019, $148.92, 564038, $150.15, $150.95, $148.62
10/24/2019, $149.75, 760273, $149.36, $150.725, $148.27
10/23/2019, $148.63, 1548793, $150.47, $151.935, $147.71
10/22/2019, $151.02, 830979, $157.8, $157.8, $150.99
10/21/2019, $153.47, 681528, $154.89, $155.39, $152.36
10/18/2019, $154.42, 954495, $155.49, $155.49, $153.63
10/17/2019, $155.22, 884948, $155.81, $156.75, $154.89
10/16/2019, $155.59, 988789, $155.19, $155.73, $152.95
10/15/2019, $156.08, 700062, $156.11, $156.8, $155.38
10/14/2019, $155.38, 504414, $157.44, $158.4, $155.26
10/11/2019, $157.11, 690375, $158.88, $159.57, $156.99
10/10/2019, $157.86, 487303, $156.81, $158.515, $156.13
10/09/2019, $157.09, 488978, $155.95, $157.97, $155.47
10/08/2019, $154.9, 427749, $156.43, $156.92, $154.79
10/07/2019, $157.17, 374507, $157.55, $157.83, $156.3
10/04/2019, $157.535, 647479, $154.73, $158, $154.625
10/03/2019, $154.3, 853759, $153.64, $154.4, $151.88
10/02/2019, $153.33, 824344, $155.25, $155.94, $152.72
10/01/2019, $156.45, 600246, $158.33, $158.62, $156.3
09/30/2019, $158.14, 960364, $155.59, $158.735, $155.1802
09/27/2019, $155.59, 860868, $159.89, $160.56, $154.4
09/26/2019, $159.29, 623344, $158.06, $160.09, $157.42
09/25/2019, $157.8, 647211, $157.96, $158.06, $156.26
09/24/2019, $157.47, 670268, $158.04, $160.28, $156.77
09/23/2019, $157.32, 563330, $158.78, $158.97, $157
09/20/2019, $158.42, 999755, $158.24, $159.14, $157.53
09/19/2019, $158.7, 428115, $158.93, $159.94, $158.45
09/18/2019, $159.33, 631807, $158.13, $159.5, $157.05
09/17/2019, $158.65, 749031, $157.56, $158.92, $156.52
09/16/2019, $156.52, 642827, $154.88, $157.06, $153.5227
09/13/2019, $155.76, 1002442, $157.13, $158.15, $155.3
09/12/2019, $157.43, 686367, $157.12, $159.17, $156.36
09/11/2019, $155.11, 1175169, $155.02, $156.19, $153.03
09/10/2019, $155.12, 1127102, $159.17, $159.44, $153.69
09/09/2019, $160.2, 853708, $164.33, $164.54, $159.925
09/06/2019, $164.58, 572201, $163.97, $164.97, $163.55
09/05/2019, $163.54, 698729, $164.06, $164.91, $163.095
09/04/2019, $162.84, 655223, $162.41, $164, $162.18
09/03/2019, $161.74, 635339, $161.86, $163.98, $160.42
08/30/2019, $161.54, 662714, $161.85, $162.13, $160.47
08/29/2019, $160.78, 460084, $160.45, $161.79, $159.35
08/28/2019, $159.78, 471425, $158.32, $159.91, $157.435
08/27/2019, $158.91, 593074, $158.36, $159.55, $157.87
08/26/2019, $157.36, 583421, $155.75, $159.38, $155.7
08/23/2019, $154.61, 696205, $157.58, $158.52, $153.91
08/22/2019, $158.05, 537501, $159.36, $159.63, $157.375
08/21/2019, $158.68, 537299, $159.14, $159.7197, $158.39
08/20/2019, $158.21, 634323, $158.17, $158.57, $156.7
08/19/2019, $158.29, 545921, $158, $158.64, $157.46
08/16/2019, $156.88, 762311, $156.11, $157.16, $155.2501
08/15/2019, $155.17, 470712, $153.72, $155.62, $153.49
08/14/2019, $153.09, 973026, $154.87, $155.87, $152.7
08/13/2019, $155.92, 838814, $155.5, $157.6, $154.85
08/12/2019, $155.46, 505006, $156.28, $156.99, $155.27
08/09/2019, $156.46, 654731, $156.06, $157.24, $154.7901
08/08/2019, $156.17, 969002, $154.49, $156.31, $153.95
08/07/2019, $153.9, 662615, $150.73, $154.5, $149.08
08/06/2019, $152.34, 805908, $150.16, $152.62, $149.77
08/05/2019, $149.41, 957979, $151.93, $152.365, $148.43
08/02/2019, $153.23, 874599, $152.31, $154.15, $151.11
08/01/2019, $152.92, 830558, $150.51, $155.495, $150.51
07/31/2019, $151.72, 1234698, $152.04, $153.47, $150.02
07/30/2019, $152.04, 690065, $151.94, $153.11, $151.55
07/29/2019, $152.57, 518661, $152.69, $153.27, $152.14
07/26/2019, $152.51, 671073, $150.6, $152.72, $150.285
07/25/2019, $150.22, 633793, $151.73, $151.8, $149.82
07/24/2019, $150.77, 645239, $150.84, $152.005, $149.66
07/23/2019, $150.81, 827883, $151.26, $151.53, $149.87
07/22/2019, $150.51, 558941, $151.75, $152.44, $150.51
07/19/2019, $151.43, 680339, $153.82, $153.82, $151.29
07/18/2019, $152.96, 691678, $151.22, $153, $151
07/17/2019, $151.49, 494247, $152.22, $152.9, $151.45
07/16/2019, $151.77, 467826, $152.25, $153.37, $151.52
07/15/2019, $152.25, 646223, $152.3, $152.4, $151.22
07/12/2019, $151.83, 492223, $151.65, $152.1, $150.55
07/11/2019, $151.19, 532797, $150.26, $151.27, $149.47
07/10/2019, $150.01, 643728, $149.87, $150.94, $149.86
07/09/2019, $149.62, 643940, $148.52, $149.89, $148.1
07/08/2019, $148.87, 494159, $148.82, $149.51, $148.36
07/05/2019, $148.87, 1473160, $149.83, $149.83, $147.05
07/03/2019, $150.67, 444640, $148.71, $151.09, $148.71
07/02/2019, $148.59, 717383, $148.18, $149.11, $147.32
07/01/2019, $147.63, 711874, $147.52, $148.22, $146.535
06/28/2019, $146.46, 1183572, $144.85, $146.92, $143.91
06/27/2019, $144.62, 888462, $143.16, $144.84, $142.77
06/26/2019, $142.65, 680744, $144.34, $145.6, $142.61
06/25/2019, $144.33, 692398, $145.96, $146.88, $143.94
06/24/2019, $145.41, 737890, $145.17, $145.87, $144.6
06/21/2019, $145.07, 1768218, $146.13, $147.44, $141.72
06/20/2019, $146.01, 871262, $146.86, $147.305, $145.055
06/19/2019, $145.39, 643320, $144.44, $145.665, $144.08
06/18/2019, $144.51, 937104, $146.1, $146.47, $144.4
06/17/2019, $145.03, 413181, $146.09, $146.75, $144.9
06/14/2019, $145.83, 896067, $145.47, $146.18, $144.88
06/13/2019, $145.34, 361462, $145.97, $146.19, $144.9
06/12/2019, $145.97, 692667, $145.75, $146.53, $145.65
06/11/2019, $145.55, 506727, $147.57, $147.94, $144.97
06/10/2019, $146.87, 714339, $147.19, $147.5, $146.31
06/07/2019, $146.47, 912283, $145, $147.03, $144.99
06/06/2019, $144.74, 1020610, $144.5, $144.82, $143.42
06/05/2019, $144.35, 1633313, $142.23, $144.425, $142.23
06/04/2019, $141.84, 1751207, $141.29, $141.91, $139.68
06/03/2019, $140.23, 1393957, $140.45, $141.46, $139.41
05/31/2019, $140, 1185397, $139.26, $140.37, $139.26
05/30/2019, $140.52, 1982151, $140.4, $141.3, $139.54
05/29/2019, $139.67, 978770, $140.9, $141.55, $139.19
05/28/2019, $142.02, 1023264, $142.69, $144.38, $141.71
05/24/2019, $142.21, 407002, $143.06, $143.54, $141.96
05/23/2019, $142.16, 497331, $142.57, $143.515, $141.71
05/22/2019, $143.86, 408028, $143.16, $144.48, $142.99
05/21/2019, $143.19, 606839, $142.13, $143.34, $141.78
05/20/2019, $141.3, 532474, $140.63, $142.8, $140.63
05/17/2019, $141.97, 656325, $141.29, $142.93, $141.24
05/16/2019, $142.13, 838249, $140.96, $142.93, $140.73
05/15/2019, $140.78, 707260, $138.53, $141.52, $138.5
05/14/2019, $139.32, 1144703, $138.61, $140.22, $138.61
05/13/2019, $138.48, 1130867, $138.67, $138.9, $137.74
05/10/2019, $140.68, 991194, $140, $140.84, $137.84
05/09/2019, $140.5, 899627, $139.44, $141.09, $138.94
05/08/2019, $140.56, 676323, $140.5, $141.61, $139.73
05/07/2019, $140.5, 881746, $142.2, $142.53, $139.69
05/06/2019, $143.39, 509622, $141.21, $143.67, $141.13
05/03/2019, $143.21, 514036, $140.84, $143.27, $140.83
05/02/2019, $140.35, 690060, $139.55, $140.89, $139.18
05/01/2019, $139.88, 732445, $140.56, $142.47, $137.9067
04/30/2019, $141.14, 966081, $140.61, $141.3, $140.06
04/29/2019, $140.37, 491117, $140.14, $140.45, $139.6
04/26/2019, $139.87, 440307, $139.14, $140.005, $138.76
04/25/2019, $138.79, 625962, $139.09, $139.48, $138.05
04/24/2019, $139.5, 502758, $139.47, $140.41, $139.09
04/23/2019, $139.47, 511237, $137.97, $139.52, $136.69
04/22/2019, $137.64, 550649, $137.6, $137.915, $137
04/18/2019, $137.99, 373852, $137.34, $138.47, $136.34
04/17/2019, $136.94, 665788, $137.2, $137.2, $136.17
04/16/2019, $136.54, 702053, $138.64, $138.93, $136.38
04/15/2019, $137.85, 446459, $136.9, $137.92, $136.1816
04/12/2019, $136.98, 485192, $136.29, $137, $135.51
04/11/2019, $135.79, 548654, $134.96, $135.84, $134.305
04/10/2019, $134.76, 863444, $135.21, $135.56, $134.46
04/09/2019, $135.15, 368851, $134.95, $135.5125, $134.49
04/08/2019, $135.38, 659554, $134.88, $135.77, $134.25
04/05/2019, $135.52, 862518, $135.85, $136.69, $135.17
04/04/2019, $135.71, 492805, $136.32, $136.7, $135.37
04/03/2019, $136.31, 1238747, $135.43, $136.99, $135.04
04/02/2019, $134.91, 636914, $134.22, $135.03, $133.57
04/01/2019, $134.24, 758758, $133.67, $134.42, $132.72
03/29/2019, $133, 979803, $133, $133.28, $132.36
03/28/2019, $132.81, 1478016, $132.02, $133.39, $130.95
03/27/2019, $131.81, 1270891, $131.72, $132.35, $130.85
03/26/2019, $131.71, 575971, $130.36, $131.77, $130.28
03/25/2019, $129.79, 618316, $129.17, $129.94, $128.36
03/22/2019, $128.89, 629285, $129.3, $129.65, $128.625
03/21/2019, $129.76, 561672, $128.15, $129.92, $128.15
03/20/2019, $128.29, 604920, $128.88, $129.49, $128.22
03/19/2019, $128.87, 852472, $128.82, $129.34, $128.37
03/18/2019, $128.69, 620299, $128.15, $129, $128.1
03/15/2019, $128.43, 1272532, $128.14, $129.07, $128.06
03/14/2019, $128.13, 835929, $128.21, $128.795, $127.83
03/13/2019, $128.76, 846940, $128.77, $129.3, $128.01
03/12/2019, $128.26, 606891, $127.49, $128.48, $126.67
03/11/2019, $127.31, 522515, $125.9, $127.55, $125.52
03/08/2019, $126.01, 471674, $125.95, $126.71, $125.1038
03/07/2019, $126.58, 520911, $126.61, $127.12, $125.8
03/06/2019, $126.65, 414943, $126.36, $126.97, $126.16
03/05/2019, $126.47, 724097, $126.01, $127.16, $125.85
03/04/2019, $125.91, 893136, $127.3, $127.55, $125.25
03/01/2019, $126.71, 740883, $126.76, $127.22, $126.03
02/28/2019, $126.43, 572250, $125.52, $126.79, $125.52
02/27/2019, $125.77, 500043, $124.95, $126.07, $122.4404
02/26/2019, $125.35, 697739, $125.15, $125.67, $125.04
02/25/2019, $125.23, 503004, $125.68, $126.27, $125.13
