Date, Close/Last, Volume, Open, High, Low
03/30/2020, $188.55, 1031399, $176.05, $190.16, $174.02
03/27/2020, $173.91, 795480, $171.91, $178.93, $169.265
03/26/2020, $175.9, 900923, $167.23, $177.1, $166.9
03/25/2020, $166.97, 825275, $165.75, $172.71, $164.97
03/24/2020, $170.53, 1563508, $159.12, $170.99, $158.515
03/23/2020, $151.17, 1209965, $159.96, $159.96, $148.77
03/20/2020, $157.13, 1425324, $167.04, $170.13, $156.4
03/19/2020, $164.6, 872147, $162.45, $170.63, $153.1
03/18/2020, $164, 904687, $165.86, $169.94, $151.59
03/17/2020, $176.19, 1163159, $164.41, $177.21, $153.45
03/16/2020, $160.28, 1066912, $165.61, $179.72, $158.99
03/13/2020, $182.62, 1016595, $173.93, $182.685, $166.29
03/12/2020, $165.67, 997675, $167.64, $175.22, $159.77
03/11/2020, $178.03, 771253, $180.54, $182.69, $174.9652
03/10/2020, $186.06, 1401051, $182.94, $186.32, $176.08
03/09/2020, $176.81, 1023628, $181.05, $185.75, $176.29
03/06/2020, $192.01, 959666, $186.06, $193.2, $185.68
03/05/2020, $192.31, 732898, $193.69, $196.72, $190.01
03/04/2020, $199.78, 793667, $191.95, $199.9, $189.99
03/03/2020, $189.05, 966204, $194.69, $198.79, $188.3
03/02/2020, $196.85, 901742, $188.27, $196.86, $187.09
02/28/2020, $189.75, 1284292, $185.1, $190.43, $183.84
02/27/2020, $190.54, 937053, $192.62, $198.96, $190.32
02/26/2020, $195.85, 960146, $195.56, $200.39, $195.56
02/25/2020, $193.65, 738133, $201.82, $202.01, $193.31
02/24/2020, $200.41, 783491, $203.2, $204, $198.695
02/21/2020, $206.12, 623533, $207.72, $209.4, $204.56
02/20/2020, $209.06, 878184, $210.27, $210.945, $205.68
02/19/2020, $211.23, 578231, $210.89, $213.02, $209.43
02/18/2020, $210.48, 360866, $209.4, $210.61, $208.105
02/14/2020, $209.57, 526522, $210, $211.34, $207.02
02/13/2020, $209.81, 529542, $207.4, $210.77, $207.4
02/12/2020, $208.29, 567716, $204.67, $208.37, $204.13
02/11/2020, $204.46, 801637, $206.31, $206.31, $204.36
02/10/2020, $205.83, 670300, $205.51, $205.89, $203.06
02/07/2020, $205.07, 1154728, $209, $211.83, $202.87
02/06/2020, $216.94, 549787, $214.45, $217.23, $213.15
02/05/2020, $213.26, 556445, $215.75, $216.22, $211.8
02/04/2020, $214.48, 472044, $213.35, $214.86, $211.43
02/03/2020, $210.56, 360116, $208.63, $211.18, $208.63
01/31/2020, $208.14, 642662, $212.91, $213.57, $207.93
01/30/2020, $213.34, 350178, $209.99, $213.48, $209.65
01/29/2020, $212.13, 430961, $211.64, $212.59, $209.765
01/28/2020, $210.97, 407523, $210.58, $211.57, $209.32
01/27/2020, $209.77, 373747, $209.27, $210.93, $208.06
01/24/2020, $212.75, 409229, $216.21, $216.34, $212.35
01/23/2020, $215.02, 298695, $214.66, $215.07, $213.59
01/22/2020, $214.09, 510466, $215.61, $216.92, $214
01/21/2020, $214.44, 613181, $213.39, $215.8, $213.05
01/17/2020, $214, 510519, $214.04, $214.2, $212.17
01/16/2020, $213.54, 365903, $213.51, $214.04, $211.98
01/15/2020, $211.74, 349742, $209.63, $212.62, $209.63
01/14/2020, $209.37, 656184, $211.22, $211.5704, $209
01/13/2020, $211.75, 431041, $210.17, $212.32, $209.865
01/10/2020, $209.12, 656811, $210, $210.3, $207.89
01/09/2020, $208.88, 760798, $205.55, $208.99, $205.36
01/08/2020, $204.15, 705212, $203.23, $206.63, $201.22
01/07/2020, $203.21, 418570, $203.34, $204.1, $202.19
01/06/2020, $202.74, 615847, $199.99, $202.89, $198.59
01/03/2020, $200.88, 912132, $193.2, $201.46, $193.2
01/02/2020, $196.73, 369358, $194.91, $197.2, $194.2013
12/31/2019, $192.68, 460424, $191.66, $192.86, $191.49
12/30/2019, $192.33, 310459, $194.05, $194.05, $190.743
12/27/2019, $194.05, 248545, $194.23, $194.5, $192.8097
12/26/2019, $193.71, 256134, $193.29, $194.52, $193.12
12/24/2019, $192.75, 145073, $192.64, $193.48, $191.53
12/23/2019, $192.43, 435905, $192.97, $193.74, $191.695
12/20/2019, $192.45, 1396134, $191.86, $192.63, $189.78
12/19/2019, $190.2, 698864, $190.34, $191.15, $189.55
12/18/2019, $190.15, 917509, $191.56, $192.47, $190.15
12/17/2019, $190.93, 732014, $192.78, $193.31, $190.58
12/16/2019, $192.66, 703292, $192.38, $194.4, $192.13
12/13/2019, $191.49, 509998, $189.01, $191.955, $188.33
12/12/2019, $189.97, 547790, $189.68, $191.5, $188.6
12/11/2019, $189.92, 463576, $188.99, $190.33, $188.07
12/10/2019, $188.14, 393967, $188.68, $189.14, $187.69
12/09/2019, $188.56, 591425, $188.5, $190.67, $188.27
12/06/2019, $188.26, 484347, $187.07, $188.54, $184.99
12/05/2019, $185.57, 604846, $186.88, $186.88, $184.11
12/04/2019, $186.8, 639204, $187.69, $188.61, $186.5
12/03/2019, $186.53, 1045098, $182.24, $187.33, $182.24
12/02/2019, $184.95, 934922, $190.4, $190.88, $182.83
11/29/2019, $190.74, 422735, $191.74, $191.74, $190.12
11/27/2019, $191.84, 562950, $191.72, $192.51, $190.14
11/26/2019, $191.67, 1167522, $189.01, $193.39, $188.68
11/25/2019, $188.13, 781417, $188.98, $193.505, $187.905
11/22/2019, $188.44, 381485, $189.44, $189.44, $186.72
11/21/2019, $189.15, 606044, $192.34, $193.21, $188.85
11/20/2019, $192.5, 754930, $192.61, $194.9, $191.1858
11/19/2019, $193.46, 1030276, $190.36, $194.88, $190.09
11/18/2019, $189.56, 609109, $186, $189.56, $186
11/15/2019, $186.81, 566149, $188.65, $188.65, $186.08
11/14/2019, $187.25, 380463, $185.95, $187.54, $184.39
11/13/2019, $185.96, 619495, $184.28, $186.2925, $184.28
11/12/2019, $184.39, 425947, $185.54, $186.06, $184
11/11/2019, $185.74, 462999, $182.75, $186.76, $182.72
11/08/2019, $183.79, 599453, $185.09, $186.43, $183.18
11/07/2019, $185.89, 937665, $186.85, $188.85, $185
11/06/2019, $185.66, 628022, $186.96, $187.78, $185.035
11/05/2019, $186.56, 691466, $186.87, $188.04, $183.75
11/04/2019, $186.6, 573791, $189.83, $190.08, $186.36
11/01/2019, $188.07, 651314, $191.35, $191.746, $187.4
10/31/2019, $190.02, 590803, $191.77, $191.95, $189.03
10/30/2019, $191.71, 538169, $190.2, $191.88, $189.27
10/29/2019, $189.45, 565699, $190.57, $190.95, $188.595
10/28/2019, $190.92, 531775, $190.07, $194.68, $190.07
10/25/2019, $190.16, 1152704, $198.57, $198.57, $188.215
10/24/2019, $185.73, 527708, $182.6, $186.55, $181.06
10/23/2019, $182.76, 357105, $181.14, $183.36, $181.14
10/22/2019, $181.61, 515963, $187.43, $188.51, $181.28
10/21/2019, $187.44, 390822, $186.68, $188.2, $185.55
10/18/2019, $185.51, 940783, $186.78, $186.78, $184.72
10/17/2019, $186.55, 473748, $185.57, $187.1, $184.87
10/16/2019, $185.34, 399599, $186.56, $186.56, $184.06
10/15/2019, $186.66, 362313, $185.53, $187.6, $181.26
