Date, Close/Last, Volume, Open, High, Low
04/13/2020, $252.28, 1831345, $244.66, $253.83, $243.805
04/09/2020, $246.61, 2491827, $251.9969, $251.9969, $243
04/08/2020, $249.66, 2737502, $249.43, $251.68, $240.5
04/07/2020, $247.67, 3551363, $263.15, $267.45, $245.38
04/06/2020, $255.3, 3046253, $248.61, $256.65, $241.94
04/03/2020, $238.31, 1989809, $241.38, $247.45, $234.35
04/02/2020, $242.16, 2503957, $222.77, $242.96, $222.39
04/01/2020, $225.48, 1482254, $232.12, $234.98, $223.45
03/31/2020, $237.95, 3300687, $228.95, $240, $228.02
03/30/2020, $231.92, 2138948, $221.34, $233.77, $220
03/27/2020, $217.24, 1712723, $219.43, $224.18, $215.5688
03/26/2020, $224.49, 1752736, $209.8, $225.62, $209.43
03/25/2020, $210.09, 2066918, $219.88, $224, $209.51
03/24/2020, $223.13, 2830846, $207.84, $224.98, $207.84
03/23/2020, $202.21, 2801959, $210.5, $218.1, $199.52
03/20/2020, $206, 2764731, $217.7, $227.425, $204.16
03/19/2020, $215.69, 3118569, $215.15, $223.9313, $202.01
03/18/2020, $212.98, 3406379, $200.6, $224.99, $197.47
03/17/2020, $210.44, 4447501, $203.97, $230.0649, $202.5
03/16/2020, $199.77, 2521430, $201.6, $219, $199.16
03/13/2020, $220.86, 3813367, $218.23, $221.47, $200.76
03/12/2020, $204.06, 3758168, $206.59, $215.36, $201.5
03/11/2020, $220.34, 1733873, $225.63, $230.83, $218.7
03/10/2020, $230.51, 2024555, $226.21, $231.41, $216.47
03/09/2020, $219.65, 2034532, $218.07, $227.61, $214.08
03/06/2020, $233.5, 1872612, $227.65, $234.48, $226.6138
03/05/2020, $237.31, 1518316, $239.24, $242.18, $235.285
03/04/2020, $245.32, 1971889, $232.29, $246.06, $230.9
03/03/2020, $228.26, 2093182, $230.27, $237.55, $226.67
03/02/2020, $232.29, 2406547, $224.43, $232.98, $223.14
02/28/2020, $224.03, 2491476, $215.57, $224.54, $215.5
02/27/2020, $223.3, 1972989, $228.48, $231.63, $218.01
02/26/2020, $232.04, 1578570, $232.41, $237.37, $229.49
02/25/2020, $230, 1581236, $238.18, $239.99, $228.5
02/24/2020, $237.01, 1659510, $241.44, $242.76, $235.7
02/21/2020, $246.29, 1365436, $247.3, $247.5, $243.27
02/20/2020, $245.1, 1524832, $247.29, $247.7, $242.585
02/19/2020, $247.78, 947716, $249.85, $249.85, $245.24
02/18/2020, $245.93, 1305401, $244.92, $246, $241.09
02/14/2020, $243.82, 1354016, $241.24, $244.45, $238.55
02/13/2020, $240.09, 1329205, $241.41, $245.385, $239.73
02/12/2020, $242.21, 1805742, $247.61, $248.795, $240.7
02/11/2020, $247.81, 2280049, $245, $249, $242.775
02/10/2020, $244.75, 1273055, $239.22, $244.89, $237.0001
02/07/2020, $240.06, 1443319, $237.66, $240.344, $234.1
02/06/2020, $239.12, 1320423, $242.13, $244.65, $238.01
02/05/2020, $240.76, 1951742, $241.61, $244.41, $240
02/04/2020, $239.66, 1485889, $233.35, $241.23, $233.29
02/03/2020, $230.51, 1988059, $230.76, $233.7789, $225.01
01/31/2020, $227.05, 3373655, $238.65, $239.4, $223.01
01/30/2020, $230.31, 1169453, $230.84, $231.7499, $228.6795
01/29/2020, $232.41, 893569, $231.72, $233.5929, $230.57
01/28/2020, $231.97, 861813, $228.53, $232.295, $227.57
01/27/2020, $227.37, 802283, $226.51, $228.79, $226.07
01/24/2020, $229.06, 904271, $234.07, $235.18, $228.415
