Date, Close/Last, Volume, Open, High, Low
04/13/2020, $56.67, 12977720, $57.39, $57.6, $56.36
04/09/2020, $57.44, 19693910, $56.91, $58.1, $56.88
04/08/2020, $57.8, 18234200, $57.26, $58.02, $56.62
04/07/2020, $56.98, 21786000, $57.04, $57.88, $56.41
04/06/2020, $56.7, 20284430, $55.77, $56.94, $54.98
04/03/2020, $54.7, 17612480, $55, $55.241, $54.28
04/02/2020, $55.25, 20159400, $53.56, $55.5, $53.09
04/01/2020, $52.92, 18672610, $52.5, $53.45, $52.161
03/31/2020, $53.73, 21251790, $54.07, $54.54, $53.55
03/30/2020, $54.77, 20660180, $53.49, $55.03, $52.94
03/27/2020, $52.77, 25363640, $52.15, $53.84, $51.54
03/26/2020, $53.54, 32617570, $49.59, $53.9, $49.51
03/25/2020, $49.94, 38551330, $49.36, $51.91, $48.84
03/24/2020, $49.99, 40626870, $51.96, $51.96, $49.18
03/23/2020, $50.31, 39225120, $50.61, $53.27, $49.13
03/20/2020, $51.8, 46013780, $52.72, $53.04, $50.71
03/19/2020, $53.62, 33024860, $53.76, $54.92, $52.775
03/18/2020, $54.32, 38417420, $53.99, $55.93, $50.88
03/17/2020, $54.31, 33898020, $51.5, $55.48, $51.49
03/16/2020, $50.99, 36990390, $50.9, $53.2, $49.02
03/13/2020, $54.17, 45743960, $53, $54.37, $51.4464
03/12/2020, $51.2, 45610600, $51.95, $54, $50.75
03/11/2020, $54.83, 21177500, $55.36, $55.53, $54.185
03/10/2020, $56.52, 34330870, $56.07, $56.89, $53.92
03/09/2020, $55.83, 31862180, $54.37, $57.575, $54.01
03/06/2020, $56.87, 22510850, $55.29, $57.21, $55.095
03/05/2020, $57.16, 21249900, $56.87, $57.52, $56.49
03/04/2020, $58.12, 17626440, $56.61, $58.25, $56.11
03/03/2020, $55.7, 27500190, $57.21, $58.05, $55.22
03/02/2020, $57.32, 30736230, $55.16, $57.5421, $54.88
02/28/2020, $54.16, 45881220, $53.74, $54.18, $52.18
02/27/2020, $55.06, 25907210, $56.78, $57.38, $55.03
02/26/2020, $57.14, 16804640, $57.38, $57.87, $56.9
02/25/2020, $57.12, 19384910, $58.04, $58.395, $56.86
02/24/2020, $57.99, 18520940, $58.17, $58.69, $57.98
02/21/2020, $58.2, 15704330, $57.91, $58.25, $57.8
02/20/2020, $58.09, 16748580, $58.09, $58.36, $57.94
02/19/2020, $58.22, 13642760, $58.13, $58.58, $57.76
