Date, Close/Last, Volume, Open, High, Low
03/30/2020, $45.16, 7114853, $44.585, $45.65, $44.431
03/27/2020, $44, 5897960, $44.52, $45.53, $43.83
03/26/2020, $45.67, 11097960, $41.74, $45.85, $41
03/25/2020, $41.44, 11040490, $44.45, $45.451, $41.31
03/24/2020, $45.25, 9638438, $45.02, $45.94, $43.69
03/23/2020, $43.61, 8977089, $46.56, $47.71, $43.19
03/20/2020, $46.42, 11029960, $48.4, $48.61, $44.6
03/19/2020, $48.55, 10334630, $52.71, $54.23, $46.58
03/18/2020, $52.81, 16597830, $47.34, $53, $46.85
03/17/2020, $49.6, 9242841, $46.19, $49.6, $43.51
03/16/2020, $45.08, 10490620, $41.84, $48.025, $41.5
03/13/2020, $46.19, 11181110, $42.72, $46.31, $41.346
03/12/2020, $41.02, 11245730, $43.81, $43.93, $40.5155
03/11/2020, $46.07, 8599100, $48.23, $48.66, $45.47
03/10/2020, $49.16, 11190500, $49.49, $50.49, $46.85
03/09/2020, $48.44, 12341070, $48.03, $50.78, $48
03/06/2020, $50.51, 11823800, $47.25, $50.84, $47.18
03/05/2020, $48.78, 7237064, $47.25, $48.97, $47.13
03/04/2020, $48.69, 7194237, $47.15, $48.74, $46.82
03/03/2020, $46.12, 10385330, $47.5, $49.23, $45.74
03/02/2020, $48.11, 11247820, $45.92, $48.18, $45.47
02/28/2020, $45.76, 11857210, $45.16, $45.89, $44.61
02/27/2020, $46.24, 10123240, $46.95, $47.82, $45.55
02/26/2020, $47.67, 7212430, $48.2, $49, $47.63
02/25/2020, $47.51, 6336302, $49.35, $49.39, $47.24
02/24/2020, $49.03, 8049769, $50.78, $51.33, $49.01
02/21/2020, $51.45, 4644696, $51.86, $52.0196, $51.27
02/20/2020, $51.87, 3368565, $52.07, $52.34, $51.5
02/19/2020, $52.07, 3279683, $51.82, $52.09, $51.49
02/18/2020, $51.86, 4334648, $52.41, $52.7, $51.725
02/14/2020, $52.85, 5153820, $53.72, $53.79, $52.74
02/13/2020, $53.57, 3669498, $54.31, $54.47, $53.45
02/12/2020, $54.47, 5362488, $53.42, $54.53, $53.12
02/11/2020, $52.99, 4054054, $53.54, $53.56, $52.85
02/10/2020, $53.42, 4326583, $53.29, $54.06, $53.1
02/07/2020, $53.24, 3378473, $53.28, $53.69, $52.98
02/06/2020, $53.49, 4400035, $53.51, $54.245, $53.17
02/05/2020, $52.98, 5386802, $52.85, $53.65, $52.5
02/04/2020, $52.34, 4911144, $51.56, $52.425, $51.335
02/03/2020, $50.95, 5153006, $51.04, $51.485, $50.92
01/31/2020, $50.85, 6532515, $51.71, $51.915, $50.66
01/30/2020, $51.95, 3790868, $52.04, $52.1274, $51.18
01/29/2020, $52.28, 3510453, $52.82, $52.99, $52.27
01/28/2020, $52.78, 4771222, $52.45, $52.98, $52.175
01/27/2020, $52.23, 5108635, $51.55, $52.59, $51.54
01/24/2020, $52.04, 6415410, $53.32, $53.3699, $51.8945
01/23/2020, $53.3, 4993976, $53.34, $53.6, $52.81
01/22/2020, $53.42, 3703785, $53.73, $54.04, $53.4
01/21/2020, $53.87, 5940731, $54.39, $54.39, $53.46
01/17/2020, $54.41, 5048287, $54.69, $54.79, $54.32
01/16/2020, $54.42, 4974724, $54.44, $54.63, $54.18
01/15/2020, $54.43, 3495630, $54.54, $54.7, $54.08
01/14/2020, $54.62, 4466942, $54.04, $54.71, $53.82
01/13/2020, $54.06, 5518160, $54.2, $54.66, $53.98
01/10/2020, $54.22, 6688348, $54.84, $54.88, $54.06
01/09/2020, $54.68, 8471234, $55.79, $56.09, $54.615
01/08/2020, $55.83, 17434730, $56.05, $56.8, $54.91
01/07/2020, $59.29, 4376063, $59.22, $59.48, $58.62
01/06/2020, $59.59, 6003622, $59.04, $59.78, $58.475
01/03/2020, $59.08, 4895885, $58.54, $59.35, $58.18
01/02/2020, $59.08, 5583185, $59.28, $59.59, $58.6962
12/31/2019, $58.96, 3305124, $58.82, $59.47, $58.81
12/30/2019, $58.91, 3265205, $59.09, $59.6, $58.81
12/27/2019, $59.02, 3647857, $58.92, $59.03, $58.38
12/26/2019, $58.9, 2738901, $58.34, $59.02, $58.3
12/24/2019, $58.35, 1475405, $58.9, $58.92, $58.275
12/23/2019, $58.57, 4813274, $58.71, $59, $58.42
12/20/2019, $58.39, 8437558, $58.33, $58.98, $57.76
12/19/2019, $57.75, 5201971, $57.55, $58.82, $57.34
12/18/2019, $57.2, 4906107, $57.23, $57.51, $56.93
12/17/2019, $57.09, 5417661, $57.86, $58, $56.76
12/16/2019, $57.8, 5461750, $58.18, $58.77, $57.78
12/13/2019, $57.88, 4356392, $58.51, $58.81, $57.685
12/12/2019, $58.58, 3139920, $58.31, $59.28, $58.14
12/11/2019, $58.01, 2951412, $58.15, $58.44, $57.76
12/10/2019, $58.41, 3401000, $58.85, $58.9, $58.25
12/09/2019, $58.71, 4103654, $58.53, $59.0722, $58.31
12/06/2019, $58.63, 3478182, $59.38, $59.92, $58.59
12/05/2019, $59.1, 3815803, $59.06, $59.31, $58.47
12/04/2019, $58.91, 3765705, $59.69, $59.82, $58.65
12/03/2019, $58.99, 4930791, $58.8, $59.075, $57.73
12/02/2019, $59.27, 5696115, $59.3, $59.5, $58.46
11/29/2019, $59.6, 2177916, $59.96, $59.99, $59.45
11/27/2019, $60.11, 4034172, $59.79, $60.17, $59.25
11/26/2019, $59.63, 7656565, $60.42, $60.54, $58.94
11/25/2019, $60.67, 4657040, $60.69, $61.05, $60.56
11/22/2019, $60.6, 3506890, $60.94, $61.2724, $60.41
11/21/2019, $60.62, 3963195, $61.36, $61.4116, $60.46
11/20/2019, $61.34, 5933756, $61.21, $61.53, $60.68
11/19/2019, $61.45, 4201166, $62.16, $62.16, $61.1
11/18/2019, $61.94, 4578154, $62.07, $62.38, $61.71
11/15/2019, $62.14, 5321153, $61.88, $62.88, $61.81
11/14/2019, $61.94, 4184733, $62.3, $62.66, $61.62
11/13/2019, $62.25, 5086354, $62.63, $62.82, $61.78
11/12/2019, $62.72, 6903446, $62.3, $62.85, $61.51
11/11/2019, $62.25, 24420890, $62.64, $63.24, $61.21
11/08/2019, $59.24, 5450275, $58.73, $59.48, $58.08
11/07/2019, $58.67, 9861730, $59.82, $60.795, $58.56
11/06/2019, $59.49, 13655140, $61.69, $61.7, $58.54
11/05/2019, $61.21, 28677940, $59.99, $64.5, $59.12
11/04/2019, $59.65, 10758500, $57.9, $60, $57.8806
11/01/2019, $57.38, 8239006, $55.08, $57.71, $55.01
10/31/2019, $54.78, 6969953, $55.88, $55.88, $53.995
10/30/2019, $55.86, 3684425, $56.15, $56.58, $55.21
10/29/2019, $56.27, 5968942, $55.55, $56.805, $54.84
10/28/2019, $55.8, 8066910, $56.04, $56.45, $54.93
10/25/2019, $55.42, 4806506, $54.2, $55.57, $54.02
10/24/2019, $54.45, 3602263, $54.59, $55.26, $53.83
10/23/2019, $54.56, 4677817, $53.86, $54.685, $53.55
10/22/2019, $55.32, 3836069, $54.88, $55.51, $54.52
10/21/2019, $54.59, 5201533, $55.15, $55.5, $54.28
10/18/2019, $55.3, 4682351, $56.02, $56.17, $55.27
10/17/2019, $55.94, 4831812, $54.98, $56.1, $54.7765
10/16/2019, $54.66, 2977171, $54.48, $55.2, $54.26
10/15/2019, $54.515, 3398182, $53.76, $54.85, $53.73
10/14/2019, $53.67, 2542421, $53.74, $53.96, $53.17
10/11/2019, $53.99, 4803425, $53.45, $54.6, $53.45
10/10/2019, $52.93, 3363099, $52.24, $53.27, $52.2393
10/09/2019, $52.075, 4753858, $52.61, $52.73, $52.025
10/08/2019, $52.09, 4704350, $52.35, $52.75, $51.86
10/07/2019, $52.76, 4494622, $52.83, $53.12, $52.57
