Date, Close/Last, Volume, Open, High, Low
03/30/2020, $91.89, 2111508, $90.61, $92.6, $89.16
03/27/2020, $89.07, 1826733, $84.33, $92.73, $83.21
03/26/2020, $86.77, 2138478, $81.04, $88.25, $80.3601
03/25/2020, $80.74, 2331029, $79.64, $84, $77.3
03/24/2020, $80.21, 3017437, $72.27, $80.68, $70.29
03/23/2020, $70.89, 3849871, $73.27, $76.44, $68.01
03/20/2020, $74.09, 4700869, $90.57, $90.57, $72.08
03/19/2020, $90.41, 2983634, $103.76, $104.99, $90.01
03/18/2020, $104.53, 4332900, $98.47, $107.4, $92.03
03/17/2020, $102.46, 5748724, $95.25, $109.53, $94.7
03/16/2020, $92.68, 4106583, $91.49, $101.37, $90.0001
03/13/2020, $99.42, 3546936, $95.26, $99.55, $92.235
03/12/2020, $91.64, 3026031, $91.49, $98.12, $78.93
03/11/2020, $97.45, 2669287, $99.98, $101.35, $96.34
03/10/2020, $102.05, 3115220, $102.93, $105.635, $98.24
03/09/2020, $102.37, 3482667, $97.81, $104.28, $97.81
03/06/2020, $104.72, 2667841, $101.67, $105.43, $100.55
03/05/2020, $104.11, 1842625, $102.37, $105.255, $102.07
03/04/2020, $104.21, 1817180, $98.74, $104.55, $98.74
03/03/2020, $97.58, 2509020, $97.71, $100.14, $97.17
03/02/2020, $97.69, 2817603, $92.89, $97.72, $92.73
02/28/2020, $92.33, 3200692, $94, $94, $90.16
02/27/2020, $95.56, 2306519, $100.1, $101.28, $95.49
02/26/2020, $100.29, 1830547, $100.5, $101.64, $100.26
02/25/2020, $100.41, 1806298, $101.99, $102.43, $100.205
02/24/2020, $101.82, 1867354, $102.37, $102.845, $101.42
02/21/2020, $102.5, 1491072, $102.38, $103.28, $102.25
02/20/2020, $102.39, 1218022, $102.38, $102.55, $101.66
02/19/2020, $102.41, 1313238, $102.86, $103.25, $102.4
02/18/2020, $102.88, 1177948, $102.37, $103.1, $101.99
02/14/2020, $101.87, 1707492, $101.58, $102.11, $101.35
02/13/2020, $101.21, 1040108, $100.27, $101.36, $99.895
02/12/2020, $100.75, 1711952, $99.69, $100.93, $99.38
02/11/2020, $100.19, 872903, $100.39, $100.64, $100.09
02/10/2020, $100.14, 832690, $99.97, $100.17, $99.52
02/07/2020, $99.75, 787574, $100.23, $100.54, $99.69
02/06/2020, $99.9, 962787, $99.94, $100.24, $99.48
02/05/2020, $100.01, 1166028, $99.49, $100.06, $98.91
02/04/2020, $99.64, 1510146, $100.45, $100.79, $99.605
02/03/2020, $100.89, 1685796, $100.2, $100.94, $100.17
01/31/2020, $99.89, 2253625, $100.5, $101.37, $99.54
01/30/2020, $100.61, 1817083, $99.18, $100.87, $98.63
01/29/2020, $98.69, 1591413, $98.52, $98.89, $97.68
01/28/2020, $98.5, 2211835, $98.63, $98.82, $97.81
01/27/2020, $98.5, 1393436, $98.95, $99.69, $98.26
01/24/2020, $98.96, 1179261, $98.69, $99.7, $98.6
01/23/2020, $98.7, 1740200, $98.33, $98.92, $98.06
01/22/2020, $98.23, 1181550, $98.01, $98.41, $97.72
01/21/2020, $97.67, 1531507, $96.54, $97.74, $96.31
01/17/2020, $96.42, 2038806, $96.14, $96.8, $95.63
01/16/2020, $96.17, 1595295, $95.36, $96.215, $94.99
01/15/2020, $95.16, 1361955, $94.23, $95.49, $94.23
01/14/2020, $93.95, 1542458, $93.67, $93.97, $93.1
01/13/2020, $93.65, 1691218, $92.61, $93.77, $92.61
01/10/2020, $92.54, 1220272, $92.2, $92.63, $92.11
01/09/2020, $91.99, 1036677, $90.98, $92.06, $90.85
01/08/2020, $91.08, 1323669, $91.21, $91.385, $90.51
01/07/2020, $90.96, 1078229, $90.89, $91.07, $90.34
01/06/2020, $91.31, 1419092, $91.34, $91.8, $90.8
01/03/2020, $91.24, 1859426, $90.65, $91.71, $90.52
01/02/2020, $90.67, 1547068, $92.4, $92.52, $90.455
12/31/2019, $92.23, 1387841, $92.35, $92.86, $91.8
12/30/2019, $92.17, 1042338, $92.14, $92.32, $91.67
12/27/2019, $92.31, 958994, $91.76, $92.33, $91.68
12/26/2019, $91.75, 821872, $91.7, $91.99, $91.14
12/24/2019, $91.62, 364580, $91.31, $91.8, $91.14
12/23/2019, $91.48, 1301948, $92.93, $92.937, $91.15
12/20/2019, $92.85, 2765109, $92.31, $93.43, $91.95
12/19/2019, $92.18, 1879032, $91.76, $92.35, $91.22
12/18/2019, $91.66, 1379313, $91.33, $91.7, $90.61
12/17/2019, $91.09, 1482726, $90.32, $91.56, $90.22
12/16/2019, $90.63, 2224436, $89.43, $90.64, $89.13
12/13/2019, $89.18, 918928, $88.66, $89.41, $88.11
12/12/2019, $88.78, 1227363, $89.13, $89.53, $88.55
12/11/2019, $89.53, 1027921, $89.15, $89.6, $88.89
12/10/2019, $89.19, 1197171, $88.8, $89.53, $88.8
12/09/2019, $88.77, 815503, $89.1, $89.21, $88.63
12/06/2019, $89.07, 1219598, $89.13, $89.66, $88.855
12/05/2019, $89.45, 1345092, $88.91, $89.6, $88.71
12/04/2019, $89.09, 1418943, $87.86, $89.24, $87.81
12/03/2019, $88.27, 1123736, $88.22, $88.57, $87.7
12/02/2019, $87.57, 1800689, $88.27, $88.35, $87.41
11/29/2019, $88.65, 679568, $89.3, $89.87, $88.6
11/27/2019, $89.11, 1706026, $88.91, $89.6, $88.68
11/26/2019, $89.03, 2476217, $88.14, $89.14, $87.97
11/25/2019, $88.1, 1220435, $88.63, $88.8175, $87.82
11/22/2019, $88.53, 1634973, $88.36, $88.84, $87.465
11/21/2019, $88.33, 1294367, $88.11, $88.87, $87.64
11/20/2019, $88.2, 1372067, $88.1, $88.91, $87.95
11/19/2019, $88.13, 1179015, $87.71, $88.91, $87.05
11/18/2019, $87.95, 1235860, $88.35, $89.18, $87.75
11/15/2019, $88.07, 1068771, $88.19, $88.19, $87.53
11/14/2019, $88.12, 1028958, $87.92, $88.27, $87.41
11/13/2019, $87.82, 1548772, $86.74, $88.08, $86.5
11/12/2019, $87.18, 1594093, $87.49, $87.5793, $86.72
11/11/2019, $87.14, 1103835, $87.83, $88.14, $87.07
11/08/2019, $87.83, 2310648, $88.77, $89.08, $87.53
11/07/2019, $88.87, 2092703, $90.11, $90.58, $88.41
11/06/2019, $91.21, 2168884, $91.09, $92.27, $90.01
11/05/2019, $91, 2178309, $91.32, $91.805, $90.72
11/04/2019, $91.64, 1977008, $93.42, $93.42, $91.125
11/01/2019, $93.53, 1189207, $94.49, $94.725, $93.11
10/31/2019, $94.4, 1423396, $93.96, $94.99, $93.4706
10/30/2019, $93.79, 1183703, $92.81, $94.14, $92.76
10/29/2019, $92.44, 1441238, $92.31, $92.68, $92.02
10/28/2019, $92.53, 1592209, $93.29, $93.6, $91.95
10/25/2019, $93.79, 1535582, $94.22, $94.4147, $93.23
10/24/2019, $94.01, 1117032, $93.21, $94.145, $92.82
10/23/2019, $93.15, 1087084, $93.45, $94.18, $92.9
10/22/2019, $93.29, 1114722, $93.45, $93.94, $93.11
10/21/2019, $93.27, 756208, $93.23, $93.46, $92.4
10/18/2019, $92.96, 1536354, $92.76, $93.12, $92.23
10/17/2019, $92.9, 921069, $92.74, $93.32, $92.11
10/16/2019, $92.76, 1301551, $92.26, $92.84, $91.51
10/15/2019, $92.17, 1480893, $92.95, $93.41, $92
10/14/2019, $92.72, 1252139, $94.05, $94.1, $92.495
