Date, Close/Last, Volume, Open, High, Low
04/13/2020, $52.48, 3596143, $56.63, $57, $51.7
04/09/2020, $56.6, 7865428, $54.09, $58, $53.98
04/08/2020, $51.59, 5030503, $45.39, $52.74, $44.49
04/07/2020, $44.4, 5039681, $44.79, $48.213, $44.29
04/06/2020, $42.51, 5405496, $40.99, $42.975, $40
04/03/2020, $37.26, 5650024, $37.78, $39.3, $36.23
04/02/2020, $38.79, 3825358, $40.26, $42.0998, $37.57
04/01/2020, $40.6, 5002994, $42.89, $43.25, $38.8801
03/31/2020, $45.78, 6286893, $46.68, $47.29, $44.53
03/30/2020, $47.18, 5214391, $48.65, $49.36, $45.03
03/27/2020, $49.7, 4939227, $47.52, $50.52, $45.9
03/26/2020, $50.41, 7642079, $47.3, $50.78, $44.56
03/25/2020, $46.16, 8434353, $45.65, $48.8, $42.84
03/24/2020, $45.37, 7375699, $46.53, $48.71, $42.835
03/23/2020, $43.49, 7627104, $40.79, $45.84, $38.07
03/20/2020, $42.42, 11125490, $42.61, $46.45, $41.35
03/19/2020, $40.92, 7698381, $32.85, $42.471, $30.75
03/18/2020, $33.22, 8833828, $35.99, $36.82, $24.27
03/17/2020, $38.63, 8052527, $39.81, $41.95, $35.3
03/16/2020, $38.77, 7116915, $44.39, $44.78, $38
03/13/2020, $51.28, 9208068, $50.29, $52.32, $44.62
03/12/2020, $45.95, 12651170, $52.15, $52.15, $39.94
03/11/2020, $56.49, 6278055, $62.6, $62.74, $55.34
03/10/2020, $64.61, 5142456, $66.64, $66.71, $61.01
03/09/2020, $64.88, 5732140, $69.47, $69.47, $64.76
03/06/2020, $73.96, 5658012, $74.13, $74.66, $71.13
03/05/2020, $76.17, 4065063, $78.53, $78.8246, $75.39
03/04/2020, $79.65, 2592756, $78.47, $79.76, $77.7
03/03/2020, $77.01, 6261726, $75.5, $79.6399, $74.97
03/02/2020, $75.26, 5980821, $75.25, $75.74, $72.845
02/28/2020, $74.82, 5619679, $75, $76.38, $71.97
