Date, Close/Last, Volume, Open, High, Low
04/13/2020, $189.7, 802696, $193.88, $195.64, $187.48
04/09/2020, $196.02, 824079, $191.07, $196.85, $189.18
04/08/2020, $190.05, 1376419, $179.63, $193.31, $177.99
04/07/2020, $178.69, 1126739, $180.04, $182.295, $176.02
04/06/2020, $175.36, 1296092, $164.14, $176.96, $162.58
04/03/2020, $157.09, 1351596, $157.5, $159.76, $153.13
04/02/2020, $158.41, 1053551, $153.29, $162.38, $153.155
04/01/2020, $156.19, 1149189, $162.13, $166.7, $154.26
03/31/2020, $169.85, 1301560, $169.73, $172.38, $165.65
03/30/2020, $172.95, 1393858, $168.83, $174.56, $165.51
03/27/2020, $167.21, 1292185, $159.91, $172.87, $157.66
03/26/2020, $165.5, 2648220, $163.98, $169.35, $161.52
03/25/2020, $163.76, 2078195, $169.22, $169.65, $161.85
03/24/2020, $169.85, 1832210, $153.45, $172.08, $153.45
03/23/2020, $147.56, 1673511, $152.18, $156.16, $143.34
03/20/2020, $152.63, 1713027, $149.27, $157.99, $148.16
03/19/2020, $152.59, 1416337, $156.97, $158.28, $146.03
03/18/2020, $157.15, 1358719, $165.04, $165.04, $145.93
03/17/2020, $173.12, 2651755, $168.01, $181.05, $168.0002
03/16/2020, $164.01, 1643943, $167.23, $174.7, $155.56
03/13/2020, $180.04, 1989435, $177.72, $182.51, $169.92
03/12/2020, $172.8, 2169187, $177.58, $184.32, $165.42
03/11/2020, $188.25, 2972982, $182.22, $195.105, $178.01
03/10/2020, $187.67, 2639328, $187.95, $192.89, $182.22
03/09/2020, $184.74, 4032002, $200.91, $208.64, $178.44
03/06/2020, $199.71, 893260, $194.95, $200.74, $192.34
03/05/2020, $201.77, 1097066, $201.35, $204.38, $199.92
03/04/2020, $206.55, 1143362, $200.2, $207.135, $199.3
03/03/2020, $197.16, 1012044, $197.94, $200.92, $194.51
03/02/2020, $199.54, 1009877, $189.71, $199.85, $189.04
02/28/2020, $189.25, 1792410, $189.92, $191.18, $184.35
02/27/2020, $194.53, 966638, $202.95, $205.99, $194.53
02/26/2020, $204.44, 880648, $204.54, $206.48, $202.81
02/25/2020, $202.64, 767973, $206.14, $206.86, $202.31
02/24/2020, $205.54, 675114, $206.36, $207.88, $204.82
