Date, Close/Last, Volume, Open, High, Low
04/13/2020, $96.75, 1977991, $99.64, $100.64, $96.075
04/09/2020, $99.85, 3558165, $96.55, $101.96, $96.53
04/08/2020, $95.62, 3765230, $92.22, $96.19, $90.91
04/07/2020, $91.43, 5158525, $95.51, $95.51, $91.17
04/06/2020, $91.29, 5680139, $92.01, $92.45, $90.54
04/03/2020, $89.02, 2702776, $90.61, $91.559, $87.961
04/02/2020, $91.14, 3859558, $87.6, $91.88, $87.35
04/01/2020, $88.43, 3438168, $90.15, $90.3, $86.9
03/31/2020, $92.56, 4798605, $93.58, $93.74, $90.82
03/30/2020, $94.6, 3812202, $96.14, $97.67, $92.6
03/27/2020, $95.3, 4126196, $95.3, $98.35, $93.57
03/26/2020, $97.68, 5057208, $90.9, $98.22, $90.75
03/25/2020, $90.94, 6434487, $91.86, $93.7, $85.34
03/24/2020, $92.07, 4782880, $91.19, $93.57, $90
03/23/2020, $87.87, 6777364, $98.69, $99.5, $87.08
03/20/2020, $98.31, 6880206, $100.1, $100.55, $96.61
03/19/2020, $99.85, 4052497, $101.86, $102.64, $97.915
03/18/2020, $102.46, 4560197, $102.65, $105.99, $98.86
03/17/2020, $108.93, 5104314, $100.72, $110.8499, $100.72
03/16/2020, $99.89, 5166046, $90, $105.69, $85.5
03/13/2020, $105.32, 5971363, $101.11, $105.32, $97.36
03/12/2020, $97.74, 5118724, $102.95, $104.4, $97.64
03/11/2020, $109.97, 2750986, $110.54, $113.7, $108.74
03/10/2020, $113.46, 4783362, $114.43, $115.17, $109.37
03/09/2020, $112.07, 3516282, $110.16, $115.29, $109.27
03/06/2020, $117.13, 2701830, $114.43, $117.61, $114.03
03/05/2020, $117.71, 3226230, $117.96, $120.0979, $116.81
03/04/2020, $120.29, 3474838, $116.98, $120.55, $116.12
03/03/2020, $112.71, 4321545, $117.58, $119.01, $112.34
03/02/2020, $117.03, 4006632, $111.84, $117.2, $111.82
02/28/2020, $110.81, 6445291, $111.13, $111.979, $106.61
02/27/2020, $113.62, 4280291, $120.21, $121.26, $113.52
02/26/2020, $120.93, 2695171, $121.61, $123.35, $120.91
02/25/2020, $121.95, 3080322, $124.38, $125.76, $121.8
02/24/2020, $123.99, 2324925, $121.92, $124.58, $121.6605
02/21/2020, $124.56, 2057994, $123.96, $124.85, $123.67
02/20/2020, $124.05, 2352774, $124.74, $125.28, $123.19
02/19/2020, $125.23, 1431842, $126.25, $126.79, $125.22
02/18/2020, $126.22, 2094260, $125.74, $126.46, $125.27
02/14/2020, $125.75, 1299951, $124.6, $125.75, $124.01
02/13/2020, $124.23, 2107125, $125, $125.21, $122.91
02/12/2020, $125.61, 2028451, $124.55, $125.64, $123.28
02/11/2020, $124.98, 1504743, $125.39, $125.47, $124.75
02/10/2020, $125.04, 1233957, $124.24, $125.29, $124.11
02/07/2020, $123.91, 1292500, $124.13, $124.37, $123.63
02/06/2020, $123.74, 1171735, $123.33, $124.14, $123.21
02/05/2020, $123.61, 1601300, $122.88, $123.74, $122.46
02/04/2020, $122.86, 1145299, $123.31, $123.7673, $122.79
02/03/2020, $122.69, 1246512, $122.16, $123.225, $122.09
01/31/2020, $121.7, 1657741, $122.46, $123.2, $121.09
01/30/2020, $122.76, 1155811, $121.05, $122.84, $120.58
01/29/2020, $121.47, 1641411, $121.3, $121.86, $120.81
01/28/2020, $121.05, 1395807, $121.26, $121.87, $120.54
01/27/2020, $121.19, 1191235, $120.27, $121.3132, $119.83
01/24/2020, $121, 1052962, $121.32, $121.93, $120.48
01/23/2020, $121.14, 1740849, $120.22, $121.15, $119.58
01/22/2020, $120.32, 1378247, $120.8, $121.295, $120.24
01/21/2020, $120.41, 1642197, $119.36, $120.53, $119.27
01/17/2020, $119.65, 1988018, $119.72, $120.21, $119.42
01/16/2020, $119.49, 1725955, $118.71, $119.76, $118.53
01/15/2020, $118.22, 1273011, $118.21, $119.155, $117.85
01/14/2020, $118.07, 1625209, $117.68, $118.32, $117.36
01/13/2020, $117.66, 1341141, $116.46, $118, $116.35
01/10/2020, $116.2, 1289590, $116.3, $116.5556, $115.8
01/09/2020, $116.13, 1634190, $116.18, $117.12, $116.04
01/08/2020, $116.08, 1824585, $116.1, $116.48, $115.68
01/07/2020, $116.01, 2325695, $115.53, $116.2, $114.88
01/06/2020, $115.93, 1840720, $114.6, $115.95, $114.51
01/03/2020, $115.33, 1424903, $113.15, $115.47, $113.1
01/02/2020, $114.22, 2071652, $114.09, $114.22, $112.5
12/31/2019, $113.96, 1248587, $113.69, $114.15, $113.1771
12/30/2019, $113.77, 1058485, $113.5, $113.85, $113.1
12/27/2019, $113.89, 804636, $113.09, $113.93, $112.81
12/26/2019, $113.18, 798190, $112.72, $113.19, $112.53
12/24/2019, $112.6, 498770, $112.8, $112.87, $112.06
12/23/2019, $112.91, 921226, $113.17, $113.49, $112.72
12/20/2019, $113.16, 2840716, $113.46, $113.56, $112.26
12/19/2019, $112.48, 1677194, $112.64, $113.15, $112.36
12/18/2019, $112.58, 1833422, $113.02, $113.385, $111.95
12/17/2019, $112.96, 1766473, $112.94, $113.692, $112.62
12/16/2019, $112.03, 1537908, $112.58, $112.7, $111.5
12/13/2019, $112.02, 1846090, $110.44, $112.045, $110.16
12/12/2019, $110.66, 1826190, $111.25, $111.57, $110.105
12/11/2019, $111.4, 1476502, $111.35, $111.91, $110.86
12/10/2019, $111.26, 1419256, $111.83, $112.23, $111.1915
12/09/2019, $111.77, 2120735, $111.59, $111.86, $111.25
12/06/2019, $111.62, 1212350, $112.14, $112.49, $111.39
12/05/2019, $111.47, 2525576, $112.52, $112.75, $111.13
12/04/2019, $112.86, 1845583, $111.95, $113.58, $111.95
12/03/2019, $112.03, 1815765, $111.49, $112.84, $111.21
12/02/2019, $111.65, 1496445, $112.72, $113.11, $111.62
11/29/2019, $112.91, 706862, $113.01, $113.46, $112.61
11/27/2019, $112.94, 1589349, $113.11, $113.38, $112.7
11/26/2019, $112.88, 3499103, $110.36, $113.02, $110.28
11/25/2019, $110.31, 1929498, $110.86, $111.81, $110.27
11/22/2019, $110.77, 2007924, $110.82, $111.42, $109.67
11/21/2019, $111.21, 1836889, $112.6, $112.85, $111.03
11/20/2019, $112.57, 1876606, $112.59, $113.71, $111.87
11/19/2019, $112.53, 1996465, $112.41, $112.93, $111.855
11/18/2019, $112.4, 1926975, $112.15, $112.95, $111.93
11/15/2019, $112.16, 2030864, $112.3, $112.5, $111.62
11/14/2019, $112.05, 1378748, $110.97, $112.22, $110.858
11/13/2019, $110.94, 1465462, $110.06, $111.34, $109.69
11/12/2019, $110, 1603143, $110.5, $110.82, $109.68
11/11/2019, $110.47, 1094289, $110.94, $111.29, $110.03
11/08/2019, $111.03, 1222030, $110.07, $111.14, $110.06
11/07/2019, $110.35, 2329443, $110.1, $110.55, $109.34
11/06/2019, $109.93, 1884176, $107.91, $109.93, $107.77
11/05/2019, $108.31, 3574565, $110.62, $110.81, $107.8701
11/04/2019, $110.82, 2181853, $111.21, $111.47, $110.28
11/01/2019, $111.23, 1864877, $112.52, $112.69, $110.82
10/31/2019, $112.21, 1664239, $112.6, $113.39, $111.69
10/30/2019, $112.67, 1164595, $112.56, $113.24, $111.75
10/29/2019, $112.03, 1702192, $111.07, $112.93, $110.86
10/28/2019, $111.28, 1519778, $111.24, $111.6189, $110.85
10/25/2019, $111.35, 2380416, $113.15, $113.5, $110.84
10/24/2019, $113.17, 2535439, $113.51, $113.66, $111.11
10/23/2019, $113.37, 3152659, $116.63, $117.69, $113.17
10/22/2019, $116.92, 1825602, $117.3, $118.28, $116.66
10/21/2019, $117.27, 1954589, $117.54, $117.69, $116.11
10/18/2019, $117.05, 2615235, $115.04, $117.28, $114.61
10/17/2019, $116.28, 1681746, $115.23, $116.53, $115.1
10/16/2019, $114.9, 2126883, $115.34, $115.39, $113.4
10/15/2019, $115.65, 1854788, $116.58, $117.04, $115.52
10/14/2019, $116.15, 973611, $116.61, $117.66, $115.97
10/11/2019, $116.34, 1538534, $118.02, $118.3, $116.26
10/10/2019, $117.44, 1940978, $115.5, $117.79, $115.46
10/09/2019, $115.6, 1360671, $115.1, $115.95, $114.57
10/08/2019, $114.77, 1502949, $115, $115.94, $114.2975
10/07/2019, $115.71, 1312982, $116.37, $116.46, $115.5
10/04/2019, $116.61, 2892172, $115.53, $117.04, $115.41
10/03/2019, $114.99, 2651605, $114.58, $115.53, $114.03
10/02/2019, $114.77, 2892933, $114.14, $115.07, $113.509
10/01/2019, $114.87, 2576543, $115.15, $115.97, $114.5
09/30/2019, $115, 1789607, $113.59, $115.2105, $113.53
09/27/2019, $113.59, 1693055, $115.43, $115.72, $112.68
09/26/2019, $115.09, 2404948, $114.18, $115.69, $113.7135
09/25/2019, $113.92, 1474536, $115.16, $115.46, $113.83
09/24/2019, $115.12, 1651361, $115.07, $116.16, $114.5
09/23/2019, $114.95, 1111798, $115.35, $115.87, $114.68
09/20/2019, $115.28, 1995088, $115.17, $115.61, $114.78
09/19/2019, $114.73, 1328047, $114.94, $115.8, $114.49
09/18/2019, $114.33, 1031407, $114.03, $114.38, $113.09
09/17/2019, $113.86, 2550871, $112.44, $114.18, $112.2
09/16/2019, $111.9, 2077809, $111.56, $112.01, $111.1
09/13/2019, $111.95, 1661220, $113.48, $114.35, $111.79
09/12/2019, $113.07, 1726727, $112.69, $113.88, $112.51
09/11/2019, $112.22, 2830543, $113.81, $114.38, $111.13
09/10/2019, $113.68, 3654550, $116.86, $117.04, $112.16
09/09/2019, $117.62, 1427960, $119.34, $119.55, $117.38
09/06/2019, $119.33, 941464, $119.08, $119.6803, $118.84
09/05/2019, $119.09, 1671285, $121.24, $121.7673, $118.9
09/04/2019, $120.65, 1213869, $120, $120.74, $119.67
09/03/2019, $119.53, 1204503, $119.61, $120.24, $119.1
08/30/2019, $119.35, 1149623, $120.09, $120.49, $118.96
08/29/2019, $119.32, 1132273, $119, $119.44, $118.066
08/28/2019, $118.25, 1109824, $117.51, $118.48, $116.8
08/27/2019, $117.75, 1148279, $117.81, $118.6, $117.41
08/26/2019, $117.05, 1587724, $116.4, $117.09, $115.81
08/23/2019, $115.93, 1987908, $117.86, $118.44, $115.36
08/22/2019, $118.07, 1358410, $118.64, $119.005, $117.8
08/21/2019, $118.71, 1479802, $118.64, $119.24, $118.2826
08/20/2019, $118.11, 1566394, $119.68, $119.99, $118.04
08/19/2019, $120.02, 2770573, $119.54, $120.58, $119.25
08/16/2019, $119.12, 1613419, $118.67, $119.51, $118.45
08/15/2019, $118.2, 2133865, $116.3, $118.54, $116.05
08/14/2019, $116, 3009474, $118.53, $118.81, $115.96
08/13/2019, $119.02, 1997375, $117.24, $119.45, $117.24
08/12/2019, $117.73, 1044119, $119.06, $119.21, $117.28
08/09/2019, $119.06, 2242428, $118.74, $119.56, $118.03
08/08/2019, $118.47, 1459077, $117.08, $118.67, $116.57
08/07/2019, $116.85, 1523389, $115.09, $117.46, $114.37
08/06/2019, $116.1, 1868847, $114, $116.2181, $113.51
08/05/2019, $113.77, 2909589, $115.66, $116.38, $112.87
08/02/2019, $116.73, 1612622, $116.4, $117.61, $115.98
08/01/2019, $116.25, 1716971, $116.99, $118.13, $116.095
07/31/2019, $117, 1438327, $118.06, $118.45, $115.94
07/30/2019, $118.01, 1244061, $117.72, $118.665, $117.57
07/29/2019, $117.96, 1308515, $118.4, $118.64, $117.476
07/26/2019, $118.5, 1845586, $116.8, $118.71, $116.48
07/25/2019, $116.72, 2341883, $115.8, $117.74, $115.5
07/24/2019, $115.8, 2279483, $116.84, $117, $115.24
07/23/2019, $117.19, 1473868, $117.79, $117.97, $116.57
07/22/2019, $117.13, 1183297, $116.9, $117.4107, $116.3745
07/19/2019, $116.79, 1214721, $117.98, $118.03, $116.655
07/18/2019, $117.97, 1548968, $117.18, $117.99, $116.45
07/17/2019, $118.19, 1291444, $118.5, $118.89, $118.19
07/16/2019, $118.17, 1433815, $118, $118.71, $117.77
07/15/2019, $118.03, 1236000, $117.96, $118.145, $117.48
07/12/2019, $117.91, 1323648, $117.78, $118.09, $116.79
07/11/2019, $117.25, 1997671, $117.61, $118.02, $116.945
07/10/2019, $117.79, 1616384, $117.01, $118.11, $116.99
07/09/2019, $117.01, 1432368, $116.85, $117.2, $116.41
07/08/2019, $116.89, 2160092, $116.6, $116.99, $116.12
07/05/2019, $116.48, 1088837, $117.01, $117.21, $116.01
07/03/2019, $117.21, 1311127, $116.43, $117.27, $116.28
07/02/2019, $115.89, 1906873, $115.66, $116.11, $115.29
07/01/2019, $115.29, 1941393, $116.1, $116.31, $114.4416
06/28/2019, $115.37, 2462648, $115.88, $116.3261, $115.35
06/27/2019, $115.84, 1055289, $114.77, $116.01, $114.63
06/26/2019, $114.59, 1949812, $116.09, $116.45, $114.31
06/25/2019, $116.42, 1447908, $117.27, $117.336, $116.41
06/24/2019, $116.97, 1520414, $116.2, $117.14, $115.92
06/21/2019, $115.84, 2675701, $116.44, $116.81, $115.74
