Date, Close/Last, Volume, Open, High, Low
03/30/2020, $62.56, 7024863, $59.92, $63.11, $59.03
03/27/2020, $58.77, 4399062, $56.89, $60.6, $55.99
03/26/2020, $57.91, 5489857, $55.94, $58.62, $54.94
03/25/2020, $55.55, 5942615, $53.34, $57.05, $52.5789
03/24/2020, $54.05, 5499253, $51.28, $54.31, $50.57
03/23/2020, $50, 6062677, $50.5, $51, $46.58
03/20/2020, $50.63, 9148851, $59, $59.15, $50.03
03/19/2020, $57.99, 6840674, $61.53, $62.48, $57.2401
03/18/2020, $61.37, 6690296, $61.49, $64, $57.665
03/17/2020, $64.93, 8959341, $59.74, $67.26, $59.6406
03/16/2020, $58.36, 7884297, $60.86, $67, $57.41
03/13/2020, $66.84, 5724787, $63.37, $66.85, $61
03/12/2020, $61.29, 7309089, $63.06, $66.98, $59.57
03/11/2020, $66.82, 5927758, $67.03, $68.23, $65.63
03/10/2020, $68.49, 8897486, $68.55, $70.68, $66.1
03/09/2020, $67.99, 9885410, $66.36, $69.99, $65.3036
03/06/2020, $70.15, 6689606, $66.51, $70.16, $66.2328
03/05/2020, $69.25, 5871755, $67.84, $70.02, $67.45
03/04/2020, $69.2, 3454161, $66.53, $69.405, $66.06
03/03/2020, $65.71, 5425310, $65.42, $67.46, $65.2
03/02/2020, $65.87, 5117767, $62.22, $65.99, $62.15
02/28/2020, $62.32, 7762127, $64.08, $64.08, $61.25
02/27/2020, $64.85, 4225443, $68.33, $68.67, $64.81
02/26/2020, $68.35, 3060224, $69.32, $69.49, $68.32
02/25/2020, $68.84, 3581915, $70.48, $70.65, $68.73
02/24/2020, $70.37, 3530993, $71.69, $72.14, $70.22
02/21/2020, $70.82, 3563601, $70.72, $71.415, $70.44
02/20/2020, $70.67, 2243974, $70.74, $70.99, $70.195
02/19/2020, $70.79, 2284483, $70.94, $71.24, $70.765
02/18/2020, $71.16, 3552166, $70.63, $71.43, $70.57
02/14/2020, $70.26, 1959554, $69.99, $70.4, $69.77
02/13/2020, $69.82, 2430705, $69.08, $69.89, $68.92
02/12/2020, $69.03, 2032486, $68.75, $69.25, $68.55
02/11/2020, $68.96, 2176206, $69.06, $69.23, $68.84
02/10/2020, $69.06, 2306273, $68.91, $69.12, $68.54
02/07/2020, $68.71, 2316874, $69.49, $69.54, $68.7
02/06/2020, $69.3, 4507501, $69.13, $69.54, $69.01
02/05/2020, $69.3, 3021001, $69.81, $69.81, $68.75
02/04/2020, $69.3, 3705734, $69.39, $69.765, $69.02
02/03/2020, $69.45, 3880215, $69.65, $69.82, $69.26
01/31/2020, $69.19, 5165661, $69.01, $69.62, $68.75
01/30/2020, $68.76, 3486420, $67.26, $68.86, $66.95
01/29/2020, $67.42, 2345676, $67.17, $67.42, $66.77
01/28/2020, $67.22, 2040237, $66.94, $67.46, $66.89
01/27/2020, $66.92, 1656126, $67.14, $67.69, $66.65
01/24/2020, $67.17, 1851014, $66.74, $67.48, $66.59
01/23/2020, $66.9, 2486869, $66.18, $66.97, $66.12
01/22/2020, $66.21, 2659219, $66.1, $66.4, $66.02
01/21/2020, $66, 4549272, $65.38, $66.01, $65.17
01/17/2020, $65.37, 2384308, $65.16, $65.48, $64.75
01/16/2020, $65.03, 1919404, $64.69, $65.11, $64.525
01/15/2020, $64.47, 1949564, $63.78, $64.595, $63.725
01/14/2020, $63.47, 2443952, $63.3, $63.62, $62.895
01/13/2020, $63.37, 2737546, $62.55, $63.55, $62.55
01/10/2020, $62.64, 5295949, $62.55, $62.85, $62.5
01/09/2020, $62.54, 4494780, $62.15, $62.76, $62.11
01/08/2020, $62.4, 4828886, $62.59, $62.64, $62.12
01/07/2020, $62.46, 1861698, $62.15, $62.5168, $61.97
01/06/2020, $62.59, 2218932, $62.76, $62.94, $62.33
01/03/2020, $62.68, 2422522, $62.28, $62.915, $62.28
01/02/2020, $62.38, 2829941, $63.55, $63.58, $62.2
12/31/2019, $63.49, 2136879, $63.29, $63.55, $63.135
12/30/2019, $63.29, 1717707, $62.94, $63.29, $62.72
12/27/2019, $63.115, 1931247, $62.81, $63.155, $62.69
12/26/2019, $62.79, 1324906, $62.83, $63.03, $62.545
12/24/2019, $62.86, 956886, $62.54, $62.9, $62.32
12/23/2019, $63.02, 4148084, $64.38, $64.39, $62.77
12/20/2019, $64.15, 7834506, $64.07, $64.67, $63.74
12/19/2019, $63.85, 2544822, $64, $64.01, $63.57
12/18/2019, $63.79, 3403988, $63.57, $63.92, $63.24
12/17/2019, $63.46, 2788234, $63.22, $63.86, $63.02
12/16/2019, $63.03, 2845318, $62.18, $63.06, $62.07
12/13/2019, $62.26, 2773035, $61.35, $62.375, $61.1
12/12/2019, $61.36, 4493636, $61.99, $62.45, $61.03
12/11/2019, $62.16, 2212054, $62, $62.21, $61.75
12/10/2019, $61.8, 1654523, $61.74, $62.015, $61.6263
12/09/2019, $61.73, 2408202, $62.2, $62.34, $61.59
12/06/2019, $62, 2375060, $62.01, $62.28, $61.59
12/05/2019, $62.14, 1811978, $61.81, $62.16, $61.56
12/04/2019, $62.01, 2068518, $61.16, $62.11, $61.16
12/03/2019, $61.46, 3104903, $61.38, $61.745, $61.22
12/02/2019, $61.2, 2723307, $61.28, $61.53, $60.85
11/29/2019, $61.49, 1730658, $61.77, $62.07, $61.37
11/27/2019, $61.56, 2685638, $61.26, $61.62, $60.91
11/26/2019, $61.18, 5900195, $60.79, $61.27, $60.6
11/25/2019, $60.8, 2743060, $61.39, $61.55, $60.67
11/22/2019, $61.26, 2414640, $61.75, $61.96, $60.735
11/21/2019, $61.7, 2093490, $61.74, $61.875, $61.2681
11/20/2019, $61.69, 2266915, $61.31, $61.8, $61.18
11/19/2019, $61.32, 2625505, $60.95, $61.645, $60.47
11/18/2019, $60.88, 3341363, $60.94, $61.65, $60.75
11/15/2019, $60.87, 4244133, $61.37, $61.45, $60.32
11/14/2019, $61.3, 3425476, $61.55, $62.12, $61.145
11/13/2019, $61.64, 3093970, $60.3, $61.755, $60.3
11/12/2019, $60.17, 1519219, $60.2, $60.335, $59.98
11/11/2019, $60.07, 2715852, $60.11, $60.3, $59.87
11/08/2019, $60.08, 4196259, $59.97, $60.45, $59.66
11/07/2019, $60.33, 4917401, $60.59, $60.87, $59.46
11/06/2019, $61.26, 5043356, $60.6, $61.35, $60.47
11/05/2019, $60.54, 4225709, $61.34, $61.63, $60.395
11/04/2019, $61.65, 3182954, $63.03, $63.03, $61.51
11/01/2019, $63.1, 3157891, $63.46, $63.86, $62.92
10/31/2019, $63.51, 8824603, $63.32, $63.785, $63.1
10/30/2019, $63.32, 2761801, $62.61, $63.49, $62.61
10/29/2019, $62.58, 2566375, $62.53, $62.695, $62.18
10/28/2019, $62.44, 3329700, $63.07, $63.33, $62.28
10/25/2019, $63.64, 3367216, $64.67, $64.99, $63.33
10/24/2019, $64.54, 2580773, $64.97, $65.14, $64.05
10/23/2019, $64.44, 3358107, $64.16, $64.59, $64.11
10/22/2019, $64.21, 2607038, $64.59, $64.63, $64.075
10/21/2019, $64.29, 1808872, $64.16, $64.31, $63.66
10/18/2019, $64.01, 2546519, $63.8, $64.14, $63.33
10/17/2019, $63.67, 1789059, $63.42, $63.89, $63.29
10/16/2019, $63.49, 2199568, $63.19, $63.52, $62.8
10/15/2019, $63.15, 2027264, $63.32, $63.63, $62.865
10/14/2019, $63.28, 2301253, $63.71, $63.77, $63.05
10/11/2019, $63.33, 2634686, $63.83, $63.93, $63.0392
10/10/2019, $63.95, 2085165, $63.5, $64.17, $63.13
10/09/2019, $63.92, 1926417, $63.66, $64.19, $63.56
10/08/2019, $63.59, 2810893, $64.28, $64.34, $63.56
10/07/2019, $64.28, 2733035, $64.4, $64.49, $64.02
10/04/2019, $64.63, 2720841, $63.56, $64.81, $63.55
10/03/2019, $63.465, 4269193, $63.64, $63.64, $62.92
10/02/2019, $63.34, 7811844, $64.97, $65, $62.99
