Date, Close/Last, Volume, Open, High, Low
04/13/2020, $42.76, 29651940, $44.45, $44.69, $41.97
04/09/2020, $43.13, 60208060, $45.46, $46.71, $41.74
04/08/2020, $43.85, 33355550, $41.95, $44.04, $41.47
04/07/2020, $41.24, 48921830, $42.9, $43.315, $41.16
04/06/2020, $40.47, 41301930, $39.88, $40.83, $39.23
04/03/2020, $39.21, 48425660, $41.45, $42.18, $38.52
04/02/2020, $40.4, 62000160, $38.74, $41.96, $37.9
04/01/2020, $37.53, 36045930, $36.86, $38.7, $36.34
03/31/2020, $37.97, 41491610, $38.34, $39.45, $37.37
03/30/2020, $37.5, 45834990, $36.23, $38.15, $35.86
03/27/2020, $36.95, 51558550, $37.13, $37.68, $36.2
03/26/2020, $38.82, 46754740, $37.5, $39.56, $36.72
03/25/2020, $37.29, 56607670, $36.51, $38.59, $35.18
03/24/2020, $35.44, 61835600, $34.42, $36.17, $33.333
03/23/2020, $31.45, 56952490, $32.53, $32.7, $30.11
03/20/2020, $32.74, 76534630, $34.84, $35.18, $31.56
03/19/2020, $34.43, 49412440, $33.73, $34.9, $32.35
03/18/2020, $33.12, 54036420, $34.55, $36.71, $31.23
03/17/2020, $36.81, 41204450, $35.21, $37.3774, $34.2
03/16/2020, $34.49, 48924720, $34.4, $37.88, $33.25
03/13/2020, $38.12, 79891530, $40.01, $40.14, $35
03/12/2020, $37.18, 65725310, $39.9, $40.65, $37
03/11/2020, $41.98, 52015040, $42.39, $43.48, $41.75
03/10/2020, $43.41, 60376720, $46.17, $46.26, $41.45
03/09/2020, $41.86, 72896300, $41.71, $44.57, $40.8
03/06/2020, $47.69, 55640490, $48.84, $49.01, $47.2
03/05/2020, $50.11, 40788170, $50.42, $50.7, $49.04
03/04/2020, $52.42, 24079620, $52.23, $52.48, $51.12
03/03/2020, $51.3, 50580660, $53.95, $54.15, $50.98
03/02/2020, $53.88, 38127630, $52.59, $53.89, $51.1299
02/28/2020, $51.44, 62468380, $48.77, $51.44, $48.01
02/27/2020, $49.82, 48141280, $51.71, $52.435, $49.8
02/26/2020, $53.01, 29812350, $54.55, $54.82, $52.93
02/25/2020, $54.2, 36414540, $56.75, $56.75, $53.97
02/24/2020, $56.36, 32096620, $57.62, $57.8, $56.36
02/21/2020, $59.13, 20315710, $59.51, $59.51, $58.79
02/20/2020, $59.86, 14817240, $60.23, $60.54, $59.72
02/19/2020, $60.34, 12804910, $60.11, $60.6225, $59.83
02/18/2020, $59.88, 18954760, $60.15, $60.39, $59.45
02/14/2020, $60.65, 10855300, $61.15, $61.16, $60.2829
02/13/2020, $60.93, 16949360, $61.06, $61.4157, $60.56
02/12/2020, $61.27, 17862130, $61.34, $61.53, $60.56
02/11/2020, $60.53, 14908720, $60.58, $60.89, $60.17
02/10/2020, $59.96, 20934460, $60.48, $60.52, $59.62
02/07/2020, $61.47, 15112540, $61.41, $61.655, $61.06
02/06/2020, $61.88, 16055370, $62.93, $63.01, $61.78
02/05/2020, $62.73, 32099200, $60.75, $62.925, $60.6
02/04/2020, $59.97, 31922060, $61.45, $61.91, $59.89
02/03/2020, $60.73, 27397310, $61.38, $61.42, $60.37
01/31/2020, $62.12, 34282900, $63.2, $63.2, $61.86
01/30/2020, $64.79, 18544660, $63.78, $64.88, $63.43
01/29/2020, $64.11, 14229480, $65.03, $65.13, $63.9
01/28/2020, $64.65, 19664700, $65.11, $65.2, $64.63
01/27/2020, $64.74, 21231010, $65.42, $65.73, $64.7
01/24/2020, $66.32, 18238550, $66.54, $66.675, $66.04
01/23/2020, $66.77, 19605870, $66.71, $66.93, $66.05
01/22/2020, $67.19, 17033140, $67.56, $67.7, $67
01/21/2020, $67.58, 17982600, $68.38, $68.42, $67.51
01/17/2020, $68.56, 18144100, $68.75, $69.08, $68.29
01/16/2020, $68.82, 13340350, $69.3, $69.585, $68.8
01/15/2020, $69.09, 11390260, $69.2, $69.5899, $68.89
01/14/2020, $69.2, 16267400, $69.38, $69.5799, $68.89
01/13/2020, $69.8, 9965210, $69.2, $69.87, $69.11
01/10/2020, $69.14, 11997130, $69.93, $69.96, $69.12
