Date, Close/Last, Volume, Open, High, Low
03/30/2020, $70.67, 4274636, $68.12, $72, $68
03/27/2020, $68.53, 4000012, $72.24, $72.63, $68.05
03/26/2020, $75.75, 4876545, $74.14, $76.19, $71.79
03/25/2020, $72.87, 5180797, $70.41, $76.43, $65.67
03/24/2020, $69.66, 5277130, $61.95, $70.17, $61.58
03/23/2020, $56.52, 4522907, $57.24, $58.21, $54.95
03/20/2020, $58.08, 4407842, $64.04, $64.94, $57.71
03/19/2020, $62.6, 4564832, $59.48, $66.6891, $57.16
03/18/2020, $60.69, 5693337, $61.97, $62.73, $57.9265
03/17/2020, $65.49, 6169828, $71.3, $71.9, $60.95
03/16/2020, $69.83, 4975745, $70.95, $71.99, $67.08
03/13/2020, $78.46, 3754544, $81.78, $82.25, $75.8584
03/12/2020, $78.45, 5271981, $75.58, $82.34, $74.61
03/11/2020, $80.97, 2783085, $83.91, $84.1, $79.37
03/10/2020, $86.78, 3464217, $86.08, $87.02, $83.3972
03/09/2020, $83.7, 3776595, $84.31, $87.29, $83
03/06/2020, $89.4, 2564288, $88.18, $89.89, $87.03
03/05/2020, $90.92, 2171635, $92.49, $92.83, $89.93
03/04/2020, $94.63, 2420260, $92.52, $94.89, $90.96
03/03/2020, $91.31, 2431018, $92.53, $94.68, $90
03/02/2020, $92.53, 2408925, $89.25, $92.55, $89.21
02/28/2020, $89.25, 4240703, $90.64, $91.73, $87.56
02/27/2020, $92.67, 3850397, $95.79, $96.6904, $92.65
02/26/2020, $97.5, 3382464, $98.3, $99.41, $97.47
02/25/2020, $97.95, 2389277, $100.73, $101.35, $97.53
02/24/2020, $100.25, 1539126, $101.87, $102.64, $100.12
02/21/2020, $103.51, 1015261, $103.55, $103.89, $102.96
02/20/2020, $103.87, 1216256, $104.87, $105.18, $102.16
02/19/2020, $105.19, 1875366, $104.45, $105.58, $104.22
02/18/2020, $104.03, 1934701, $105.17, $105.19, $103.58
02/14/2020, $105.28, 1249688, $105.01, $105.72, $104.63
02/13/2020, $105.03, 1135050, $104.64, $105.66, $104.36
02/12/2020, $105.34, 1784248, $104.56, $105.595, $103.8
02/11/2020, $104.05, 2234418, $103.13, $104.307, $102.84
02/10/2020, $102.87, 1667965, $102.31, $103.22, $102.05
02/07/2020, $102.04, 2396880, $101.76, $102.62, $100.75
