Date, Close/Last, Volume, Open, High, Low
04/13/2020, $108.02, 1133248, $108.4, $109, $104.14
04/09/2020, $110.36, 2060190, $111.96, $114.76, $108.275
04/08/2020, $111.28, 2937236, $103.24, $112, $102.685
04/07/2020, $101.91, 3021396, $103.09, $108.45, $100.9
04/06/2020, $97.94, 2632006, $100, $100.61, $95.43
04/03/2020, $92.01, 2557780, $92.19, $92.88, $89.21
04/02/2020, $92.71, 1633663, $88, $94.98, $88
04/01/2020, $89.63, 1713846, $97.05, $97.05, $88.48
03/31/2020, $101.08, 1923742, $98.15, $102.04, $96
03/30/2020, $98.28, 2024774, $94.99, $98.82, $91.585
03/27/2020, $94.94, 1822070, $97.37, $98.4207, $92.47
03/26/2020, $100.85, 2254072, $98.24, $104.84, $96.51
03/25/2020, $96.83, 2313501, $92.84, $101.97, $92.08
03/24/2020, $93.4, 2339346, $85.63, $93.93, $85
03/23/2020, $80.81, 2487070, $84.71, $85.18, $78.7
03/20/2020, $85.98, 3012721, $90.57, $93.16, $83.73
03/19/2020, $89.14, 3113869, $80.61, $91.33, $76.66
03/18/2020, $80.63, 3902843, $82.31, $83.72, $74.37
03/17/2020, $86.16, 3774800, $93.82, $94, $83.7
03/16/2020, $92, 4818587, $83.65, $95.095, $79.03
03/13/2020, $97.8, 4476817, $106.5, $108.1, $93.94
03/12/2020, $102.03, 3323566, $103.62, $106.83, $99.26
03/11/2020, $111.19, 2330814, $114.74, $116.64, $108.8207
03/10/2020, $118.31, 2649880, $115, $118.64, $110.09
03/09/2020, $111.26, 2380483, $115, $119, $111.02
03/06/2020, $124.1, 2800644, $125.26, $125.95, $121.75
03/05/2020, $129.19, 2104085, $135.28, $135.86, $127.43
03/04/2020, $138.07, 2008977, $136.48, $139.25, $134.08
03/03/2020, $133.86, 1933286, $138.97, $142.45, $130.41
03/02/2020, $139.25, 1712362, $136.78, $139.28, $134.75
02/28/2020, $136.15, 2473689, $136.14, $137.44, $132.51
02/27/2020, $139.95, 2046383, $143.15, $145.71, $139.89
02/26/2020, $146.56, 1273097, $150.9, $152.7, $146.51
02/25/2020, $149.73, 2300037, $153.51, $154.57, $149.53
02/24/2020, $154.33, 1917904, $153.58, $155.1, $153
02/21/2020, $157.39, 1020381, $158.56, $159.1, $155.98
02/20/2020, $158.39, 950927, $160, $160.025, $157.3
02/19/2020, $160.02, 961245, $159.69, $161.11, $158.61
02/18/2020, $159.25, 771367, $159.95, $160.09, $157.84
02/14/2020, $160.4, 621681, $158.62, $160.43, $157.6
02/13/2020, $158.73, 743162, $159, $159.83, $157.39
02/12/2020, $158.7, 743656, $159.2, $159.69, $158.22
02/11/2020, $159.29, 886811, $158.8, $159.64, $157.83
02/10/2020, $158.22, 1079949, $155.48, $158.57, $155.15
02/07/2020, $156.39, 889335, $158.28, $158.73, $156.12
02/06/2020, $159.01, 1185696, $158.01, $159.79, $157.16
02/05/2020, $157.7, 1364147, $156.82, $159.19, $155.43
02/04/2020, $156.77, 3068347, $152.9, $159.59, $152.44
02/03/2020, $148.51, 1905707, $148.78, $150.24, $148.42
01/31/2020, $147.9, 1407669, $150.22, $151.59, $146.78
01/30/2020, $151.18, 720189, $149.32, $151.23, $148.1
01/29/2020, $150.75, 1197402, $149.75, $152.43, $149.43
01/28/2020, $149.2, 829221, $148.14, $149.9, $148.14
01/27/2020, $148.04, 678673, $146.05, $148.61, $145.03
01/24/2020, $147.8, 737851, $149.48, $149.48, $146.72
01/23/2020, $149.51, 796692, $150.87, $150.95, $149.15
01/22/2020, $150.98, 851478, $150, $151.695, $149.9602
01/21/2020, $149.48, 926558, $149.06, $150.165, $147.86
01/17/2020, $149.38, 852286, $148.94, $149.95, $148.58
01/16/2020, $148.77, 664893, $148.86, $149.22, $147.9
01/15/2020, $148.15, 654676, $148.24, $149.56, $147.245
01/14/2020, $148.34, 1009535, $148.12, $149.14, $147.2814
01/13/2020, $149.02, 635840, $149.67, $150.54, $148.93
01/10/2020, $149.99, 1159737, $149.63, $151.16, $148.7
01/09/2020, $148.6, 1007653, $150.05, $150.385, $148.31
01/08/2020, $149.59, 908796, $148.35, $149.93, $147.44
01/07/2020, $147.82, 907279, $148.55, $149.14, $146.69
01/06/2020, $147.95, 944767, $148.57, $148.83, $147.23
01/03/2020, $148.81, 963465, $147.42, $149.68, $145.96
01/02/2020, $149.2, 1046052, $149.98, $150.05, $147.47
12/31/2019, $149.68, 612400, $148.29, $149.71, $148.29
12/30/2019, $148.75, 589753, $150.15, $150.535, $148.23
12/27/2019, $150.01, 391920, $150.58, $150.63, $149.68
12/26/2019, $150.3, 611709, $150.78, $151.67, $149.3
12/24/2019, $150.87, 244981, $151.19, $151.6138, $150.28
12/23/2019, $151.24, 917694, $150.79, $151.29, $149.76
12/20/2019, $150.32, 2471463, $149.69, $150.63, $148.28
12/19/2019, $148.8, 965381, $150.34, $150.7, $148.16
12/18/2019, $148.88, 1436860, $149.9, $150, $147.46
12/17/2019, $149.86, 732607, $150.12, $150.63, $148.23
12/16/2019, $150, 1308172, $149.32, $150.6, $148.42
12/13/2019, $148.07, 1039824, $147, $149.1881, $146.68
12/12/2019, $147.41, 823755, $146.92, $148.985, $146.26
12/11/2019, $147.01, 691674, $145.85, $147.12, $145.25
12/10/2019, $145.23, 875117, $147, $147.7, $145.03
12/09/2019, $146.72, 626105, $148.47, $148.805, $146.55
12/06/2019, $148.53, 760634, $148.07, $149.6275, $147.78
12/05/2019, $147.62, 867674, $147.45, $148.96, $147.25
12/04/2019, $148.37, 1513561, $147.79, $150.79, $146.76
12/03/2019, $143.4, 569474, $143.54, $144.385, $142.67
12/02/2019, $144.46, 512652, $145.57, $145.93, $144.08
11/29/2019, $145.28, 351599, $146.59, $146.735, $144.88
11/27/2019, $146.56, 487365, $144.65, $146.89, $144.55
11/26/2019, $144.86, 918385, $145.58, $145.8, $144.315
11/25/2019, $145.08, 847201, $144.09, $145.46, $143.71
11/22/2019, $143.82, 587742, $142.93, $143.855, $142.65
11/21/2019, $142.32, 786801, $142.15, $142.5947, $141.12
11/20/2019, $142.57, 1272317, $144.47, $145.67, $142.02
11/19/2019, $144.54, 856952, $145.67, $146.04, $144.49
11/18/2019, $144.99, 863693, $146.67, $147.52, $144.65
11/15/2019, $146.78, 870970, $145.39, $147.24, $144.54
11/14/2019, $145.03, 575718, $144.15, $145.39, $143.67
11/13/2019, $144.37, 641565, $144.32, $144.71, $143.07
11/12/2019, $144.54, 789113, $143.61, $145.46, $143.475
11/11/2019, $143.32, 911960, $143.01, $143.43, $140.93
11/08/2019, $144, 1026051, $141.49, $144.96, $141.14
11/07/2019, $141.93, 1261346, $142.86, $143.96, $141.13
11/06/2019, $143.22, 1515666, $142.4, $144.44, $141.77
11/05/2019, $140.31, 2693574, $141, $143.45, $139.12
11/04/2019, $136.53, 1699350, $138.73, $139.19, $136.06
11/01/2019, $138.22, 911809, $139.46, $140.21, $138.15
10/31/2019, $138.23, 793680, $138.01, $138.65, $136.72
10/30/2019, $138.07, 567393, $137.5, $138.11, $136.98
10/29/2019, $138.19, 789812, $135.75, $138.86, $135.58
10/28/2019, $135.95, 561496, $134.92, $137, $134.79
10/25/2019, $134.07, 726469, $134.96, $135.12, $133.94
10/24/2019, $134.89, 712102, $135.47, $137.5411, $133.54
10/23/2019, $135.22, 487057, $135.3, $136.09, $134.85
10/22/2019, $134.82, 683095, $137.94, $137.94, $134.75
10/21/2019, $137.6, 829434, $138.03, $138.6, $136.61
10/18/2019, $137.61, 740355, $138.03, $138.92, $136.9901
10/17/2019, $138.51, 666110, $137.12, $138.91, $136.96
10/16/2019, $136.58, 1173367, $137.55, $137.67, $135.08
10/15/2019, $137.89, 1186808, $136.98, $139.15, $135.89
10/14/2019, $135.24, 756985, $136.19, $137.23, $134.595
10/11/2019, $136.44, 1155461, $135.14, $137.61, $135.14
10/10/2019, $134.07, 1043178, $132.72, $135.17, $132.29
10/09/2019, $133.42, 903957, $132.3, $133.63, $131
10/08/2019, $131.22, 1321692, $133.63, $133.93, $130.62
10/07/2019, $134.5, 913513, $136.17, $137.11, $134.1
10/04/2019, $134.45, 746270, $133.71, $134.75, $132.77
10/03/2019, $132.94, 869322, $131.53, $133.08, $130.27
10/02/2019, $131.95, 1269053, $132.73, $133.8139, $130.54
10/01/2019, $133.61, 782189, $137.36, $138.49, $133.54
09/30/2019, $137.27, 803286, $134.54, $137.73, $134.52
09/27/2019, $134.13, 955982, $136.79, $137.24, $133.8
09/26/2019, $136.84, 1124015, $137.74, $138.16, $135.56
