Date, Close/Last, Volume, Open, High, Low
03/30/2020, $116.68, 2031878, $113.63, $117.75, $112.43
03/27/2020, $111.77, 2870096, $114.52, $117.78, $111.04
03/26/2020, $117.91, 4159038, $109.51, $118.69, $109.51
03/25/2020, $108.21, 4424860, $102.65, $112.99, $100.52
03/24/2020, $103.76, 4732571, $98.71, $105.221, $97.5
03/23/2020, $92.66, 5405896, $99.06, $101.04, $90.14
03/20/2020, $100.94, 6662727, $101.55, $106.47, $98.53
03/19/2020, $102.33, 4492883, $104.95, $112.89, $100.74
03/18/2020, $105.82, 5218324, $104.5, $110.03, $96.024
03/17/2020, $111.05, 5299641, $109.27, $118.08, $107.15
03/16/2020, $107.04, 4364756, $114.37, $119.92, $106.4
03/13/2020, $125.48, 4073441, $124.35, $125.78, $117.29
03/12/2020, $120.28, 5344299, $122.26, $127.34, $119.92
03/11/2020, $130.27, 3591655, $130.39, $131.65, $127.36
03/10/2020, $132.72, 3265599, $133.62, $133.62, $127.265
03/09/2020, $129.72, 2827439, $128.8, $133.29, $127.59
03/06/2020, $137.05, 3204214, $134.92, $137.6, $131.83
03/05/2020, $139.56, 2472647, $140.73, $142.64, $138.06
03/04/2020, $143.62, 3283746, $139.95, $143.7, $138.52
03/03/2020, $137.24, 2768225, $139.46, $141.76, $135.62
03/02/2020, $138.91, 2881609, $133.84, $139.17, $133.06
02/28/2020, $133.23, 4779328, $130.4, $133.24, $127
02/27/2020, $133.95, 3075293, $134.46, $137.425, $133.9
02/26/2020, $136.15, 2562184, $135.94, $139.25, $135.5
02/25/2020, $134.82, 2236214, $138.79, $138.85, $134.315
02/24/2020, $138.39, 1642254, $139.28, $140.8179, $137.535
02/21/2020, $142.23, 1755261, $142.93, $143, $141.5
02/20/2020, $143.55, 1182574, $143.75, $144.09, $141.24
02/19/2020, $144.06, 1676561, $143.5, $145.61, $142.81
02/18/2020, $143.65, 2461710, $144.03, $144.13, $142.61
02/14/2020, $144.17, 1810544, $144.94, $145.4, $143.115
02/13/2020, $144.94, 3384465, $141.93, $146.26, $141.25
02/12/2020, $142.98, 1830699, $143.45, $144.46, $142.43
02/11/2020, $144.03, 2274224, $143.4, $144.35, $142.65
02/10/2020, $142.55, 2455986, $138.62, $142.74, $138.353
02/07/2020, $138.9, 1780830, $139.05, $139.16, $138.03
02/06/2020, $138.97, 2206858, $137.96, $139.1, $136.87
02/05/2020, $137.89, 1507609, $139.96, $140.3, $137.545
02/04/2020, $138.97, 1839782, $137.08, $139.44, $136.69
02/03/2020, $135.52, 2376967, $134.73, $137.47, $134.2
01/31/2020, $134.21, 2582313, $137.6, $137.97, $134
01/30/2020, $138.03, 1735411, $137.64, $138.33, $136.06
01/29/2020, $138.51, 1366479, $138.97, $139.97, $138.44
01/28/2020, $138.26, 2176510, $136.14, $138.915, $135.49
01/27/2020, $135.96, 1656515, $134.42, $136.435, $134.03
01/24/2020, $136.31, 2047030, $139.62, $139.62, $136.1474
01/23/2020, $138.34, 2148497, $141.29, $141.77, $137.52
01/22/2020, $141.5, 1889090, $142.73, $143.33, $141.21
01/21/2020, $141.93, 4693388, $139.12, $142.52, $138.97
01/17/2020, $140.16, 1993175, $139.62, $140.4, $138.86
01/16/2020, $139.24, 1822882, $138.78, $139.4, $138.02
01/15/2020, $138.54, 1859576, $137.41, $139, $137.34
01/14/2020, $137.27, 1848833, $136.42, $137.275, $135.52
01/13/2020, $136.51, 1801255, $136.07, $136.75, $135.46
01/10/2020, $135.57, 1248963, $135.3, $136, $134.77
01/09/2020, $135.06, 2075355, $134.01, $136.37, $134.01
01/08/2020, $133.29, 1766675, $133.76, $135.27, $133.24
01/07/2020, $133.58, 1226722, $133, $134.81, $132.67
01/06/2020, $133.13, 2334053, $133.78, $134.065, $132.71
01/03/2020, $134.16, 1274423, $132.48, $134.91, $132.27
01/02/2020, $134.14, 1563970, $132.05, $134.28, $131.48
12/31/2019, $132.35, 1128567, $132.01, $132.58, $131.45
12/30/2019, $132.21, 941961, $133.57, $133.66, $131.8089
12/27/2019, $133.25, 1296099, $133.4, $133.48, $132.38
12/26/2019, $133.03, 929458, $133.19, $133.19, $132.32
12/24/2019, $132.92, 442469, $132.21, $133.08, $131.29
